,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,504722000.0,187759000.0,316963000.0,16495000.0,104246000.0,1016650000.0,3.01,332819900.0,104246000.0,337532000.0,56087000.0,95622000.0,23699540000.0,23795160000.0,0.0,193354000.0,12155310000.0,13166720000.0,13360070000.0,10435090000.0,228574000.0,193514000.0,2861625000.0,-1041573000.0,-249330000.0,291556000.0,55.06
2013-06-30,617217000.0,213851000.0,403366000.0,16085000.0,63977000.0,323723000.0,0.9,387435000.0,63977000.0,359653000.0,152564000.0,193921000.0,23288460000.0,23482380000.0,0.0,170686000.0,11723570000.0,12672780000.0,12843470000.0,10638920000.0,323458000.0,224305000.0,579437000.0,479025000.0,-144017000.0,-606853000.0,58.06
2013-09-30,626629000.0,215089000.0,411540000.0,14437000.0,120396000.0,376155000.0,1.05,394610000.0,120396000.0,359811000.0,972761000.0,1013662000.0,22797770000.0,23811430000.0,0.0,252292000.0,11707200000.0,12636350000.0,12888640000.0,10922790000.0,274214000.0,349274000.0,528148000.0,620386000.0,-144117000.0,-149463000.0,53.57
2013-12-31,639134000.0,217529000.0,421605000.0,15162000.0,223703000.0,109939900.0,0.31,297301000.0,223702900.0,354305000.0,53534000.0,96170000.0,22738380000.0,22834540000.0,0.0,197100000.0,10766250000.0,11792250000.0,11989350000.0,10845200000.0,73598000.0,101823000.0,-43456000.0,-64815000.0,-144146000.0,-956235000.0,51.87
2014-03-31,633442000.0,231440000.0,402002000.0,17576000.0,199259000.0,78099000.0,0.22,389105000.0,199259000.0,360470000.0,37209000.0,81204000.0,22808430000.0,22889630000.0,0.0,239978000.0,10943280000.0,11930100000.0,12170070000.0,10719560000.0,189846000.0,336882000.0,-303225000.0,-301757000.0,-234282000.0,-51450000.0,57.99
2014-06-30,652568000.0,220370000.0,432198000.0,13752000.0,228309900.0,111654000.0,0.31,423414900.0,228309900.0,360809000.0,76132000.0,121401000.0,22870000000.0,22991400000.0,0.0,246614000.0,11082040000.0,12116170000.0,12362780000.0,10628620000.0,195105000.0,282597000.0,-238269000.0,-187863000.0,-180561000.0,-55811000.0,63.0
2014-09-30,664078000.0,220367000.0,443711000.0,9968000.0,243274000.0,220707000.0,0.61,438480000.0,243274000.0,361409000.0,31478000.0,77473000.0,22930620000.0,23008090000.0,0.0,289542000.0,10957610000.0,12001130000.0,12290670000.0,10717420000.0,195206000.0,394792000.0,-154944000.0,-161022000.0,-180721000.0,-278424000.0,61.58
2014-12-31,664660000.0,215680000.0,448980000.0,9383000.0,250801000.0,216703000.0,0.6000000000000001,446629100.0,250801000.0,361181000.0,40080000.0,88165000.0,22862450000.0,22950610000.0,0.0,243130000.0,10844860000.0,11999710000.0,12242840000.0,10707780000.0,195828000.0,309802000.0,27466000.0,5976000.0,-181095000.0,-307176000.0,71.84
2015-03-31,666371000.0,233757000.0,432614000.0,19762000.0,218331000.0,178842000.0,0.49,416741000.0,218331000.0,363098000.0,49418000.0,100077000.0,22928970000.0,23029050000.0,0.0,286780000.0,10859510000.0,12068680000.0,12355460000.0,10673590000.0,198410000.0,347895000.0,-48622000.0,-179222000.0,-181408000.0,-159335000.0,77.86
2015-06-30,679112000.0,222916000.0,456196000.0,15659000.0,246255000.0,285587000.0,0.79,446606000.0,246255000.0,363476000.0,92109000.0,144971000.0,22936860000.0,23081830000.0,0.0,280227000.0,10827910000.0,11956870000.0,12237100000.0,10844730000.0,200351000.0,327152000.0,-116770000.0,-26327000.0,-201033000.0,-258134000.0,70.17
2015-09-30,696289000.0,227439000.0,468850000.0,15197000.0,257594000.0,195859000.0,0.54,459728000.0,257594000.0,363579000.0,37366000.0,91437000.0,22917370000.0,23008800000.0,0.0,339110000.0,10803320000.0,11965030000.0,12304140000.0,10704660000.0,202134000.0,388299000.0,-159264000.0,-205163000.0,-201127000.0,-237879000.0,75.12
2015-12-31,703193000.0,221056000.0,482137000.0,14046000.0,287057900.0,202989000.0,0.56,473746900.0,287058000.0,363498000.0,42276000.0,99222000.0,23010970000.0,23110200000.0,0.0,272345000.0,10921370000.0,12141500000.0,12413840000.0,10696360000.0,186689000.0,293282000.0,-341932900.0,-285102000.0,-201180000.0,-10819000.0,81.59
2016-03-31,619083000.0,212856000.0,406227000.0,16717000.0,216625000.0,3586985000.0,9.84,404777000.0,216625000.0,364592000.0,368049000.0,427404000.0,20873890000.0,21301290000.0,0.0,285221000.0,8583818000.0,9707356000.0,9992577000.0,11308710000.0,188152000.0,201382000.0,5957953000.0,5751236000.0,-3122652000.0,-5626845000.0,75.03
2016-06-30,595154000.0,194713000.0,400441000.0,18296000.0,206018000.0,218067000.0,0.6000000000000001,390165000.0,206018000.0,365047000.0,497843000.0,559554000.0,20670370000.0,21229920000.0,0.0,244804000.0,8510994000.0,9578515000.0,9823320000.0,11406600000.0,184147000.0,273694000.0,-94014000.0,120771000.0,-184052000.0,-264671000.0,68.88
2016-09-30,606074000.0,205076000.0,400998000.0,12395000.0,209373000.0,207543000.0,0.5700000000000001,396741000.0,209373000.0,365109000.0,517586000.0,580580000.0,20717160000.0,21297740000.0,0.0,269236000.0,8498787000.0,10689710000.0,10958940000.0,10338800000.0,187368000.0,344245000.0,-69214000.0,-119842000.0,-184134000.0,-204660000.0,64.33
2016-12-31,605489000.0,193580000.0,411909000.0,10432000.0,224070100.0,276476800.0,0.76,409805100.0,224070100.0,365002000.0,77207000.0,77207000.0,20626940000.0,20704150000.0,0.0,208428000.0,8987258000.0,10034740000.0,10243170000.0,10460980000.0,185735000.0,394802000.0,79321000.0,151777000.0,-1280887000.0,-957916000.0,64.36
2017-03-31,604100000.0,206588000.0,397512000.0,14173000.0,204371000.0,142969000.0,0.39,392201000.0,204371000.0,366605000.0,42139000.0,110170000.0,20498170000.0,20608340000.0,0.0,240023000.0,8929925000.0,9852890000.0,10092910000.0,10515430000.0,187830000.0,303904000.0,-62813000.0,-72642000.0,-184302000.0,-264127000.0,62.22
2017-06-30,612480000.0,208408000.0,404072000.0,13626000.0,210550000.0,195268000.0,0.53,398321000.0,210550000.0,366820000.0,37719000.0,58735000.0,20577840000.0,20636570000.0,0.0,186743000.0,8964090000.0,9923976000.0,10110720000.0,10525860000.0,187771000.0,255209000.0,37207000.0,28035000.0,-184942000.0,-156354000.0,65.83
2017-09-30,624122000.0,209669000.0,414453000.0,12567000.0,217786000.0,137457000.0,0.37,410353000.0,217786000.0,366996000.0,46565000.0,57537000.0,20640300000.0,20697830000.0,0.0,240795000.0,8992271000.0,9963262000.0,10204060000.0,10493780000.0,192567000.0,411023000.0,-462010000.0,-471168000.0,-185023000.0,-158792000.0,65.93
