,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1995023000.0,747809000.0,1247214000.0,478973000.0,418944900.0,228089000.0,0.72,662470000.0,418944900.0,315130000.0,159932000.0,832989000.0,239226000.0,2158011000.0,26170650000.0,28328660000.0,2234328000.0,3839637000.0,7011561000.0,14988230000.0,18827860000.0,9500799000.0,243525000.0,473143000.0,-388950000.0,-446913000.0,-116431000.0,-11161000.0,43.46
2013-06-30,1635862000.0,488302000.0,1147560000.0,480633000.0,350576000.0,171021000.0,0.54,572785000.0,350576000.0,315154000.0,36055000.0,789410000.0,280600000.0,2051093000.0,26145800000.0,28196890000.0,1682846000.0,3081510000.0,7651396000.0,15553200000.0,18634710000.0,9562180000.0,222209000.0,295881000.0,-311302000.0,-270906000.0,-115637000.0,-49737000.0,42.02
2013-09-30,1892590000.0,645881000.0,1246709000.0,522199000.0,399261800.0,209501000.0,0.66,618411900.0,399261800.0,315291000.0,57941000.0,784498000.0,304698000.0,2018132000.0,26426190000.0,28444320000.0,1951346000.0,3378430000.0,7444192000.0,15392870000.0,18771300000.0,9673021000.0,219150000.0,407944000.0,-373507000.0,-341159000.0,-109652000.0,-44899000.0,41.25
2013-12-31,1777729000.0,600962100.0,1176767000.0,545410900.0,360652500.0,177396000.0,0.56,535448400.0,360652200.0,315311000.0,43364000.0,782020000.0,303233000.0,2087049000.0,25708490000.0,27795540000.0,1626346000.0,3275651000.0,7776833000.0,14752790000.0,18028440000.0,9767096000.0,174796000.0,486571000.0,-383028000.0,-382245000.0,-121021000.0,-118903000.0,42.39
2014-03-31,2290590000.0,978150000.0,1312440000.0,497221000.0,467689200.0,235957000.0,0.75,676394200.0,467689200.0,315535000.0,89150000.0,980033000.0,228192000.0,2365809000.0,25731060000.0,28096870000.0,1101680000.0,2790144000.0,8318332000.0,15582790000.0,18372940000.0,9723933000.0,208705000.0,493796000.0,-348691000.0,-351154000.0,-118460000.0,-96856000.0,45.5
2014-06-30,1677614000.0,624211000.0,1053403000.0,508037000.0,293990000.0,127367000.0,0.4,442655000.0,293990000.0,315951000.0,150083000.0,807510000.0,281721000.0,2068475000.0,25721980000.0,27790450000.0,1300583000.0,2802808000.0,8147129000.0,15233830000.0,18036640000.0,9753807000.0,148665000.0,402867000.0,-375352000.0,-370275000.0,-118701000.0,-87646000.0,47.27
2014-09-30,1892532000.0,716631000.0,1175901000.0,485619000.0,440910000.0,234614000.0,0.74,571590000.0,440910000.0,316341000.0,156428000.0,848510000.0,333869000.0,2101550000.0,25880750000.0,27982310000.0,1292544000.0,2929676000.0,8166985000.0,15162080000.0,18091760000.0,9890552000.0,130680000.0,507354000.0,-393450000.0,-401787000.0,-118919000.0,-97957000.0,44.3
2014-12-31,1881120000.0,702558000.0,1178562000.0,498092000.0,430260000.0,221608000.0,0.6900000000000001,567571000.0,430259900.0,316137000.0,38703000.0,1193653000.0,349664000.0,2692465000.0,27047920000.0,29740390000.0,1202408000.0,3134381000.0,8568429000.0,16629190000.0,19763570000.0,9976815000.0,137311000.0,247959000.0,-486251000.0,-468579000.0,-119147000.0,217617000.0,53.52
2015-03-31,2513431000.0,1162049000.0,1351382000.0,482863000.0,497475000.0,253254000.0,0.8,721916000.0,497475000.0,317091000.0,71027000.0,1231114000.0,281492000.0,2792691000.0,27159070000.0,29951770000.0,1249083000.0,3111782000.0,8602067000.0,16574010000.0,19685790000.0,10265970000.0,224441000.0,491541000.0,-362586000.0,-364525000.0,-132433000.0,-94692000.0,50.52
2015-06-30,1817061000.0,685118000.0,1131943000.0,455576000.0,412015000.0,207507000.0,0.65,574517000.0,412015000.0,317613000.0,161299000.0,1021370000.0,289561000.0,2449929000.0,27430010000.0,29879940000.0,1232583000.0,2838985000.0,8689647000.0,16700330000.0,19539320000.0,10340620000.0,162502000.0,373741000.0,-377793000.0,-351285000.0,-132503000.0,-57014000.0,45.41
2015-09-30,1933105000.0,702640000.0,1230465000.0,478087000.0,469238000.0,235920000.0,0.74,620271100.0,469238000.0,317452000.0,155483000.0,940311000.0,302225000.0,2367688000.0,27678340000.0,30046030000.0,1244383000.0,2971693000.0,8757498000.0,16779900000.0,19751600000.0,10294430000.0,151033000.0,486035000.0,-436906000.0,-442706000.0,-132427000.0,-44017000.0,50.62
2015-12-31,1691230000.0,537098300.0,1154132000.0,503336000.0,385436200.0,181804000.0,0.5700000000000001,535655200.0,385436000.0,317337000.0,23947000.0,1080839000.0,336476000.0,2618786000.0,27961520000.0,30580310000.0,228883000.0,2989790000.0,8805574000.0,17238300000.0,20228090000.0,10352210000.0,150219000.0,82434000.0,-546854000.0,-500634000.0,-132428000.0,406366000.0,51.07
2016-03-31,2055635000.0,754859000.0,1300776000.0,480082000.0,488535900.0,244153000.0,0.77,683518900.0,488535900.0,317517000.0,50966000.0,935148000.0,359225000.0,2590547000.0,28121930000.0,30712470000.0,378883000.0,2593914000.0,9144687000.0,17680060000.0,20273980000.0,10438500000.0,194983000.0,499964000.0,-431472000.0,-424600000.0,-141157000.0,-48345000.0,58.34
2016-06-30,1767184000.0,581260000.0,1185924000.0,475044000.0,423422000.0,203649000.0,0.64,591212000.0,423422000.0,317785000.0,38726000.0,910266100.0,292547000.0,2415284000.0,28467380000.0,30882660000.0,178883000.0,2303769000.0,9435924000.0,18069490000.0,20373260000.0,10509410000.0,167790000.0,478474000.0,-437696000.0,-442222000.0,-141157000.0,-48492000.0,59.9
2016-09-30,2039706000.0,665810000.0,1373896000.0,489676000.0,509869000.0,265319000.0,0.8300000000000001,735100000.0,509869000.0,317788000.0,40056000.0,967806000.0,311051000.0,2414652000.0,28667680000.0,31082340000.0,373883000.0,2642028000.0,9235128000.0,17802930000.0,20444950000.0,10637380000.0,225231000.0,671930000.0,-490003000.0,-494800000.0,-141157000.0,-175800000.0,54.18
2016-12-31,1776604000.0,498898800.0,1277705000.0,531404100.0,419446300.0,229181000.0,0.72,618604200.0,419446500.0,317650000.0,30251000.0,847301000.0,328721000.0,2477672000.0,29575490000.0,32053170000.0,773883000.0,3638605000.0,8829354000.0,17702830000.0,21341440000.0,10711730000.0,199158000.0,557874000.0,-617696000.0,-789926000.0,-141015000.0,254697000.0,55.23
2017-03-31,2105135000.0,753649000.0,1351486000.0,493529000.0,500976900.0,259458000.0,0.8200000000000001,711799000.0,500976900.0,317463000.0,45763000.0,879451000.0,361779000.0,2511399000.0,29843780000.0,32355180000.0,773883000.0,3333765000.0,9267891000.0,18217210000.0,21550980000.0,10804200000.0,210822000.0,445349000.0,-523560000.0,-534581000.0,-150521000.0,108767000.0,58.78
2017-06-30,1762811000.0,549704000.0,1213107000.0,466427000.0,448208100.0,230749000.0,0.72,630282100.0,448208100.0,317391000.0,24638000.0,833945000.0,286296000.0,2330814000.0,30328030000.0,32658840000.0,1483883000.0,3785709000.0,8899021000.0,17987610000.0,21773320000.0,10885520000.0,182074000.0,449601000.0,-623392000.0,-653336000.0,-150521000.0,156178000.0,60.71
2017-09-30,1988512000.0,651776000.0,1336736000.0,475966000.0,495251000.0,260370000.0,0.8200000000000001,731564900.0,495251000.0,317393000.0,125761000.0,919959000.0,305035000.0,2403470000.0,30760150000.0,33163620000.0,957697000.0,2620431000.0,10468190000.0,19545150000.0,22165580000.0,10998040000.0,236314000.0,580897000.0,-495328000.0,-464174000.0,-150520000.0,-23475000.0,60.44
2017-12-31,1895494000.0,580142000.0,1315352000.0,547887000.0,443814100.0,237419000.0,0.75,678392200.0,443813500.0,317411000.0,38165000.0,925083000.0,223063000.0,2487099000.0,33733290000.0,36220390000.0,549631000.0,3589045000.0,11775890000.0,21545100000.0,25134140000.0,11086240000.0,234578000.0,520355000.0,-705825000.0,-1578425000.0,-150521000.0,971984000.0,63.18
2018-03-31,2287962000.0,946747000.0,1341215000.0,514982000.0,442532000.0,269546000.0,0.85,691992000.0,442532000.0,317397000.0,303810000.0,1086282000.0,264171000.0,2771436000.0,34268540000.0,37039980000.0,1097288000.0,4096018000.0,12015990000.0,21760250000.0,25856270000.0,11183710000.0,249460000.0,177714000.0,-607334000.0,-479719000.0,-160027000.0,578730000.0,58.92
2018-06-30,1853856000.0,653915000.0,1199941000.0,471289000.0,391354000.0,242767000.0,0.76,626697000.0,391354000.0,317345000.0,64154000.0,1123826000.0,171601000.0,2277590000.0,34966750000.0,37244340000.0,387296000.0,3529555000.0,12009260000.0,22441560000.0,25971120000.0,11273220000.0,235343000.0,520421000.0,-644344000.0,-667426000.0,-160028000.0,-93760000.0,58.61
2018-09-30,2271425000.0,842291000.0,1429134000.0,531766000.0,466021100.0,289380000.0,0.91,767403200.0,466021100.0,317360000.0,59092000.0,1091589000.0,192508000.0,2153371000.0,35362300000.0,37515670000.0,387310000.0,3630272000.0,12151540000.0,22476620000.0,26106890000.0,11408780000.0,301382100.0,709527000.0,-633403000.0,-558418000.0,-160027000.0,-138354000.0,61.44
2018-12-31,2034958000.0,696015900.0,1338943000.0,546929000.0,400023200.0,231307000.0,0.73,685794200.0,400023100.0,317370000.0,108068000.0,994055000.0,238042000.0,2292224000.0,35949030000.0,38241260000.0,837319000.0,4112882000.0,12248740000.0,22641550000.0,26754440000.0,11486820000.0,285770900.0,422881000.0,-684855000.0,-731483000.0,-160028000.0,383321000.0,65.04
2019-03-31,2415792000.0,974882000.0,1440910000.0,520185000.0,494700100.0,308678000.0,0.97,780609100.0,494700100.0,317625000.0,35145000.0,1140348000.0,277104000.0,2300864000.0,36640140000.0,38941010000.0,805519000.0,4559362000.0,12284330000.0,22744210000.0,27303570000.0,11637430000.0,285909000.0,381435000.0,-628129000.0,-875671000.0,-169757000.0,393284000.0,70.95
2019-06-30,1884495000.0,620904000.0,1263591000.0,509093000.0,150988000.0,31454000.0,0.1,409017000.0,150988000.0,319665000.0,20578000.0,964314000.0,174124000.0,2131697000.0,36864210000.0,38995910000.0,779289000.0,3512121000.0,13039180000.0,23529190000.0,27041310000.0,11954590000.0,258029000.0,543152000.0,-749624000.0,-718028000.0,-153589000.0,233667000.0,75.76
2019-09-30,2175797000.0,730255000.0,1445542000.0,503019000.0,509238200.0,318884000.0,0.98,805692200.0,509238200.0,324037000.0,22688000.0,993396000.0,204012000.0,2220905000.0,37504490000.0,39725390000.0,853066000.0,3748910000.0,13440170000.0,23854870000.0,27603780000.0,12121610000.0,296454000.0,570263000.0,-751284000.0,-858150000.0,-172225000.0,272604000.0,85.47
