,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,5310000000.0,3735000000.0,1575000000.0,958000000.0,465000000.0,378000000.0,0.8,710000000.0,465000000.0,471900000.0,1036000000.0,3685000000.0,2394000000.0,8196000000.0,26781000000.0,34977000000.0,569000000.0,4903000000.0,9473000000.0,14864000000.0,19767000000.0,15210000000.0,245000000.0,100000000.0,-122000000.0,773000000.0,-194000000.0,-810000000.0,61.25
2013-06-30,5602000000.0,3870000000.0,1732000000.0,960000000.0,611000000.0,494000000.0,1.04,856000000.0,611000000.0,473400000.0,996000000.0,3820000000.0,2405000000.0,8229000000.0,27028000000.0,35257000000.0,575000000.0,4981000000.0,9069000000.0,14845000000.0,19826000000.0,15431000000.0,245000000.0,609000000.0,-129000000.0,-167000000.0,-203000000.0,-440000000.0,65.81
2013-09-30,5607000000.0,3883000000.0,1724000000.0,967000000.0,591000000.0,510000000.0,1.08,841000000.0,591000000.0,474000000.0,1340000000.0,3950000000.0,2403000000.0,8766000000.0,26546000000.0,35312000000.0,576000000.0,5054000000.0,9029000000.0,14141000000.0,19195000000.0,16117000000.0,250000000.0,704000000.0,-121000000.0,-463000000.0,-200000000.0,-235000000.0,68.84
2013-12-31,5527000000.0,3881000000.0,1646000000.0,1001000000.0,480000000.0,479000000.0,1.01,737000000.0,480000000.0,473500000.0,1709000000.0,3648000000.0,2382000000.0,8731000000.0,26760000000.0,35491000000.0,567000000.0,4914000000.0,8969000000.0,13714000000.0,18628000000.0,16863000000.0,257000000.0,872000000.0,-242000000.0,-345000000.0,-199000000.0,-251000000.0,76.12
2014-03-31,5492000000.0,3858000000.0,1634000000.0,962000000.0,510000000.0,439000000.0,0.92,759000000.0,510000000.0,475800000.0,1144000000.0,3889000000.0,2532000000.0,8683000000.0,26579000000.0,35262000000.0,316000000.0,4805000000.0,8991000000.0,13346000000.0,18151000000.0,17111000000.0,249000000.0,12000000.0,-110000000.0,304000000.0,-229000000.0,-443000000.0,75.12
2014-06-30,5767000000.0,4025000000.0,1742000000.0,984000000.0,-54000000.0,171000000.0,0.36,196000000.0,-54000000.0,475900000.0,1265000000.0,4010000000.0,2534000000.0,8838000000.0,26420000000.0,35258000000.0,416000000.0,5543000000.0,8615000000.0,12673000000.0,18216000000.0,17042000000.0,250000000.0,633000000.0,-126000000.0,-156000000.0,-238000000.0,-635000000.0,77.18
2014-09-30,5728000000.0,3916000000.0,1812000000.0,961000000.0,688000000.0,602000000.0,1.27,932000000.0,688000000.0,474800000.0,990000000.0,3972000000.0,2498000000.0,8431000000.0,25808000000.0,34239000000.0,412000000.0,4986000000.0,8587000000.0,12608000000.0,17594000000.0,16645000000.0,244000000.0,289000000.0,-142000000.0,145000000.0,-233000000.0,-402000000.0,63.37
2014-12-31,5565000000.0,3847000000.0,1718000000.0,903000000.0,661000000.0,581000000.0,1.24,901000000.0,661000000.0,474100000.0,1026000000.0,3667000000.0,2428000000.0,8100000000.0,25429000000.0,33529000000.0,1008000000.0,5355000000.0,8024000000.0,12335000000.0,17690000000.0,15839000000.0,240000000.0,944000000.0,-254000000.0,-150000000.0,-229000000.0,-650000000.0,67.96
2015-03-31,5223000000.0,3593000000.0,1630000000.0,915000000.0,557000000.0,466000000.0,1.0,783000000.0,557000000.0,467900000.0,802000000.0,3733000000.0,2424000000.0,7940000000.0,24756000000.0,32696000000.0,1244000000.0,5666000000.0,7829000000.0,11766000000.0,17432000000.0,15264000000.0,226000000.0,77000000.0,-105000000.0,-53000000.0,-251000000.0,-127000000.0,67.94
2015-06-30,5372000000.0,3675000000.0,1697000000.0,901000000.0,638000000.0,535000000.0,1.1400000000000001,872000000.0,638000000.0,467600000.0,430000000.0,3840000000.0,2439000000.0,7644000000.0,24935000000.0,32579000000.0,842000000.0,5056000000.0,7770000000.0,11720000000.0,16776000000.0,15803000000.0,234000000.0,579000000.0,-141000000.0,-154000000.0,-263000000.0,-785000000.0,67.49
2015-09-30,5203000000.0,3597000000.0,1606000000.0,907000000.0,543000000.0,446000000.0,0.96,775000000.0,543000000.0,465100000.0,568000000.0,3656000000.0,2395000000.0,7579000000.0,24622000000.0,32201000000.0,841000000.0,5100000000.0,7830000000.0,11688000000.0,16788000000.0,15413000000.0,232000000.0,973000000.0,-122000000.0,-166000000.0,-257000000.0,-677000000.0,51.3
2015-12-31,5057000000.0,3439000000.0,1618000000.0,873000000.0,592000000.0,525000000.0,1.15,825000000.0,592000000.0,465500000.0,445000000.0,3479000000.0,2323000000.0,6616000000.0,24380000000.0,30996000000.0,242000000.0,4625000000.0,7746000000.0,11140000000.0,15765000000.0,15231000000.0,233000000.0,780000000.0,-138000000.0,-202000000.0,-255000000.0,-716000000.0,52.04
2016-03-31,4813000000.0,3291000000.0,1522000000.0,892000000.0,481000000.0,404000000.0,0.88,714000000.0,481000000.0,458600000.0,573000000.0,3581000000.0,2391000000.0,7013000000.0,24570000000.0,31583000000.0,253000000.0,5022000000.0,7572000000.0,10998000000.0,16020000000.0,15563000000.0,233000000.0,388000000.0,-111000000.0,-159000000.0,-256000000.0,-177000000.0,62.56
2016-06-30,5080000000.0,3419000000.0,1661000000.0,897000000.0,615000000.0,491000000.0,1.08,849000000.0,615000000.0,457000000.0,469000000.0,3628000000.0,2323000000.0,6826000000.0,24328000000.0,31154000000.0,252000000.0,4816000000.0,7605000000.0,10974000000.0,15790000000.0,15364000000.0,234000000.0,745000000.0,-135000000.0,-45000000.0,-265000000.0,-705000000.0,59.73
2016-09-30,4987000000.0,3371000000.0,1616000000.0,853000000.0,617000000.0,523000000.0,1.15,850000000.0,617000000.0,453900000.0,707000000.0,3659000000.0,2328000000.0,7087000000.0,24150000000.0,31237000000.0,550000000.0,4595000000.0,7881000000.0,11196000000.0,15791000000.0,15446000000.0,233000000.0,799000000.0,-100000000.0,-167000000.0,-259000000.0,-461000000.0,65.71
