,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2608874000.0,883462000.0,1725412000.0,966072000.0,394045200.0,161400000.0,0.91,866978100.0,394045200.0,178028000.0,307369000.0,1031560000.0,1147081000.0,3322873000.0,39470100000.0,42792970000.0,630622000.0,3896420000.0,11763110000.0,29589480000.0,33485890000.0,9307076000.0,472933000.0,543989000.0,-631857000.0,-661760000.0,-147902000.0,-152639000.0,63.24
2013-06-30,2738208000.0,975352000.0,1762856000.0,1055547000.0,346512200.0,163723000.0,0.92,822529200.0,346512200.0,178197000.0,348294000.0,1222433000.0,1142869000.0,3591722000.0,39670560000.0,43262290000.0,525622000.0,3983954000.0,12128150000.0,29909810000.0,33893770000.0,9368517000.0,476017000.0,571916000.0,-613002000.0,-643414000.0,147902000.0,119960000.0,69.68
2013-09-30,3351959000.0,1210799000.0,2141160000.0,1061056000.0,388894000.0,239850000.0,1.35,912929000.0,388894000.0,178284000.0,415073000.0,1267759000.0,1103528000.0,3489590000.0,39834540000.0,43324130000.0,206260000.0,3439028000.0,12308310000.0,30382650000.0,33821680000.0,9502451000.0,524035000.0,1083554000.0,-536349000.0,-752602000.0,-445031000.0,-276288000.0,63.19
2013-12-31,2691906000.0,930537000.0,1761369000.0,1106410000.0,225547600.0,146929000.0,0.8200000000000001,764638700.0,225547600.0,178211000.0,739126000.0,1172186000.0,1123964000.0,3929691000.0,39476760000.0,43406450000.0,457095000.0,4060572000.0,12171370000.0,29619410000.0,33679980000.0,9726466000.0,539091000.0,989760000.0,-375763000.0,-543817000.0,-148006000.0,-71857000.0,63.27
2014-03-31,3208843000.0,1118456000.0,2090387000.0,949722000.0,739877000.0,401174000.0,2.24,1256319000.0,739877000.0,178798000.0,908483000.0,1128192000.0,1119274000.0,4193316000.0,39683450000.0,43876770000.0,422666000.0,3917461000.0,12230250000.0,29916880000.0,33834340000.0,10042430000.0,516442000.0,767157000.0,-445024000.0,-655599000.0,-148275000.0,57799000.0,66.85
2014-06-30,2996650000.0,1121979000.0,1874671000.0,1034175000.0,454476800.0,189383000.0,1.06,980004800.0,454476800.0,179354000.0,650068000.0,1232949000.0,1109815000.0,4245133000.0,39905610000.0,44150750000.0,682666000.0,4128069000.0,11967090000.0,29866210000.0,33994280000.0,10156470000.0,525528000.0,761406000.0,-476268000.0,-735061000.0,-148953000.0,-284760000.0,82.09
2014-09-30,3458110000.0,1324007000.0,2134103000.0,1073325000.0,492858900.0,230037000.0,1.28,1036436000.0,492858900.0,179610000.0,1068509000.0,1313383000.0,1109029000.0,4264539000.0,40277110000.0,44541650000.0,1114046000.0,4453567000.0,11665020000.0,29845050000.0,34298610000.0,10243040000.0,543577000.0,1362926000.0,-575219000.0,-777781000.0,-149080000.0,-166704000.0,77.33
2014-12-31,2831318000.0,983530300.0,1847787000.0,1125599000.0,319675300.0,120127000.0,0.67,862020400.0,319676000.0,179506000.0,1422026000.0,1103255000.0,1124018000.0,4389633000.0,42024820000.0,46414450000.0,899375000.0,3848891000.0,12416420000.0,32463840000.0,36312730000.0,10101720000.0,542345000.0,998072000.0,-612580000.0,-786047000.0,-149809000.0,141492000.0,87.48
2015-03-31,2920090000.0,972476000.0,1947614000.0,992503000.0,542769000.0,298050000.0,1.6600000000000001,1068777000.0,542769000.0,179659000.0,1180546000.0,1067907000.0,1157829000.0,4139985000.0,42237550000.0,46377530000.0,896877000.0,3765425000.0,12336590000.0,32384130000.0,36149550000.0,10227980000.0,526008000.0,610958000.0,-532958000.0,-699879000.0,-149257000.0,-152559000.0,77.49
2015-06-30,2713231000.0,872631000.0,1840600000.0,1051379000.0,377383100.0,148843000.0,0.8300000000000001,921263000.0,377383100.0,179521000.0,910370000.0,1190363000.0,1150604000.0,4085050000.0,42180600000.0,46265650000.0,794777000.0,3998371000.0,12120420000.0,32015080000.0,36013450000.0,10252200000.0,543880000.0,727403000.0,-562968000.0,-670212000.0,-149002000.0,-327367000.0,70.5
