,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,28909000.0,5041000.0,23868000.0,4425000.0,8662000.0,5396000.0,0.15,19553000.0,8662000.0,37059000.0,5516000.0,19678000.0,6247000.0,34516000.0,613947000.0,648463000.0,0.0,76336000.0,36657000.0,104093000.0,180429000.0,468034000.0,10891000.0,16855000.0,-55255000.0,-74094000.0,0.0,36397000.0,26.84
2013-06-30,45394000.0,5742000.0,39652000.0,5409000.0,19383000.0,14471000.0,0.37,34363000.0,19383000.0,39402000.0,81898000.0,24369000.0,6271000.0,116536000.0,682103000.0,798639000.0,0.0,97487000.0,121000.0,73543000.0,171030000.0,627609000.0,14980000.0,32943000.0,-58389000.0,-64581000.0,0.0,108020000.0,33.32
2013-09-30,57791000.0,5225000.0,52566000.0,5674000.0,29423000.0,14596000.0,0.33,47054000.0,29423000.0,44385000.0,53100000.0,31282000.0,6228000.0,91915000.0,1373981000.0,1465896000.0,0.0,109451000.0,450085000.0,533507000.0,642958000.0,822938000.0,17631000.0,41849000.0,-91054000.0,-691497000.0,0.0,620850000.0,42.64
2013-12-31,75908000.0,6067000.0,69841000.0,8427000.0,37726000.0,20124000.0,0.45,61839000.0,37726000.0,42015000.0,15555000.0,39273000.0,5631000.0,61968000.0,1459646000.0,1521614000.0,0.0,121320000.0,460000000.0,554753000.0,676073000.0,845541000.0,24113000.0,64130000.0,-95177000.0,-109968000.0,0.0,8293000.0,52.88
2014-03-31,98004000.0,8497000.0,89507000.0,10399000.0,48063000.0,23589000.0,0.49,79494000.0,48063000.0,48447000.0,25314000.0,56578000.0,5889000.0,90653000.0,1846244000.0,1936897000.0,0.0,155211000.0,587000000.0,698777000.0,853988000.0,1082909000.0,31431000.0,71466000.0,-86977000.0,-399184000.0,0.0,337477000.0,67.31
2014-06-30,127004000.0,11199000.0,115805000.0,12488000.0,63192000.0,27753000.0,0.55,103701000.0,63192000.0,50777000.0,36993000.0,68655000.0,3308000.0,114704000.0,1932690000.0,2047394000.0,0.0,168877000.0,496000000.0,626180000.0,795057000.0,1252337000.0,40509000.0,88240000.0,-124461000.0,-124461000.0,0.0,47900000.0,88.8
2014-09-30,139127000.0,14665000.0,124462000.0,15449000.0,63516000.0,43739000.0,0.79,109445000.0,63516000.0,55152000.0,40644000.0,90228000.0,3105000.0,143261000.0,2677294000.0,2820555000.0,0.0,196286000.0,590000000.0,738423000.0,934709000.0,1885846000.0,45929000.0,92289000.0,-145622000.0,-765436000.0,0.0,676798000.0,74.78
2014-12-31,131583000.0,24311000.0,107272000.0,15568000.0,37899000.0,98674000.0,1.74,92160000.0,37899000.0,52826000.0,30683000.0,97994000.0,2827000.0,251711000.0,2843770000.0,3095481000.0,0.0,266729000.0,673500000.0,843539000.0,1110268000.0,1985213000.0,54261000.0,104394000.0,-186944900.0,-192916000.0,-2314000.0,78061000.0,59.78
2015-03-31,101401000.0,23486000.0,77915000.0,16631000.0,1437000.0,5849000.0,0.1,61744000.0,1437000.0,58386000.0,32143000.0,83210000.0,2847000.0,215372000.0,2877109000.0,3092481000.0,0.0,184030000.0,611579000.0,791934000.0,975964000.0,2116517000.0,60307000.0,99143000.0,-151555000.0,-153555000.0,-2315000.0,55872000.0,76.84
2015-06-30,119063000.0,22097000.0,96966000.0,15359000.0,-299120000.0,-212287000.0,-3.45,-241375000.0,-299120000.0,61469000.0,45178000.0,70411000.0,2658000.0,170362000.0,3001096000.0,3171458000.0,0.0,142639000.0,718000000.0,785200000.0,927839000.0,2243619000.0,57745000.0,100643000.0,-91337000.0,-526410000.0,-1759000.0,438802000.0,75.38
