,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,806326000.0,384446000.0,421880000.0,247334000.0,174759000.0,109048000.0,0.185,189937000.0,174759000.0,593286000.0,159657000.0,418733000.0,700484000.0,1376836000.0,568460000.0,1945296000.0,0.0,253097000.0,0.0,51336000.0,304433000.0,1640863000.0,15178000.0,160244000.0,-54246000.0,-54312000.0,-29662000.0,-25887000.0,25.67
2013-06-30,847596000.0,404875000.0,442721000.0,250750000.0,192214000.0,121009000.0,0.20500000000000002,208163000.0,192214000.0,593558000.0,123290000.0,436452000.0,725107000.0,1405318000.0,588125000.0,1993443000.0,0.0,236140000.0,0.0,51251000.0,287391000.0,1706052000.0,15949000.0,53621000.0,-35411000.0,-35391000.0,-59338000.0,-53902000.0,22.9
2013-09-30,858424000.0,415029000.0,443395000.0,254957000.0,188550000.0,119350000.0,0.2,204925000.0,188550000.0,593686000.0,92631000.0,453652000.0,755985000.0,1436830000.0,623589100.0,2060419000.0,0.0,259572000.0,0.0,51212000.0,310784000.0,1749635000.0,16375000.0,101408000.0,-51611000.0,-51731000.0,-74219000.0,-80789000.0,25.14
2013-12-31,813759900.0,402311100.0,411448900.0,254390000.0,157134100.0,99229000.0,0.165,173823100.0,157134000.0,593508000.0,58957000.0,414331000.0,784068000.0,1408461000.0,667323000.0,2075784000.0,0.0,239832000.0,0.0,63255000.0,303087000.0,1772697000.0,16689000.0,100847000.0,-60282000.0,-60358000.0,-74237000.0,-73865000.0,23.75
2014-03-31,876501000.0,428023000.0,448478000.0,269843000.0,178851000.0,111931000.0,0.19,196264000.0,178851000.0,593284000.0,89474000.0,473181000.0,793987000.0,1475492000.0,689614000.0,2165106000.0,0.0,301526000.0,0.0,63256000.0,364782000.0,1800324000.0,17413000.0,143298000.0,-31510000.0,-31490000.0,-74193000.0,-80849000.0,24.65
2014-06-30,949938000.0,467271000.0,482667000.0,276016000.0,206847000.0,130514000.0,0.22,224887000.0,206847000.0,593382000.0,106393000.0,502330000.0,818771000.0,1555782000.0,727191000.0,2282973000.0,0.0,351463000.0,0.0,63386000.0,414849000.0,1868124000.0,18040000.0,79631000.0,-63330000.0,-63421000.0,-74160000.0,280000.0,24.75
2014-09-30,980814000.0,482121000.0,498693000.0,286132000.0,212871000.0,133314000.0,0.225,231289000.0,212871000.0,593190000.0,116329000.0,522265000.0,836379000.0,1619405000.0,753590000.0,2372995000.0,0.0,407903000.0,0.0,63519000.0,471422000.0,1901573000.0,18418000.0,110013000.0,-44553000.0,-44054000.0,-74193000.0,-54713000.0,22.45
2014-12-31,926254200.0,458690000.0,467564100.0,278785100.0,189021500.0,118391000.0,0.2,207822500.0,189021300.0,592980000.0,114496000.0,462077000.0,869224000.0,1583265000.0,775837000.0,2359102000.0,90000000.0,375353000.0,0.0,68532000.0,443885000.0,1915217000.0,18801000.0,166450000.0,-44262000.0,-49816000.0,-74035000.0,-114450000.0,23.78
2015-03-31,953317000.0,469267000.0,484050000.0,280387000.0,203771000.0,127606000.0,0.215,223315000.0,203771000.0,590476000.0,120790000.0,521094000.0,867922000.0,1628947000.0,794990000.0,2423937000.0,0.0,492363000.0,0.0,68761000.0,561124000.0,1862813000.0,19544000.0,180105000.0,-42259000.0,-42282000.0,-82846000.0,-127180000.0,20.72
2015-06-30,997827000.0,495740000.0,502087000.0,276644000.0,225833000.0,140357000.0,0.24,245847000.0,225833000.0,582354000.0,121166000.0,537650000.0,876697000.0,1663373000.0,817559000.0,2480932000.0,0.0,396576000.0,250425000.0,320372000.0,716948000.0,1763984000.0,20014000.0,81049000.0,-41649000.0,-41646000.0,-81890000.0,-39796000.0,21.09
2015-09-30,995250000.0,493025000.0,502225000.0,282378000.0,220009000.0,136494000.0,0.23500000000000001,241346000.0,220009000.0,579836000.0,111775000.0,537055000.0,883207000.0,1672990000.0,822287000.0,2495277000.0,0.0,368280000.0,273490000.0,343506000.0,711786000.0,1783491000.0,21337000.0,140831000.0,-28858000.0,-28920000.0,-81247000.0,-116452000.0,18.31
