,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3723000000.0,1576000000.0,2147000000.0,265000000.0,648000000.0,196000000.0,0.47000000000000003,1053000000.0,648000000.0,418000000.0,67000000.0,1858000000.0,835000000.0,3499000000.0,46925000000.0,50424000000.0,4446000000.0,7132000000.0,15814000000.0,30292000000.0,37424000000.0,13000000000.0,405000000.0,50000000.0,-826000000.0,-927000000.0,-230000000.0,772000000.0,42.2
2013-06-30,3507000000.0,1494000000.0,2013000000.0,240000000.0,42000000.0,-164000000.0,-0.39,459000000.0,42000000.0,418000000.0,71000000.0,1923000000.0,806000000.0,3560000000.0,46597000000.0,50157000000.0,5206000000.0,7533000000.0,15449000000.0,29821000000.0,37354000000.0,12803000000.0,417000000.0,443000000.0,-586000000.0,-643000000.0,-230000000.0,204000000.0,37.34
2013-09-30,4032000000.0,1777000000.0,2255000000.0,242000000.0,508000000.0,218000000.0,0.52,1194000000.0,508000000.0,418000000.0,222000000.0,1810000000.0,731000000.0,3559000000.0,46824000000.0,50383000000.0,5293000000.0,7955000000.0,15291000000.0,29881000000.0,37836000000.0,12547000000.0,686000000.0,1178000000.0,-548000000.0,-705000000.0,-230000000.0,-322000000.0,36.45
2013-12-31,3630000000.0,1612000000.0,2018000000.0,231000000.0,384000000.0,142000000.0,0.34,946000000.0,384000000.0,418000000.0,218000000.0,1918000000.0,752000000.0,4013000000.0,46411000000.0,50424000000.0,4819000000.0,7637000000.0,15831000000.0,30092000000.0,37729000000.0,12695000000.0,562000000.0,991000000.0,-674000000.0,-818000000.0,690000000.0,-177000000.0,32.98
2014-03-31,4182000000.0,2072000000.0,2110000000.0,271000000.0,391000000.0,208000000.0,0.5,714000000.0,391000000.0,419000000.0,109000000.0,2087000000.0,740000000.0,4577000000.0,46651000000.0,51228000000.0,4501000000.0,7737000000.0,16804000000.0,30886000000.0,38623000000.0,12605000000.0,323000000.0,-92000000.0,-427000000.0,-515000000.0,-151000000.0,498000000.0,34.03
2014-06-30,3496000000.0,1633000000.0,1863000000.0,228000000.0,292000000.0,64000000.0,0.16,746000000.0,292000000.0,420000000.0,76000000.0,1962000000.0,802000000.0,4183000000.0,47205000000.0,51388000000.0,3339000000.0,6173000000.0,18415000000.0,32530000000.0,38703000000.0,12685000000.0,454000000.0,714000000.0,-988000000.0,-1054000000.0,-151000000.0,307000000.0,34.72
2014-09-30,3888000000.0,1732000000.0,2156000000.0,239000000.0,716000000.0,333000000.0,0.79,1120000000.0,716000000.0,420000000.0,109000000.0,1819000000.0,771000000.0,3785000000.0,47439000000.0,51224000000.0,3007000000.0,5979000000.0,18531000000.0,32541000000.0,38520000000.0,12704000000.0,404000000.0,1115000000.0,-664000000.0,-721000000.0,-150000000.0,-361000000.0,33.57
2014-12-31,3483000000.0,1559000000.0,1924000000.0,224000000.0,-337000000.0,-306000000.0,-0.73,122000000.0,-337000000.0,420000000.0,85000000.0,1779000000.0,817000000.0,3358000000.0,48290000000.0,51648000000.0,2603000000.0,5561000000.0,19176000000.0,33665000000.0,39226000000.0,12422000000.0,459000000.0,976000000.0,-839000000.0,-1069000000.0,-152000000.0,69000000.0,38.99
2015-03-31,3897000000.0,1626000000.0,2271000000.0,269000000.0,594000000.0,222000000.0,0.53,1019000000.0,594000000.0,421000000.0,90000000.0,1876000000.0,762000000.0,4011000000.0,48510000000.0,52521000000.0,3346000000.0,6262000000.0,19130000000.0,33909000000.0,40171000000.0,12350000000.0,425000000.0,193000000.0,-668000000.0,-748000000.0,-152000000.0,560000000.0,35.06
2015-06-30,3465000000.0,1372000000.0,2093000000.0,242000000.0,554000000.0,187000000.0,0.44,998000000.0,554000000.0,422000000.0,94000000.0,1771000000.0,792000000.0,4113000000.0,48892000000.0,53005000000.0,4200000000.0,6789000000.0,18570000000.0,33685000000.0,40474000000.0,12531000000.0,444000000.0,797000000.0,-818000000.0,-945000000.0,-151000000.0,152000000.0,32.55
2015-09-30,4123000000.0,1691000000.0,2432000000.0,236000000.0,908000000.0,395000000.0,0.9400000000000001,1422000000.0,908000000.0,423000000.0,86000000.0,1772000000.0,738000000.0,3833000000.0,48830000000.0,52663000000.0,3081000000.0,5876000000.0,19093000000.0,34159000000.0,40035000000.0,12628000000.0,514000000.0,1327000000.0,-539000000.0,-594000000.0,-152000000.0,-741000000.0,31.31
2015-12-31,3541000000.0,1589000000.0,1952000000.0,231000000.0,236000000.0,-226000000.0,-0.53,727000000.0,236000000.0,422000000.0,131000000.0,1595000000.0,785000000.0,3040000000.0,49054000000.0,52094000000.0,2874000000.0,5602000000.0,19099000000.0,34070000000.0,39672000000.0,12422000000.0,491000000.0,1143000000.0,-659000000.0,-835000000.0,-152000000.0,-263000000.0,31.73
2016-03-31,3869000000.0,1505000000.0,2364000000.0,280000000.0,776000000.0,328000000.0,0.78,1237000000.0,776000000.0,424000000.0,146000000.0,1594000000.0,781000000.0,3230000000.0,49465000000.0,52695000000.0,3480000000.0,6389000000.0,18878000000.0,33842000000.0,40231000000.0,12464000000.0,461000000.0,650000000.0,-698000000.0,-865000000.0,-152000000.0,230000000.0,35.97
2016-06-30,3401000000.0,1327000000.0,2074000000.0,241000000.0,-975000000.0,-1089000000.0,-2.56,-486000000.0,-975000000.0,425000000.0,199000000.0,1494000000.0,759000000.0,3076000000.0,48325000000.0,51401000000.0,4252000000.0,6759000000.0,18348000000.0,33235000000.0,39994000000.0,11407000000.0,489000000.0,822000000.0,-794000000.0,-902000000.0,-153000000.0,133000000.0,34.91
2016-09-30,3917000000.0,1429000000.0,2488000000.0,265000000.0,861000000.0,380000000.0,0.89,1388000000.0,861000000.0,425000000.0,551000000.0,1629000000.0,699000000.0,3480000000.0,48481000000.0,51961000000.0,4191000000.0,7043000000.0,18532000000.0,33415000000.0,40458000000.0,11503000000.0,527000000.0,1120000000.0,-664000000.0,-709000000.0,-153000000.0,-59000000.0,33.08
2016-12-31,-487000000.0,-380000000.0,-107000000.0,127000000.0,1392000000.0,-5796000000.0,-13.44,1889000000.0,1392000000.0,426000000.0,199000000.0,1615000000.0,564000000.0,2950000000.0,40198000000.0,43148000000.0,4360000000.0,7126000000.0,18192000000.0,29781000000.0,36907000000.0,6241000000.0,497000000.0,791000000.0,-664000000.0,-826000000.0,-153000000.0,-338000000.0,30.97
2017-03-31,2855000000.0,995000000.0,1860000000.0,242000000.0,628000000.0,205000000.0,0.46,1044000000.0,628000000.0,443000000.0,164000000.0,1551000000.0,531000000.0,2760000000.0,40452000000.0,43212000000.0,4897000000.0,7657000000.0,17762000000.0,29416000000.0,37073000000.0,6139000000.0,416000000.0,785000000.0,-588000000.0,-779000000.0,-159000000.0,-58000000.0,31.82
2017-06-30,2624000000.0,813000000.0,1811000000.0,230000000.0,574000000.0,174000000.0,0.39,987000000.0,574000000.0,444000000.0,114000000.0,1536000000.0,553000000.0,2755000000.0,40572000000.0,43327000000.0,2240000000.0,4647000000.0,20582000000.0,32360000000.0,37007000000.0,6320000000.0,413000000.0,697000000.0,-666000000.0,-736000000.0,-160000000.0,2000000.0,29.16
2017-09-30,2910000000.0,900000000.0,2010000000.0,238000000.0,733000000.0,396000000.0,0.89,1211000000.0,733000000.0,444000000.0,399000000.0,1542000000.0,543000000.0,2931000000.0,40718000000.0,43649000000.0,1576000000.0,4255000000.0,21089000000.0,32988000000.0,37243000000.0,6406000000.0,478000000.0,1280000000.0,-593000000.0,-691000000.0,-159000000.0,-325000000.0,30.83
2017-12-31,2539000000.0,715000000.0,1824000000.0,230000000.0,493000000.0,-2499000000.0,-5.62,886000000.0,493000000.0,444000000.0,639000000.0,1452000000.0,236000000.0,3110000000.0,39147000000.0,42257000000.0,858000000.0,4113000000.0,18687000000.0,34219000000.0,38332000000.0,3925000000.0,393000000.0,1046000000.0,-352000000.0,-517000000.0,-161000000.0,-321000000.0,30.62
