,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1152000000.0,712000000.0,440000000.0,229000000.0,211000000.0,117000000.0,0.2175,308000000.0,211000000.0,533600000.0,356000000.0,674000000.0,1453000000.0,8110000000.0,9563000000.0,2000000.0,1190000000.0,4047000000.0,4876000000.0,6066000000.0,3497000000.0,97000000.0,222000000.0,-58000000.0,-74000000.0,0.0,-188000000.0,21.97
2013-06-30,1198000000.0,680000000.0,518000000.0,245000000.0,273000000.0,151000000.0,0.28250000000000003,376000000.0,273000000.0,530200000.0,320000000.0,691000000.0,1454000000.0,7980000000.0,9434000000.0,2000000.0,1173000000.0,3951000000.0,4798000000.0,5971000000.0,3463000000.0,103000000.0,175000000.0,-52000000.0,64000000.0,0.0,-269000000.0,21.85
2013-09-30,1201000000.0,684000000.0,517000000.0,237000000.0,280000000.0,159000000.0,0.3025,381000000.0,280000000.0,519800000.0,321000000.0,710000000.0,1527000000.0,7929000000.0,9456000000.0,2000000.0,1228000000.0,3929000000.0,4768000000.0,5996000000.0,3460000000.0,101000000.0,284000000.0,-61000000.0,-74000000.0,0.0,-204000000.0,25.26
2013-12-31,1263000000.0,700000000.0,563000000.0,266000000.0,297000000.0,221000000.0,0.42,399000000.0,297000000.0,524800000.0,400000000.0,751000000.0,1572000000.0,7941000000.0,9513000000.0,92000000.0,1332000000.0,3756000000.0,4596000000.0,5928000000.0,3585000000.0,102000000.0,358000000.0,-65000000.0,-64000000.0,0.0,-212000000.0,29.52
2014-03-31,1234000000.0,721000000.0,513000000.0,242000000.0,271000000.0,168000000.0,0.325,371000000.0,271000000.0,508800000.0,307000000.0,752000000.0,1547000000.0,7926000000.0,9473000000.0,92000000.0,1438000000.0,3756000000.0,4592000000.0,6030000000.0,3443000000.0,100000000.0,292000000.0,-70000000.0,-70000000.0,0.0,-315000000.0,28.34
2014-06-30,1253000000.0,703000000.0,550000000.0,243000000.0,307000000.0,166000000.0,0.325,406000000.0,307000000.0,498600000.0,329000000.0,730000000.0,1525000000.0,7878000000.0,9403000000.0,92000000.0,1368000000.0,3756000000.0,4560000000.0,5928000000.0,3475000000.0,99000000.0,277000000.0,-80000000.0,-79000000.0,0.0,-176000000.0,30.16
2014-09-30,1263000000.0,705000000.0,558000000.0,243000000.0,315000000.0,239000000.0,0.47500000000000003,416000000.0,315000000.0,495200000.0,409000000.0,748000000.0,1579000000.0,7859000000.0,9438000000.0,92000000.0,1397000000.0,3756000000.0,4579000000.0,5976000000.0,3462000000.0,101000000.0,391000000.0,-75000000.0,-70000000.0,0.0,-240000000.0,32.32
2014-12-31,1316000000.0,752000000.0,564000000.0,247000000.0,317000000.0,181000000.0,0.365,421000000.0,317000000.0,497200000.0,294000000.0,798000000.0,1444000000.0,7864000000.0,9308000000.0,92000000.0,1486000000.0,3698000000.0,4527000000.0,6013000000.0,3295000000.0,104000000.0,347000000.0,-67000000.0,-67000000.0,0.0,-395000000.0,35.49
2015-03-31,1275000000.0,723000000.0,552000000.0,238000000.0,314000000.0,178000000.0,0.365,416000000.0,314000000.0,477600000.0,296000000.0,765000000.0,1498000000.0,7837000000.0,9335000000.0,95000000.0,1501000000.0,3757000000.0,4616000000.0,6117000000.0,3218000000.0,102000000.0,346000000.0,-90000000.0,-90000000.0,0.0,-254000000.0,39.7
2015-06-30,1298000000.0,710000000.0,588000000.0,262000000.0,326000000.0,127000000.0,0.265,430000000.0,326000000.0,473000000.0,530000000.0,746000000.0,1714000000.0,7874000000.0,9588000000.0,5000000.0,1336000000.0,4231000000.0,5109000000.0,6445000000.0,3143000000.0,104000000.0,254000000.0,-113000000.0,-113000000.0,0.0,93000000.0,41.42
