,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1738000000.0,107000000.0,1631000000.0,1040000000.0,591000000.0,413000000.0,0.47000000000000003,870923100.0,4690000000.0,91274000000.0,30108000000.0,121382000000.0,0.0,96048000000.0,8320000000.0,11414000000.0,107462000000.0,13920000000.0,137000000.0,1225000000.0,-88000000.0,-316000000.0,-88000000.0,-1164000000.0,16.31
2013-06-30,2044000000.0,104000000.0,1940000000.0,1099000000.0,841000000.0,582000000.0,0.6900000000000001,858582700.0,3718000000.0,91163000000.0,32197000000.0,123360000000.0,0.0,97821000000.0,6940000000.0,11262000000.0,109083000000.0,14277000000.0,139000000.0,1366000000.0,-122000000.0,-1591000000.0,-96000000.0,429000000.0,18.05
2013-09-30,1713000000.0,99000000.0,1614000000.0,1010000000.0,604000000.0,421000000.0,0.47000000000000003,880183000.0,5755000000.0,92639000000.0,33034000000.0,125673000000.0,0.0,99530000000.0,8098000000.0,11463000000.0,110993000000.0,14680000000.0,134000000.0,1236000000.0,-128000000.0,-3453000000.0,-102000000.0,2714000000.0,18.05
2013-12-31,1705000000.0,102000000.0,1603000000.0,1041000000.0,562000000.0,383000000.0,0.44,869463000.0,8637000000.0,96613000000.0,33830000000.0,130443000000.0,0.0,102697000000.0,9633000000.0,13120000000.0,115817000000.0,14626000000.0,97000000.0,768000000.0,-109000000.0,-4824000000.0,-107000000.0,4347000000.0,21.03
2014-03-31,1557000000.0,100000000.0,1457000000.0,1019000000.0,438000000.0,309000000.0,0.36,845860000.0,5702000000.0,94704000000.0,34950000000.0,129654000000.0,0.0,101528000000.0,11233000000.0,13262000000.0,114790000000.0,14864000000.0,98000000.0,340000000.0,-60000000.0,-632000000.0,-103000000.0,267000000.0,22.96
2014-06-30,1744000000.0,108000000.0,1636000000.0,1030000000.0,606000000.0,412000000.0,0.49,838492000.0,6059000000.0,95767000000.0,36795000000.0,132562000000.0,0.0,101075000000.0,13961000000.0,15979000000.0,117054000000.0,15508000000.0,102000000.0,625000000.0,-14000000.0,-2552000000.0,-101000000.0,2086000000.0,21.35
2014-09-30,1538000000.0,115000000.0,1423000000.0,959000000.0,464000000.0,328000000.0,0.39,829392000.0,7151000000.0,97002000000.0,37186000000.0,134188000000.0,0.0,101876000000.0,14336000000.0,16869000000.0,118745000000.0,15443000000.0,107000000.0,590000000.0,-120000000.0,-1736000000.0,-110000000.0,959000000.0,20.02
2014-12-31,1664000000.0,128000000.0,1536000000.0,1016000000.0,520000000.0,353000000.0,0.44,833116300.0,11365000000.0,101388000000.0,37318000000.0,138706000000.0,0.0,105432000000.0,14967000000.0,17609000000.0,123041000000.0,15665000000.0,107000000.0,521000000.0,-64000000.0,-4018000000.0,-109000000.0,3463000000.0,20.38
2015-03-31,1600000000.0,123000000.0,1477000000.0,992000000.0,485000000.0,343000000.0,0.45,810209600.0,8231000000.0,98899000000.0,41571000000.0,140470000000.0,0.0,107007000000.0,14055000000.0,17559000000.0,124566000000.0,15904000000.0,107000000.0,503000000.0,-49000000.0,-1031000000.0,-107000000.0,357000000.0,18.85
2015-06-30,1559000000.0,116000000.0,1443000000.0,1026000000.0,417000000.0,289000000.0,0.36,803965000.0,6606000000.0,99011000000.0,42647000000.0,141658000000.0,0.0,109143000000.0,13521000000.0,16877000000.0,126020000000.0,15638000000.0,114000000.0,447000000.0,-24000000.0,-2088000000.0,-106000000.0,1506000000.0,20.82
