,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,193651000.0,13861000.0,179790000.0,70908000.0,94253000.0,64662000.0,0.8,108882000.0,94253000.0,81222000.0,273960000.0,1011464000.0,1318066000.0,1572318000.0,2890384000.0,0.0,1239829000.0,491988000.0,667542000.0,1907371000.0,983013000.0,14629000.0,-13690000.0,-4762000.0,-99535000.0,0.0,63591000.0,76.67
2013-06-30,220869000.0,19555000.0,201314000.0,76350000.0,109074000.0,73099000.0,0.9,124963000.0,109074000.0,81573000.0,341379000.0,1029675000.0,1405818000.0,1607271000.0,3013089000.0,0.0,1300576000.0,485997000.0,662499000.0,1963075000.0,1050014000.0,15889000.0,96402000.0,-5346000.0,-67529000.0,0.0,46493000.0,81.3
2013-09-30,225150000.0,16944000.0,208206000.0,78891000.0,111255000.0,78620000.0,0.96,129316000.0,111255000.0,81974000.0,395697000.0,1055901000.0,1490524000.0,1984581000.0,3475105000.0,0.0,1596960000.0,479082000.0,704243000.0,2301203000.0,1173902000.0,18061000.0,125299000.0,-5240000.0,-225255000.0,0.0,143521000.0,110.16
2013-12-31,255501000.0,17783000.0,237718000.0,107510000.0,106050000.0,68120000.0,0.8300000000000001,130208000.0,106050000.0,81793000.0,386349000.0,922351000.0,1353512000.0,2578723000.0,3932235000.0,0.0,1908898000.0,474939000.0,779444000.0,2688342000.0,1243893000.0,24158000.0,167674000.0,-5437000.0,-356809000.0,0.0,182120000.0,117.17
2014-03-31,253908000.0,17623000.0,236285000.0,97731000.0,114136000.0,75109000.0,0.91,138554000.0,114136000.0,82737000.0,330214000.0,1076253000.0,1471409000.0,2565308000.0,4036717000.0,0.0,1910093000.0,459916000.0,760444000.0,2670537000.0,1366180000.0,24418000.0,51494000.0,-5584000.0,-24876000.0,0.0,-80893000.0,115.1
2014-06-30,273502000.0,20327000.0,253175000.0,94262000.0,134484000.0,88549000.0,1.07,158913000.0,134484000.0,82996000.0,343795000.0,1112927000.0,1523054000.0,2730311000.0,4253365000.0,0.0,2027988000.0,450207000.0,749857000.0,2777845000.0,1475520000.0,24429000.0,106227000.0,-5968000.0,-176526000.0,0.0,82675000.0,131.8
2014-09-30,295283000.0,25014000.0,270269000.0,100348000.0,144207000.0,95509000.0,1.1400000000000001,169921000.0,144207000.0,83611000.0,346457000.0,1109262000.0,1504675000.0,2719765000.0,4224440000.0,0.0,1928690000.0,434820000.0,736943000.0,2665633000.0,1558807000.0,25714000.0,159771000.0,-6727000.0,-78796000.0,0.0,-57975000.0,142.12
2014-12-31,376697000.0,33290000.0,343407000.0,162486000.0,172622000.0,109540000.0,1.25,211362000.0,172622000.0,84317000.0,612213000.0,1348797000.0,2137350000.0,6387351000.0,8524701000.0,0.0,2896618000.0,2168953000.0,3009521000.0,5906139000.0,2618562000.0,38740000.0,290842000.0,-8791000.0,-2313889000.0,0.0,2218458000.0,148.71
2015-03-31,416166000.0,27326000.0,388840000.0,177409000.0,163774000.0,94153000.0,1.03,213600000.0,163774000.0,91750000.0,508955000.0,1452474000.0,2109265000.0,6395458000.0,8504724000.0,0.0,2756279000.0,2139704000.0,2968271000.0,5724550000.0,2780174000.0,49826000.0,67403000.0,-8105000.0,-8956000.0,0.0,-142641000.0,150.92
2015-06-30,404605000.0,21725000.0,382880000.0,165249000.0,169151000.0,98678000.0,1.07,219751000.0,169151000.0,91904000.0,513529000.0,1575477000.0,2201006000.0,6373665000.0,8574671000.0,0.0,2721600000.0,2112245000.0,2946067000.0,5667667000.0,2907004000.0,50600000.0,131009000.0,-8129000.0,-15232000.0,0.0,-110695000.0,156.06
