,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,910700000.0,557100000.0,353600000.0,121900000.0,203700000.0,130400000.0,0.9500000000000001,232300000.0,203700000.0,137133000.0,82600000.0,1223100000.0,678900000.0,2285300000.0,2162700000.0,4448000000.0,43200000.0,987700000.0,1233900000.0,1977100000.0,2964800000.0,1483200000.0,28600000.0,-44500000.0,-37700000.0,-55200000.0,-18700000.0,105300000.0,49.46
2013-06-30,876000000.0,548500000.0,327500000.0,127300000.0,172500000.0,118000000.0,0.87,201400000.0,172500000.0,136328000.0,77400000.0,1092100000.0,661200000.0,2182700000.0,2167000000.0,4349700000.0,308200000.0,1268900000.0,762400000.0,1482200000.0,2751100000.0,1598600000.0,28900000.0,277600000.0,-45600000.0,-57500000.0,-18400000.0,-224400000.0,52.96
2013-09-30,957400000.0,653000000.0,304400000.0,124900000.0,150500000.0,17700000.0,0.13,184700000.0,150500000.0,134146000.0,109600000.0,1179600000.0,707700000.0,2610700000.0,2320100000.0,4930800000.0,942400000.0,2066500000.0,771800000.0,1490700000.0,3557200000.0,1373600000.0,34200000.0,116100000.0,-74200000.0,-457800000.0,-18500000.0,372800000.0,62.2
2013-12-31,1130700000.0,775800000.0,354900000.0,141700000.0,179600000.0,27100000.0,0.2,175900000.0,179600000.0,133300000.0,123200000.0,1484300000.0,688400000.0,2945000000.0,2290200000.0,5235200000.0,697800000.0,1986700000.0,1154100000.0,1676400000.0,3663100000.0,1572100000.0,-3700000.0,-20500000.0,-5400000.0,-82700000.0,-18000000.0,117500000.0,65.45
2014-03-31,756900000.0,463900000.0,293000000.0,114600000.0,149600000.0,65400000.0,0.49,173500000.0,149600000.0,133139000.0,92500000.0,1568300000.0,702800000.0,2752500000.0,2338200000.0,5090700000.0,658500000.0,1726700000.0,1154000000.0,1676600000.0,3403300000.0,1687400000.0,23900000.0,-96800000.0,-63300000.0,123600000.0,-18000000.0,-56700000.0,66.4
2014-06-30,794900000.0,478800000.0,316100000.0,119600000.0,150200100.0,109100000.0,0.8200000000000001,174200100.0,150200100.0,133339000.0,114400000.0,1500000000.0,738200000.0,2752000000.0,2375300000.0,5127300000.0,544200000.0,1692900000.0,1153700000.0,1666000000.0,3358900000.0,1768400000.0,24000000.0,211400000.0,-37900000.0,-48400000.0,-20000000.0,-141500000.0,61.74
2014-09-30,819100000.0,535600000.0,283500000.0,140700000.0,105800000.0,56100000.0,0.42,128800000.0,105800000.0,133409000.0,124300000.0,1572600000.0,754500000.0,2857300000.0,2393800000.0,5251100000.0,580400000.0,1741500000.0,1151900000.0,1725300000.0,3466800000.0,1784300000.0,23000000.0,87100000.0,-41800000.0,-74600000.0,-20100000.0,-1400000.0,49.6
2014-12-31,1092200000.0,727000000.0,365200000.0,229400000.0,85899900.0,76500000.0,0.5700000000000001,108499900.0,85899900.0,133500000.0,109500000.0,1602500000.0,607600000.0,2934400000.0,2391600000.0,5326000000.0,525200000.0,1910400000.0,1138900000.0,1851600000.0,3762000000.0,1564000000.0,22600000.0,172000000.0,-39000000.0,-35900000.0,-20000000.0,-150300000.0,49.46
2015-03-31,659400000.0,408700000.0,250700000.0,297900000.0,-96100000.0,-46800000.0,-0.35000000000000003,-73300000.0,-96100000.0,133577000.0,105200000.0,1537400000.0,640800000.0,3329600000.0,1982100000.0,5311700000.0,907300000.0,2015600000.0,1150900000.0,1826700000.0,3842300000.0,1469400000.0,22800000.0,-297200000.0,-36600000.0,-69800000.0,-20100000.0,364800000.0,49.65
2015-06-30,887100000.0,581300000.0,305800000.0,156000000.0,100500000.0,742300000.0,5.54,131900000.0,100500000.0,133714000.0,477500000.0,1865500000.0,1041100000.0,3805700000.0,3269500000.0,7075200000.0,268300000.0,1980600000.0,2050900000.0,2886300000.0,4866900000.0,2208300000.0,31400000.0,124600000.0,-27000000.0,419400000.0,-22100000.0,-170900000.0,45.58
