,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2019-03-31,2752000000.0,1660000000.0,1092000000.0,336000000.0,698000000.0,529000000.0,0.85,766000000.0,698000000.0,621000000.0,2818000000.0,1949000000.0,1074000000.0,5964000000.0,11693000000.0,17657000000.0,0.0,1297000000.0,6750000000.0,7749000000.0,9046000000.0,8611000000.0,68000000.0,1588000000.0,-59000000.0,-60000000.0,-6511000000.0,-661000000.0,36.71
2019-06-30,2513000000.0,1358000000.0,1155000000.0,455000000.0,640000000.0,454000000.0,0.73,709000000.0,640000000.0,621000000.0,3234000000.0,1967000000.0,1129000000.0,6478000000.0,13031000000.0,19509000000.0,0.0,1712000000.0,6751000000.0,7839000000.0,9551000000.0,9958000000.0,69000000.0,900000000.0,-88000000.0,-326000000.0,-155000000.0,-158000000.0,36.64
2019-09-30,2667000000.0,1468000000.0,1199000000.0,352000000.0,797000000.0,499000000.0,0.8,856000000.0,797000000.0,622000000.0,3340000000.0,2108000000.0,1463000000.0,7049000000.0,13485000000.0,20534000000.0,0.0,1890000000.0,6752000000.0,8314000000.0,10204000000.0,10330000000.0,59000000.0,202000000.0,-39000000.0,-40000000.0,-14000000.0,-56000000.0,31.53
2019-12-31,3778000000.0,3091000000.0,687000000.0,431000000.0,199000000.0,300000000.0,0.48,261000000.0,199000000.0,617000000.0,1991000000.0,2733000000.0,1544000000.0,6398000000.0,14052000000.0,20450000000.0,142000000.0,1816000000.0,6753000000.0,8281000000.0,10097000000.0,10353000000.0,62000000.0,-458000000.0,-71000000.0,-309000000.0,-155000000.0,-582000000.0,37.07
2020-03-31,3440000000.0,2061000000.0,1379000000.0,464000000.0,858000000.0,78000000.0,0.13,920000000.0,858000000.0,608000000.0,3196000000.0,2453000000.0,971000000.0,6744000000.0,13493000000.0,20237000000.0,134000000.0,1780000000.0,6754000000.0,8324000000.0,10104000000.0,10133000000.0,62000000.0,1601000000.0,-82000000.0,-48000000.0,-152000000.0,-348000000.0,23.63
2020-06-30,2418000000.0,1187000000.0,1231000000.0,494000000.0,643000000.0,122000000.0,0.2,742000000.0,643000000.0,613000000.0,4645000000.0,1888000000.0,856000000.0,7486000000.0,14264000000.0,21750000000.0,122000000.0,1906000000.0,7946000000.0,9733000000.0,11639000000.0,10111000000.0,99000000.0,1020000000.0,-167000000.0,-703000000.0,-14000000.0,1132000000.0,26.82
2020-09-30,2717000000.0,1168000000.0,1549000000.0,388000000.0,1093000000.0,1106000000.0,1.83,1166000000.0,1093000000.0,603000000.0,5061000000.0,1997000000.0,1271000000.0,8463000000.0,14034000000.0,22497000000.0,104000000.0,2012000000.0,7947000000.0,9679000000.0,11691000000.0,10806000000.0,73000000.0,267000000.0,-117000000.0,-149000000.0,-15000000.0,298000000.0,27.83
2020-12-31,4087000000.0,3346000000.0,741000000.0,442000000.0,229000000.0,224000000.0,0.37,305000000.0,229000000.0,595000000.0,4502000000.0,2776000000.0,1020000000.0,8440000000.0,14314000000.0,22754000000.0,92000000.0,2213000000.0,7949000000.0,9620000000.0,11833000000.0,10921000000.0,76000000.0,-30000000.0,-125000000.0,-180000000.0,-161000000.0,-349000000.0,29.12
2021-03-31,3215000000.0,1885000000.0,1330000000.0,437000000.0,815000000.0,567000000.0,0.96,899000000.0,815000000.0,589000000.0,5765000000.0,2153000000.0,685000000.0,8694000000.0,14213000000.0,22907000000.0,749000000.0,2985000000.0,7201000000.0,8838000000.0,11823000000.0,11084000000.0,84000000.0,1629000000.0,-91000000.0,0.0,-6000000.0,-366000000.0,36.11
2021-06-30,2890000000.0,1638000000.0,1252000000.0,540000000.0,628000000.0,253000000.0,0.43,717000000.0,628000000.0,591000000.0,5886000000.0,2029000000.0,729000000.0,8749000000.0,14177000000.0,22926000000.0,749000000.0,3002000000.0,7202000000.0,8799000000.0,11801000000.0,11125000000.0,89000000.0,773000000.0,-151000000.0,-199000000.0,-148000000.0,-453000000.0,37.13
