,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,396014000.0,25697000.0,370317000.0,186156000.0,177305000.0,114777000.0,0.88,130846000.0,552937000.0,28804870000.0,6278037000.0,35082900000.0,0.0,27663110000.0,3503143000.0,3901884000.0,31565000000.0,3517906000.0,-14449000.0,-103228000.0,-19174000.0,-741623000.0,0.0,795424000.0,38.62
2013-06-30,394994000.0,29652000.0,365342000.0,194869000.0,163830000.0,102764000.0,0.79,131102000.0,591901000.0,30939500000.0,6373238000.0,37312740000.0,0.0,28598640000.0,4399126000.0,4926977000.0,33525620000.0,3787123000.0,-13862000.0,416305000.0,-11981000.0,-2375613000.0,-15880000.0,1998209000.0,38.48
2013-09-30,399682000.0,37840000.0,361842000.0,195268000.0,160144000.0,101359000.0,0.77,131436000.0,1954100000.0,34282500000.0,6668319000.0,40950820000.0,0.0,31290370000.0,5196999000.0,5781654000.0,37072020000.0,3878797000.0,-11837000.0,83599000.0,-15851000.0,-2214455000.0,-15934000.0,3473845000.0,46.63
2013-12-31,409677900.0,38654000.0,371023900.0,202526000.0,162279900.0,102499000.0,0.78,131326000.0,807985000.0,34714290000.0,7398477000.0,42112760000.0,0.0,32082720000.0,5193132000.0,5870000000.0,37952710000.0,4160047000.0,-7872000.0,165545000.0,-13574000.0,-2268402000.0,-16000000.0,976015000.0,52.35
2014-03-31,418323000.0,36608000.0,381715000.0,218582000.0,157129000.0,100815000.0,0.76,132880000.0,1791111000.0,36732990000.0,7612903000.0,44345900000.0,0.0,33567940000.0,5691743000.0,6283924000.0,39851860000.0,4494035000.0,-2964000.0,17393000.0,-8118000.0,-1260053000.0,-16044000.0,2196997000.0,53.99
2014-06-30,447141000.0,37090000.0,410051000.0,238736000.0,165523000.0,106943000.0,0.78,137279000.0,1751117000.0,38082040000.0,8147309000.0,46229340000.0,0.0,35034480000.0,5986586000.0,6604805000.0,41639290000.0,4590059000.0,-4571000.0,107764000.0,-8639000.0,-1856515000.0,-19375000.0,1737546000.0,54.99
2014-09-30,481067000.0,40407000.0,440660000.0,246312000.0,188768000.0,122122000.0,0.89,137661000.0,1372828000.0,38042620000.0,8638304000.0,46680920000.0,0.0,35607410000.0,5712685000.0,6387838000.0,41995250000.0,4685675000.0,1341000.0,156598000.0,-11124000.0,-809640000.0,-19511000.0,274753000.0,49.38
2014-12-31,454833000.0,38144000.0,416689000.0,252858000.0,158463000.0,101570000.0,0.74,136420000.0,817250000.0,38689730000.0,9660477000.0,48350200000.0,0.0,37130930000.0,5707423000.0,6440806000.0,43571730000.0,4778467000.0,1992000.0,234453000.0,-14189000.0,-2260556000.0,-19545000.0,1470525000.0,52.12
2015-03-31,459822000.0,36884000.0,422938000.0,262405000.0,155378000.0,102023000.0,0.73,138839000.0,1644634000.0,40496000000.0,10570460000.0,51066460000.0,0.0,39939190000.0,5354376000.0,6052273000.0,45991460000.0,5074997000.0,4552000.0,67731000.0,-7805000.0,-1878658000.0,-19556000.0,2638311000.0,57.09
2015-06-30,492191000.0,36891000.0,455300000.0,275179000.0,175180000.0,116934000.0,0.8200000000000001,141927000.0,1371129000.0,42263950000.0,10854620000.0,53118570000.0,0.0,41987570000.0,5152877000.0,5865943000.0,47853510000.0,5265066000.0,7918000.0,225587000.0,-13449000.0,-2391358000.0,-21522000.0,1889116000.0,63.03
2015-09-30,505775000.0,37147000.0,468628000.0,285668000.0,178229000.0,119528000.0,0.84,142152000.0,1795880000.0,44147510000.0,11227710000.0,55375220000.0,0.0,44442950000.0,4777680000.0,5548102000.0,49991050000.0,5384174000.0,5701000.0,239717000.0,-9695000.0,-1852087000.0,-21674000.0,2040271000.0,62.77
2015-12-31,531357000.0,36507000.0,494850000.0,306036000.0,181881000.0,124732000.0,0.87,141689000.0,1131210000.0,45002400000.0,13978880000.0,58981290000.0,0.0,47993460000.0,4426802000.0,5282137000.0,53275600000.0,5705683000.0,8691000.0,94223000.0,-21765000.0,-4151707000.0,-21684000.0,3392816000.0,66.06
2016-03-31,554803000.0,35238000.0,519565000.0,317025000.0,195879000.0,141035000.0,0.91,145963000.0,1946247000.0,47119160000.0,14983340000.0,62102510000.0,0.0,51035250000.0,4226107000.0,5082530000.0,56117790000.0,5984725000.0,10789000.0,127769000.0,-15968000.0,-2249783000.0,-22187000.0,2937051000.0,66.64
2016-06-30,572869000.0,37794000.0,535075000.0,327896000.0,200793000.0,147621000.0,1.0,147208000.0,1564157000.0,49331940000.0,15397920000.0,64729860000.0,0.0,52111240000.0,5474754000.0,6312407000.0,58423650000.0,6306213000.0,15339000.0,101360000.0,-19765000.0,-2946845000.0,-23808000.0,2463395000.0,69.99
2016-09-30,601585000.0,43710000.0,557875000.0,349620000.0,202139000.0,154441000.0,1.03,149800000.0,1387067000.0,51464070000.0,16529480000.0,67993550000.0,0.0,55261700000.0,5412065000.0,6287352000.0,61549050000.0,6444498000.0,11873000.0,316396000.0,-21107000.0,-3527858000.0,-24458000.0,3034372000.0,77.11
2016-12-31,646428100.0,46969000.0,599459100.0,389837000.0,209622100.0,161742000.0,1.06,148752000.0,2107722000.0,54216870000.0,19060910000.0,73277770000.0,0.0,58702380000.0,6711308000.0,7666739000.0,66369120000.0,6908652000.0,18121000.0,306960000.0,-29908000.0,-4606134000.0,-24498000.0,5019932000.0,92.14
2017-03-31,653954000.0,52810000.0,601144000.0,387627000.0,213517000.0,161622000.0,1.04,155012000.0,2756485000.0,56551930000.0,19952420000.0,76504350000.0,0.0,61307250000.0,7100287000.0,8108358000.0,69415610000.0,7088745000.0,21681000.0,258433000.0,-44809000.0,-2594833000.0,-25184000.0,2985063000.0,93.81
2017-06-30,708527000.0,67191000.0,641336100.0,421038000.0,220298000.0,172256000.0,1.1,157302000.0,2295125000.0,59919240000.0,21058990000.0,80978230000.0,0.0,63443710000.0,9243278000.0,10274440000.0,73718150000.0,7260083000.0,18579000.0,244090000.0,-42090000.0,-4953924000.0,-27193000.0,4248574000.0,100.1
2017-09-30,756500000.0,86214000.0,670286000.0,428472000.0,241814000.0,185737000.0,1.18,157752000.0,2681599000.0,62522830000.0,21797270000.0,84320090000.0,0.0,65886330000.0,9971293000.0,11005830000.0,76892150000.0,7427946000.0,23804000.0,290155000.0,-38326000.0,-3023283000.0,-27361000.0,3119603000.0,104.46
2017-12-31,793097800.0,93940000.0,699157800.0,462585000.0,236572800.0,180005000.0,1.12,157624000.0,2297021000.0,64859000000.0,22921510000.0,87780510000.0,0.0,69018710000.0,9971807000.0,10943500000.0,79962200000.0,7818301000.0,27890000.0,219460000.0,-41481000.0,-3912050000.0,-27811000.0,3308010000.0,86.64
2018-03-31,821576000.0,100716000.0,720860000.0,474581000.0,246279000.0,186861000.0,1.16,161752000.0,3839931000.0,69339480000.0,20884030000.0,90223510000.0,0.0,71255070000.0,10172330000.0,11131900000.0,82386970000.0,7836538000.0,26077000.0,268717000.0,-26293000.0,-969211000.0,-28002000.0,2243404000.0,92.61
2018-06-30,866860000.0,122746000.0,744114000.0,491927000.0,252187100.0,197618000.0,1.22,162152000.0,3993226000.0,72789490000.0,21061960000.0,93851460000.0,0.0,73371950000.0,11322850000.0,12203540000.0,85575480000.0,8275973000.0,28013000.0,77265000.0,-36509000.0,-3403179000.0,-29697000.0,3479209000.0,96.79
2018-09-30,914413000.0,145584000.0,768829000.0,502632000.0,266197100.0,196434000.0,1.2,163048000.0,3013645000.0,75200500000.0,20893720000.0,96094220000.0,0.0,74859250000.0,11273380000.0,12568280000.0,87427530000.0,8666687000.0,29408000.0,800062000.0,-36444000.0,-3373303000.0,-29861000.0,1593660000.0,96.0
2018-12-31,972201800.0,161452000.0,810749900.0,523671100.0,287078700.0,215190000.0,1.31,162948000.0,2811159000.0,78336380000.0,20868830000.0,99205200000.0,0.0,79163230000.0,10373910000.0,11364190000.0,90527430000.0,8677777000.0,30865000.0,-34840000.0,-34629000.0,-3316327000.0,-30283000.0,3148677000.0,86.9
2019-03-31,979335000.0,171979000.0,807356000.0,539012000.0,268344100.0,213804000.0,1.28,167112000.0,3693396000.0,80515250000.0,21331980000.0,101847200000.0,0.0,81612120000.0,9674442000.0,11189130000.0,92801240000.0,9045984000.0,29705000.0,240242000.0,-33748000.0,-1217874000.0,-30715000.0,1859869000.0,100.46
2019-06-30,1031082000.0,211706000.0,819376000.0,550054000.0,269322000.0,209776000.0,1.25,167685000.0,2220073000.0,83997090000.0,21702540000.0,105699600000.0,0.0,83431090000.0,11074950000.0,13048910000.0,96479990000.0,9219643000.0,31949000.0,388044000.0,-36534000.0,-4993324000.0,-32434000.0,3131957000.0,97.65
2019-09-30,1051983000.0,214791000.0,837192000.0,550661000.0,286531000.0,222057000.0,1.32,168272000.0,2181600000.0,88032640000.0,22996100000.0,111028700000.0,0.0,86495520000.0,12175280000.0,15102010000.0,101597500000.0,9431206000.0,36208000.0,1173918000.0,-50734000.0,-5318172000.0,-32444000.0,4105783000.0,96.7
2019-12-31,1093600000.0,216524000.0,877076100.0,568273000.0,308803100.0,235363000.0,1.4,168000000.0,1699557000.0,92023590000.0,24240040000.0,116263600000.0,0.0,90933240000.0,13475600000.0,15479280000.0,106412500000.0,9851107000.0,40138000.0,-863204000.0,-46984000.0,-5505630000.0,-32407000.0,5887391000.0,117.45
2020-03-31,1120165000.0,203989000.0,916176000.0,644387000.0,271789100.0,205666000.0,1.2,170835000.0,3949378000.0,99047410000.0,24867520000.0,123914900000.0,2900000000.0,93692340000.0,18022730000.0,19862830000.0,113555200000.0,10359760000.0,40500000.0,231553000.0,-38886000.0,-5527879000.0,-33275000.0,7546147000.0,82.28
2020-06-30,1074993000.0,156012000.0,918981100.0,589300000.0,318406000.0,241951000.0,1.4100000000000001,171627000.0,3099170000.0,102844100000.0,25459820000.0,128303900000.0,1505000000.0,98538960000.0,17178210000.0,19189000000.0,117728000000.0,10575930000.0,43132000.0,112590000.0,-29413000.0,-4882881000.0,-35075000.0,3920083000.0,105.99
2020-09-30,1132959000.0,131696000.0,1001263000.0,636748000.0,364515000.0,278321000.0,1.62,172142000.0,3691149000.0,107881700000.0,25344060000.0,133225800000.0,105000000.0,104408400000.0,15278830000.0,17472790000.0,121881200000.0,11344610000.0,40906000.0,74365000.0,-32545000.0,-3901860000.0,-35057000.0,4419470000.0,109.06
2020-12-31,1179883000.0,99303000.0,1080580000.0,712565000.0,368014800.0,279062000.0,1.6099999999999999,172000000.0,5095000000.0,117047000000.0,25455000000.0,142502000000.0,5292000000.0,114929000000.0,13529000000.0,15822000000.0,130751000000.0,11751000000.0,41462000.0,112492000.0,-48156000.0,-7542380000.0,-35593000.0,8833300000.0,146.93
2021-03-31,1218000000.0,83000000.0,1135000000.0,706000000.0,429000000.0,316000000.0,1.81,175000000.0,8889492000.0,126352100000.0,29445880000.0,155798000000.0,3905000000.0,127907000000.0,12280090000.0,14949280000.0,142856200000.0,12941730000.0,43000000.0,-468000000.0,-46000000.0,-8324000000.0,-36000000.0,12586000000.0,166.75
2021-06-30,1304000000.0,75000000.0,1229000000.0,778000000.0,451000000.0,350000000.0,1.98,176000000.0,7876952000.0,130360400000.0,31286340000.0,161646700000.0,2400000000.0,134656800000.0,10775730000.0,13715170000.0,148372000000.0,13274730000.0,49000000.0,152000000.0,-44000000.0,-6305000000.0,-39000000.0,5141000000.0,187.17
2021-09-30,1369000000.0,66000000.0,1303000000.0,832000000.0,471000000.0,345000000.0,1.94,178000000.0,12279450000.0,139990100000.0,32580370000.0,172570500000.0,1100000000.0,145326300000.0,9476370000.0,12442360000.0,157768700000.0,14801790000.0,48000000.0,539000000.0,-48000000.0,-6606000000.0,-40000000.0,10469000000.0,192.88
2021-12-31,1414000000.0,47000000.0,1367000000.0,890000000.0,477000000.0,368000000.0,2.05,177000000.0,12947000000.0,147209000000.0,33878000000.0,181087000000.0,664000000.0,156321000000.0,5477000000.0,8868000000.0,165189000000.0,15898000000.0,44000000.0,1162112000.0,-60000000.0,-8088679000.0,-40000000.0,7593874000.0,206.51
