,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,755205000.0,585879000.0,169326000.0,74465000.0,61207000.0,59142000.0,0.68,117822000.0,61207000.0,87206000.0,1011746000.0,759262000.0,388509000.0,3109926000.0,3184499000.0,6294425000.0,61106000.0,1533441000.0,501111000.0,1087002000.0,2620443000.0,3673982000.0,56615000.0,66455000.0,-71667000.0,-141600000.0,0.0,21355000.0,26.96
2013-06-30,519760000.0,379662000.0,140098000.0,66265000.0,39096000.0,33598000.0,0.38,95541000.0,39096000.0,89201000.0,1285272000.0,653018000.0,334261000.0,3601279000.0,3266847000.0,6868126000.0,61194000.0,1854795000.0,194570000.0,856593000.0,2711388000.0,4156738000.0,56445000.0,222373000.0,-85189000.0,-296020000.0,0.0,155866000.0,44.81
2013-09-30,1265587000.0,901553000.0,364034100.0,63870000.0,207904100.0,195038000.0,1.98,267828100.0,207904100.0,98720000.0,1531884000.0,584514000.0,311700000.0,3596566000.0,3266144000.0,6862710000.0,60329000.0,1636186000.0,168885000.0,807149000.0,2443335000.0,4419375000.0,59924000.0,375092000.0,-69504000.0,-56124000.0,0.0,-58340000.0,40.21
2013-12-31,769063900.0,577889900.0,191174000.0,65661000.0,62199800.0,62940000.0,0.66,123585800.0,62199900.0,93697000.0,1764174000.0,657706000.0,388951000.0,3792764000.0,3090738000.0,6883502000.0,60543000.0,1588061000.0,162780000.0,792324000.0,2380385000.0,4503117000.0,61386000.0,192206000.0,60187000.0,-43362000.0,0.0,-17717000.0,54.64
2014-03-31,950158000.0,713447000.0,236711000.0,58664000.0,139274000.0,112007000.0,1.12,199994000.0,139274000.0,99591000.0,1379227000.0,765912000.0,387050000.0,3036037000.0,3340316000.0,6376353000.0,60656000.0,997934000.0,138229000.0,745030000.0,1742964000.0,4633389000.0,60720000.0,-318176000.0,-50813000.0,-20381000.0,0.0,-13878000.0,69.79
2014-06-30,544353000.0,451628000.0,92725000.0,57667000.0,1908000.0,4528000.0,0.05,64500000.0,1908000.0,100148000.0,1348867000.0,802811000.0,385247000.0,3170269000.0,3441746000.0,6612015000.0,60838000.0,1211243000.0,133836000.0,732817000.0,1944060000.0,4667955000.0,62592000.0,118380000.0,-62408000.0,-229463000.0,0.0,-12776000.0,71.06
2014-09-30,890288000.0,700886000.0,189402000.0,66528000.0,83875000.0,89833000.0,0.88,143702000.0,83875000.0,100197000.0,1115398000.0,821696000.0,445201000.0,3253026000.0,3186928000.0,6439954000.0,54607000.0,918672000.0,163646000.0,728065000.0,1646737000.0,4793217000.0,59827000.0,-47211000.0,-71028000.0,-198954000.0,0.0,30244000.0,65.81
2014-12-31,1006388000.0,700285200.0,306102700.0,70968000.0,196942100.0,189596000.0,1.9100000000000001,259601100.0,196942000.0,100048000.0,1991086000.0,212405000.0,505088000.0,3077654000.0,3643337000.0,6720991000.0,51399000.0,1000539000.0,162074000.0,728965000.0,1729504000.0,4991487000.0,62659000.0,982523000.0,-73300000.0,60980000.0,0.0,-50497000.0,44.6
2015-03-31,469209000.0,430228000.0,38981000.0,67688000.0,-70113000.0,-60917000.0,-0.62,-6853000.0,-70113000.0,100375000.0,1484582000.0,335804000.0,496599000.0,3149703000.0,3524971000.0,6674674000.0,42123000.0,984906000.0,200386000.0,702662000.0,1687568000.0,4987106000.0,63260000.0,-424617000.0,-55342000.0,-290633000.0,0.0,27256000.0,59.79
2015-06-30,896217000.0,731734000.0,164483000.0,70901000.0,57133000.0,93885000.0,0.9400000000000001,123030000.0,57133000.0,100852000.0,1775161000.0,347186000.0,481975000.0,3156206000.0,3647599000.0,6803805000.0,41898000.0,914107000.0,257787000.0,848228000.0,1762335000.0,5041470000.0,65897000.0,-10401000.0,-38769000.0,187855000.0,0.0,116317000.0,46.98
2015-09-30,1271245000.0,786880000.0,484365000.0,53716000.0,397821000.0,349318000.0,3.46,462587000.0,397821000.0,100906000.0,1809517000.0,570046000.0,379183000.0,3251329000.0,3809313000.0,7060642000.0,38663000.0,896287000.0,246814000.0,775627000.0,1671914000.0,5388728000.0,64766000.0,21002000.0,-45159000.0,100373000.0,0.0,-1078000.0,42.75
2015-12-31,1475979000.0,1031046000.0,444933000.0,62887000.0,345317900.0,211120000.0,1.62,409219900.0,345318000.0,100886000.0,1830280000.0,559800000.0,380424000.0,3345586000.0,3970745000.0,7316331000.0,38090000.0,960800000.0,251325000.0,807044000.0,1767844000.0,5548487000.0,63902000.0,88807000.0,-27168000.0,-153772000.0,0.0,-41288000.0,65.99
2016-03-31,876068000.0,598457000.0,277611000.0,67503000.0,179921000.0,195636000.0,1.67,238296000.0,179921000.0,101853000.0,1880500000.0,436342000.0,443777000.0,3274157000.0,4303632000.0,7577789000.0,94080000.0,1064129000.0,205262000.0,774715000.0,1838844000.0,5738945000.0,58375000.0,84218000.0,-51754000.0,-145074000.0,0.0,-17950000.0,68.47
2016-06-30,1016424000.0,834373000.0,182051000.0,63776000.0,-242900.0,-11415000.0,0.13,56461100.0,-242900.0,102287000.0,1667439000.0,542027000.0,384504000.0,3076621000.0,4467399000.0,7544020000.0,71591000.0,952029000.0,161839000.0,787346000.0,1739375000.0,5804645000.0,56704000.0,-61668000.0,-78385000.0,-39338000.0,0.0,-70573000.0,48.48
2016-09-30,681276000.0,510368000.0,170908000.0,60345000.0,73324000.0,150457000.0,1.49,130466000.0,73324000.0,103339000.0,2090204000.0,568831000.0,369086000.0,3465418000.0,4622242000.0,8087660000.0,626026000.0,1407324000.0,161131000.0,734577000.0,2141901000.0,5945759000.0,57142000.0,-84223000.0,-45729000.0,20638000.0,0.0,550793000.0,39.49
2016-12-31,330795000.0,322947000.0,7848000.0,70370000.0,-821152700.0,-750790000.0,-6.92,-762433700.0,-821153000.0,102866000.0,1955146000.0,473426000.0,363219000.0,3787829000.0,3036539000.0,6824368000.0,27966000.0,907881000.0,160422000.0,698138000.0,1606019000.0,5218349000.0,58719000.0,268426000.0,-53584000.0,308294000.0,0.0,-598663000.0,32.09
