,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,135820000.0,39128000.0,96692000.0,57967000.0,15391000.0,12249000.0,0.016,21978000.0,15391000.0,806410000.0,460380000.0,102359000.0,23933000.0,613660000.0,419069000.0,1032729000.0,0.0,331728000.0,0.0,153292000.0,485020000.0,547709000.0,6587000.0,38111000.0,-1534000.0,-79178000.0,0.0,15917000.0,4.74
2013-06-30,147428000.0,43708000.0,103720000.0,64785000.0,13777000.0,8979000.0,0.012,20401000.0,13777000.0,811235000.0,502697000.0,108907000.0,33317000.0,672400000.0,413346000.0,1085746000.0,0.0,360481000.0,0.0,158080000.0,518561000.0,567185000.0,6624000.0,37221000.0,-2035000.0,-12336000.0,0.0,1567000.0,3.5
2013-09-30,154699000.0,43930000.0,110769000.0,66069000.0,18279000.0,11029000.0,0.014,25479000.0,18279000.0,814530000.0,513018000.0,107802000.0,46876000.0,705967000.0,422175000.0,1128142000.0,0.0,367326000.0,0.0,160863000.0,528189000.0,599953000.0,7200000.0,25384000.0,-3160000.0,-12634000.0,0.0,8524000.0,4.05
2013-12-31,177350000.0,53877000.0,123473000.0,71083000.0,24642900.0,12016000.0,0.014,31488900.0,24643000.0,812175000.0,491370000.0,130471000.0,48672000.0,735546000.0,432918000.0,1168464000.0,0.0,413061000.0,0.0,169643000.0,582704000.0,585760000.0,6846000.0,46668000.0,-7148000.0,-42586000.0,0.0,-32431000.0,3.83
2014-03-31,168949000.0,50743000.0,118206000.0,76336000.0,12815000.0,8393000.0,0.01,19750000.0,12815000.0,811955000.0,561051000.0,111489000.0,43294000.0,781460000.0,418571000.0,1200031000.0,0.0,394866000.0,0.0,195071000.0,589937000.0,610094000.0,6935000.0,60902000.0,-11318000.0,-2364000.0,0.0,-888000.0,4.41
2014-06-30,184098000.0,57757000.0,126341000.0,85261000.0,11142000.0,6081000.0,0.008,19873000.0,11142000.0,815805000.0,558121000.0,127825000.0,46824000.0,806949000.0,458163000.0,1265112000.0,0.0,426088000.0,0.0,213805000.0,639893000.0,625219000.0,8731000.0,43798000.0,-9704000.0,-5935000.0,0.0,-6839000.0,5.03
2014-09-30,193348000.0,56885000.0,136463000.0,90222000.0,15451000.0,4056000.0,0.004,22984000.0,15451000.0,821470000.0,660591000.0,116382000.0,51344000.0,896440000.0,416161000.0,1312601000.0,0.0,434496000.0,0.0,228879000.0,663375000.0,649226000.0,7533000.0,56518000.0,-5780000.0,-8209000.0,0.0,5840000.0,5.05
2014-12-31,223969000.0,65624000.0,158345000.0,105332000.0,19916000.0,6813000.0,0.008,27448000.0,19916000.0,819155000.0,720020000.0,184741000.0,69477000.0,1005381000.0,419393000.0,1424774000.0,0.0,496456000.0,0.0,252352000.0,748808000.0,675966000.0,7532000.0,35364000.0,-5395000.0,-12842000.0,0.0,2636000.0,6.13
2015-03-31,212886000.0,63602000.0,149284000.0,112570000.0,898000.0,1560000.0,0.002,9189000.0,898000.0,840385000.0,803957000.0,161854000.0,72060000.0,1111803000.0,386500000.0,1498303000.0,0.0,518633000.0,0.0,259923000.0,778556000.0,719747000.0,8291000.0,64619000.0,-4927000.0,16124000.0,0.0,22355000.0,6.99
2015-06-30,239785000.0,69498000.0,170287000.0,129946000.0,2952000.0,792000.0,0.0,11924000.0,2952000.0,849650000.0,873027000.0,176849000.0,68845000.0,1195510000.0,409366000.0,1604876000.0,0.0,565299000.0,0.0,288750000.0,854049000.0,750827000.0,8972000.0,84305000.0,-10761000.0,1806000.0,0.0,8930000.0,8.27
2015-09-30,260068000.0,71701000.0,188367000.0,142214000.0,-1840000.0,8169000.0,0.01,8873000.0,-1840000.0,858240000.0,908158000.0,174111000.0,80650000.0,1251740000.0,455433000.0,1707173000.0,0.0,603134000.0,0.0,308653000.0,911787000.0,795386000.0,10713000.0,65065000.0,-13325000.0,-15015000.0,0.0,9269000.0,8.5
2015-12-31,296529000.0,81976000.0,214553000.0,157155000.0,12867000.0,-2534000.0,-0.002,23937000.0,12867000.0,851925000.0,891351000.0,259563000.0,83868000.0,1270543000.0,519967000.0,1790510000.0,0.0,678670000.0,0.0,356463000.0,1035133000.0,755377000.0,11070000.0,68558000.0,-8345000.0,-3882000.0,0.0,-62111000.0,6.23
2016-03-31,284576000.0,77644000.0,206932000.0,165542000.0,-3692000.0,2118000.0,-0.004,8355000.0,-3692000.0,858725000.0,952599000.0,220135000.0,78239000.0,1285701000.0,525819900.0,1811521000.0,0.0,687342000.0,0.0,381776000.0,1069118000.0,742403000.0,12047000.0,100591000.0,-29956000.0,-34204000.0,0.0,-41656000.0,6.13
2016-06-30,311391000.0,84503000.0,226888000.0,184878000.0,-4045000.0,-1388000.0,-0.002,8543000.0,-4045000.0,860375000.0,984768000.0,254379000.0,81247000.0,1353884000.0,606294000.0,1960178000.0,0.0,731964000.0,0.0,423588000.0,1155552000.0,804626000.0,12588000.0,67941000.0,-14443000.0,-35213000.0,0.0,-4356000.0,6.32
2016-09-30,316646000.0,84799000.0,231847000.0,176837000.0,5488000.0,6291000.0,0.008,19577000.0,5488000.0,866675000.0,1030422000.0,238988000.0,93731000.0,1394873000.0,615287000.0,2010160000.0,0.0,750360000.0,0.0,436712000.0,1187072000.0,823088000.0,14089000.0,76139000.0,-5920000.0,-6798000.0,0.0,-18208000.0,7.39
2016-12-31,362787000.0,90854000.0,271933000.0,180343000.0,45149100.0,25179000.0,0.03,59725100.0,45149100.0,863000000.0,1085525000.0,312998000.0,106887000.0,1538716000.0,601225000.0,2139941000.0,0.0,829440000.0,0.0,472820000.0,1302260000.0,837681000.0,14576000.0,101029000.0,-16881000.0,2115000.0,0.0,-41680000.0,6.02
2017-03-31,340600000.0,90600000.0,250000000.0,193000000.0,5400000.0,10700000.0,0.012,19900000.0,5400000.0,872500000.0,1198672000.0,270111000.0,104978000.0,1616082000.0,651301000.0,2267383000.0,0.0,856585000.0,0.0,512549000.0,1369134000.0,898249000.0,14500000.0,129700000.0,-13500000.0,-31300000.0,0.0,15800000.0,7.67
2017-06-30,363500000.0,95700000.0,267800000.0,188200000.0,28500000.0,23000000.0,0.026000000000000002,42900000.0,28500000.0,878500000.0,1207324000.0,274476000.0,86439000.0,1604634000.0,756057000.0,2360691000.0,0.0,885519000.0,0.0,553033000.0,1438552000.0,922139000.0,14400000.0,144800000.0,-86400000.0,-81900000.0,0.0,-33000000.0,7.49
2017-09-30,374200000.0,93600000.0,280600000.0,193400000.0,33700000.0,26700000.0,0.03,48100000.0,33700000.0,877500000.0,1275755000.0,257999000.0,73595000.0,1650651000.0,744628000.0,2395279000.0,0.0,910639000.0,0.0,582415000.0,1493054000.0,902225000.0,14400000.0,162400000.0,-21700000.0,-28900000.0,0.0,-80800000.0,7.17
2017-12-31,416599900.0,105400000.0,311200000.0,214300000.0,42199800.0,-29000000.0,-0.034,56899800.0,42199900.0,871500000.0,1251300000.0,348200000.0,77300000.0,1716800000.0,541100000.0,2257900000.0,0.0,1027200000.0,0.0,641300000.0,1668500000.0,589400000.0,14700000.0,157500000.0,-13700000.0,65300000.0,0.0,-317600000.0,8.74
2018-03-31,399000000.0,97200000.0,301800000.0,210300000.0,32400000.0,41600000.0,0.05,66500000.0,32400000.0,838500000.0,1303900000.0,313100000.0,80000000.0,1735800000.0,664900000.0,2400700000.0,0.0,1029700000.0,0.0,677500000.0,1707200000.0,693500000.0,34100000.0,139700000.0,-11600000.0,-25500000.0,0.0,-89600000.0,10.72
2018-06-30,441300000.0,113100000.0,328200000.0,216300000.0,50700000.0,49300000.0,0.058,86800000.0,50700000.0,843000000.0,1433700000.0,333600000.0,78200000.0,1884800000.0,690900000.0,2575700000.0,0.0,1085200000.0,0.0,710300000.0,1795500000.0,780200000.0,36100000.0,142300000.0,-11600000.0,7000000.0,0.0,-12800000.0,12.49
2018-09-30,453900000.0,111600000.0,342300000.0,220800000.0,62800000.0,58700000.0,0.07,99900000.0,62800000.0,849000000.0,1634200000.0,324400000.0,80800000.0,2078100000.0,685400000.0,2763500000.0,0.0,1111900000.0,0.0,760000000.0,1871900000.0,891600000.0,37100000.0,176700000.0,-18200000.0,11100000.0,0.0,9400000.0,18.45
