,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,7404000000.0,6050000000.0,1354000000.0,507000000.0,847000000.0,571000000.0,1.62,989000000.0,847000000.0,351873000.0,3745000000.0,9334000000.0,2863000000.0,16350000000.0,18259000000.0,34609000000.0,0.0,11769000000.0,3909000000.0,11258000000.0,23027000000.0,11582000000.0,142000000.0,504000000.0,-75000000.0,-76000000.0,0.0,24000000.0,70.51
2013-06-30,7834000000.0,6359000000.0,1475000000.0,514000000.0,961000000.0,640000000.0,1.82,1084000000.0,961000000.0,351110000.0,3757000000.0,9399000000.0,2935000000.0,16538000000.0,18193000000.0,34731000000.0,0.0,11841000000.0,3907000000.0,11134000000.0,22975000000.0,11756000000.0,123000000.0,583000000.0,-90000000.0,-85000000.0,-198000000.0,-479000000.0,78.33
2013-09-30,7735000000.0,6277000000.0,1458000000.0,497000000.0,961000000.0,651000000.0,1.8599999999999999,1088000000.0,961000000.0,349337000.0,4065000000.0,9478000000.0,2986000000.0,17118000000.0,18353000000.0,35471000000.0,0.0,12065000000.0,3908000000.0,10801000000.0,22866000000.0,12605000000.0,127000000.0,466000000.0,-102000000.0,-51000000.0,-196000000.0,-105000000.0,87.52
2013-12-31,7957000000.0,6516000000.0,1441000000.0,521000000.0,920000000.0,495000000.0,1.4100000000000001,1053000000.0,920000000.0,350714000.0,5301000000.0,9150000000.0,2890000000.0,18162000000.0,17332000000.0,35494000000.0,1000000.0,12259000000.0,3908000000.0,8734000000.0,20993000000.0,14501000000.0,133000000.0,1558000000.0,-169000000.0,-151000000.0,-197000000.0,-165000000.0,95.55
2014-03-31,7265000000.0,5900000000.0,1365000000.0,491000000.0,874000000.0,595000000.0,1.74,999000000.0,874000000.0,342232000.0,4296000000.0,9175000000.0,2977000000.0,16964000000.0,17418000000.0,34382000000.0,502000000.0,12623000000.0,3409000000.0,8069000000.0,20692000000.0,13690000000.0,125000000.0,422000000.0,-87000000.0,-77000000.0,-198000000.0,-1347000000.0,108.92
2014-06-30,7474000000.0,6039000000.0,1435000000.0,486000000.0,949000000.0,541000000.0,1.6099999999999999,1076000000.0,949000000.0,336692000.0,3841000000.0,9408000000.0,3158000000.0,17183000000.0,17149000000.0,34332000000.0,501000000.0,13222000000.0,3409000000.0,7991000000.0,21213000000.0,13119000000.0,127000000.0,872000000.0,-75000000.0,-68000000.0,-213000000.0,-1286000000.0,116.55
2014-09-30,7751000000.0,6274000000.0,1477000000.0,478000000.0,999000000.0,696000000.0,2.1,1123000000.0,999000000.0,331811000.0,5105000000.0,8617000000.0,3139000000.0,18169000000.0,17142000000.0,35311000000.0,501000000.0,14670000000.0,3410000000.0,7631000000.0,22301000000.0,13010000000.0,124000000.0,2504000000.0,-175000000.0,-681000000.0,-207000000.0,-561000000.0,127.09
2014-12-31,8362000000.0,6766000000.0,1596000000.0,529000000.0,1067000000.0,701000000.0,2.12,1187000000.0,1067000000.0,335192000.0,4388000000.0,8641000000.0,3221000000.0,17407000000.0,17930000000.0,35337000000.0,501000000.0,13751000000.0,3392000000.0,9757000000.0,23508000000.0,11829000000.0,120000000.0,30000000.0,-184000000.0,-276000000.0,-204000000.0,-481000000.0,137.62
2015-03-31,7784000000.0,6254000000.0,1530000000.0,503000000.0,1027000000.0,716000000.0,2.18,1151000000.0,1027000000.0,329154000.0,4412000000.0,8105000000.0,3397000000.0,16352000000.0,18033000000.0,34385000000.0,1000000.0,13112000000.0,3410000000.0,9753000000.0,22865000000.0,11520000000.0,124000000.0,745000000.0,-98000000.0,496000000.0,-206000000.0,-1209000000.0,135.73
2015-06-30,7882000000.0,6334000000.0,1548000000.0,467000000.0,1081000000.0,752000000.0,2.31,1200000000.0,1081000000.0,326153000.0,4032000000.0,7868000000.0,3359000000.0,15773000000.0,17881000000.0,33654000000.0,2000000.0,12708000000.0,3411000000.0,9670000000.0,22378000000.0,11276000000.0,119000000.0,688000000.0,-92000000.0,55000000.0,-226000000.0,-1115000000.0,141.69
