,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2531635000.0,634448000.0,1897187000.0,374296000.0,1025259000.0,722186000.0,0.47000000000000003,1099585000.0,1025259000.0,1521372000.0,1942776000.0,1945189000.0,1799618000.0,6663097000.0,15548570000.0,22211670000.0,942811000.0,4290215000.0,7268123000.0,7528980000.0,11819200000.0,10392470000.0,74326000.0,672101000.0,-38854000.0,-407256000.0,0.0,-199001000.0,48.94
2013-06-30,2767394000.0,684663000.0,2082731000.0,404991000.0,1153838000.0,772605000.0,0.51,1227015000.0,1153838000.0,1526945000.0,2287370000.0,1895913000.0,1935147000.0,7072529000.0,15551840000.0,22624370000.0,1488225000.0,4937138000.0,6074179000.0,6343852000.0,11280990000.0,11343380000.0,73177000.0,953004000.0,-45276000.0,-55477000.0,0.0,-557648000.0,51.27
2013-09-30,2782833000.0,681868000.0,2100965000.0,406860000.0,1147861000.0,788606000.0,0.51,1217103000.0,1147861000.0,1532105000.0,2090494000.0,1971926000.0,1946048000.0,6968061000.0,15500370000.0,22468430000.0,1457379000.0,4895124000.0,6117184000.0,6380831000.0,11275960000.0,11192470000.0,69242000.0,753096000.0,-37180000.0,-8032000.0,0.0,-942233000.0,62.87
2013-12-31,3120138000.0,858021000.0,2262117000.0,512853000.0,1197042000.0,791603100.0,0.52,1325297000.0,1197042000.0,1529000000.0,2132000000.0,2182000000.0,1697000000.0,6997000000.0,15582000000.0,22579000000.0,2697000000.0,6407000000.0,4003000000.0,4427000000.0,10834000000.0,11745000000.0,128255000.0,726799000.0,-68690000.0,216765000.0,0.0,-845118000.0,75.1
2014-03-31,4999000000.0,813000000.0,4186000000.0,548000000.0,3043000000.0,2227000000.0,1.45,3284000000.0,3043000000.0,1537000000.0,6469030000.0,3236195000.0,2140228000.0,12970630000.0,15107060000.0,28077690000.0,1871811000.0,5914776000.0,8152744000.0,8460722000.0,14375500000.0,13702190000.0,241000000.0,1568000000.0,-164000000.0,-161000000.0,0.0,2884000000.0,70.86
2014-06-30,6535000000.0,925000000.0,5610000000.0,614000000.0,4412000000.0,3656000000.0,2.39,4678000000.0,4412000000.0,1533000000.0,8799068000.0,3436711000.0,2068753000.0,15499340000.0,15706830000.0,31206160000.0,1572079000.0,6227997000.0,8142607000.0,8548825000.0,14776820000.0,16429340000.0,266000000.0,4185000000.0,-91000000.0,-487000000.0,0.0,-1371000000.0,82.91
2014-09-30,6042000000.0,987000000.0,5055000000.0,945000000.0,3480000000.0,2731000000.0,1.8,3748000000.0,3480000000.0,1514000000.0,6316326000.0,2850367000.0,1909584000.0,12562030000.0,16282360000.0,28844390000.0,1477082000.0,6054952000.0,8442964000.0,8925830000.0,14980780000.0,13863610000.0,268000000.0,4044000000.0,-135000000.0,-770000000.0,0.0,-5772000000.0,106.45
2014-12-31,7314000000.0,1063000000.0,6251000000.0,876000000.0,4330000000.0,3487000000.0,2.32,4605000000.0,4330000000.0,1522000000.0,10128000000.0,4635000000.0,1386000000.0,17714000000.0,16950000000.0,34664000000.0,483000000.0,5761000000.0,12522000000.0,13084000000.0,18845000000.0,15819000000.0,275000000.0,3021000000.0,-167000000.0,-405000000.0,0.0,1234000000.0,94.26
2015-03-31,7594000000.0,882000000.0,6712000000.0,645000000.0,5371000000.0,4333000000.0,2.91,5640000000.0,5371000000.0,1488000000.0,11294000000.0,4835000000.0,1908000000.0,20062000000.0,18259000000.0,38321000000.0,442000000.0,7428000000.0,12551000000.0,13305000000.0,20733000000.0,17588000000.0,269000000.0,5701000000.0,-124000000.0,-2299000000.0,0.0,-2722000000.0,98.13
2015-06-30,8244000000.0,998000000.0,7246000000.0,812000000.0,5616000000.0,4492000000.0,3.05,5889000000.0,5616000000.0,1472000000.0,8611000000.0,5331000000.0,2039000000.0,18093000000.0,21074000000.0,39167000000.0,352000000.0,8925000000.0,12689000000.0,13608000000.0,22533000000.0,16634000000.0,273000000.0,5658000000.0,-171000000.0,-3552000000.0,-633000000.0,-5341000000.0,117.08
