,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-02-28,4430600000.0,2907900000.0,1522700000.0,874500000.0,642100100.0,398400000.0,0.61,788300000.0,642100100.0,648500000.0,751200000.0,1591500000.0,1606400000.0,4365800000.0,18427600000.0,22793400000.0,744000000.0,4282600000.0,6631900000.0,11031400000.0,15314000000.0,7479400000.0,146200000.0,828600000.0,-129300000.0,-178000000.0,-217100000.0,-633000000.0,46.25
2013-05-31,4410700000.0,2880101000.0,1530599000.0,928200100.0,600600100.0,366299900.0,0.5700000000000001,756300100.0,600599900.0,648600000.0,741400000.0,1446400000.0,1545500000.0,4298900000.0,18359100000.0,22658000000.0,1443300000.0,5293900000.0,5926100000.0,10235600000.0,15529500000.0,7128500000.0,155700000.0,780300000.0,-199800000.0,-234200000.0,-216000000.0,-540900000.0,47.08
2013-08-31,4372700000.0,2759700000.0,1613000000.0,875400000.0,734800000.0,459300000.0,0.71,885800000.0,734800000.0,643000000.0,758900000.0,1637500000.0,1773600000.0,4693200000.0,18251400000.0,22944600000.0,748000000.0,5462900000.0,5913500000.0,10187900000.0,15650800000.0,7293800000.0,151000000.0,381100000.0,-120800000.0,-113200000.0,-247500000.0,-237300000.0,49.32
2013-11-30,4875700000.0,3114000000.0,1761700000.0,890900000.0,870100300.0,549900000.0,0.87,1016700000.0,870100300.0,633200000.0,774200000.0,1725500000.0,1752300000.0,4775800000.0,18376300000.0,23152100000.0,852800000.0,4990100000.0,6740600000.0,11075500000.0,16065600000.0,7086500000.0,146600000.0,627800000.0,-147000000.0,-204200000.0,-242300000.0,-416900000.0,50.43
2014-02-28,4377400000.0,2864700000.0,1512700000.0,842100000.0,670600100.0,410600000.0,0.66,815100100.0,670600100.0,623500000.0,847100000.0,1648100000.0,1559600000.0,4557600000.0,18367400000.0,22925000000.0,1203800000.0,4683600000.0,7179600000.0,11463300000.0,16146900000.0,6778100000.0,144500000.0,715300000.0,-143400000.0,-112900000.0,-239600000.0,-516000000.0,50.03
2014-05-31,4283799000.0,2801400000.0,1482399000.0,865900100.0,681899200.0,404600000.0,0.66,825199200.0,681899900.0,628600000.0,867300000.0,1483600000.0,1559400000.0,4393500000.0,18752200000.0,23145700000.0,1250600000.0,5423500000.0,6423500000.0,10716800000.0,16140300000.0,7005400000.0,143300000.0,816800000.0,-245700000.0,-131500000.0,-253900000.0,-653900000.0,54.93
2014-08-31,4268400000.0,2829700000.0,1438700000.0,867200000.0,557500000.0,345200000.0,0.56,707800000.0,557500000.0,612600000.0,841200000.0,1623300000.0,1823300000.0,4695500000.0,18677300000.0,23372800000.0,855400000.0,5793100000.0,6669100000.0,10896900000.0,16690000000.0,6682800000.0,150300000.0,329400000.0,-148300000.0,-197200000.0,-254400000.0,-153100000.0,53.38
2014-11-30,4712200000.0,3093100000.0,1619100000.0,845500000.0,559000000.0,346100000.0,0.58,699100000.0,559000000.0,602600000.0,894500000.0,1705800000.0,1893400000.0,4986400000.0,19217300000.0,24203700000.0,750700000.0,6093700000.0,7713100000.0,11999800000.0,18093500000.0,6110200000.0,140100000.0,533800000.0,-168200000.0,-974000000.0,-248800000.0,522800000.0,52.75
2015-02-28,4350900000.0,2975000000.0,1375900000.0,789400000.0,537200000.0,343200000.0,0.5700000000000001,690500000.0,537200000.0,598200000.0,784200000.0,1585300000.0,1585100000.0,4464400000.0,18918700000.0,23383100000.0,1750600000.0,6702500000.0,6642600000.0,10831500000.0,17534000000.0,5849100000.0,153300000.0,698200000.0,-173100000.0,-237100000.0,-248100000.0,-516200000.0,53.79
2015-05-31,4298800000.0,2783300000.0,1515501000.0,825900100.0,423600600.0,186800000.0,0.31,568200600.0,423600800.0,603300000.0,334200000.0,1386700000.0,1540900000.0,3685600000.0,18146400000.0,21832000000.0,1000400000.0,4890100000.0,7575300000.0,11549200000.0,16439300000.0,5392700000.0,144600000.0,981400000.0,-211800000.0,-193900000.0,-266400000.0,-1238300000.0,56.15
