,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,36884000000.0,32973000000.0,3911000000.0,2952000000.0,959000000.0,865000000.0,0.63,959000000.0,959000000.0,1372000000.0,27916000000.0,16845000000.0,15200000000.0,72570000000.0,81205000000.0,153775000000.0,6972000000.0,56539000000.0,11452000000.0,58901000000.0,115440000000.0,38335000000.0,0.0,819000000.0,-1940000000.0,-510000000.0,-218000000.0,2167000000.0,27.82
2013-06-30,39075000000.0,34399000000.0,4676000000.0,2925000000.0,1751000000.0,1200000000.0,0.87,1751000000.0,1751000000.0,1376000000.0,27022000000.0,21984000000.0,14777000000.0,77745000000.0,85365000000.0,163110000000.0,9961000000.0,60021000000.0,16787000000.0,64085000000.0,124106000000.0,39004000000.0,0.0,4893000000.0,-1893000000.0,-5291000000.0,-256000000.0,-314000000.0,33.31
2013-09-30,38983000000.0,33791000000.0,5192000000.0,2876000000.0,2256000000.0,698000000.0,0.5,2256000000.0,2256000000.0,1386000000.0,29529000000.0,22077000000.0,15357000000.0,81164000000.0,87375000000.0,168539000000.0,11439000000.0,62563000000.0,20684000000.0,68615000000.0,131178000000.0,37361000000.0,0.0,3860000000.0,-1947000000.0,-4788000000.0,-1045000000.0,1466000000.0,35.97
2013-12-31,40485000000.0,36210000000.0,4275000000.0,3629000000.0,165000000.0,1007000000.0,0.5700000000000001,165000000.0,165000000.0,1393000000.0,30240000000.0,22813000000.0,14039000000.0,81501000000.0,84843000000.0,166344000000.0,14158000000.0,62412000000.0,22025000000.0,60758000000.0,123170000000.0,43174000000.0,8041000000.0,3058000000.0,-1785000000.0,-3773000000.0,-168000000.0,412000000.0,40.87
2014-03-31,37408000000.0,35002000000.0,2406000000.0,2941000000.0,-535000000.0,125000000.0,0.06,-535000000.0,-535000000.0,1587000000.0,29430000000.0,26789000000.0,14837000000.0,86825000000.0,86781000000.0,173606000000.0,14849000000.0,69222000000.0,22918000000.0,61544000000.0,130766000000.0,42840000000.0,0.0,1976000000.0,-1759000000.0,-2837000000.0,-571000000.0,718000000.0,34.42
2014-06-30,39649000000.0,36777000000.0,2872000000.0,3343000000.0,-471000000.0,190000000.0,0.12,-471000000.0,-471000000.0,1608000000.0,31124000000.0,27277000000.0,15200000000.0,91643000000.0,87455000000.0,179098000000.0,15803000000.0,72347000000.0,24273000000.0,64166000000.0,136513000000.0,42585000000.0,0.0,3830000000.0,-1666000000.0,-4763000000.0,-622000000.0,1300000000.0,36.3
2014-09-30,39255000000.0,35107000000.0,4148000000.0,2921000000.0,1227000000.0,1384000000.0,0.86,1227000000.0,1227000000.0,1612000000.0,29005000000.0,26552000000.0,15210000000.0,86640000000.0,90268000000.0,176908000000.0,13386000000.0,67329000000.0,27719000000.0,66016000000.0,133345000000.0,43563000000.0,0.0,1088000000.0,-1664000000.0,-3825000000.0,-588000000.0,1342000000.0,31.94
2014-12-31,39617000000.0,35235000000.0,4382000000.0,2953000000.0,1309000000.0,1105000000.0,0.6900000000000001,1309000000.0,1309000000.0,1605000000.0,29514000000.0,25606000000.0,13642000000.0,83626000000.0,93875000000.0,177501000000.0,14944000000.0,65657000000.0,31721000000.0,75820000000.0,141477000000.0,36024000000.0,7238000000.0,3167000000.0,-6245000000.0,-3934000000.0,-1384000000.0,2315000000.0,34.91
2015-03-31,35712000000.0,31842000000.0,3870000000.0,3117000000.0,753000000.0,945000000.0,0.56,2510000000.0,753000000.0,1617000000.0,25599000000.0,27696000000.0,14051000000.0,83231000000.0,96687000000.0,179918000000.0,14351000000.0,67342000000.0,33907000000.0,75753000000.0,143095000000.0,36823000000.0,1757000000.0,375000000.0,-1684000000.0,-5468000000.0,-488000000.0,2359000000.0,37.5
2015-06-30,38180000000.0,33915000000.0,4265000000.0,2977000000.0,1288000000.0,1117000000.0,0.7000000000000001,3545000000.0,1288000000.0,1596000000.0,26269000000.0,27536000000.0,14218000000.0,84554000000.0,101258000000.0,185812000000.0,14403000000.0,69528000000.0,39114000000.0,80614000000.0,150142000000.0,35670000000.0,2257000000.0,5786000000.0,-1805000000.0,-5855000000.0,-598000000.0,2395000000.0,33.33
