,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,399572000.0,246110000.0,153462000.0,44107000.0,96525000.0,50674000.0,0.75,107454000.0,96525000.0,67864000.0,54337000.0,169388000.0,258821000.0,525195000.0,1066531000.0,1591726000.0,42532000.0,258131000.0,770702000.0,818001000.0,1076132000.0,515594000.0,10929000.0,38266000.0,-4322000.0,-4322000.0,-2649000.0,-87640000.0,35.34
2013-06-30,346688000.0,215735000.0,130953000.0,41111000.0,76433000.0,28254000.0,0.41000000000000003,87492000.0,76433000.0,68140000.0,126598000.0,162711000.0,287258000.0,611069000.0,1064298000.0,1675367000.0,33047000.0,244527000.0,1177329000.0,1224899000.0,1469426000.0,205941000.0,11059000.0,36052000.0,-5694000.0,2838000.0,-340772000.0,33410000.0,37.01
2013-09-30,363269000.0,223806000.0,139463000.0,37988000.0,87289000.0,47093000.0,0.6900000000000001,98731000.0,87289000.0,68198000.0,123166000.0,164698000.0,296048000.0,615960000.0,1117095000.0,1733055000.0,30193000.0,240896000.0,1177671000.0,1234819000.0,1475715000.0,257340000.0,11442000.0,80895000.0,-4166000.0,-84405000.0,-3000.0,-6543000.0,42.64
2013-12-31,376236000.0,230554100.0,145681900.0,39799000.0,91217900.0,48518000.0,0.71,101714900.0,91218000.0,68082000.0,156792000.0,164907000.0,300253000.0,654179000.0,1144026000.0,1798205000.0,22046000.0,250845000.0,1175349000.0,1230289000.0,1481134000.0,317071000.0,10497000.0,104731000.0,-16508000.0,-58660000.0,-5000.0,-12626000.0,56.64
2014-03-31,342008000.0,222494000.0,119514000.0,41117000.0,65306000.0,34701000.0,0.51,75084000.0,65306000.0,68422000.0,180385000.0,182168000.0,292307000.0,686530000.0,1126039000.0,1812569000.0,19547000.0,233390000.0,1172368000.0,1226135000.0,1459525000.0,353044000.0,9778000.0,36353000.0,-4919000.0,-4919000.0,-334000.0,-7859000.0,58.97
2014-06-30,362609000.0,234597000.0,128012000.0,41618000.0,78160000.0,54025000.0,0.79,88359000.0,78160000.0,68538000.0,197959000.0,203692000.0,287233000.0,717155000.0,1112013000.0,1829168000.0,6945000.0,214049000.0,1154316000.0,1206557000.0,1420606000.0,408562000.0,10199000.0,48932000.0,-8391000.0,-8820000.0,-125000.0,-15958000.0,48.74
2014-09-30,352305000.0,222022000.0,130283000.0,46390000.0,70794000.0,36497000.0,0.53,81407000.0,70794000.0,68556000.0,173162000.0,199884000.0,327581000.0,732263000.0,1101641000.0,1833904000.0,5818000.0,229476000.0,1106293000.0,1156511000.0,1385987000.0,447917000.0,10613000.0,57226000.0,-9405000.0,-14285000.0,-246000.0,-66705000.0,40.54
2014-12-31,403997000.0,265587000.0,138410000.0,46078000.0,79114900.0,49390000.0,0.72,89869900.0,79114800.0,68538000.0,189761000.0,189107000.0,319385000.0,730478000.0,1152064000.0,1882542000.0,5916000.0,240522000.0,1082101000.0,1152221000.0,1392743000.0,489799000.0,10755000.0,110475000.0,-11580000.0,-67467000.0,-197000.0,-25501000.0,46.76
2015-03-31,311818000.0,209215000.0,102603000.0,44334000.0,44911000.0,19685000.0,0.29,55650000.0,44911000.0,68806000.0,150085000.0,158190000.0,356929000.0,704528000.0,1137844000.0,1842372000.0,3609000.0,234597000.0,1033610000.0,1105082000.0,1339679000.0,502693000.0,10739000.0,25257000.0,-6499000.0,-6125000.0,-1427000.0,-56556000.0,48.69
2015-06-30,288360000.0,192463000.0,95897000.0,42038000.0,39467000.0,14844000.0,0.22,51235000.0,39467000.0,68962000.0,155575000.0,160475000.0,385848000.0,746930000.0,1124457000.0,1871387000.0,3400000.0,246002000.0,1035237000.0,1105575000.0,1351577000.0,519810000.0,11768000.0,16322000.0,-7671000.0,-7812000.0,0.0,-3196000.0,39.75
