,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,12951000000.0,5136000000.0,7815000000.0,2450000000.0,3748000000.0,3346000000.0,0.2535,4647000000.0,3748000000.0,13218160000.0,50098000000.0,8670000000.0,648000000.0,62808000000.0,33884000000.0,96692000000.0,0.0,13252000000.0,2989000000.0,7967000000.0,21219000000.0,75473000000.0,899000000.0,3633000000.0,-1203000000.0,-2441000000.0,0.0,-517000000.0,19.87
2013-06-30,13107000000.0,5195000000.0,7912000000.0,2681000000.0,3465000000.0,3228000000.0,0.243,4495000000.0,3465000000.0,13299200000.0,54432000000.0,8163000000.0,342000000.0,66861000000.0,34321000000.0,101182000000.0,0.0,15329000000.0,1989000000.0,7001000000.0,22330000000.0,78852000000.0,1030000000.0,4705000000.0,-1611000000.0,-3803000000.0,0.0,-105000000.0,22.03
2013-09-30,13754000000.0,5409000000.0,8345000000.0,2763000000.0,3761000000.0,2970000000.0,0.2225,4735000000.0,3761000000.0,13344640000.0,56523000000.0,8592000000.0,235000000.0,68858000000.0,36210000000.0,105068000000.0,0.0,14475000000.0,2238000000.0,7604000000.0,22079000000.0,82989000000.0,974000000.0,5083000000.0,-2289000000.0,-5818000000.0,0.0,-267000000.0,21.92
2013-12-31,15707000000.0,6253000000.0,9454000000.0,3092000000.0,4429000000.0,3189000000.0,0.252,5465000000.0,4429000000.0,13313840000.0,58717000000.0,9390000000.0,0.0,72886000000.0,38034000000.0,110920000000.0,0.0,15908000000.0,2236000000.0,7703000000.0,23611000000.0,87309000000.0,1036000000.0,5238000000.0,-2255000000.0,-1617000000.0,0.0,32000000.0,28.05
2014-03-31,15420000000.0,5961000000.0,9459000000.0,3218000000.0,4115000000.0,3452000000.0,0.2565,5201000000.0,4115000000.0,13451740000.0,59379000000.0,8421000000.0,337000000.0,75314000000.0,41212000000.0,116526000000.0,0.0,16270000000.0,3234000000.0,8545000000.0,24815000000.0,91711000000.0,1086000000.0,4391000000.0,-2345000000.0,-7307000000.0,0.0,822000000.0,27.89
2014-06-30,15955000000.0,6114000000.0,9841000000.0,3345000000.0,4258000000.0,3351000000.0,0.2535,5337000000.0,4258000000.0,13502300000.0,61204000000.0,9539000000.0,293000000.0,77905000000.0,43703000000.0,121608000000.0,0.0,17097000000.0,3232000000.0,8762000000.0,25859000000.0,95749000000.0,1079000000.0,5627000000.0,-2646000000.0,-1180000000.0,0.0,-1462000000.0,29.23
2014-09-30,16523000000.0,6695000000.0,9828000000.0,3449000000.0,3724000000.0,2739000000.0,0.20750000000000002,5271000000.0,3724000000.0,13541940000.0,62157000000.0,10019000000.0,279000000.0,80115000000.0,45666000000.0,125781000000.0,0.0,17920000000.0,3230000000.0,9046000000.0,26966000000.0,98815000000.0,1547000000.0,5994000000.0,-2417000000.0,-9327000000.0,0.0,-455000000.0,29.42
2014-12-31,18103000000.0,6921000000.0,11182000000.0,3970000000.0,4399000000.0,4594000000.0,0.35050000000000003,5666000000.0,4399000000.0,13518700000.0,64395000000.0,10849000000.0,0.0,78656000000.0,50531000000.0,129187000000.0,0.0,16779000000.0,3228000000.0,8548000000.0,25327000000.0,103860000000.0,1267000000.0,7012000000.0,-3551000000.0,-3241000000.0,0.0,-992000000.0,26.53
2015-03-31,17258000000.0,6356000000.0,10902000000.0,3702000000.0,4447000000.0,3515000000.0,0.2635,5624000000.0,4447000000.0,13618300000.0,65436000000.0,10310000000.0,0.0,80313000000.0,53087000000.0,133400000000.0,0.0,14336000000.0,3226000000.0,10616000000.0,24952000000.0,108448000000.0,1177000000.0,6722000000.0,-2927000000.0,-7304000000.0,0.0,-496000000.0,27.74
2015-06-30,17727000000.0,6583000000.0,11144000000.0,3530000000.0,4825000000.0,3409000000.0,0.2495,6059000000.0,4825000000.0,13672340000.0,69780000000.0,10019000000.0,0.0,84164000000.0,54643000000.0,138807000000.0,0.0,17362000000.0,2225000000.0,9662000000.0,27024000000.0,111783000000.0,1234000000.0,7096000000.0,-2515000000.0,-5103000000.0,0.0,-561000000.0,27.0
