,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-02-28,578746000.0,217465000.0,361281000.0,271696000.0,90774000.0,58462000.0,0.0,173720900.0,90774000.0,155512000.0,682960000.0,167168000.0,11349000.0,1146862000.0,1929362000.0,3076224000.0,72332000.0,673828000.0,883462000.0,1117158000.0,1790986000.0,1285238000.0,82947000.0,204767000.0,-75016000.0,-506285000.0,-4688000.0,196148000.0,24.1
2013-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680470000.0,190591000.0,11057000.0,1214492000.0,1910564000.0,3125056000.0,72335000.0,704114000.0,891134000.0,1134335000.0,1838449000.0,1286607000.0,0.0,0.0,0.0,0.0,4688000.0,0.0,23.98
2013-08-31,629685000.0,230745000.0,398940000.0,291556000.0,107384000.0,64643000.0,0.0,107384000.0,107384000.0,147530000.0,725887000.0,189733000.0,6677000.0,1590068000.0,1909422000.0,3499490000.0,72228000.0,1044820000.0,1000383000.0,1249981000.0,2294801000.0,1204689000.0,28374000.0,-23187000.0,-20263000.0,-18608000.0,-1456000.0,92480000.0,23.83
2013-11-30,634122000.0,235170000.0,398952000.0,294045000.0,111907000.0,73897000.0,0.0,194854000.0,111907000.0,144348000.0,1096833000.0,196450000.0,8886000.0,2058308000.0,1923256000.0,3981564000.0,72351000.0,1573005000.0,922545000.0,1176875000.0,2749880000.0,1231684000.0,29018000.0,434870000.0,-20915000.0,-20464000.0,-1438000.0,-44962000.0,31.52
2014-02-28,616452000.0,232937000.0,383515000.0,286224000.0,97291000.0,55121000.0,0.0,166463000.0,97291000.0,143670000.0,1013560000.0,175736000.0,7315000.0,1533255000.0,1922460000.0,3455715000.0,2351000.0,688002000.0,1252056000.0,1504004000.0,2192006000.0,1263709000.0,87198000.0,314401000.0,-61270000.0,-58271000.0,-4330000.0,90968000.0,35.17
2014-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581872000.0,215383000.0,6636000.0,1643444000.0,2375206000.0,4018650000.0,17677000.0,1211618000.0,1376002000.0,1674233000.0,2885851000.0,1132799000.0,0.0,0.0,0.0,0.0,4330000.0,0.0,34.28
2014-08-31,704895000.0,259839000.0,445056000.0,320658000.0,124398100.0,75366000.0,0.0,124398100.0,124398100.0,136292000.0,595884000.0,207399000.0,5660000.0,2006724000.0,2332632000.0,4339356000.0,31250000.0,1579497000.0,1388750000.0,1689346000.0,3268843000.0,1070513000.0,34566000.0,-63473000.0,-18157000.0,-12183000.0,-1370000.0,94085000.0,36.36
2014-11-30,697291000.0,257796000.0,439495000.0,315511000.0,123984000.0,74781000.0,0.0,193156000.0,123984000.0,134754000.0,644469000.0,197630000.0,8002000.0,2025255000.0,2516332000.0,4541587000.0,46875000.0,1676133000.0,1554125000.0,1843218000.0,3519351000.0,1022236000.0,34606000.0,290409000.0,-15133000.0,-234011000.0,-1323000.0,10920000.0,43.18
2015-02-28,664983000.0,250255000.0,414728000.0,310113000.0,104614900.0,62568000.0,0.0,182120900.0,104614900.0,133780000.0,610148000.0,171479000.0,5587000.0,1593150000.0,2425170000.0,4018320000.0,62500000.0,1242700000.0,1546000000.0,1833992000.0,3076692000.0,941628000.0,102812000.0,347085000.0,-56746000.0,-278794000.0,-4035000.0,10752000.0,45.93
2015-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650739000.0,202938000.0,0.0,3289915000.0,2489386000.0,5779301000.0,61784000.0,3015188000.0,1678283000.0,1900560000.0,4915748000.0,863553000.0,0.0,0.0,0.0,0.0,4035000.0,0.0,52.19
2015-08-31,748796000.0,272666000.0,476130000.0,338358000.0,137772000.0,86646000.0,0.0,137772000.0,137772000.0,130328000.0,803309000.0,215126000.0,0.0,2747038000.0,2725880000.0,5472918000.0,0.0,2390236000.0,1932028000.0,2165539000.0,4555775000.0,917143000.0,38757000.0,513392000.0,-16858000.0,-258388000.0,-1305000.0,-90115000.0,55.69
2015-11-30,722350000.0,270565000.0,451785000.0,328620000.0,123165000.0,78771000.0,0.0,200671000.0,123165000.0,129505000.0,988457000.0,210743000.0,0.0,2655821000.0,2672280000.0,5328101000.0,0.0,2267645000.0,1915803000.0,2134357000.0,4402002000.0,926099000.0,38749000.0,-59322000.0,-19388000.0,-19792000.0,-1297000.0,275846000.0,70.85
2016-02-29,679940000.0,258728000.0,421212000.0,313407000.0,107805000.0,69061000.0,0.0,224479000.0,107805000.0,129287000.0,825500000.0,180423000.0,0.0,2065103000.0,2633998000.0,4699101000.0,86402000.0,1748132000.0,1787675000.0,1998219000.0,3746351000.0,952750000.0,116674000.0,878019000.0,-57548000.0,-299530000.0,-3895000.0,-367807000.0,60.95
2016-03-31,626259000.0,248187000.0,378072000.0,283499000.0,94573000.0,59911000.0,0.53,211247000.0,94573000.0,129268000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39312000.0,208213000.0,-24367000.0,-24441000.0,-1293000.0,-161452000.0,65.3
