,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,531957000.0,255824000.0,276133000.0,108518000.0,79926000.0,88666000.0,0.45,100816000.0,79926000.0,195630000.0,1238918000.0,450594000.0,396010000.0,2313955000.0,2256465000.0,4570420000.0,0.0,605101000.0,0.0,346994000.0,952095000.0,3618325000.0,20890000.0,59363000.0,-11604000.0,-17955000.0,-175956000.0,-174286000.0,33.05
2013-06-30,696563000.0,312923000.0,383640000.0,117522000.0,169886000.0,172491000.0,0.88,188914000.0,169886000.0,195570000.0,1226072000.0,484246000.0,383492000.0,2346259000.0,2252922000.0,4599181000.0,0.0,889735000.0,0.0,343089000.0,1232824000.0,3366357000.0,19028000.0,204298000.0,-18055000.0,-112265000.0,-87901000.0,-101806000.0,36.17
2013-09-30,643637000.0,290748000.0,352889000.0,112713000.0,151749000.0,187669000.0,0.96,172300000.0,151749000.0,195325000.0,1202953000.0,475707000.0,416725000.0,2444638000.0,2378588000.0,4823226000.0,0.0,974033000.0,0.0,291689000.0,1265722000.0,3557504000.0,20551000.0,216610000.0,-11601000.0,-229186000.0,0.0,-8090000.0,45.19
2013-12-31,759694200.0,365056000.0,394638200.0,129592000.0,172471000.0,163586000.0,0.84,190806000.0,172471000.0,195411000.0,1329011000.0,564586000.0,382226000.0,2595636000.0,2283967000.0,4879603000.0,0.0,905304000.0,0.0,314593000.0,1219897000.0,3659706000.0,18335000.0,149813000.0,-13938000.0,84964000.0,-87850000.0,-122656000.0,46.19
2014-03-31,583221000.0,252387000.0,330834000.0,114301000.0,120369000.0,118818000.0,0.61,138781000.0,120369000.0,195090000.0,1300351000.0,427457000.0,442025000.0,2387495000.0,2351419000.0,4738914000.0,0.0,697108000.0,0.0,289436000.0,986544000.0,3752370000.0,18412000.0,71173000.0,-14928000.0,3562000.0,-87853000.0,-117591000.0,55.26
2014-06-30,777848000.0,333363000.0,444485000.0,127327000.0,218754000.0,181983000.0,0.9400000000000001,237800000.0,218754000.0,193771000.0,1395787000.0,496979000.0,429673000.0,2496569000.0,2245233000.0,4741802000.0,0.0,969250000.0,0.0,291936000.0,1261186000.0,3480616000.0,19046000.0,164179000.0,-21164000.0,152103000.0,-87721000.0,-216759000.0,60.9
2014-09-30,706283000.0,308037000.0,398246000.0,123744000.0,175504000.0,-146834000.0,-0.76,193611000.0,175504000.0,192239000.0,1305924000.0,478722000.0,466482000.0,2421485000.0,2247879000.0,4669364000.0,0.0,1123483000.0,0.0,309468000.0,1432951000.0,3236413000.0,18107000.0,142342000.0,-17989000.0,-39231000.0,-92449000.0,-169224000.0,51.99
2014-12-31,803306000.0,372459000.0,430847000.0,153293000.0,175999000.0,210244000.0,1.1,197449000.0,175998900.0,193106000.0,1364257000.0,570191000.0,420475000.0,2510976000.0,2182327000.0,4693303000.0,0.0,1033261000.0,0.0,256675000.0,1289936000.0,3403367000.0,21450000.0,145017000.0,-18510000.0,14898000.0,-92052000.0,-96048000.0,52.83
2015-03-31,585394000.0,241272000.0,344122000.0,126422000.0,111698000.0,66793000.0,0.35000000000000003,130562000.0,111698000.0,191762000.0,1441600000.0,425650000.0,470444000.0,2500307000.0,2042972000.0,4543279000.0,0.0,824261000.0,0.0,241388000.0,1065649000.0,3477630000.0,18864000.0,81655000.0,-17479000.0,23177000.0,-91964000.0,-107668000.0,47.52
2015-06-30,773830000.0,354580000.0,419250000.0,143346000.0,166664000.0,137753000.0,0.72,185930000.0,166664000.0,191101000.0,1137190000.0,502034000.0,458451000.0,2283296000.0,2140113000.0,4423409000.0,0.0,961681000.0,0.0,253223000.0,1214904000.0,3208505000.0,19266000.0,-97359000.0,-21588000.0,-16091000.0,-91961000.0,-123993000.0,43.93
2015-09-30,679690000.0,317500000.0,362190000.0,130944000.0,125457000.0,119299000.0,0.63,145710000.0,125457000.0,190342000.0,1126741000.0,431942000.0,503183000.0,2231953000.0,2156519000.0,4388472000.0,0.0,894656000.0,0.0,259131000.0,1153787000.0,3234685000.0,20253000.0,137835000.0,-13560000.0,-4278000.0,-97322000.0,-148073000.0,35.88
2015-12-31,781356000.0,368214100.0,413141900.0,161368000.0,145762100.0,132382000.0,0.7000000000000001,165739100.0,145762100.0,190631000.0,1048231000.0,531481000.0,500554000.0,2211087000.0,2288304000.0,4499391000.0,0.0,865998000.0,0.0,288267000.0,1154265000.0,3345126000.0,19977000.0,158336000.0,-20044000.0,-114787000.0,-96870000.0,-120358000.0,37.17
