,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,10090000000.0,561000000.0,9529000000.0,4991000000.0,3373000000.0,2188000000.0,4.53,3675000000.0,3373000000.0,482100000.0,434924000000.0,98418000000.0,533342000000.0001,425881000000.0,959223000000.0,0.0,714987000000.0001,167008000000.0,167008000000.0,881995000000.0001,77228000000.0,302000000.0,-5698000000.0,-154000000.0,-953000000.0,-319000000.0,-2685000000.0,147.15
2013-06-30,8612000000.0,613000000.0,7999000000.0,4313000000.0,2645000000.0,1861000000.0,3.92,2911000000.0,2645000000.0,473200000.0,452681000000.0001,97357000000.0,550038000000.0001,388418000000.0,938456000000.0,0.0,698371000000.0001,162042000000.0,162042000000.0,860413000000.0001,78043000000.0,266000000.0,11332000000.0,-142000000.0,-707000000.0,-312000000.0,-1560000000.0,151.25
2013-09-30,6722000000.0,573000000.0,6149000000.0,3000000000.0,2167000000.0,1429000000.0,3.07,2447000000.0,2167000000.0,463400000.0,464316000000.0001,97720000000.0,562036000000.0001,361187000000.0,923223000000.0,0.0,677525000000.0001,168082000000.0,168082000000.0,845607000000.0001,77616000000.0,280000000.0,-3371000000.0,-145000000.0,-4155000000.0,-325000000.0,606000000.0,158.21
2013-12-31,8782000000.0,594000000.0,8188000000.0,2854000000.0,3552000000.0,2248000000.0,4.8,4026000000.0,3552000000.0,471300000.0,437102000000.0,97880000000.0,549877000000.0001,361630000000.0,911507000000.0,0.0,672075000000.0001,160965000000.0,160965000000.0,833040000000.0001,78467000000.0,474000000.0,2280000000.0,-203000000.0,-2913000000.0,-346000000.0,-3712000000.0,177.26
2014-03-31,9328000000.0,595000000.0,8733000000.0,4633000000.0,3021000000.0,1949000000.0,4.15,3411000000.0,3021000000.0,468600000.0,444806000000.0,114874000000.0,559680000000.0001,355985000000.0,915665000000.0,0.0,670939000000.0001,165627000000.0,165627000000.0,836566000000.0001,79099000000.0,390000000.0,-4221000000.0,-159000000.0,-3203000000.0,-348000000.0,5149000000.0,163.85
2014-06-30,9125000000.0,613000000.0,8512000000.0,4539000000.0,2821000000.0,1953000000.0,4.21,3115000000.0,2821000000.0,461700000.0,371473000000.0,119244000000.0,490717000000.0001,369197000000.0,859914000000.0001,0.0,611266000000.0001,167019000000.0,167019000000.0,778285000000.0001,81629000000.0,294000000.0,529000000.0,-184000000.0,-3610000000.0,-343000000.0,1206000000.0,167.44
2014-09-30,8387000000.0,624000000.0,7763000000.0,3423000000.0,3305000000.0,2143000000.0,4.69,3606000000.0,3305000000.0,455500000.0,396381000000.0,125006000000.0,521387000000.0001,347546000000.0,868933000000.0001,0.0,621354000000.0001,165304000000.0,165304000000.0,786658000000.0001,82275000000.0,301000000.0,-8899000000.0,-148000000.0,-3778000000.0,-354000000.0,9844000000.0,183.57
2014-12-31,7688000000.0,669000000.0,7019000000.0,2604000000.0,3210000000.0,2032000000.0,4.5,3562000000.0,3210000000.0,458900000.0,397976000000.0,94479000000.0,521393000000.0001,334449000000.0,855842000000.0001,0.0,605743000000.0001,167302000000.0,167302000000.0,773045000000.0001,82797000000.0,352000000.0,4659000000.0,-157000000.0,-4318000000.0,-409000000.0,2800000000.0,193.83
2015-03-31,10617000000.0,638000000.0,9979000000.0,5072000000.0,3934000000.0,2748000000.0,6.05,4153000000.0,3934000000.0,453300000.0,385350000000.0,98302000000.0,516271000000.0001,349187000000.0,865458000000.0001,0.0,616649000000.0001,163682000000.0,163682000000.0,780331000000.0001,85127000000.0,219000000.0,6736000000.0,-289000000.0,-4263000000.0,-373000000.0,3056000000.0,187.97
2015-06-30,9069000000.0,647000000.0,8422000000.0,4448000000.0,1726000000.0,916000000.0,2.01,1991000000.0,1726000000.0,451400000.0,397782000000.0,94685000000.0,530864000000.0001,329015000000.0,859879000000.0001,0.0,601966000000.0001,170259000000.0,170259000000.0,772225000000.0001,87654000000.0,265000000.0,-7840000000.0,-360000000.0,-7153000000.0,-431000000.0,12709000000.0,208.79
2015-09-30,6861000000.0,665000000.0,6196000000.0,2986000000.0,2046000000.0,1330000000.0,2.95,2268000000.0,2046000000.0,449000000.0,423961000000.0,99002000000.0,565152000000.0001,315407000000.0,880559000000.0001,0.0,617039000000.0001,175817000000.0,175817000000.0,792856000000.0001,87703000000.0,222000000.0,1270000000.0,-436000000.0,-3331000000.0,-393000000.0,6791000000.0,173.76
