,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,6974000000.0,6000000000.0,974000000.0,72000000.0,-98000000.0,-18000000.0,-0.02,350000000.0,-98000000.0,931000000.0,2029000000.0,6210000000.0,3257000000.0,13152000000.0,14532000000.0,27684000000.0,0.0,4666000000.0,4820000000.0,7281000000.0,11947000000.0,15737000000.0,448000000.0,349000000.0,-685000000.0,-651000000.0,-116000000.0,-145000000.0,40.41
2013-06-30,7317000000.0,6246000000.0,1071000000.0,87000000.0,984000000.0,644000000.0,0.73,1458000000.0,984000000.0,925000000.0,1412000000.0,6359000000.0,3341000000.0,12621000000.0,14797000000.0,27418000000.0,0.0,4777000000.0,4820000000.0,7276000000.0,12053000000.0,15365000000.0,474000000.0,1122000000.0,-711000000.0,-540000000.0,-115000000.0,-1184000000.0,41.72
2013-09-30,7472000000.0,6284000000.0,1188000000.0,80000000.0,1108000000.0,706000000.0,0.79,1589000000.0,1108000000.0,890000000.0,1491000000.0,6626000000.0,3399000000.0,12890000000.0,15058000000.0,27948000000.0,0.0,4762000000.0,7816000000.0,10368000000.0,15130000000.0,12818000000.0,481000000.0,1078000000.0,-679000000.0,-676000000.0,-106000000.0,-338000000.0,48.15
2013-12-31,7639000000.0,6401000000.0,1238000000.0,94000000.0,1144000000.0,793000000.0,0.93,1641000000.0,1144000000.0,898000000.0,2356000000.0,6181000000.0,3305000000.0,13704000000.0,15519000000.0,29223000000.0,0.0,5026000000.0,7816000000.0,10582000000.0,15608000000.0,13615000000.0,497000000.0,1898000000.0,-618000000.0,-1003000000.0,-128000000.0,-87000000.0,50.75
2014-03-31,7348000000.0,6303000000.0,1045000000.0,75000000.0,970000000.0,622000000.0,0.73,1480000000.0,970000000.0,849000000.0,2123000000.0,6314000000.0,3415000000.0,13486000000.0,15770000000.0,29256000000.0,0.0,4932000000.0,7816000000.0,10572000000.0,15504000000.0,13752000000.0,510000000.0,954000000.0,-643000000.0,-674000000.0,-127000000.0,-514000000.0,58.89
2014-06-30,8051000000.0,6768000000.0,1283000000.0,89000000.0,1194000000.0,774000000.0,0.92,1718000000.0,1194000000.0,846000000.0,2360000000.0,6781000000.0,3529000000.0,14165000000.0,16319000000.0,30484000000.0,0.0,5369000000.0,7816000000.0,10528000000.0,15897000000.0,14587000000.0,524000000.0,1121000000.0,-732000000.0,-846000000.0,-127000000.0,-10000000.0,71.01
2014-09-30,8701000000.0,6993000000.0,1708000000.0,74000000.0,1634000000.0,1203000000.0,1.42,2169000000.0,1634000000.0,848000000.0,2029000000.0,7555000000.0,3650000000.0,14847000000.0,16736000000.0,31583000000.0,0.0,5889000000.0,7816000000.0,10176000000.0,16065000000.0,15518000000.0,535000000.0,838000000.0,-909000000.0,-812000000.0,-127000000.0,-346000000.0,64.51
2014-12-31,8770000000.0,7270000000.0,1500000000.0,55000000.0,1299000000.0,901000000.0,1.06,1856000000.0,1299000000.0,848000000.0,2291000000.0,7564000000.0,3571000000.0,14647000000.0,17518000000.0,32165000000.0,14000000.0,5866000000.0,7765000000.0,10001000000.0,15867000000.0,16298000000.0,557000000.0,1149000000.0,-661000000.0,-806000000.0,-152000000.0,-160000000.0,39.33
2015-03-31,7050000000.0,6285000000.0,765000000.0,66000000.0,-548000000.0,-643000000.0,-0.76,12000000.0,-548000000.0,850000000.0,2294000000.0,6419000000.0,3467000000.0,13825000000.0,16762000000.0,30587000000.0,0.0,5018000000.0,7841000000.0,9946000000.0,14964000000.0,15623000000.0,560000000.0,812000000.0,-650000000.0,-682000000.0,-153000000.0,-102000000.0,43.88
2015-06-30,5919000000.0,5233000000.0,686000000.0,43000000.0,254000000.0,54000000.0,0.06,710000000.0,254000000.0,852000000.0,2760000000.0,5633000000.0,2831000000.0,15224000000.0,15382000000.0,30606000000.0,0.0,5005000000.0,7838000000.0,9886000000.0,14891000000.0,15715000000.0,456000000.0,1183000000.0,-490000000.0,-553000000.0,-153000000.0,-141000000.0,43.07
2015-09-30,5582000000.0,5039000000.0,543000000.0,37000000.0,43000000.0,-54000000.0,-0.06,460000000.0,43000000.0,855000000.0,2249000000.0,5791000000.0,2692000000.0,14919000000.0,15329000000.0,30248000000.0,648000000.0,5703000000.0,7243000000.0,9065000000.0,14768000000.0,15480000000.0,417000000.0,26000000.0,-475000000.0,-489000000.0,-154000000.0,-79000000.0,35.35
2015-12-31,5082000000.0,4556000000.0,526000000.0,54000000.0,86000000.0,-28000000.0,-0.03,488000000.0,86000000.0,853000000.0,10077000000.0,5317000000.0,2993000000.0,20070000000.0,16872000000.0,36942000000.0,659000000.0,5337000000.0,14687000000.0,16110000000.0,21447000000.0,15495000000.0,402000000.0,885000000.0,-401000000.0,-468000000.0,-154000000.0,7403000000.0,34.04
2016-03-31,4198000000.0,3925000000.0,273000000.0,48000000.0,-3079000000.0,-2412000000.0,-2.81,-2733000000.0,-3079000000.0,858000000.0,9593000000.0,4983000000.0,2893000000.0,19105000000.0,14827000000.0,33932000000.0,3186000000.0,7412000000.0,12207000000.0,13460000000.0,20872000000.0,13060000000.0,346000000.0,-171000000.0,-184000000.0,-208000000.0,-154000000.0,-77000000.0,35.72
2016-06-30,3835000000.0,3732000000.0,103000000.0,41000000.0,-3880000000.0,-3208000000.0,-3.73,-3484000000.0,-3880000000.0,860000000.0,3108000000.0,4725000000.0,2650000000.0,12580000000.0,15157000000.0,27737000000.0,763000000.0,4478000000.0,12158000000.0,13482000000.0,17960000000.0,9777000000.0,396000000.0,-3632000000.0,-149000000.0,-185000000.0,-155000000.0,-2655000000.0,45.29
2016-09-30,3833000000.0,3662000000.0,171000000.0,43000000.0,128000000.0,6000000.0,0.01,503000000.0,128000000.0,862000000.0,3289000000.0,4360000000.0,2475000000.0,11760000000.0,14995000000.0,26755000000.0,152000000.0,3631000000.0,12163000000.0,13398000000.0,17029000000.0,9726000000.0,375000000.0,1041000000.0,-116000000.0,-129000000.0,-156000000.0,-719000000.0,44.88
2016-12-31,4021000000.0,3698000000.0,323000000.0,94000000.0,61000000.0,-149000000.0,-0.17,447000000.0,61000000.0,861000000.0,4009000000.0,3922000000.0,2275000000.0,11677000000.0,15323000000.0,27000000000.0,170000000.0,4023000000.0,12214000000.0,13529000000.0,17552000000.0,9448000000.0,386000000.0,1059000000.0,-127000000.0,-188000000.0,-155000000.0,-89000000.0,54.09
2017-03-31,4279000000.0,4021000000.0,258000000.0,55000000.0,203000000.0,-32000000.0,-0.04,586000000.0,203000000.0,867000000.0,2107000000.0,4008000000.0,2295000000.0,9828000000.0,15057000000.0,24885000000.0,97000000.0,3842000000.0,10812000000.0,12054000000.0,15896000000.0,8989000000.0,383000000.0,5000000.0,-224000000.0,-237000000.0,-156000000.0,-1659000000.0,49.21
2017-06-30,4957000000.0,4474000000.0,483000000.0,75000000.0,146000000.0,28000000.0,0.03,532000000.0,146000000.0,869000000.0,2139000000.0,4385000000.0,2283000000.0,10260000000.0,15065000000.0,25325000000.0,336000000.0,4068000000.0,10816000000.0,12304000000.0,16372000000.0,8953000000.0,386000000.0,346000000.0,-292000000.0,-308000000.0,-156000000.0,18000000.0,42.71
2017-09-30,5444000000.0,4747000000.0,697000000.0,55000000.0,642000000.0,365000000.0,0.42,1036000000.0,642000000.0,872000000.0,1898000000.0,4852000000.0,2444000000.0,10144000000.0,15646000000.0,25790000000.0,515000000.0,4601000000.0,10423000000.0,11943000000.0,16544000000.0,9246000000.0,394000000.0,1106000000.0,-307000000.0,-962000000.0,-157000000.0,-369000000.0,46.03
2017-12-31,5940000000.0,5101000000.0,839000000.0,71000000.0,383000000.0,-824000000.0,-0.9400000000000001,776000000.0,383000000.0,870000000.0,2337000000.0,5036000000.0,2396000000.0,10777000000.0,14308000000.0,25085000000.0,512000000.0,4862000000.0,10430000000.0,11874000000.0,16736000000.0,8349000000.0,393000000.0,1011000000.0,-392000000.0,-420000000.0,-157000000.0,-151000000.0,48.87
2018-03-31,5740000000.0,5063000000.0,677000000.0,58000000.0,354000000.0,46000000.0,0.05,748000000.0,354000000.0,875000000.0,2332000000.0,5255000000.0,2458000000.0,11035000000.0,14156000000.0,25191000000.0,466000000.0,4969000000.0,10428000000.0,11831000000.0,16800000000.0,8391000000.0,394000000.0,572000000.0,-454000000.0,-374000000.0,-158000000.0,-179000000.0,46.94
2018-06-30,6147000000.0,5293000000.0,854000000.0,65000000.0,789000000.0,511000000.0,0.58,1179000000.0,789000000.0,877000000.0,2472000000.0,5403000000.0,2637000000.0,11436000000.0,14329000000.0,25765000000.0,444000000.0,5107000000.0,10427000000.0,11815000000.0,16922000000.0,8843000000.0,390000000.0,956000000.0,-491000000.0,-1063000000.0,-158000000.0,-151000000.0,45.06
2018-09-30,6172000000.0,5384000000.0,788000000.0,72000000.0,716000000.0,435000000.0,0.5,1116000000.0,716000000.0,877000000.0,2057000000.0,5526000000.0,2887000000.0,11436000000.0,14315000000.0,25751000000.0,35000000.0,4953000000.0,10424000000.0,11781000000.0,16734000000.0,9017000000.0,400000000.0,777000000.0,-372000000.0,-2000000.0,-157000000.0,-751000000.0,40.53
2018-12-31,5936000000.0,5269000000.0,667000000.0,59000000.0,608000000.0,664000000.0,0.76,1030000000.0,608000000.0,875000000.0,2008000000.0,5234000000.0,3028000000.0,11151000000.0,14831000000.0,25982000000.0,0.0,4802000000.0,10312000000.0,11636000000.0,16438000000.0,9544000000.0,422000000.0,852000000.0,-491000000.0,-554000000.0,-157000000.0,-338000000.0,26.58
2019-03-31,5737000000.0,5252000000.0,485000000.0,59000000.0,365000000.0,152000000.0,0.17,781000000.0,365000000.0,873000000.0,1380000000.0,5622000000.0,3264000000.0,11188000000.0,14782000000.0,26989000000.0,255000000.0,5047000000.0,10307000000.0,12317000000.0,17364000000.0,9625000000.0,416000000.0,-44000000.0,-394000000.0,-411000000.0,-157000000.0,-155000000.0,29.3
2019-06-30,5930000000.0,5324000000.0,606000000.0,56000000.0,303000000.0,75000000.0,0.09,723000000.0,303000000.0,874000000.0,1176000000.0,5700000000.0,3347000000.0,11220000000.0,14682000000.0,26880000000.0,215000000.0,4955000000.0,10307000000.0,12401000000.0,17356000000.0,9524000000.0,420000000.0,451000000.0,-364000000.0,-400000000.0,-157000000.0,-253000000.0,22.74
2019-09-30,5550000000.0,4961000000.0,589000000.0,53000000.0,536000000.0,295000000.0,0.34,953000000.0,536000000.0,876000000.0,1571000000.0,5290000000.0,3380000000.0,11220000000.0,14584000000.0,26789000000.0,208000000.0,4692000000.0,10313000000.0,12335000000.0,17027000000.0,9762000000.0,417000000.0,871000000.0,-289000000.0,-319000000.0,-158000000.0,-142000000.0,18.85
2019-12-31,5191000000.0,4586000000.0,605000000.0,59000000.0,-1652000000.0,-1653000000.0,-1.88,-1280000000.0,-1652000000.0,875000000.0,2268000000.0,4577000000.0,3139000000.0,11212000000.0,13234000000.0,25377000000.0,11000000.0,4878000000.0,10316000000.0,12474000000.0,17352000000.0,8025000000.0,372000000.0,1167000000.0,-293000000.0,-315000000.0,-158000000.0,-145000000.0,24.47
2020-03-31,5037000000.0,4481000000.0,556000000.0,54000000.0,-571000000.0,-1017000000.0,-1.16,-223000000.0,-571000000.0,878000000.0,1385000000.0,4850000000.0,3220000000.0,10655000000.0,12070000000.0,23622000000.0,193000000.0,5053000000.0,9633000000.0,11726000000.0,16779000000.0,6843000000.0,348000000.0,225000000.0,-144000000.0,-165000000.0,-158000000.0,-903000000.0,6.85
2020-06-30,3196000000.0,2917000000.0,279000000.0,43000000.0,-1911000000.0,-1676000000.0,-1.9100000000000001,-1660000000.0,-1911000000.0,877000000.0,1811000000.0,3345000000.0,2745000000.0,9099000000.0,11255000000.0,21104000000.0,188000000.0,4094000000.0,9638000000.0,11814000000.0,15908000000.0,5196000000.0,251000000.0,598000000.0,-89000000.0,-116000000.0,-40000000.0,-34000000.0,12.98
2020-09-30,2975000000.0,2659000000.0,316000000.0,41000000.0,142000000.0,-17000000.0,-0.02,372000000.0,142000000.0,882000000.0,2115000000.0,3145000000.0,2580000000.0,9023000000.0,11090000000.0,20874000000.0,195000000.0,3923000000.0,9632000000.0,11748000000.0,15671000000.0,5203000000.0,230000000.0,420000000.0,-78000000.0,-63000000.0,-40000000.0,-35000000.0,12.05
2020-12-31,3237000000.0,2843000000.0,394000000.0,44000000.0,-96000000.0,-235000000.0,-0.27,133000000.0,-96000000.0,881000000.0,2563000000.0,3071000000.0,2349000000.0,9475000000.0,10419000000.0,20680000000.0,695000000.0,4421000000.0,9132000000.0,11276000000.0,15697000000.0,4983000000.0,229000000.0,638000000.0,-131000000.0,-142000000.0,-40000000.0,-35000000.0,18.9
2021-03-31,3451000000.0,3033000000.0,418000000.0,48000000.0,370000000.0,170000000.0,0.19,596000000.0,370000000.0,889000000.0,2446000000.0,3250000000.0,2349000000.0,9520000000.0,10295000000.0,20575000000.0,515000000.0,4225000000.0,9127000000.0,11171000000.0,15396000000.0,5179000000.0,226000000.0,203000000.0,-46000000.0,-62000000.0,-40000000.0,-223000000.0,21.46
2021-06-30,3707000000.0,3222000000.0,485000000.0,51000000.0,434000000.0,227000000.0,0.26,657000000.0,434000000.0,890000000.0,2658000000.0,3459000000.0,2355000000.0,9927000000.0,10255000000.0,20917000000.0,515000000.0,4334000000.0,9124000000.0,11154000000.0,15488000000.0,5429000000.0,223000000.0,409000000.0,-144000000.0,-159000000.0,-40000000.0,-45000000.0,23.12
2021-09-30,3860000000.0,3356000000.0,504000000.0,46000000.0,446000000.0,236000000.0,0.26,682000000.0,446000000.0,894000000.0,2632000000.0,3525000000.0,2354000000.0,9431000000.0,10610000000.0,21025000000.0,11000000.0,3946000000.0,9125000000.0,11386000000.0,15332000000.0,5693000000.0,224000000.0,617000000.0,-148000000.0,-87000000.0,-41000000.0,-542000000.0,21.62
2021-12-31,4277000000.0,3668000000.0,609000000.0,59000000.0,550000000.0,824000000.0,0.92,781000000.0,550000000.0,896000000.0,3044000000.0,3666000000.0,2361000000.0,9943000000.0,11444000000.0,22321000000.0,273000000.0,4306000000.0,9127000000.0,11287000000.0,15593000000.0,6728000000.0,231000000.0,682000000.0,-204000000.0,-226000000.0,-40000000.0,-28000000.0,22.87
2022-03-31,4284000000.0,3699000000.0,585000000.0,52000000.0,511000000.0,263000000.0,0.29,743000000.0,511000000.0,899000000.0,2154000000.0,4026000000.0,2578000000.0,9717000000.0,11443000000.0,22073000000.0,237000000.0,4444000000.0,8530000000.0,10596000000.0,15040000000.0,7033000000.0,232000000.0,-50000000.0,-133000000.0,-155000000.0,-108000000.0,-668000000.0,37.87
2022-06-30,5074000000.0,4289000000.0,785000000.0,67000000.0,374000000.0,109000000.0,0.12,612000000.0,374000000.0,904000000.0,2226000000.0,4390000000.0,2654000000.0,10262000000.0,11289000000.0,22445000000.0,227000000.0,4766000000.0,8525000000.0,10531000000.0,15297000000.0,7148000000.0,238000000.0,376000000.0,-161000000.0,-193000000.0,-109000000.0,-75000000.0,31.36
2022-09-30,5357000000.0,4452000000.0,905000000.0,59000000.0,846000000.0,544000000.0,0.6000000000000001,1080000000.0,846000000.0,908000000.0,1977000000.0,4614000000.0,2842000000.0,10411000000.0,11225000000.0,22563000000.0,224000000.0,4968000000.0,7927000000.0,9950000000.0,14918000000.0,7645000000.0,234000000.0,753000000.0,-210000000.0,-230000000.0,-110000000.0,-712000000.0,24.62
2022-12-31,5582000000.0,1046000000.0,4536000000.0,0.0,4466000000.0,656000000.0,0.0,0.0,4466000000.0,906000000.0,2346000000.0,4627000000.0,2923000000.0,10952000000.0,11390000000.0,23255000000.0,0.0,5345000000.0,7928000000.0,9933000000.0,15278000000.0,7977000000.0,236000000.0,1163000000.0,-307000000.0,-389000000.0,-108000000.0,-343000000.0,39.35
