,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,6106000000.0,3054000000.0,3052000000.0,1098000000.0,1046000000.0,1276000000.0,3.7199999999999998,1735000000.0,1046000000.0,339200000.0,444000000.0,1840000000.0,686000000.0,11418000000.0,30961000000.0,42379000000.0,1904000000.0,8906000000.0,5472000000.0,10948000000.0,19854000000.0,22525000000.0,689000000.0,819000000.0,-190000000.0,-261000000.0,-35000000.0,-756000000.0,71.61
2013-06-30,3069000000.0,421000000.0,2648000000.0,803000000.0,1031000000.0,1431000000.0,4.16,1635000000.0,1031000000.0,340100000.0,725000000.0,1954000000.0,683000000.0,9992000000.0,31436000000.0,41428000000.0,354000000.0,6733000000.0,5446000000.0,10722000000.0,17455000000.0,23973000000.0,604000000.0,1247000000.0,1007000000.0,936000000.0,-34000000.0,-1902000000.0,66.49
2013-09-30,2720000000.0,375000000.0,2345000000.0,738000000.0,772000000.0,420000000.0,1.22,1453000000.0,772000000.0,339000000.0,321000000.0,1777000000.0,695000000.0,9257000000.0,32639000000.0,41896000000.0,791000000.0,6923000000.0,5418000000.0,11131000000.0,18054000000.0,23842000000.0,681000000.0,1254000000.0,-1404000000.0,-1487000000.0,-85000000.0,-171000000.0,77.34
2013-12-31,2722000000.0,461000000.0,2261000000.0,265000000.0,-11000000.0,1925000000.0,5.76,702000000.0,-11000000.0,336600000.0,1814000000.0,3525000000.0,954000000.0,8599000000.0,34155000000.0,42754000000.0,378000000.0,6558000000.0,5420000000.0,11412000000.0,17970000000.0,24784000000.0,713000000.0,1778000000.0,-892000000.0,1162000000.0,-81000000.0,-1447000000.0,83.0
2014-03-31,2673000000.0,393000000.0,2280000000.0,670000000.0,765000000.0,386000000.0,1.2,1491000000.0,765000000.0,318100000.0,1288000000.0,3225000000.0,1055000000.0,7048000000.0,34376000000.0,41424000000.0,142000000.0,5981000000.0,5434000000.0,11201000000.0,17182000000.0,24242000000.0,726000000.0,1158000000.0,91000000.0,-262000000.0,-79000000.0,-1422000000.0,82.88
2014-06-30,2829000000.0,421000000.0,2408000000.0,766000000.0,397000000.0,931000000.0,2.96,1182000000.0,397000000.0,309700000.0,2205000000.0,2698000000.0,842000000.0,8767000000.0,32304000000.0,41071000000.0,124000000.0,5257000000.0,5953000000.0,11460000000.0,16717000000.0,24354000000.0,785000000.0,903000000.0,416000000.0,240000000.0,-78000000.0,-226000000.0,98.89
2014-09-30,2678000000.0,423000000.0,2255000000.0,719000000.0,608000000.0,1008000000.0,3.31,1446000000.0,608000000.0,300700000.0,4120000000.0,3059000000.0,817000000.0,8865000000.0,32110000000.0,40975000000.0,67000000.0,5015000000.0,5929000000.0,11595000000.0,16610000000.0,24365000000.0,838000000.0,1322000000.0,-1215000000.0,1585000000.0,-75000000.0,-992000000.0,94.32
2014-12-31,2557000000.0,482000000.0,2075000000.0,742000000.0,287000000.0,-8000000.0,-0.03,1162000000.0,287000000.0,303700000.0,2444000000.0,2073000000.0,527000000.0,6313000000.0,32094000000.0,38407000000.0,68000000.0,4851000000.0,5919000000.0,11236000000.0,16087000000.0,22320000000.0,875000000.0,1074000000.0,-1528000000.0,-1555000000.0,-71000000.0,-1195000000.0,73.82
2015-03-31,1550000000.0,278000000.0,1272000000.0,689000000.0,-642000000.0,-389000000.0,-1.37,314000000.0,-642000000.0,283500000.0,1506000000.0,1711000000.0,546000000.0,4323000000.0,31778000000.0,36101000000.0,69000000.0,3467000000.0,5911000000.0,10967000000.0,14434000000.0,21667000000.0,956000000.0,436000000.0,-1311000000.0,-1226000000.0,-72000000.0,-148000000.0,67.87
2015-06-30,1935000000.0,356000000.0,1579000000.0,699000000.0,-623000000.0,-567000000.0,-1.99,405000000.0,-623000000.0,284300000.0,931000000.0,1794000000.0,569000000.0,3926000000.0,31632000000.0,35558000000.0,69000000.0,3493000000.0,5888000000.0,10962000000.0,14455000000.0,21103000000.0,1028000000.0,640000000.0,-1112000000.0,-1115000000.0,-72000000.0,-100000000.0,66.88
