,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,612663000.0,333337000.0,279326000.0,152847000.0,5542100.0,-51104000.0,-0.19,131818100.0,5542100.0,268175000.0,752175000.0,487846000.0,319998000.0,1607248000.0,8701957000.0,10309210000.0,453677000.0,1010306000.0,4551019000.0,6308336000.0,7318642000.0,2990564000.0,126276000.0,14503000.0,-24396000.0,50353000.0,0.0,-37283000.0,22.6
2013-06-30,626100000.0,316300000.0,309800000.0,143400000.0,61100000.0,-11000000.0,-0.04,190069000.0,61100000.0,269430000.0,964384900.0,433296000.0,306019000.0,1751345000.0,8581858000.0,10333200000.0,657370000.0,1258923000.0,4347300000.0,6077646000.0,7336569000.0,2996634000.0,128969000.0,246272000.0,-26157000.0,-26005000.0,0.0,-5436000.0,19.3
2013-09-30,622175100.0,331573800.0,290601300.0,124719000.0,-1036071000.0,-1113814000.0,-4.11,213929200.0,-1036071000.0,268704000.0,829400000.0,454000000.0,289400000.0,1624200000.0,7376600000.0,9000800000.0,563800000.0,1088400000.0,4242100000.0,5970900000.0,7059300000.0,1941500000.0,1250000000.0,78000000.0,-17100000.0,-21300000.0,0.0,-193500000.0,20.65
2013-12-31,612500000.0,306900000.0,305600000.0,151100000.0,61300000.0,-5300000.0,-0.02,189100000.0,61300000.0,272708000.0,448637000.0,394471000.0,301709000.0,1226939000.0,7257369000.0,8484308000.0,77033000.0,628257000.0,4224732000.0,5905520000.0,6533777000.0,1950531000.0,127800000.0,149300000.0,-16400000.0,-14400000.0,0.0,-514500000.0,22.35
2014-03-31,625000000.0,342900000.0,282100000.0,140800000.0,50200000.0,-16800000.0,-0.06,180300000.0,50200000.0,274589000.0,490379000.0,387633000.0,310980000.0,1264560000.0,7097835000.0,8362395000.0,89497000.0,550683000.0,4183958000.0,5831609000.0,6382292000.0,1980103000.0,130100000.0,69000000.0,-21400000.0,-20200000.0,0.0,-6700000.0,21.5
2014-06-30,632600000.0,319800000.0,312800000.0,147700000.0,76200000.0,11300000.0,0.04,210099900.0,76200000.0,276843000.0,638400000.0,392000000.0,329800000.0,1432400000.0,6979600000.0,8412000000.0,102000000.0,597900000.0,4168500000.0,5782800000.0,6380700000.0,2031300000.0,133900000.0,158400000.0,-20000000.0,-17300000.0,0.0,6800000.0,25.35
2014-09-30,660600000.0,315599900.0,345000100.0,151900000.0,92000200.0,28100000.0,0.1,223400200.0,92000200.0,275499000.0,741600000.0,418400000.0,330600000.0,1565800000.0,6848900000.0,8414700000.0,114500000.0,619600000.0,4153200000.0,5732100000.0,6351700000.0,2063000000.0,131400000.0,131700000.0,-12300000.0,-15100000.0,0.0,-10700000.0,24.33
2014-12-31,652800000.0,314200000.0,338600000.0,147300000.0,103500000.0,29200000.0,0.1,225500000.0,103500000.0,278671000.0,549100000.0,400500000.0,310300000.0,1336600000.0,6741500000.0,8078100000.0,139400000.0,607800000.0,3815400000.0,5367900000.0,5975700000.0,2102400000.0,122000000.0,153500000.0,-21100000.0,-22000000.0,0.0,-321200000.0,26.74
2015-03-31,655500000.0,319500000.0,336000000.0,143300000.0,109800000.0,47800000.0,0.17,236400000.0,109800000.0,280338000.0,675100000.0,402100000.0,298200000.0,1416300000.0,6615500000.0,8031800000.0,581700000.0,1044200000.0,3358100000.0,4819000000.0,5863200000.0,2168600000.0,126600000.0,157800000.0,-18600000.0,-17000000.0,0.0,-11100000.0,33.03
2015-06-30,693900000.0,315200000.0,378700000.0,167400000.0,116000000.0,29400000.0,0.1,236500000.0,116000000.0,281184000.0,888800000.0,406500000.0,295000000.0,1628800000.0,6501700000.0,8130500000.0,671500000.0,1189200000.0,3270800000.0,4704200000.0,5893400000.0,2237100000.0,120500000.0,242300000.0,-18400000.0,-17800000.0,0.0,-11200000.0,38.06
