,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,9328000000.0,6783000000.0,2545000000.0,1229000000.0,1316000000.0,966000000.0,1.23,1564000000.0,1316000000.0,785800000.0,4539000000.0,7585000000.0,4297000000.0,17681000000.0,24119000000.0,41800000000.0,712000000.0,13111000000.0,5787000000.0,15156000000.0,28267000000.0,13533000000.0,248000000.0,341000000.0,-148000000.0,-311000000.0,-322000000.0,-58000000.0,71.84
2013-06-30,9693000000.0,7027000000.0,2666000000.0,1281000000.0,1385000000.0,1021000000.0,1.3,1632000000.0,1385000000.0,787600000.0,4549000000.0,7655000000.0,4295000000.0,17849000000.0,24317000000.0,42166000000.0,723000000.0,13480000000.0,5779000000.0,14828000000.0,28308000000.0,13858000000.0,247000000.0,1256000000.0,-190000000.0,-552000000.0,-343000000.0,-592000000.0,75.64
2013-09-30,9647000000.0,6942000000.0,2705000000.0,1242000000.0,1463000000.0,990000000.0,1.26,1708000000.0,1463000000.0,786300000.0,5499000000.0,7950000000.0,4455000000.0,19304000000.0,25102000000.0,44406000000.0,720000000.0,14663000000.0,5789000000.0,14670000000.0,29333000000.0,15073000000.0,245000000.0,1070000000.0,-202000000.0,-691000000.0,-330000000.0,517000000.0,79.17
2013-12-31,10387000000.0,7612000000.0,2775000000.0,1438000000.0,1337000000.0,947000000.0,1.2,1586000000.0,1337000000.0,786400000.0,6422000000.0,7929000000.0,4293000000.0,21164000000.0,24271000000.0,45435000000.0,729000000.0,14181000000.0,6801000000.0,13675000000.0,27856000000.0,17579000000.0,249000000.0,1668000000.0,-392000000.0,-405000000.0,-358000000.0,-300000000.0,87.11
2014-03-31,9679000000.0,6967000000.0,2712000000.0,1339000000.0,1373000000.0,1017000000.0,1.3,1611000000.0,1373000000.0,784900000.0,6672000000.0,8081000000.0,4407000000.0,21531000000.0,24246000000.0,45777000000.0,153000000.0,14353000000.0,6804000000.0,13381000000.0,27734000000.0,18043000000.0,238000000.0,688000000.0,-185000000.0,-345000000.0,-363000000.0,-48000000.0,88.43
2014-06-30,10253000000.0,7296000000.0,2957000000.0,1375000000.0,1582000000.0,1099000000.0,1.4,1815000000.0,1582000000.0,784500000.0,6582000000.0,8350000000.0,4511000000.0,22453000000.0,24143000000.0,46596000000.0,156000000.0,14324000000.0,6839000000.0,13455000000.0,27779000000.0,18817000000.0,233000000.0,1341000000.0,-225000000.0,-860000000.0,-373000000.0,-646000000.0,88.62
2014-09-30,10108000000.0,7128000000.0,2980000000.0,1344000000.0,1636000000.0,1167000000.0,1.49,1863000000.0,1636000000.0,784500000.0,6428000000.0,8315000000.0,4485000000.0,22358000000.0,23823000000.0,46181000000.0,280000000.0,13947000000.0,6760000000.0,13171000000.0,27118000000.0,19063000000.0,227000000.0,1233000000.0,-258000000.0,-434000000.0,-365000000.0,-809000000.0,88.78
2014-12-31,10266000000.0,7566000000.0,2700000000.0,1460000000.0,1240000000.0,956000000.0,1.22,1466000000.0,1240000000.0,784400000.0,6959000000.0,7960000000.0,4405000000.0,22191000000.0,23260000000.0,45451000000.0,939000000.0,14773000000.0,6046000000.0,12894000000.0,27667000000.0,17784000000.0,226000000.0,1818000000.0,-408000000.0,-237000000.0,-409000000.0,-825000000.0,95.26
2015-03-31,9213000000.0,6362000000.0,2851000000.0,1230000000.0,1621000000.0,1116000000.0,1.42,1837000000.0,1621000000.0,783800000.0,6575000000.0,8158000000.0,4507000000.0,22272000000.0,23085000000.0,45357000000.0,1351000000.0,15432000000.0,5661000000.0,12248000000.0,27680000000.0,17677000000.0,216000000.0,421000000.0,-164000000.0,-920000000.0,-415000000.0,367000000.0,99.45
2015-06-30,9775000000.0,6814000000.0,2961000000.0,1242000000.0,1719000000.0,1194000000.0,1.52,1945000000.0,1719000000.0,783300000.0,5954000000.0,8237000000.0,4447000000.0,23180000000.0,23232000000.0,46412000000.0,1362000000.0,15574000000.0,5562000000.0,12241000000.0,27815000000.0,18597000000.0,226000000.0,1408000000.0,-241000000.0,-1625000000.0,-436000000.0,-437000000.0,97.22
2015-09-30,9611000000.0,6654000000.0,2957000000.0,1202000000.0,1755000000.0,1264000000.0,1.62,1974000000.0,1755000000.0,780400000.0,6563000000.0,7936000000.0,4441000000.0,23479000000.0,23146000000.0,46625000000.0,1272000000.0,16367000000.0,5599000000.0,12362000000.0,28729000000.0,17896000000.0,219000000.0,1727000000.0,-277000000.0,-39000000.0,-410000000.0,-843000000.0,90.27
2015-12-31,9982000000.0,6917000000.0,3065000000.0,1332000000.0,1733000000.0,1194000000.0,1.55,1955000000.0,1733000000.0,779800000.0,5455000000.0,8075000000.0,4420000000.0,20053000000.0,29263000000.0,49316000000.0,577000000.0,18371000000.0,5554000000.0,12527000000.0,30898000000.0,18418000000.0,222000000.0,1963000000.0,-376000000.0,-3930000000.0,-465000000.0,950000000.0,98.74
2016-03-31,9522000000.0,6547000000.0,2975000000.0,1280000000.0,1695000000.0,1216000000.0,1.54,1948000000.0,1695000000.0,767900000.0,4473000000.0,8397000000.0,4743000000.0,19532000000.0,30833000000.0,50365000000.0,626000000.0,15659000000.0,9700000000.0,16334000000.0,31993000000.0,18372000000.0,253000000.0,319000000.0,-193000000.0,-1196000000.0,-499000000.0,-223000000.0,106.83
2016-06-30,9991000000.0,6821000000.0,3170000000.0,1329000000.0,1841000000.0,1319000000.0,1.6800000000000002,2101000000.0,1841000000.0,763300000.0,5045000000.0,8730000000.0,4678000000.0,20380000000.0,30801000000.0,51181000000.0,618000000.0,15911000000.0,9607000000.0,16328000000.0,32239000000.0,18942000000.0,260000000.0,1583000000.0,-281000000.0,-346000000.0,-458000000.0,-598000000.0,110.9
2016-09-30,9804000000.0,6903000000.0,2901000000.0,1367000000.0,1534000000.0,1240000000.0,1.62,1794000000.0,1534000000.0,763700000.0,6431000000.0,8627000000.0,4587000000.0,21834000000.0,31722000000.0,53556000000.0,649000000.0,18213000000.0,9608000000.0,15972000000.0,34185000000.0,19371000000.0,260000000.0,1554000000.0,-271000000.0,-1734000000.0,-453000000.0,1529000000.0,111.15
