,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2293511000.0,1646520000.0,646991000.0,493362000.0,153628900.0,91478000.0,0.53,192224900.0,153628900.0,173308000.0,90562000.0,1028163000.0,1136043000.0,2585415000.0,2620271000.0,5205686000.0,1908000.0,1242569000.0,600599000.0,1383443000.0,2626012000.0,2579674000.0,38596000.0,-38047000.0,-11862000.0,-44289000.0,-2792000.0,56073000.0,36.29
2013-06-30,2391810000.0,1721954000.0,669856100.0,493791000.0,176065200.0,108430000.0,0.63,207908200.0,176065200.0,172740000.0,78839000.0,1039914000.0,1099012000.0,2573266000.0,2591240000.0,5164506000.0,5894000.0,1314335000.0,446709000.0,1232733000.0,2547068000.0,2617438000.0,31843000.0,274798000.0,-10072000.0,-16424000.0,-10216000.0,-268744000.0,37.55
2013-09-30,2348956000.0,1709309000.0,639647100.0,479170000.0,160477100.0,107378000.0,0.625,192322100.0,160477100.0,171292000.0,69915000.0,1103272000.0,1123107000.0,2635420000.0,2642669000.0,5278089000.0,80588000.0,1446445000.0,311458000.0,1120679000.0,2567124000.0,2710965000.0,31845000.0,152796000.0,-16799000.0,-33045000.0,-5041000.0,-136569000.0,40.69
2013-12-31,2526370000.0,1826850000.0,699520800.0,512636900.0,186883300.0,124268000.0,0.73,218837300.0,186883500.0,171852000.0,188616000.0,1055216000.0,1250403000.0,2834665000.0,2789971000.0,5624636000.0,5441000.0,1550663000.0,450233000.0,1285972000.0,2836635000.0,2788001000.0,31954000.0,274628000.0,-21482000.0,-172847000.0,-1175000.0,13266000.0,44.81
2014-03-31,2430159000.0,1733446000.0,696712900.0,539445000.0,157267800.0,102099000.0,0.6000000000000001,193403800.0,157267800.0,169616000.0,129115000.0,1116502000.0,1246873000.0,2876906000.0,3003204000.0,5880110000.0,105984000.0,1613261000.0,541687000.0,1447792000.0,3061053000.0,2819057000.0,36136000.0,-55249000.0,-18484000.0,-167094000.0,-3763000.0,161697000.0,46.81
2014-06-30,2615406000.0,1886934000.0,728472000.0,547628000.0,180844000.0,116236000.0,0.685,218197000.0,180844000.0,169240000.0,89698000.0,1188143000.0,1257235000.0,2912003000.0,3079751000.0,5991754000.0,6302000.0,1543901000.0,665909000.0,1594321000.0,3138222000.0,2853532000.0,37353000.0,199232000.0,-19492000.0,-100236000.0,-13926000.0,-140365000.0,46.53
2014-09-30,2623729000.0,1902063000.0,721666000.0,547578000.0,174087900.0,114776000.0,0.68,213266900.0,174087900.0,168190000.0,76542000.0,1179171000.0,1283698000.0,2928237000.0,3202394000.0,6130631000.0,5782000.0,1705834000.0,630806000.0,1603658000.0,3309492000.0,2821139000.0,39179000.0,174502000.0,-22806000.0,-166230000.0,-5111000.0,-9842000.0,45.67
2014-12-31,2702096000.0,1937632000.0,764463900.0,561522000.0,202942100.0,132966000.0,0.795,242512100.0,202941900.0,168530000.0,89474000.0,1127517000.0,1327796000.0,2913166000.0,3225641000.0,6138807000.0,5815000.0,1780111000.0,542776000.0,1542251000.0,3322362000.0,2816445000.0,39570000.0,274019000.0,-21334000.0,-83079000.0,-2186000.0,-166137000.0,53.39
2015-03-31,2463646000.0,1750251000.0,713395000.0,545166000.0,161366900.0,103447000.0,0.62,198515900.0,161366900.0,166460000.0,59202000.0,1099273000.0,1297825000.0,2802254000.0,3137010000.0,5939264000.0,14586000.0,1546839000.0,653718000.0,1656546000.0,3203385000.0,2735879000.0,37149000.0,-26654000.0,-15493000.0,-30315000.0,-3113000.0,35774000.0,54.75
2015-06-30,2629320000.0,1878642000.0,750678100.0,560426000.0,183030300.0,117928000.0,0.71,222056300.0,183030300.0,166106000.0,47068000.0,1164380000.0,1314220000.0,2905337000.0,3200289000.0,6105626000.0,14716000.0,1636742000.0,588523000.0,1602868000.0,3239610000.0,2866016000.0,39026000.0,207756000.0,-17937000.0,-67590000.0,-11568000.0,-152511000.0,55.73
