,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1827426000.0,978089000.0,849337000.0,450669000.0,391817000.0,241906000.0,1.11,440565000.0,391817000.0,224405000.0,730096000.0,516593000.0,626643000.0,2180021000.0,2665609000.0,4845630000.0,353406000.0,1492067000.0,1539800000.0,2240999000.0,3733066000.0,1112564000.0,48748000.0,293180000.0,-93291000.0,-93291000.0,-91604000.0,-198065000.0,87.53
2013-06-30,1508514000.0,789940000.0,718574000.0,446070000.0,268917000.0,159504000.0,0.73,319044000.0,268917000.0,223924000.0,568360000.0,366288000.0,778988000.0,1998887000.0,2697981000.0,4696868000.0,102397000.0,1084206000.0,1794493000.0,2490935000.0,3575141000.0,1121727000.0,50127000.0,56266000.0,-50191000.0,-66191000.0,-91291000.0,-151811000.0,89.28
2013-09-30,1853886000.0,998335000.0,855551000.0,481986000.0,370636000.0,232985000.0,1.07,422318000.0,370636000.0,223993000.0,701328000.0,659740000.0,762635000.0,2375694000.0,2702225000.0,5077919000.0,110124000.0,1260768000.0,1796263000.0,2466576000.0,3727344000.0,1350575000.0,51682000.0,274268000.0,-69689000.0,-69689000.0,-105374000.0,-71611000.0,92.5
2013-12-31,1956253000.0,1098867000.0,857386100.0,545407000.0,306681500.0,186075000.0,0.85,357157500.0,306681300.0,224176000.0,1118508000.0,477912000.0,659541000.0,2487334000.0,2870154000.0,5357488000.0,166875000.0,1408022000.0,1795142000.0,2333414000.0,3741436000.0,1616052000.0,50476000.0,567685000.0,-122409000.0,-122409000.0,-105532000.0,-25102000.0,97.23
2014-03-31,1871813000.0,1000323000.0,871490000.0,464959000.0,403606000.0,252495000.0,1.16,452909000.0,403606000.0,224213000.0,1006096000.0,620493000.0,678755000.0,2544974000.0,2883872000.0,5428846000.0,182982000.0,1444445000.0,1793500000.0,2315338000.0,3759783000.0,1669063000.0,49303000.0,203757000.0,-79071000.0,-69036000.0,-105310000.0,-247133000.0,104.4
2014-06-30,1578350000.0,860876000.0,717474000.0,438944000.0,277283100.0,168168000.0,0.78,328113100.0,277283100.0,222788000.0,659817000.0,423648000.0,855182000.0,2261809000.0,2923160000.0,5184969000.0,198033000.0,1261565000.0,1794830000.0,2314844000.0,3576409000.0,1608560000.0,50830000.0,-31825000.0,-69550000.0,-166766000.0,-104596000.0,-244904000.0,97.37
2014-09-30,1961578000.0,1101441000.0,860137000.0,485097000.0,358668000.0,223741000.0,1.03,411541000.0,358668000.0,221873000.0,575397000.0,786366000.0,900743000.0,2532572000.0,3383981000.0,5916553000.0,900076000.0,2192219000.0,1559770000.0,2116474000.0,4308693000.0,1607860000.0,52873000.0,215501000.0,-82990000.0,-456565000.0,-115250000.0,155551000.0,95.43
2014-12-31,2010027000.0,1122962000.0,887064700.0,509284000.0,352703600.0,202508000.0,0.9400000000000001,427129600.0,352703700.0,222555000.0,471985000.0,596940000.0,801036000.0,2247047000.0,3375823000.0,5622870000.0,635501000.0,1935647000.0,1542317000.0,2167693000.0,4103340000.0,1519530000.0,74426000.0,456944000.0,-137566000.0,-170206000.0,-115258000.0,-382816000.0,103.93
2015-03-31,1937800000.0,1036957000.0,900843000.0,514010000.0,384166000.0,244737000.0,1.1400000000000001,442504000.0,384166000.0,220644000.0,405173000.0,606687000.0,745761000.0,2108099000.0,3649363000.0,5757462000.0,899887000.0,2175130000.0,1560265000.0,2266434000.0,4441564000.0,1315898000.0,58338000.0,259233000.0,-62521000.0,-249065000.0,-114381000.0,-76501000.0,100.91
2015-06-30,1578825000.0,843417000.0,735408000.0,455545000.0,7499900.0,-99941000.0,-0.47000000000000003,317773900.0,7499900.0,219613000.0,401969000.0,443452000.0,873996000.0,2007447000.0,3441883000.0,5449330000.0,866427000.0,2018272000.0,1547399000.0,2230173000.0,4248445000.0,1200885000.0,310274000.0,227082000.0,-88822000.0,-90389000.0,-114581000.0,-139053000.0,88.83
