,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,352000000.0,8000000.0,344000000.0,75000000.0,200000000.0,135000000.0,0.372,232000000.0,200000000.0,365000000.0,1527199000.0,186955000.0,35375180000.0,3483356000.0,38858540000.0,48824000.0,33909630000.0,861676000.0,1201393000.0,35111030000.0,3747514000.0,32000000.0,150000000.0,-24000000.0,-116000000.0,0.0,-252000000.0,32.61
2013-06-30,372000000.0,8000000.0,364000000.0,76000000.0,225000000.0,154000000.0,0.422,258000000.0,225000000.0,365000000.0,1631874000.0,185784000.0,37185210000.0,3428521000.0,40613730000.0,48824000.0,35644800000.0,753971000.0,1090054000.0,36734850000.0,3878875000.0,33000000.0,232000000.0,-26000000.0,-66000000.0,0.0,-102000000.0,35.55
2013-09-30,338000000.0,7000000.0,331000000.0,70000000.0,202000000.0,141000000.0,0.388,237000000.0,202000000.0,365000000.0,1735435000.0,175826000.0,45389610000.0,3495303000.0,48884910000.0,448824000.0,44145810000.0,341765000.0,668431000.0,44814240000.0,4070670000.0,35000000.0,180000000.0,-54000000.0,-77000000.0,0.0,-22000000.0,36.28
2013-12-31,536000000.0,31000000.0,505000000.0,132000000.0,163000000.0,-176000000.0,-0.37,212000000.0,163000000.0,390000000.0,1312000000.0,546000000.0,44269000000.0,20153000000.0,64422000000.0,0.0,44321000000.0,3923000000.0,7720000000.0,52041000000.0,12381000000.0,49000000.0,152000000.0,-75000000.0,-2262000000.0,-75000000.0,1495000000.0,44.98
2014-03-31,797000000.0,54000000.0,743000000.0,180000000.0,391000000.0,261000000.0,0.456,457000000.0,391000000.0,575000000.0,1310000000.0,544000000.0,45254000000.0,20667000000.0,65921000000.0,1297000000.0,45403000000.0,3584000000.0,7572000000.0,52975000000.0,12946000000.0,66000000.0,537000000.0,-45000000.0,-243000000.0,-76000000.0,-266000000.0,39.57
2014-06-30,750000000.0,49000000.0,701000000.0,191000000.0,327000000.0,226000000.0,0.392,394000000.0,327000000.0,575000000.0,2401000000.0,432000000.0,50191000000.0,18291000000.0,68482000000.0,1683000000.0,49670000000.0,2248000000.0,5533000000.0,55203000000.0,13279000000.0,67000000.0,299000000.0,-53000000.0,1894000000.0,-75000000.0,-1019000000.0,37.78
2014-09-30,745000000.0,47000000.0,698000000.0,181000000.0,330000000.0,206000000.0,0.362,399000000.0,330000000.0,570000000.0,2193000000.0,446000000.0,49378000000.0,17908000000.0,67286000000.0,0.0,49337000000.0,2247000000.0,5306000000.0,54643000000.0,12643000000.0,69000000.0,86000000.0,-63000000.0,-1162000000.0,-74000000.0,-333000000.0,39.01
2014-12-31,800000000.0,31000000.0,769000000.0,183000000.0,400000000.0,288000000.0,0.512,476000000.0,400000000.0,570000000.0,2181000000.0,508000000.0,50232000000.0,18022000000.0,68254000000.0,0.0,50436000000.0,2235000000.0,5426000000.0,55862000000.0,12392000000.0,76000000.0,541000000.0,-89000000.0,-453000000.0,-74000000.0,-55000000.0,43.86
2015-03-31,850000000.0,33000000.0,817000000.0,180000000.0,462000000.0,315000000.0,0.562,539000000.0,462000000.0,560000000.0,2123000000.0,608000000.0,48486000000.0,17942000000.0,66428000000.0,0.0,48798000000.0,2247000000.0,5305000000.0,54103000000.0,12325000000.0,77000000.0,465000000.0,-60000000.0,-86000000.0,-73000000.0,-268000000.0,46.65
2015-06-30,797000000.0,32000000.0,765000000.0,173000000.0,430000000.0,283000000.0,0.51,512000000.0,430000000.0,555000000.0,1061000000.0,541000000.0,45133000000.0,17971000000.0,63104000000.0,0.0,45580000000.0,2247000000.0,5081000000.0,50661000000.0,12443000000.0,82000000.0,305000000.0,-76000000.0,985000000.0,-85000000.0,-1367000000.0,44.72
2015-09-30,816000000.0,37000000.0,779000000.0,174000000.0,440000000.0,306000000.0,0.556,534000000.0,440000000.0,550000000.0,1066000000.0,490000000.0,48052000000.0,17804000000.0,65856000000.0,0.0,48458000000.0,2247000000.0,5028000000.0,53486000000.0,12370000000.0,94000000.0,120000000.0,-56000000.0,-53000000.0,-84000000.0,-57000000.0,47.0
