,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,332106000.0,148132000.0,183974000.0,101028000.0,61188000.0,44860000.0,0.41000000000000003,74701000.0,61188000.0,109176000.0,228364000.0,158988000.0,148242000.0,594395000.0,538243000.0,1132638000.0,1122000.0,439577000.0,1141000.0,61766000.0,501343000.0,631295000.0,13513000.0,21055000.0,-20132000.0,-17291000.0,0.0,2252000.0,46.19
2013-06-30,352583000.0,154885000.0,197698000.0,96754000.0,78763000.0,53995000.0,0.505,92607000.0,78763000.0,107340000.0,251013000.0,159119000.0,140938000.0,614902000.0,549169000.0,1164071000.0,1137000.0,551671000.0,884000.0,62809000.0,614480000.0,549591000.0,13844000.0,81429000.0,-26049000.0,-26049000.0,0.0,-31317000.0,44.85
2013-09-30,338297000.0,152514000.0,185783000.0,98730000.0,65485000.0,45688000.0,0.435,79258000.0,65485000.0,104900000.0,264811000.0,151568000.0,145987000.0,625223000.0,570015000.0,1195238000.0,1019000.0,592952000.0,624000.0,67391000.0,660343000.0,534895000.0,13773000.0,78097000.0,-15278000.0,-25744000.0,0.0,-40331000.0,49.83
2013-12-31,354072000.0,165409000.0,188663000.0,104841000.0,61326000.0,43257000.0,0.41500000000000004,74792000.0,61326000.0,106318000.0,279058000.0,158038000.0,133427000.0,652706000.0,577810000.0,1230516000.0,1035000.0,478353000.0,150359000.0,233949000.0,712302000.0,518214000.0,13466000.0,65415000.0,-16153000.0,-16975000.0,0.0,-33055000.0,53.19
2014-03-31,360203000.0,158106000.0,202097000.0,108937000.0,70046000.0,46585000.0,0.45,83440000.0,70046000.0,103234000.0,286203000.0,179919000.0,141134000.0,683166000.0,579158000.0,1262324000.0,1050000.0,517173000.0,150090000.0,232899000.0,750072000.0,512252000.0,13394000.0,33518000.0,-11298000.0,-12634000.0,0.0,-14960000.0,60.7
2014-06-30,390122000.0,171604000.0,218518000.0,109866000.0,83219000.0,57218000.0,0.56,97914000.0,83219000.0,102250000.0,305048000.0,168641000.0,145400000.0,701707000.0,581486000.0,1283193000.0,0.0,600352000.0,150000000.0,229911000.0,830263000.0,452930000.0,14695000.0,81762000.0,-14112000.0,-8712000.0,0.0,-54549000.0,66.79
2014-09-30,383523000.0,170187000.0,213336000.0,116300000.0,72189000.0,52142000.0,0.525,87710000.0,72189000.0,99489000.0,292735000.0,160467000.0,156007000.0,702621000.0,588011000.0,1290632000.0,0.0,630264000.0,371549000.0,430897000.0,1061161000.0,229471000.0,15521000.0,93263000.0,-17094000.0,-23449000.0,0.0,-76268000.0,58.92
2014-12-31,351958900.0,169794000.0,182165000.0,122495000.0,34800900.0,25961000.0,0.27,50078900.0,34801000.0,100094000.0,322536000.0,152380000.0,160342000.0,759398000.0,624813000.0,1384211000.0,0.0,820906000.0,350000000.0,445716000.0,1266622000.0,117589000.0,15278000.0,27303000.0,-12619000.0,-35618000.0,0.0,42339000.0,74.14
2015-03-31,382477000.0,166933000.0,215544000.0,117735000.0,72803000.0,46594000.0,0.495,88957000.0,72803000.0,94280000.0,321375000.0,196231000.0,173370000.0,808909000.0,622105000.0,1431014000.0,0.0,803445000.0,522350000.0,593489900.0,1396935000.0,34079000.0,16154000.0,-14644000.0,-23017000.0,-160620000.0,0.0,36801000.0,77.24
2015-06-30,413343000.0,180586000.0,232757000.0,120137000.0,88303000.0,56912000.0,0.61,105093000.0,88303000.0,93384000.0,344022000.0,199444000.0,184500000.0,833034000.0,644336000.0,1477370000.0,0.0,775428000.0,622796000.0,693390900.0,1468819000.0,8551000.0,16790000.0,80166000.0,-23856000.0,-66967000.0,0.0,-33532000.0,64.14
2015-09-30,406387000.0,182113000.0,224274000.0,119305000.0,71895000.0,44223000.0,0.48,91145000.0,71895000.0,91944000.0,349549000.0,190904000.0,192405000.0,833396000.0,643814000.0,1477210000.0,0.0,824766000.0,599556000.0,691247000.0,1516013000.0,-38803000.0,19250000.0,76946000.0,-20644000.0,-54806000.0,0.0,-39663000.0,74.25
2015-12-31,399685000.0,181990000.0,217695000.0,125288000.0,66911000.0,44349000.0,0.49,85105000.0,66911000.0,92601000.0,342585000.0,188318000.0,188833000.0,821634000.0,653359000.0,1474993000.0,0.0,856761000.0,597085000.0,702227000.0,1558988000.0,-83995000.0,18194000.0,79334000.0,-15404000.0,-26013000.0,0.0,-64596000.0,72.92
2016-03-31,417550000.0,190013000.0,227537000.0,129124000.0,73793000.0,46019000.0,0.51,92339000.0,73793000.0,89924000.0,350570000.0,212072000.0,183759000.0,809006000.0,669641000.0,1478647000.0,0.0,878668000.0,600021000.0,673766000.0,1552434000.0,-73787000.0,18546000.0,26990000.0,-21906000.0,-23799000.0,0.0,-2562000.0,78.32
2016-06-30,466569000.0,206026000.0,260543000.0,130969000.0,104162000.0,67202000.0,0.75,123826000.0,104162000.0,89824000.0,370202000.0,212229000.0,175688000.0,821110000.0,668131000.0,1489241000.0,0.0,822776000.0,597958000.0,674963000.0,1497739000.0,-8498000.0,19664000.0,110883000.0,-15962000.0,-29763000.0,0.0,-73135000.0,92.86
2016-09-30,448308000.0,201578000.0,246730000.0,132599000.0,88459000.0,56455000.0,0.63,108226000.0,88459000.0,89894000.0,391474000.0,204701000.0,168468000.0,828100000.0,672270000.0,1500370000.0,0.0,760208000.0,630011000.0,685176000.0,1445384000.0,54986000.0,19767000.0,100315000.0,-12088000.0,-22946000.0,0.0,-69247000.0,112.73
2016-12-31,442996000.0,202370000.0,240626000.0,131383000.0,83825000.0,52369000.0,0.59,104909000.0,83824900.0,89732000.0,391850000.0,204494000.0,158034000.0,845584000.0,685120000.0,1530704000.0,0.0,934568000.0,593110000.0,704349000.0,1638917000.0,-108213000.0,21084000.0,100755000.0,-14831000.0,-14278000.0,0.0,-77252000.0,117.27
2017-03-31,462021000.0,203830000.0,258191000.0,140158000.0,92243000.0,69019000.0,0.78,112550000.0,92243000.0,88117000.0,400341000.0,225353000.0,172183000.0,878588000.0,693503100.0,1572091000.0,0.0,936077000.0,594868000.0,709926000.0,1646003000.0,-73912000.0,20307000.0,31274000.0,-23647000.0,-29012000.0,0.0,1313000.0,154.61
2017-06-30,508940000.0,216225000.0,292715000.0,143153000.0,122564000.0,85357000.0,0.97,143150000.0,122564000.0,88004000.0,422898000.0,240262000.0,169693000.0,918658000.0,718478900.0,1637137000.0,0.0,1001493000.0,600891000.0,721751000.0,1723244000.0,-86107000.0,20586000.0,110192000.0,-14919000.0,-43702000.0,0.0,-63400000.0,161.42
2017-09-30,491976000.0,217974000.0,274002000.0,146004000.0,100413000.0,70511000.0,0.81,121140000.0,100413000.0,87537000.0,454104000.0,228159000.0,176749000.0,942722000.0,726612100.0,1669334000.0,0.0,996543000.0,604149000.0,721182000.0,1717725000.0,-48391000.0,20727000.0,110684000.0,-15804000.0,-41487000.0,0.0,-67871000.0,155.49
2017-12-31,506121000.0,233647000.0,272474000.0,145857000.0,97808000.0,38257000.0,0.44,119328000.0,97808000.0,87769000.0,471930000.0,234597000.0,164318000.0,971985000.0,741431000.0,1713416000.0,0.0,1004567000.0,606075000.0,762691000.0,1767258000.0,-53842000.0,21520000.0,121126000.0,-20014000.0,-24487000.0,0.0,-78058000.0,156.38
