,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,494448000.0,282451000.0,211997000.0,117285000.0,94712000.0,61300000.0,0.75,114976000.0,94712000.0,82197000.0,341045000.0,269873000.0,239575000.0,921918000.0,1900682000.0,2822600000.0,6776000.0,283622000.0,815562000.0,1057331000.0,1340953000.0,1481647000.0,20264000.0,72195000.0,-7625000.0,-42330000.0,-16575000.0,1553000.0,53.42
2013-06-30,518445000.0,295596000.0,222849000.0,123290000.0,99559000.0,62561000.0,0.76,120060000.0,99559000.0,81829000.0,374489000.0,268035000.0,231504000.0,936100000.0,1891552000.0,2827652000.0,4451000.0,294683000.0,811007000.0,1053477000.0,1348160000.0,1479492000.0,20501000.0,109319000.0,-8197000.0,-10471000.0,-18846000.0,-67403000.0,53.81
2013-09-30,490617000.0,279108000.0,211509000.0,114140000.0,97369000.0,63799000.0,0.78,117574000.0,97369000.0,81259000.0,399805000.0,255977000.0,236771000.0,950769000.0,1898612000.0,2849381000.0,4379000.0,309042000.0,780043000.0,1025815000.0,1334857000.0,1514524000.0,20205000.0,118396000.0,-7318000.0,-7405000.0,-18536000.0,-97541000.0,65.25
2013-12-31,520619900.0,293611000.0,227009000.0,123136000.0,103873000.0,67555000.0,0.8300000000000001,123940000.0,103873000.0,81517000.0,439629000.0,253226000.0,230967000.0,990953000.0,1896624000.0,2887577000.0,1871000.0,304609000.0,772005000.0,1009979000.0,1314588000.0,1572989000.0,20067000.0,101612000.0,-7829000.0,-7956000.0,-18948000.0,-55654000.0,73.85
2014-03-31,543996000.0,299576000.0,244420000.0,130585000.0,113835000.0,74548000.0,0.92,133521000.0,113835000.0,80527000.0,458383000.0,287903000.0,244175000.0,1063376000.0,1888446000.0,2951822000.0,1393000.0,313981000.0,778852000.0,1016843000.0,1330824000.0,1620998000.0,19686000.0,74185000.0,-10809000.0,-10788000.0,-18628000.0,-43303000.0,72.89
2014-06-30,546693000.0,305561000.0,241132000.0,129044000.0,112088000.0,71777000.0,0.89,131934000.0,112088000.0,80106000.0,485335000.0,272151000.0,254182000.0,1081526000.0,1909471000.0,2990997000.0,111539000.0,423375000.0,705326000.0,942735000.0,1366110000.0,1624887000.0,19846000.0,91995000.0,-12490000.0,-38535000.0,-22565000.0,-27442000.0,80.74
2014-09-30,533179000.0,298533000.0,234646000.0,123799000.0,110847000.0,71441000.0,0.89,130887000.0,110847000.0,79558000.0,487066000.0,270466000.0,251058000.0,1076957000.0,1862355000.0,2939312000.0,103250000.0,398551000.0,720173000.0,952861000.0,1351412000.0,1587900000.0,20040000.0,100403000.0,-10521000.0,-9991000.0,-22332000.0,-66344000.0,72.37
2014-12-31,523899200.0,294782000.0,229117100.0,120991000.0,94454100.0,61620000.0,0.78,113512100.0,94454000.0,79715000.0,509137000.0,256040000.0,237631000.0,1075791000.0,1827672000.0,2903463000.0,98946000.0,411968000.0,760399000.0,1005044000.0,1417012000.0,1486451000.0,19058000.0,101378000.0,-12717000.0,-12946000.0,-22201000.0,-46983000.0,77.84
2015-03-31,502198000.0,276157000.0,226041000.0,124284000.0,101757000.0,65954000.0,0.84,120701000.0,101757000.0,77996000.0,494496000.0,267206000.0,243565000.0,1081388000.0,1787766000.0,2869154000.0,88350000.0,360037000.0,819863000.0,1058125000.0,1418162000.0,1450992000.0,18944000.0,49404000.0,-10077000.0,-10125000.0,-22151000.0,-20062000.0,75.83
2015-06-30,514881000.0,283266000.0,231615000.0,121706000.0,109909000.0,69585000.0,0.89,129422000.0,109909000.0,77466000.0,311495000.0,286111000.0,260814000.0,933597000.0,1969761000.0,2903358000.0,469000.0,307665000.0,874777000.0,1140885000.0,1448550000.0,1454808000.0,19513000.0,99024000.0,-13749000.0,-187139000.0,-24759000.0,-106087000.0,78.58
