,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,727836000.0,416476000.0,311360000.0,114653000.0,137606000.0,90697000.0,1.11,157011000.0,137606000.0,81291000.0,300046000.0,527564000.0,515786000.0,1534698000.0,1665851000.0,3200549000.0,0.0,540260000.0,915782000.0,1349437000.0,1889697000.0,1310852000.0,19405000.0,18719000.0,-29657000.0,-28334000.0,0.0,-11880000.0,76.67
2013-06-30,757635000.0,423649000.0,333986000.0,124813000.0,142396100.0,102322000.0,1.25,162798000.0,142396100.0,81309000.0,365897000.0,541607000.0,512784000.0,1633893000.0,1675028000.0,3308921000.0,0.0,566824000.0,932796000.0,1367667000.0,1934491000.0,1374430000.0,20402000.0,99324000.0,-14565000.0,-14469000.0,-27733000.0,-15350000.0,75.16
2013-09-30,742256000.0,416852000.0,325404000.0,118221000.0,141529000.0,99046000.0,1.21,162806000.0,141529000.0,81437000.0,343149000.0,553884000.0,520707000.0,1633867000.0,1690644000.0,3324511000.0,0.0,509576000.0,933464000.0,1375405000.0,1884981000.0,1439530000.0,21277000.0,139273000.0,-25444000.0,-25444000.0,-27792000.0,-138951000.0,82.3
2013-12-31,725169100.0,411714100.0,313455000.0,148190000.0,94808400.0,61479000.0,0.75,116951300.0,94808100.0,81322000.0,405505000.0,524493000.0,533806000.0,1652903000.0,1678828000.0,3331731000.0,0.0,560366000.0,932665000.0,1304314000.0,1864680000.0,1467051000.0,22143000.0,150246000.0,-37179000.0,-37159000.0,-31822000.0,-50857000.0,85.98
2014-03-31,770224000.0,428812000.0,341412000.0,123733000.0,156053000.0,106707000.0,1.31,178883000.0,156053000.0,81053000.0,268584000.0,574678000.0,552116000.0,1569851000.0,1751502000.0,3321353000.0,0.0,484541000.0,931635000.0,1315874000.0,1800415000.0,1520938000.0,22830000.0,34993000.0,-31794000.0,-122358000.0,-31743000.0,-49328000.0,95.67
2014-06-30,788414000.0,435767000.0,352647000.0,132919000.0,153115000.0,110285000.0,1.35,179416000.0,153115000.0,80949000.0,326853000.0,583220000.0,554871000.0,1644048000.0,1756485000.0,3400533000.0,0.0,468650000.0,932621000.0,1329939000.0,1798589000.0,1601944000.0,26301000.0,119037000.0,-26376000.0,-21034000.0,-31674000.0,-40297000.0,104.28
2014-09-30,773813000.0,433702000.0,340111000.0,123212000.0,152590000.0,107415000.0,1.32,172137000.0,152590000.0,80942000.0,404836000.0,562617000.0,556302000.0,1712609000.0,1763900000.0,3476509000.0,0.0,516854000.0,933625000.0,1316001000.0,1832855000.0,1643654000.0,19547000.0,163473000.0,-37144000.0,-37144000.0,-31696000.0,-38497000.0,95.88
2014-12-31,756081900.0,428102100.0,327979900.0,127699000.0,130562700.0,90136000.0,1.11,151238700.0,130562800.0,80936000.0,478573000.0,493768000.0,568729000.0,1710027000.0,1784594000.0,3494621000.0,0.0,518808000.0,934232000.0,1453124000.0,1971932000.0,1522689000.0,20676000.0,200887000.0,-44573000.0,-40797000.0,-38126000.0,-74208000.0,101.36
2015-03-31,774907000.0,428630000.0,346277000.0,118995000.0,161793000.0,128258000.0,1.58,181778000.0,161793000.0,80654000.0,443689000.0,525260000.0,536465000.0,1755110000.0,1752062000.0,3507172000.0,0.0,487320000.0,935170000.0,1447755000.0,1935075000.0,1572097000.0,19985000.0,31476000.0,-17931000.0,-17931000.0,-37971000.0,-39542000.0,117.4
2015-06-30,767541000.0,422501000.0,345040000.0,131023000.0,148821000.0,105374000.0,1.3,169877000.0,148821000.0,80790000.0,377254000.0,566414000.0,561715000.0,1722254000.0,1931374000.0,3653628000.0,0.0,523521000.0,989196000.0,1503433000.0,2026954000.0,1626674000.0,21056000.0,134842000.0,-18491000.0,-197043000.0,-37956000.0,-7425000.0,109.29
