,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,12580000000.0,5514000000.0,7066000000.0,1947000000.0,2519000000.0,2045000000.0,0.41000000000000003,4583000000.0,2519000000.0,4948000000.0,17073000000.0,3536000000.0,4358000000.0,28677000000.0,54406000000.0,83083000000.0,88000000.0,11798000000.0,13143000000.0,20091000000.0,31889000000.0,51194000000.0,2064000000.0,4285000000.0,-2174000000.0,-5317000000.0,-1114000000.0,-1738000000.0,21.84
2013-06-30,12811000000.0,5341000000.0,7470000000.0,2165000000.0,2719000000.0,2000000000.0,0.4,4710000000.0,2719000000.0,4978000000.0,17350000000.0,3474000000.0,4542000000.0,29048000000.0,56613000000.0,85661000000.0,263000000.0,11389000000.0,13150000000.0,20432000000.0,31821000000.0,53840000000.0,1991000000.0,4722000000.0,-2723000000.0,-5512000000.0,-1123000000.0,-1132000000.0,24.23
2013-09-30,13483000000.0,5069000000.0,8414000000.0,1970000000.0,3504000000.0,2950000000.0,0.59,5525000000.0,3504000000.0,4981000000.0,19146000000.0,3719000000.0,4533000000.0,31350000000.0,59201000000.0,90551000000.0,350000000.0,13875000000.0,13157000000.0,21224000000.0,35099000000.0,55452000000.0,2021000000.0,5731000000.0,-2866000000.0,-3323000000.0,-1121000000.0,-1306000000.0,22.92
2013-12-31,13834000000.0,5263000000.0,8571000000.0,2006000000.0,3549000000.0,2625000000.0,0.53,5505000000.0,3549000000.0,4970000000.0,20087000000.0,3582000000.0,4172000000.0,32084000000.0,60274000000.0,92358000000.0,281000000.0,13568000000.0,13165000000.0,20534000000.0,34102000000.0,58256000000.0,1956000000.0,6038000000.0,-2948000000.0,-3921000000.0,-1121000000.0,-1322000000.0,25.96
2014-03-31,12764000000.0,5151000000.0,7613000000.0,2047000000.0,2510000000.0,1930000000.0,0.39,4517000000.0,2510000000.0,4974000000.0,19046000000.0,3505000000.0,3763000000.0,30554000000.0,61378000000.0,91932000000.0,36000000.0,13552000000.0,13172000000.0,20342000000.0,33894000000.0,58038000000.0,2007000000.0,3501000000.0,-2689000000.0,-2749000000.0,-1119000000.0,-1650000000.0,25.81
2014-06-30,13831000000.0,4914000000.0,8917000000.0,2061000000.0,3844000000.0,2796000000.0,0.56,6014000000.0,3844000000.0,4981000000.0,17311000000.0,3489000000.0,3943000000.0,29006000000.0,62787000000.0,91793000000.0,14000000.0,12251000000.0,13180000000.0,20295000000.0,32546000000.0,59247000000.0,2170000000.0,5453000000.0,-2828000000.0,-4266000000.0,-1126000000.0,-2915000000.0,30.9
2014-09-30,14554000000.0,5096000000.0,9458000000.0,1979000000.0,4540000000.0,3317000000.0,0.68,6738000000.0,4540000000.0,4880000000.0,15594000000.0,3647000000.0,4115000000.0,27509000000.0,63107000000.0,90616000000.0,1164000000.0,14904000000.0,12103000000.0,19639000000.0,34543000000.0,56073000000.0,2198000000.0,5693000000.0,-2445000000.0,-986000000.0,-1095000000.0,-4607000000.0,34.82
2014-12-31,14721000000.0,5100000000.0,9621000000.0,2049000000.0,4453000000.0,3661000000.0,0.77,6627000000.0,4453000000.0,4901000000.0,14054000000.0,4427000000.0,4273000000.0,27730000000.0,64170000000.0,91900000000.0,1596000000.0,16011000000.0,12059000000.0,20024000000.0,36035000000.0,55865000000.0,2174000000.0,5771000000.0,-2143000000.0,-1904000000.0,-1069000000.0,-4439000000.0,36.29
2015-03-31,12781000000.0,5051000000.0,7730000000.0,1953000000.0,2615000000.0,1992000000.0,0.42,4714000000.0,2615000000.0,4741000000.0,14118000000.0,3246000000.0,4418000000.0,26466000000.0,63100000000.0,89566000000.0,1121000000.0,15035000000.0,12112000000.0,19607000000.0,34642000000.0,54924000000.0,2099000000.0,4415000000.0,-2025000000.0,-449000000.0,-1137000000.0,-2274000000.0,31.27
2015-06-30,13195000000.0,4947000000.0,8248000000.0,1949000000.0,2896000000.0,2706000000.0,0.5700000000000001,5087000000.0,2896000000.0,4759000000.0,13870000000.0,3860000000.0,4818000000.0,26710000000.0,63782000000.0,90492000000.0,1118000000.0,13529000000.0,12116000000.0,19268000000.0,32797000000.0,57695000000.0,2191000000.0,3440000000.0,-1767000000.0,-1295000000.0,-1146000000.0,-1945000000.0,30.42
