,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-06-30,1295680000.0,969108000.0,326572000.0,228838000.0,94897000.0,38517000.0,0.31,132266000.0,94897000.0,122709000.0,588043000.0,893715000.0,1673860000.0,974307000.0,2648167000.0,141000.0,1238727000.0,2045142000.0,2207328000.0,3446055000.0,-797888000.0,37369000.0,22843000.0,-28445000.0,-27206000.0,0.0,139737000.0,42.56
2013-09-30,1195839000.0,863806000.0,332033000.0,199573000.0,125259000.0,66769000.0,0.52,154269000.0,125259000.0,128923000.0,613027000.0,911718000.0,1717186000.0,1124835000.0,2842021000.0,4091000.0,1334383000.0,2042029000.0,2219610000.0,3553993000.0,-711972000.0,29010000.0,176526000.0,-14695000.0,-160592000.0,0.0,-1516000.0,44.88
2013-12-31,1379185000.0,1017202000.0,361982800.0,232797000.0,127012300.0,72996000.0,0.5700000000000001,162447300.0,127012100.0,124147000.0,780855000.0,940376000.0,1945688000.0,1121109000.0,3066797000.0,10433000.0,1482247000.0,2035586000.0,2252035000.0,3734282000.0,-667485000.0,35435000.0,215460000.0,-12386000.0,-12184000.0,0.0,-33305000.0,46.34
2014-03-31,1307846000.0,946280000.0,361566000.0,219242000.0,141315900.0,90183000.0,0.6900000000000001,171998900.0,141315900.0,129898000.0,744754000.0,964897000.0,1947820000.0,1114072000.0,3061892000.0,15572000.0,1376476000.0,2031247000.0,2244941000.0,3621417000.0,-559525000.0,30683000.0,-28437000.0,-17706000.0,-13979000.0,0.0,3007000.0,50.77
2014-06-30,1341030000.0,980068000.0,360962000.0,219014000.0,141000000.0,85120000.0,0.66,172441000.0,141000000.0,128979000.0,639764000.0,981231000.0,1864707000.0,1113930000.0,2978637000.0,20715000.0,1353060000.0,2026909000.0,2247187000.0,3600247000.0,-621610000.0,31441000.0,67134000.0,-18126000.0,-19029000.0,0.0,-157093000.0,53.29
2014-09-30,1400034000.0,1030072000.0,369962000.0,219027000.0,149142100.0,92654000.0,0.73,180918100.0,149142100.0,127462000.0,648553000.0,1049947000.0,1938603000.0,1168112000.0,3106715000.0,20681000.0,1426780000.0,2022595000.0,2216167000.0,3642947000.0,-536232000.0,31776000.0,137100000.0,-21950000.0,-112919000.0,0.0,9709000.0,55.78
2014-12-31,1411090000.0,1002580000.0,408509800.0,123717000.0,158542000.0,89043000.0,0.7000000000000001,192642000.0,158542000.0,128000000.0,870240000.0,1020612000.0,2146083000.0,1149870000.0,3295953000.0,826000.0,1471900000.0,2282612000.0,2528065000.0,3999965000.0,-704012000.0,34100000.0,257203000.0,-25218000.0,-27073000.0,0.0,14377000.0,58.87
2015-03-31,1347593000.0,979446000.0,368147000.0,219606000.0,143217000.0,86398000.0,0.6900000000000001,175223000.0,143217000.0,124504000.0,781809000.0,1050581000.0,2098823000.0,1137828000.0,3236651000.0,5940000.0,1320697000.0,2288229000.0,2528261000.0,3848958000.0,-612307000.0,32006000.0,-64332000.0,-16432000.0,-18308000.0,0.0,26342000.0,66.97
2015-06-30,1443527000.0,1053006000.0,390521000.0,225898000.0,158389000.0,84951000.0,0.6900000000000001,194174000.0,158389000.0,123834000.0,806761000.0,1153989000.0,2219842000.0,1121942000.0,3341784000.0,48510000.0,1353808000.0,2440972000.0,2689654000.0,4043462000.0,-701678000.0,35785000.0,50762000.0,-15492000.0,-27158000.0,0.0,-9877000.0,72.61
2015-09-30,1424769000.0,1014347000.0,410422100.0,231415000.0,167023100.0,111286000.0,0.91,204722100.0,167023100.0,122848000.0,1084414000.0,1185083000.0,2520179000.0,1513557000.0,4033736000.0,48505000.0,1523975000.0,2430034000.0,2689687000.0,4213662000.0,-179926000.0,37699000.0,282946000.0,-24768000.0,6065000.0,0.0,5263000.0,69.57
