,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2017-06-30,579100000.0,363200000.0,215900000.0,125600000.0,-101600000.0,-146300000.0,-0.8300000000000001,-57800000.0,-101600000.0,176900000.0,245700000.0,475200000.0,485800000.0,1266500000.0,3156400000.0,4422900000.0,5900000.0,500700000.0,1976600000.0,2713200000.0,3213900000.0,1209000000.0,43800000.0,22600000.0,-5500000.0,-24000000.0,0.0,14100000.0,21.61
2017-09-30,649600000.0,395700000.0,253900000.0,111000000.0,95999900.0,28000000.0,0.14,139399900.0,95999900.0,201300000.0,303000000.0,531600000.0,507600000.0,1403400000.0,3149200000.0,4552600000.0,21100000.0,559600000.0,2006900000.0,2721200000.0,3280800000.0,1271800000.0,43400000.0,63900000.0,-8700000.0,-2500000.0,0.0,-9000000.0,27.52
2017-12-31,664999900.0,411500000.0,253499900.0,107300000.0,77900000.0,143800000.0,0.71,126400000.0,77899900.0,182200000.0,393300000.0,536300000.0,494500000.0,1463600000.0,3157600000.0,4621200000.0,20900000.0,561800000.0,2019300000.0,2582600000.0,3144400000.0,1476800000.0,48500000.0,116600000.0,-17700000.0,-17700000.0,0.0,-9200000.0,33.93
2018-03-31,619600000.0,387700000.0,231900000.0,106900000.0,89800000.0,42400000.0,0.21,134800000.0,89800000.0,201600000.0,353800000.0,541600000.0,567200000.0,1513400000.0,3262000000.0,4775400000.0,21100000.0,611100000.0,2034000000.0,2596600000.0,3207700000.0,1567700000.0,45000000.0,60200000.0,-7100000.0,-102000000.0,0.0,-8200000.0,30.68
2018-06-30,668200000.0,418900000.0,249300000.0,115800000.0,101400000.0,60300000.0,0.30000000000000004,146600000.0,101400000.0,201800000.0,337800000.0,495500000.0,555600000.0,1445600000.0,3159000000.0,4604600000.0,7900000.0,571400000.0,1903500000.0,2464100000.0,3035500000.0,1569100000.0,45200000.0,134300000.0,-10700000.0,-29400000.0,0.0,-106300000.0,29.39
2018-09-30,689300000.0,426900000.0,262400000.0,107700000.0,117700000.0,72200000.0,0.36,162100000.0,117700000.0,201900000.0,269000000.0,525000000.0,550100000.0,1407500000.0,3108900000.0,4516400000.0,7900000.0,586800000.0,1747400000.0,2306200000.0,2893000000.0,1623400000.0,44400000.0,103800000.0,-11200000.0,-11200000.0,0.0,-158300000.0,28.34
2018-12-31,712700100.0,443800000.0,268900100.0,104200000.0,134099700.0,94500000.0,0.47000000000000003,179899700.0,134099700.0,201600000.0,221200000.0,525400000.0,523900000.0,1331200000.0,3155900000.0,4487100000.0,7900000.0,596400000.0,1664200000.0,2214700000.0,2811100000.0,1676000000.0,45800000.0,146200000.0,-19700000.0,-92400000.0,0.0,-100200000.0,20.45
2019-03-31,620300000.0,389800000.0,230500000.0,117000000.0,80200000.0,47100000.0,0.23,125700000.0,80200000.0,201600000.0,263700000.0,509900000.0,555100000.0,1398300000.0,3168500000.0,4566800000.0,7900000.0,616200000.0,1622300000.0,2212900000.0,2829100000.0,1737700000.0,45500000.0,68800000.0,-14200000.0,-14700000.0,0.0,-17300000.0,27.81
2019-06-30,629100000.0,394700000.0,234400000.0,110700000.0,74600000.0,44900000.0,0.22,119000000.0,74600000.0,203400000.0,317500000.0,498600000.0,557600000.0,1463900000.0,3130400000.0,4594300000.0,8000000.0,591300000.0,1623500000.0,2217700000.0,2809000000.0,1785300000.0,44400000.0,61300000.0,-9800000.0,-9800000.0,0.0,1200000.0,34.6
2019-09-30,596700000.0,375200000.0,221500000.0,95300000.0,72900000.0,41300000.0,0.2,115900000.0,72900000.0,204200000.0,406400000.0,458400000.0,539300000.0,1494100000.0,3059700000.0,4553800000.0,7700000.0,595800000.0,1593800000.0,2167500000.0,2763300000.0,1790500000.0,43000000.0,114200000.0,-9100000.0,-20600000.0,0.0,3000000.0,28.29
