,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,611400000.0,177100000.0,434300000.0,141500000.0,251200000.0,188900000.0,0.5211,277000000.0,251200000.0,362700000.0,1358200000.0,345100000.0,135500000.0,1894700000.0,2341100000.0,4235800000.0,0.0,377600000.0,0.0,86000000.0,463600000.0,3772200000.0,25800000.0,258000000.0,-16700000.0,-348000000.0,0.0,-35800000.0,54.58
2013-06-30,578500000.0,173300000.0,405200000.0,145500000.0,218500000.0,159100000.0,0.4433,245500000.0,218500000.0,359100000.0,1290200000.0,358600000.0,169300000.0,1861000000.0,2340300000.0,4201300000.0,0.0,390900000.0,0.0,91600000.0,482500000.0,3718800000.0,27000000.0,189100000.0,-25000000.0,57000000.0,0.0,-241000000.0,56.24
2013-09-30,499000000.0,142300000.0,356700000.0,139300000.0,174200000.0,156800000.0,0.4511,199200000.0,174200000.0,347400000.0,1212900000.0,280600000.0,200100000.0,1733500000.0,1963900000.0,3697400000.0,0.0,367300000.0,0.0,65800000.0,433100000.0,3264300000.0,25000000.0,203800000.0,-34000000.0,613200000.0,0.0,-663400000.0,41.81
2013-12-31,576200100.0,178200000.0,398000000.0,147700000.0,208600000.0,166200000.0,0.4844,234900000.0,208600000.0,352800000.0,1403500000.0,301400000.0,179600000.0,1932400000.0,2017900000.0,3950300000.0,0.0,380900000.0,0.0,68000000.0,448900000.0,3501400000.0,26300000.0,229100000.0,-28900000.0,-63200000.0,0.0,29600000.0,42.68
2014-03-31,464700000.0,149300000.0,315400000.0,215800000.0,56600000.0,44300000.0,0.12890000000000001,73600000.0,56600000.0,344700000.0,1559300000.0,239100000.0,185500000.0,2077600000.0,2116600000.0,4194200000.0,0.0,459500000.0,0.0,78100000.0,537600000.0,3656600000.0,17000000.0,166300000.0,-8100000.0,-205300000.0,0.0,70600000.0,48.67
2014-06-30,512200000.0,167800000.0,344400000.0,161200000.0,143000000.0,104000000.0,0.3133,160200000.0,143000000.0,332100000.0,978600000.0,271100000.0,202400000.0,1533400000.0,1871200000.0,3404600000.0,0.0,495900000.0,0.0,86300000.0,582200000.0,2822400000.0,17200000.0,154000000.0,-18500000.0,513600000.0,0.0,-974000000.0,45.76
2014-09-30,550100000.0,189500000.0,360600000.0,154000000.0,159100000.0,123700000.0,0.3811,179000000.0,159100000.0,324900000.0,1014300000.0,259100000.0,198900000.0,1591900000.0,2059600000.0,3651500000.0,0.0,480500000.0,0.0,86800000.0,567300000.0,3084200000.0,19900000.0,150600000.0,-13800000.0,-258700000.0,0.0,94600000.0,51.31
2014-12-31,604699900.0,211300000.0,393399800.0,160000000.0,186099900.0,146800000.0,0.44780000000000003,240299900.0,186099900.0,332100000.0,1232500000.0,315100000.0,181700000.0,1811900000.0,2147500000.0,3959400000.0,0.0,501200000.0,0.0,78800000.0,580000000.0,3379400000.0,54200000.0,194200000.0,-65200000.0,-203500000.0,0.0,116400000.0,58.77
2015-03-31,532100000.0,195300000.0,336800000.0,162000000.0,130400000.0,97000000.0,0.2933,150600000.0,130400000.0,330300000.0,1362200000.0,292400000.0,202400000.0,1959300000.0,2166900000.0,4126200000.0,0.0,456900000.0,0.0,83900000.0,540800000.0,3585400000.0,20200000.0,123700000.0,-19200000.0,-87700000.0,0.0,66000000.0,56.11
2015-06-30,586100000.0,199600000.0,386500000.0,163300000.0,173800000.0,134500000.0,0.40440000000000004,194900000.0,173800000.0,332100000.0,1561500000.0,321500000.0,201300000.0,2163200000.0,2191300000.0,4354500000.0,0.0,474400000.0,0.0,87400000.0,561800000.0,3792700000.0,21100000.0,185100000.0,-13600000.0,-9900000.0,0.0,38800000.0,53.83
2015-09-30,589700000.0,193900000.0,395800000.0,154900000.0,189900000.0,167300000.0,0.4989,232000000.0,189900000.0,335700000.0,1739700000.0,334700000.0,194000000.0,2398800000.0,2283500000.0,4682300000.0,0.0,478600000.0,0.0,88500000.0,567100000.0,4115200000.0,42100000.0,179700000.0,-28500000.0,-338800000.0,0.0,112400000.0,51.06
2015-12-31,676500000.0,217700000.0,458800000.0,160300000.0,245899900.0,190000000.0,0.5656,278399900.0,245899900.0,333900000.0,1559800000.0,394300000.0,167900000.0,2195500000.0,2711800000.0,4907300000.0,0.0,491900000.0,0.0,95900000.0,587800000.0,4319500000.0,32500000.0,317700000.0,-19700000.0,-413100000.0,0.0,-58100000.0,60.68
2016-03-31,594500000.0,189500000.0,405000000.0,172800000.0,179000000.0,136400000.0,0.4022,210700000.0,179000000.0,339300000.0,1808400000.0,325900000.0,163000000.0,2406400000.0,2899900000.0,5306300000.0,0.0,452900000.0,0.0,103000000.0,555900000.0,4750400000.0,31700000.0,226800000.0,-9600000.0,-191900000.0,0.0,230100000.0,66.78
2016-06-30,670100000.0,199200000.0,470900000.0,170800000.0,245400000.0,184500000.0,0.5356000000000001,276800000.0,245400000.0,344700000.0,2183800000.0,403800000.0,169200000.0,2827400000.0,2953400000.0,5780800000.0,0.0,489500000.0,0.0,109800000.0,599300000.0,5181500000.0,31400000.0,261700000.0,-11400000.0,-237200000.0,0.0,188500000.0,73.49
2016-09-30,682900000.0,195900000.0,487000000.0,168000000.0,256400000.0,211000000.0,0.6056,287600000.0,256400000.0,348300000.0,2215300000.0,432000000.0,183500000.0,2911400000.0,3263300000.0,6174700000.0,0.0,528100000.0,0.0,104800000.0,632900000.0,5541800000.0,31200000.0,268800000.0,-15100000.0,-541300000.0,0.0,100500000.0,80.54
2016-12-31,759000000.0,228999900.0,530000100.0,192000000.0,268900100.0,206400000.0,0.5844,276800100.0,268900100.0,344700000.0,2554600000.0,430200000.0,182300000.0,3250400000.0,3236500000.0,6486900000.0,0.0,596500000.0,0.0,112600000.0,709100000.0,5777800000.0,7900000.0,329700000.0,-17800000.0,-309000000.0,0.0,-4700000.0,70.46
2017-03-31,679600000.0,209800000.0,469800000.0,202900000.0,193400000.0,180800000.0,0.5356000000000001,224900000.0,193400000.0,335700000.0,1464800000.0,412900000.0,213500000.0,2167700000.0,2640300000.0,4808000000.0,0.0,558200000.0,0.0,122300000.0,680500000.0,4127500000.0,31500000.0,241500000.0,-53000000.0,1308300000.0,0.0,-1878300000.0,85.16
