,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3420000000.0,2078000000.0,1342000000.0,703000000.0,578000000.0,354000000.0,0.78,766000000.0,578000000.0,451700000.0,2662000000.0,2789000000.0,1514000000.0,8110000000.0,11096000000.0,19206000000.0,456000000.0,2802000000.0,4556000000.0,6125000000.0,8927000000.0,10279000000.0,188000000.0,366000000.0,-85000000.0,-134000000.0,0.0,-305000000.0,60.94
2013-06-30,3593000000.0,2155000000.0,1438000000.0,747000000.0,630000000.0,465000000.0,1.03,774000000.0,630000000.0,449600000.0,2768000000.0,2907000000.0,1490000000.0,8213000000.0,10986000000.0,19199000000.0,1301000000.0,3711000000.0,3771000000.0,5257000000.0,8968000000.0,10231000000.0,144000000.0,643000000.0,-82000000.0,-42000000.0,-171000000.0,-359000000.0,69.17
2013-09-30,3568000000.0,2148000000.0,1420000000.0,676000000.0,678000000.0,452000000.0,1.01,825000000.0,678000000.0,445900000.0,3018000000.0,2493000000.0,1308000000.0,9582000000.0,10169000000.0,19751000000.0,1328000000.0,3941000000.0,3808000000.0,5342000000.0,9283000000.0,10468000000.0,147000000.0,811000000.0,-67000000.0,-221000000.0,-171000000.0,-438000000.0,76.27
2013-12-31,3554000000.0,2173000000.0,1381000000.0,689000000.0,628000000.0,408000000.0,0.93,762000000.0,628000000.0,446200000.0,3618000000.0,2365000000.0,1247000000.0,9816000000.0,10150000000.0,19966000000.0,3551000000.0,6034000000.0,2793000000.0,4223000000.0,10257000000.0,9709000000.0,134000000.0,708000000.0,-96000000.0,-59000000.0,-186000000.0,-38000000.0,84.08
2014-03-31,3569000000.0,2158000000.0,1411000000.0,682000000.0,667000000.0,473000000.0,1.12,797000000.0,667000000.0,421900000.0,3547000000.0,2563000000.0,1298000000.0,10028000000.0,10142000000.0,20170000000.0,2833000000.0,5360000000.0,4789000000.0,6230000000.0,11590000000.0,8580000000.0,130000000.0,314000000.0,-61000000.0,-66000000.0,-181000000.0,-329000000.0,81.33
2014-06-30,3719000000.0,2219000000.0,1500000000.0,677000000.0,763000000.0,1492000000.0,3.69,892000000.0,763000000.0,404700000.0,5297000000.0,2598000000.0,1305000000.0,9791000000.0,10145000000.0,19936000000.0,1070000000.0,3923000000.0,6140000000.0,7573000000.0,11496000000.0,8440000000.0,129000000.0,573000000.0,-70000000.0,3140000000.0,-174000000.0,-1995000000.0,87.56
2014-09-30,3692000000.0,2182000000.0,1510000000.0,675000000.0,772000000.0,531000000.0,1.35,900000000.0,772000000.0,394000000.0,4820000000.0,2519000000.0,1265000000.0,9152000000.0,9876000000.0,19028000000.0,1496000000.0,3874000000.0,6034000000.0,7353000000.0,11227000000.0,7801000000.0,128000000.0,271000000.0,-120000000.0,-126000000.0,-166000000.0,-255000000.0,84.42
2014-12-31,3504000000.0,2114000000.0,1390000000.0,644000000.0,686000000.0,450000000.0,1.17,806000000.0,686000000.0,401700000.0,3990000000.0,2293000000.0,1180000000.0,7864000000.0,9601000000.0,17465000000.0,1476000000.0,3525000000.0,5943000000.0,7116000000.0,10641000000.0,6824000000.0,120000000.0,458000000.0,-82000000.0,-106000000.0,-190000000.0,-972000000.0,94.7
2015-03-31,3342000000.0,1970000000.0,1372000000.0,616000000.0,697000000.0,458000000.0,1.22,815000000.0,697000000.0,376600000.0,2672000000.0,2367000000.0,1187000000.0,6667000000.0,9270000000.0,15937000000.0,1708000000.0,3744000000.0,5845000000.0,7211000000.0,10955000000.0,4982000000.0,118000000.0,442000000.0,-75000000.0,-58000000.0,-186000000.0,-1397000000.0,97.14
2015-06-30,3434000000.0,2024000000.0,1410000000.0,622000000.0,730000000.0,480000000.0,1.31,848000000.0,730000000.0,366200000.0,2858000000.0,2412000000.0,1191000000.0,7033000000.0,9315000000.0,16348000000.0,819000000.0,2746000000.0,6994000000.0,8296000000.0,11042000000.0,5306000000.0,118000000.0,448000000.0,-60000000.0,-103000000.0,-179000000.0,-262000000.0,91.79
2015-09-30,3354000000.0,1953000000.0,1401000000.0,581000000.0,761000000.0,511000000.0,1.4,881000000.0,761000000.0,365100000.0,3001000000.0,2339000000.0,1153000000.0,6969000000.0,9135000000.0,16104000000.0,812000000.0,2724000000.0,7000000000.0,8290000000.0,11014000000.0,5090000000.0,120000000.0,706000000.0,-55000000.0,8000000.0,-177000000.0,-395000000.0,82.31
2015-12-31,3275000000.0,1941000000.0,1334000000.0,598000000.0,679000000.0,450000000.0,1.24,800000000.0,679000000.0,367900000.0,3090000000.0,2203000000.0,1086000000.0,6720000000.0,9009000000.0,15729000000.0,526000000.0,2368000000.0,6896000000.0,8133000000.0,10501000000.0,5228000000.0,121000000.0,703000000.0,-64000000.0,-57000000.0,-200000000.0,-472000000.0,92.68
2016-03-31,3274000000.0,1896000000.0,1378000000.0,597000000.0,722000000.0,468000000.0,1.29,839000000.0,722000000.0,362000000.0,2448000000.0,2394000000.0,1134000000.0,6241000000.0,9196000000.0,15437000000.0,650000000.0,2716000000.0,6353000000.0,7499000000.0,10215000000.0,5222000000.0,117000000.0,479000000.0,-55000000.0,-50000000.0,-200000000.0,-1163000000.0,102.44
2016-06-30,3431000000.0,1967000000.0,1464000000.0,617000000.0,792000000.0,525000000.0,1.47,907000000.0,792000000.0,356600000.0,2355000000.0,2413000000.0,1145000000.0,6167000000.0,9055000000.0,15222000000.0,864000000.0,2824000000.0,6300000000.0,7448000000.0,10272000000.0,4950000000.0,115000000.0,535000000.0,-62000000.0,-65000000.0,-198000000.0,-481000000.0,104.16
2016-09-30,3495000000.0,2027000000.0,1468000000.0,604000000.0,808000000.0,535000000.0,1.51,928000000.0,808000000.0,353500000.0,2299000000.0,2496000000.0,1167000000.0,6185000000.0,9524000000.0,15709000000.0,1364000000.0,3486000000.0,6329000000.0,7430000000.0,10916000000.0,4793000000.0,120000000.0,624000000.0,-74000000.0,-522000000.0,-195000000.0,-155000000.0,119.84
2016-12-31,3399000000.0,2018000000.0,1381000000.0,593000000.0,734000000.0,507000000.0,1.46,852000000.0,734000000.0,355000000.0,2472000000.0,2357000000.0,1076000000.0,6123000000.0,9078000000.0,15201000000.0,652000000.0,2760000000.0,7177000000.0,8182000000.0,10942000000.0,4259000000.0,118000000.0,664000000.0,-66000000.0,105000000.0,-228000000.0,-456000000.0,122.46
2017-03-31,3471000000.0,2003000000.0,1468000000.0,608000000.0,807000000.0,536000000.0,1.55,921000000.0,807000000.0,346200000.0,2493000000.0,2534000000.0,1158000000.0,6430000000.0,9099000000.0,15529000000.0,671000000.0,2875000000.0,7205000000.0,8156000000.0,11031000000.0,4498000000.0,114000000.0,463000000.0,-61000000.0,-57000000.0,-226000000.0,-450000000.0,132.47
