,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1112200000.0,346100000.0,766100000.0,497700000.0,266999900.0,222200000.0,0.5,289299900.0,266999900.0,447800000.0,1649000000.0,1520400000.0,4903500000.0,13631000000.0,18534500000.0,0.0,3287600000.0,5735900000.0,6407700000.0,9695300000.0,8839200000.0,22300000.0,-484600000.0,-18100000.0,146400000.0,-77200000.0,418800000.0,28.96
2013-06-30,1135500000.0,366000000.0,769500000.0,493800000.0,273900000.0,202600000.0,0.45,295800000.0,273900000.0,449100000.0,1276800000.0,1656700000.0,5018700000.0,13119900000.0,18138600000.0,206000000.0,3429700000.0,5283900000.0,5954900000.0,9384600000.0,8754000000.0,21900000.0,740200000.0,-22200000.0,-224800000.0,-101200000.0,-479600000.0,31.8
2013-09-30,1171800000.0,380900000.0,790900000.0,504900000.0,286000100.0,228100000.0,0.51,307800000.0,286000100.0,447900000.0,1619500000.0,1540900000.0,10152300000.0,8611200000.0,18763500000.0,0.0,3919600000.0,5390700000.0,5724500000.0,9644100000.0,9119400000.0,21800000.0,334300000.0,-26700000.0,59500000.0,-100800000.0,-174700000.0,31.9
2013-12-31,1225100000.0,396199900.0,828900100.0,535600000.0,293300200.0,255300000.0,0.65,315700200.0,293300000.0,432200000.0,1914800000.0,1491500000.0,10606600000.0,8663899000.0,19270500000.0,0.0,3737500000.0,5770300000.0,6555700000.0,10293200000.0,8977300000.0,22400000.0,190300000.0,-21200000.0,-221000000.0,-100500000.0,176200000.0,36.4
2014-03-31,1269500000.0,405400000.0,864100000.0,619800000.0,244300000.0,187800000.0,0.43,267700000.0,244300000.0,436800000.0,1758700000.0,2225000000.0,11745400000.0,8600900000.0,20346300000.0,0.0,4597500000.0,6351400000.0,6843300000.0,11440800000.0,8905500000.0,23400000.0,-219200000.0,-21400000.0,-544500000.0,-98000000.0,408300000.0,37.0
2014-06-30,1289900000.0,410600000.0,879300000.0,524500000.0,354800000.0,266900000.0,0.63,377200000.0,354800000.0,423700000.0,1488400000.0,1868300000.0,11222100000.0,8677400000.0,19899500000.0,0.0,3978300000.0,5890400000.0,6598300000.0,10576600000.0,9322900000.0,22400000.0,769500000.0,-28400000.0,-425300000.0,-109100000.0,-139500000.0,37.75
2014-09-30,1311000000.0,420200000.0,890800000.0,561200000.0,329600000.0,249100000.0,0.59,351200000.0,329600000.0,422600000.0,1591200000.0,1649800000.0,11630700000.0,8450300000.0,20081000000.0,0.0,3810500000.0,6299400000.0,7131400000.0,10941900000.0,9139100000.0,21600000.0,467100000.0,-36900000.0,-479800000.0,-108600000.0,207300000.0,39.48
2014-12-31,1276700000.0,394500000.0,882200200.0,534000000.0,348200400.0,256100000.0,0.62,370200400.0,348200100.0,422600000.0,1918200000.0,1439600000.0,12141800000.0,8308199000.0,20450000000.0,0.0,3852600000.0,6726400000.0,7477600000.0,11330200000.0,9119800000.0,22000000.0,183000000.0,-46500000.0,-377600000.0,-108300000.0,386400000.0,39.52
2015-03-31,1291600000.0,399100000.0,892500000.0,554400000.0,338100000.0,252900000.0,0.6000000000000001,360800000.0,338100000.0,420900000.0,1613600000.0,2004700000.0,13781300000.0,8179900000.0,21961200000.0,0.0,5132100000.0,7080300000.0,7956300000.0,13088400000.0,8872800000.0,22700000.0,-56300000.0,-23000000.0,-366500000.0,-108100000.0,178900000.0,39.69
2015-06-30,1318100000.0,413300000.0,904800000.0,540800000.0,364000000.0,250700000.0,0.6000000000000001,387300000.0,364000000.0,420900000.0,1780500000.0,1756300000.0,14595200000.0,8303101000.0,22898300000.0,0.0,5920700000.0,7029600000.0,7892500000.0,13813200000.0,9085100000.0,23300000.0,514800000.0,-27400000.0,-31300000.0,-116500000.0,-282900000.0,37.49
