,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2474000000.0,1591000000.0,883000000.0,766000000.0,95000000.0,72000000.0,0.1675,179000000.0,95000000.0,445030000.0,430000000.0,1649000000.0,654000000.0,3958000000.0,8000000000.0,11958000000.0,0.0,2969000000.0,1481000000.0,4259000000.0,7228000000.0,4730000000.0,84000000.0,244000000.0,-49000000.0,-136000000.0,-70000000.0,-174000000.0,33.51
2013-06-30,2537000000.0,1606000000.0,931000000.0,712000000.0,162000000.0,135000000.0,0.3037,257000000.0,162000000.0,442165000.0,455000000.0,1678000000.0,685000000.0,3967000000.0,7903000000.0,11870000000.0,0.0,3140000000.0,1462000000.0,4008000000.0,7148000000.0,4722000000.0,95000000.0,268000000.0,-65000000.0,-121000000.0,-74000000.0,-171000000.0,34.5
2013-09-30,2447000000.0,1524000000.0,923000000.0,678000000.0,220000000.0,166000000.0,0.377,315000000.0,220000000.0,444075000.0,563000000.0,1704000000.0,645000000.0,4857000000.0,7319000000.0,12176000000.0,0.0,3349000000.0,1443000000.0,3706000000.0,7055000000.0,5121000000.0,95000000.0,373000000.0,-63000000.0,-210000000.0,-74000000.0,-60000000.0,36.63
2013-12-31,2493000000.0,1575000000.0,918000000.0,571000000.0,344000000.0,270000000.0,0.6073000000000001,438000000.0,344000000.0,443120000.0,479000000.0,1725000000.0,685000000.0,4007000000.0,8006000000.0,12013000000.0,0.0,3163000000.0,1443000000.0,3696000000.0,6859000000.0,5154000000.0,94000000.0,123000000.0,-59000000.0,-67000000.0,-74000000.0,-133000000.0,42.97
2014-03-31,2480000000.0,1578000000.0,902000000.0,635000000.0,259000000.0,207000000.0,0.4712,345000000.0,259000000.0,440255000.0,495000000.0,1674000000.0,661000000.0,4773000000.0,7162000000.0,11935000000.0,0.0,3406000000.0,1442000000.0,3473000000.0,6879000000.0,5056000000.0,86000000.0,320000000.0,-70000000.0,-82000000.0,-74000000.0,-213000000.0,44.4
2014-06-30,2660000000.0,1675000000.0,985000000.0,671000000.0,297000000.0,1450000000.0,3.3194,385000000.0,297000000.0,437390000.0,1912000000.0,1739000000.0,650000000.0,5719000000.0,7057000000.0,12776000000.0,0.0,3259000000.0,1443000000.0,3489000000.0,6748000000.0,6028000000.0,88000000.0,177000000.0,-74000000.0,1855000000.0,-83000000.0,-623000000.0,47.75
2014-09-30,31116000000.0,27616000000.0,3500000000.0,2339000000.0,865000000.0,-712000000.0,-0.2094,1552000000.0,865000000.0,666900000.0,892000000.0,1734000000.0,625000000.0,4786000000.0,7023000000.0,11809000000.0,0.0,3477000000.0,1443000000.0,3662000000.0,7139000000.0,4670000000.0,687000000.0,1775000000.0,-917000000.0,-4299000000.0,-392000000.0,557000000.0,46.67
2014-12-31,2478000000.0,1569000000.0,909000000.0,652000000.0,199000000.0,162000000.0,0.40840000000000004,289000000.0,199000000.0,401100000.0,473000000.0,1718000000.0,658000000.0,4066000000.0,7132000000.0,11198000000.0,0.0,3475000000.0,1184000000.0,3439000000.0,6914000000.0,4284000000.0,90000000.0,96000000.0,-65000000.0,-8000000.0,-75000000.0,-497000000.0,45.93
2015-03-31,2430000000.0,1549000000.0,881000000.0,648000000.0,221000000.0,167000000.0,0.4189,302000000.0,221000000.0,401100000.0,432000000.0,1643000000.0,677000000.0,4078000000.0,7617000000.0,11695000000.0,0.0,3479000000.0,1732000000.0,3986000000.0,7465000000.0,4230000000.0,81000000.0,169000000.0,-58000000.0,-710000000.0,-76000000.0,506000000.0,45.09
2015-06-30,2489000000.0,1573000000.0,916000000.0,625000000.0,253000000.0,156000000.0,0.3874,339000000.0,253000000.0,402055000.0,531000000.0,1775000000.0,690000000.0,4133000000.0,7587000000.0,11720000000.0,0.0,3426000000.0,1744000000.0,3955000000.0,7381000000.0,4339000000.0,86000000.0,245000000.0,-60000000.0,-71000000.0,-86000000.0,-73000000.0,40.29
2015-09-30,9703000000.0,7878000000.0,1825000000.0,1266000000.0,452000000.0,1078000000.0,0.1675,1055000000.0,452000000.0,655200000.0,597000000.0,5751000000.0,2377000000.0,10469000000.0,19153000000.0,29622000000.0,865000000.0,10446000000.0,5745000000.0,8678000000.0,19124000000.0,10498000000.0,603000000.0,1090000000.0,-915000000.0,1259000000.0,-488000000.0,-1757000000.0,35.04
2015-12-31,4696000000.0,3439000000.0,1257000000.0,847000000.0,410000000.0,450000000.0,0.1885,636000000.0,410000000.0,647700000.0,301000000.0,1719000000.0,647000000.0,3665000000.0,7766000000.0,11431000000.0,0.0,3211000000.0,2146000000.0,4174000000.0,7385000000.0,4046000000.0,226000000.0,-13000000.0,-273000000.0,-384000000.0,-322000000.0,214000000.0,33.39
2016-03-31,4733000000.0,3446000000.0,1287000000.0,899000000.0,328000000.0,-530000000.0,0.356,547000000.0,328000000.0,648200000.0,345000000.0,1722000000.0,670000000.0,3663000000.0,7948000000.0,11611000000.0,0.0,3233000000.0,2159000000.0,4200000000.0,7433000000.0,4178000000.0,219000000.0,634000000.0,-270000000.0,-233000000.0,-261000000.0,-448000000.0,38.44
2016-06-30,5154000000.0,3732000000.0,1422000000.0,895000000.0,500000000.0,383000000.0,0.5864,735000000.0,500000000.0,644900000.0,345000000.0,1805000000.0,656000000.0,3822000000.0,7792000000.0,11614000000.0,0.0,3116000000.0,2165000000.0,4112000000.0,7228000000.0,4386000000.0,235000000.0,75000000.0,-251000000.0,-254000000.0,-201000000.0,274000000.0,44.61
2016-09-30,6254000000.0,4566000000.0,1688000000.0,1549000000.0,-62000000.0,-1171000000.0,-1.6099999999999999,211000000.0,-62000000.0,667400000.0,579000000.0,6394000000.0,2888000000.0,17109000000.0,46070000000.0,63179000000.0,1706000000.0,16331000000.0,11053000000.0,21758000000.0,38089000000.0,25090000000.0,273000000.0,1212000000.0,-423000000.0,-16000000.0,-437000000.0,-986000000.0,46.53
2016-12-31,7086000000.0,4972000000.0,2114000000.0,1570000000.0,466000000.0,329000000.0,0.35000000000000003,812000000.0,466000000.0,937200000.0,377000000.0,6057000000.0,2943000000.0,10966000000.0,37822000000.0,48788000000.0,2899000000.0,11459000000.0,10351000000.0,16933000000.0,28392000000.0,20396000000.0,346000000.0,-1885000000.0,-369000000.0,-331000000.0,-31000000.0,1964000000.0,41.19
