,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,281543000.0,166953000.0,114590000.0,32885000.0,65709000.0,45996000.0,0.53,91882000.0,65709000.0,86120000.0,182051000.0,129591000.0,392764000.0,1170677000.0,1563441000.0,0.0,260791000.0,95055000.0,222810000.0,483601000.0,1079840000.0,26173000.0,33257000.0,-23327000.0,-23327000.0,-11187000.0,-20733000.0,46.21
2013-06-30,276286100.0,167647000.0,108639100.0,33665000.0,58104100.0,38634000.0,0.55,83815100.0,58104000.0,86040000.0,127905000.0,237370000.0,456119000.0,1216267000.0,1672386000.0,0.0,434202000.0,7366000.0,222368000.0,656570000.0,1015816000.0,25711000.0,156749000.0,-31213000.0,-31213000.0,-17202000.0,-179682000.0,47.13
2013-09-30,277730000.0,160441000.0,117289000.0,34988000.0,66628000.0,43221000.0,0.58,92484000.0,66628000.0,85294000.0,181787000.0,155315000.0,430459000.0,1184683000.0,1615142000.0,0.0,365243000.0,6543000.0,145118000.0,510361000.0,1104781000.0,25856000.0,97690000.0,-18725000.0,-21908000.0,-17054000.0,-21900000.0,51.66
2013-12-31,288844000.0,165824000.0,123020000.0,32635000.0,74243000.0,48361000.0,0.63,100509000.0,74243000.0,85450000.0,155501000.0,137711000.0,382711000.0,1199433000.0,1582144000.0,0.0,289546000.0,5689000.0,147151000.0,436697000.0,1145447000.0,26266000.0,33626000.0,-29347000.0,-33144000.0,-17092000.0,-26768000.0,59.21
2014-03-31,291434000.0,174059000.0,117375000.0,35349000.0,64541000.0,42606000.0,0.55,91936000.0,64541000.0,84981000.0,52244000.0,141071000.0,278985000.0,1235487000.0,1514472000.0,0.0,254448000.0,3622000.0,145484000.0,399932000.0,1114540000.0,27395000.0,30121000.0,-18744000.0,-51023000.0,-18624000.0,-82355000.0,55.76
2014-06-30,315165000.0,179048000.0,136117000.0,35783000.0,82886000.0,52527000.0,0.6000000000000001,111140000.0,82886000.0,84866000.0,70377000.0,231978000.0,390506000.0,1290197000.0,1680703000.0,0.0,446809000.0,3729000.0,266507000.0,713316000.0,967387000.0,28254000.0,180222000.0,-20782000.0,-25705000.0,-18481000.0,-136384000.0,59.43
2014-09-30,301474000.0,174884000.0,126590000.0,38173000.0,71626000.0,46088000.0,0.64,101074000.0,71626000.0,82195000.0,39402000.0,161728000.0,310323000.0,1310474000.0,1620797000.0,0.0,404724000.0,1041000.0,281602000.0,686326000.0,934471000.0,29448000.0,93148000.0,-39426000.0,-42881000.0,-18042000.0,-81242000.0,55.66
2014-12-31,311294000.0,180259000.0,131035000.0,33689000.0,79665000.0,53882000.0,0.72,109633000.0,79665000.0,81432000.0,49332000.0,149996000.0,306781000.0,1314190000.0,1620971000.0,0.0,405259000.0,923000.0,293650000.0,698909000.0,922062000.0,29968000.0,33750000.0,-16541000.0,-20518000.0,-17919000.0,-3302000.0,62.14
2015-03-31,309709000.0,177894000.0,131815000.0,37091000.0,77202000.0,50712000.0,0.63,106872000.0,77202000.0,80880000.0,52800000.0,137425000.0,294532000.0,1323607000.0,1618139000.0,0.0,287605000.0,70200000.0,373924000.0,661529000.0,956610000.0,29670000.0,55589000.0,-28099000.0,-30933000.0,-20222000.0,-21188000.0,69.89
2015-06-30,333713000.0,187299000.0,146413900.0,44415000.0,89372000.0,60539000.0,0.75,119282000.0,89372000.0,81353000.0,148313000.0,248140000.0,493499000.0,1343336000.0,1836835000.0,0.0,443611000.0,50102000.0,401690000.0,845301000.0,991534000.0,29910000.0,191303000.0,-47033000.0,-42652000.0,-20227000.0,-53138000.0,64.7
