,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,17505000000.0,5554000000.0,11951000000.0,5223000000.0,4261000000.0,3497000000.0,1.22,5443000000.0,4407000000.0,2790200000.0,21668000000.0,11515000000.0,7691000000.0,47228000000.0,74308000000.0,121536000000.0,0.0,22524000000.0,11363000000.0,32157000000.0,54681000000.0,66855000000.0,1036000000.0,2277000000.0,-480000000.0,-1403000000.0,-1706000000.0,-777000000.0,81.53
2013-06-30,17877000000.0,5489000000.0,12388000000.0,5376000000.0,4793000000.0,3833000000.0,1.33,5918000000.0,4928000000.0,2809700000.0,25129000000.0,11614000000.0,7822000000.0,51273000000.0,73052000000.0,124325000000.0,0.0,23767000000.0,9643000000.0,30893000000.0,54660000000.0,69665000000.0,990000000.0,5051000000.0,-730000000.0,-569000000.0,-1856000000.0,-1977000000.0,85.86
2013-09-30,17575000000.0,5344000000.0,12231000000.0,5314000000.0,3667000000.0,2982000000.0,1.04,4766000000.0,3790000000.0,2818400000.0,25228000000.0,12027000000.0,8124000000.0,52176000000.0,74757000000.0,126933000000.0,0.0,25835000000.0,9748000000.0,31294000000.0,57129000000.0,69804000000.0,976000000.0,5947000000.0,-764000000.0,-1553000000.0,-1862000000.0,-4519000000.0,86.69
2013-12-31,18355000000.0,5955000000.0,12400000000.0,5917000000.0,2750000000.0,3519000000.0,1.23,4004000000.0,2902000000.0,2809200000.0,29206000000.0,11713000000.0,7878000000.0,56407000000.0,76276000000.0,132683000000.0,0.0,25675000000.0,13328000000.0,32955000000.0,58630000000.0,74053000000.0,1102000000.0,4139000000.0,-1163000000.0,-1578000000.0,-1862000000.0,1182000000.0,91.59
2014-03-31,18115000000.0,5455000000.0,12660000000.0,5183000000.0,5424000000.0,4727000000.0,1.6400000000000001,6591000000.0,5578000000.0,2826800000.0,29392000000.0,12116000000.0,8009000000.0,57369000000.0,75961000000.0,133330000000.0,0.0,23840000000.0,13343000000.0,32908000000.0,56748000000.0,76582000000.0,1013000000.0,3923000000.0,-595000000.0,-2026000000.0,-1867000000.0,-3057000000.0,98.23
2014-06-30,19495000000.0,6039000000.0,13456000000.0,5481000000.0,5626000000.0,4326000000.0,1.51,6720000000.0,5768000000.0,2826400000.0,31624000000.0,12257000000.0,8155000000.0,60119000000.0,75081000000.0,135200000000.0,0.0,24359000000.0,13303000000.0,32793000000.0,57152000000.0,78048000000.0,952000000.0,5529000000.0,-299000000.0,-8092000000.0,-1978000000.0,-2868000000.0,104.62
2014-09-30,18467000000.0,5399000000.0,13068000000.0,5468000000.0,6810000000.0,4749000000.0,1.6600000000000001,7897000000.0,6958000000.0,2814400000.0,33005000000.0,11615000000.0,8419000000.0,59973000000.0,72124000000.0,132097000000.0,0.0,22982000000.0,13152000000.0,32524000000.0,55506000000.0,76591000000.0,939000000.0,4654000000.0,3157000000.0,735000000.0,-1967000000.0,-5716000000.0,106.59
2014-12-31,18254000000.0,5853000000.0,12401000000.0,5822000000.0,2703000000.0,2521000000.0,0.89,3850000000.0,2859000000.0,2815200000.0,33089000000.0,10985000000.0,8184000000.0,55744000000.0,74614000000.0,130358000000.0,0.0,25031000000.0,15122000000.0,35575000000.0,60606000000.0,69752000000.0,991000000.0,4604000000.0,-1346000000.0,-2922000000.0,-1956000000.0,-858000000.0,104.57
2015-03-31,17374000000.0,5282000000.0,12092000000.0,4847000000.0,5575000000.0,4320000000.0,1.53,6627000000.0,5732000000.0,2782600000.0,31319000000.0,11533000000.0,8085000000.0,58192000000.0,70398000000.0,128590000000.0,0.0,23836000000.0,14938000000.0,36876000000.0,60712000000.0,67878000000.0,895000000.0,2872000000.0,-433000000.0,-1789000000.0,-1946000000.0,-3227000000.0,100.6
2015-06-30,17787000000.0,5357000000.0,12430000000.0,5384000000.0,5741000000.0,4516000000.0,1.6099999999999999,6785000000.0,5896000000.0,2772300000.0,33954000000.0,11968000000.0,8298000000.0,61001000000.0,71035000000.0,132036000000.0,0.0,24512000000.0,14085000000.0,36393000000.0,60905000000.0,71131000000.0,889000000.0,5472000000.0,318000000.0,-3554000000.0,-2079000000.0,-2775000000.0,97.46
2015-09-30,17102000000.0,5224000000.0,11878000000.0,5081000000.0,4122000000.0,3358000000.0,1.2,5206000000.0,4277000000.0,2768400000.0,37306000000.0,11366000000.0,8206000000.0,63494000000.0,69772000000.0,133266000000.0,0.0,25260000000.0,14073000000.0,36452000000.0,61712000000.0,71554000000.0,929000000.0,6140000000.0,-362000000.0,-1001000000.0,-2076000000.0,-1840000000.0,93.35
2015-12-31,17811000000.0,5673000000.0,12138000000.0,5891000000.0,3758000000.0,3215000000.0,1.15,5004000000.0,3971000000.0,2771800000.0,38376000000.0,10734000000.0,8053000000.0,60210000000.0,73201000000.0,133411000000.0,0.0,27747000000.0,12857000000.0,34514000000.0,62261000000.0,71150000000.0,1033000000.0,5085000000.0,478000000.0,-1391000000.0,-2072000000.0,-3294000000.0,102.72
