,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,27554000000.0,2432000000.0,25122000000.0,15888000000.0,9082000000.0,6131000000.0,1.6099999999999999,3818200000.0,952493000000.0,1734807000000.0,654542000000.0001,2389349000000.0,0.0,1828402000000.0,295561000000.0,353861000000.0,2182263000000.0,207086000000.0,974000000.0,19964000000.0,-55455000000.0,-1242000000.0,28180000000.0,47.46
2013-06-30,27579000000.0,2368000000.0,25211000000.0,15761000000.0,9298000000.0,6101000000.0,1.6099999999999999,3782400000.0,994509000000.0,1782273000000.0,657221000000.0001,2439494000000.0,0.0,1878568000000.0,296597000000.0,351687000000.0,2230255000000.0,209239000000.0,1435000000.0,68520000000.0,-86790000000.0,-1485000000.0,1928000000.0,52.79
2013-09-30,25408000000.0,2291000000.0,23117000000.0,22943000000.0,34000000.0,-650000000.0,-0.17,3767000000.0,1021373000000.0,1798750000000.0,664559000000.0001,2463309000000.0,0.0,1913973000000.0,293808000000.0,342666000000.0,2256639000000.0,206670000000.0,1651000000.0,26383000000.0,-46856000000.0,-1547000000.0,21135000000.0,51.69
2013-12-31,26176000000.0,2259000000.0,23917000000.0,16100000000.0,7817000000.0,4975000000.0,1.31,3782400000.0,978602000000.0,1765916000000.0,649773000000.0001,2415689000000.0,0.0,1859011000000.0,295883000000.0,345500000000.0,2204511000000.0,211178000000.0,1246000000.0,-6914000000.0,38600000000.0,-1782000000.0,-22919000000.0,58.48
2014-03-31,25341000000.0,2126000000.0,23215000000.0,15486000000.0,7729000000.0,4893000000.0,1.29,3787200000.0,1039224000000.0,1827470000000.0,649516000000.0001,2476986000000.0,0.0,1904080000000.0,306463000000.0,353251000000.0,2257331000000.0,219655000000.0,1208000000.0,14667000000.0,-68410000000.0,-1554000000.0,40318000000.0,60.71
2014-06-30,26741000000.0,2063000000.0,24678000000.0,16123000000.0,8555000000.0,5568000000.0,1.47,3780600000.0,1062124000000.0,1870877000000.0,649459000000.0001,2520336000000.0,0.0,1942657000000.0,304642000000.0,350365000000.0,2293022000000.0,227314000000.0,1218000000.0,-4371000000.0,-29528000000.0,-1806000000.0,35118000000.0,57.62
2014-09-30,26288000000.0,1819000000.0,24469000000.0,16555000000.0,7914000000.0,5128000000.0,1.37,3755400000.0,1064677000000.0,1868549000000.0,658456000000.0001,2527005000000.0,0.0,1947551000000.0,300613000000.0,348177000000.0,2295728000000.0,231277000000.0,1147000000.0,-2449000000.0,2308000000.0,-1718000000.0,-1375000000.0,60.24
2014-12-31,24639000000.0,1889000000.0,22750000000.0,16249000000.0,6501000000.0,4488000000.0,1.2,3763500000.0,1127099000000.0,1940329000000.0,631945000000.0001,2572274000000.0,0.0,1981626000000.0,306601000000.0,358921000000.0,2340547000000.0,231727000000.0,1186000000.0,28746000000.0,-70006000000.0,-1912000000.0,44167000000.0,62.58
2015-03-31,25954000000.0,1888000000.0,24066000000.0,15842000000.0,8224000000.0,5452000000.0,1.46,3725300000.0,1147529000000.0,1967655000000.0,609493000000.0001,2577148000000.0,0.0,1980550000000.0,309643000000.0,360734000000.0,2341284000000.0,235864000000.0,1181000000.0,14879000000.0,-24150000000.0,-1770000000.0,4337000000.0,60.58
2015-06-30,25642000000.0,1830000000.0,23812000000.0,15435000000.0,8377000000.0,5776000000.0,1.56,3707800000.0,1013622000000.0,1860596000000.0,589003000000.0001,2449599000000.0,0.0,1841638000000.0,316754000000.0,366756000000.0,2208394000000.0,241205000000.0,1238000000.0,17296000000.0,101621000000.0,-1964000000.0,-117766000000.0,67.76
