,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1380000000.0,590000000.0,790000000.0,563000000.0,197000000.0,106000000.0,0.52,238000000.0,197000000.0,204600000.0,208000000.0,634000000.0,216000000.0,1280000000.0,7592000000.0,8872000000.0,250000000.0,1212000000.0,2547000000.0,5421000000.0,6633000000.0,2239000000.0,41000000.0,77000000.0,-46000000.0,-61000000.0,-70000000.0,-175000000.0,46.95
2013-06-30,1611000000.0,676000000.0,935000000.0,619000000.0,285000000.0,155000000.0,0.76,327000000.0,285000000.0,204100000.0,113000000.0,680000000.0,222000000.0,1213000000.0,7496000000.0,8709000000.0,0.0,1064000000.0,2521000000.0,5341000000.0,6405000000.0,2304000000.0,42000000.0,218000000.0,-33000000.0,-33000000.0,-78000000.0,-276000000.0,45.93
2013-09-30,1543000000.0,650000000.0,893000000.0,563000000.0,300000000.0,207000000.0,1.02,342000000.0,300000000.0,203300000.0,119000000.0,586000000.0,196000000.0,1059000000.0,7070000000.0,8129000000.0,0.0,956000000.0,2521000000.0,4865000000.0,5821000000.0,2308000000.0,42000000.0,321000000.0,-31000000.0,-34000000.0,-77000000.0,-281000000.0,44.82
2013-12-31,1463000000.0,583000000.0,880000000.0,527000000.0,264000000.0,156000000.0,0.78,308000000.0,264000000.0,202900000.0,153000000.0,622000000.0,200000000.0,1119000000.0,7082000000.0,8201000000.0,0.0,1030000000.0,2508000000.0,4894000000.0,5924000000.0,2277000000.0,44000000.0,250000000.0,-68000000.0,-67000000.0,-77000000.0,-148000000.0,48.72
2014-03-31,1398000000.0,554000000.0,844000000.0,554000000.0,260000000.0,155000000.0,0.78,304000000.0,260000000.0,197900000.0,120000000.0,620000000.0,226000000.0,1173000000.0,7054000000.0,8227000000.0,0.0,1105000000.0,2523000000.0,4896000000.0,6001000000.0,2226000000.0,44000000.0,129000000.0,-37000000.0,-38000000.0,-75000000.0,-123000000.0,54.46
2014-06-30,1631000000.0,665000000.0,966000000.0,592000000.0,348000000.0,210000000.0,1.07,389000000.0,348000000.0,196600000.0,135000000.0,642000000.0,213000000.0,1189000000.0,7037000000.0,8226000000.0,0.0,1063000000.0,2537000000.0,4894000000.0,5957000000.0,2269000000.0,41000000.0,309000000.0,-27000000.0,-30000000.0,-82000000.0,-265000000.0,58.58
2014-09-30,1583000000.0,658000000.0,925000000.0,581000000.0,316000000.0,188000000.0,0.97,357000000.0,316000000.0,194800000.0,266000000.0,609000000.0,191000000.0,1241000000.0,7020000000.0,8261000000.0,0.0,1024000000.0,2539000000.0,4874000000.0,5898000000.0,2363000000.0,41000000.0,331000000.0,-32000000.0,-32000000.0,-80000000.0,-165000000.0,64.31
2014-12-31,1509000000.0,614000000.0,895000000.0,607000000.0,256000000.0,150000000.0,0.77,300000000.0,256000000.0,195800000.0,237000000.0,617000000.0,204000000.0,1211000000.0,7054000000.0,8265000000.0,0.0,1038000000.0,2580000000.0,4933000000.0,5971000000.0,2294000000.0,44000000.0,253000000.0,-66000000.0,-85000000.0,-80000000.0,-194000000.0,71.68
2015-03-31,1451000000.0,602000000.0,849000000.0,552000000.0,270000000.0,157000000.0,0.8200000000000001,310000000.0,270000000.0,193000000.0,93000000.0,637000000.0,228000000.0,1194000000.0,7058000000.0,8252000000.0,0.0,1555000000.0,2113000000.0,4476000000.0,6031000000.0,2221000000.0,40000000.0,101000000.0,-19000000.0,-40000000.0,-79000000.0,-202000000.0,78.48
2015-06-30,1655000000.0,674000000.0,981000000.0,586000000.0,369000000.0,220000000.0,1.15,409000000.0,369000000.0,191400000.0,127000000.0,693000000.0,217000000.0,1259000000.0,7008000000.0,8267000000.0,0.0,1563000000.0,2097000000.0,4442000000.0,6005000000.0,2262000000.0,40000000.0,248000000.0,-12000000.0,-7000000.0,-93000000.0,-207000000.0,72.9
