,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2014-10-31,762000000.0,343000000.0,419000000.0,198000000.0,130000000.0,101000000.0,0.6000000000000001,155000000.0,130000000.0,167000000.0,810000000.0,380000000.0,498000000.0,1850000000.0,1200000000.0,3050000000.0,0.0,769000000.0,1099000000.0,1512000000.0,2281000000.0,769000000.0,25000000.0,201000000.0,-18000000.0,-30000000.0,0.0,645000000.0,31.5
2015-01-31,701000000.0,318000000.0,383000000.0,206000000.0,87000000.0,70000000.0,0.42,110000000.0,87000000.0,168000000.0,887000000.0,310000000.0,477000000.0,1892000000.0,1137000000.0,3029000000.0,0.0,700000000.0,1099000000.0,1411000000.0,2111000000.0,918000000.0,23000000.0,92000000.0,0.0,-14000000.0,0.0,7000000.0,33.39
2015-04-30,740000000.0,324000000.0,416000000.0,192000000.0,133000000.0,96000000.0,0.5700000000000001,156000000.0,133000000.0,169000000.0,894000000.0,353000000.0,476000000.0,1927000000.0,1134000000.0,3061000000.0,0.0,631000000.0,1099000000.0,1394000000.0,2025000000.0,1036000000.0,23000000.0,68000000.0,-31000000.0,-16000000.0,0.0,-45000000.0,33.46
2015-07-31,665000000.0,295000000.0,370000000.0,183000000.0,100000000.0,70000000.0,0.41000000000000003,123000000.0,100000000.0,169000000.0,1000000000.0,313000000.0,478000000.0,1983000000.0,1114000000.0,3097000000.0,0.0,620000000.0,1099000000.0,1372000000.0,1992000000.0,1105000000.0,23000000.0,135000000.0,-35000000.0,-42000000.0,0.0,16000000.0,30.54
2015-10-31,750000000.0,332000000.0,418000000.0,206000000.0,111000000.0,277000000.0,1.63,141000000.0,111000000.0,169000000.0,483000000.0,398000000.0,487000000.0,1579000000.0,1929000000.0,3508000000.0,0.0,686000000.0,1099000000.0,1520000000.0,2206000000.0,1302000000.0,30000000.0,81000000.0,-25000000.0,-599000000.0,0.0,3000000.0,33.08
2016-01-31,721000000.0,329000000.0,392000000.0,200000000.0,98000000.0,64000000.0,0.37,131000000.0,98000000.0,171000000.0,572000000.0,361000000.0,481000000.0,1626000000.0,1855000000.0,3481000000.0,0.0,602000000.0,1099000000.0,1497000000.0,2099000000.0,1382000000.0,33000000.0,92000000.0,-24000000.0,-24000000.0,0.0,25000000.0,23.4
2016-04-30,731000000.0,325000000.0,406000000.0,207000000.0,95000000.0,88000000.0,0.52,129000000.0,95000000.0,170000000.0,620000000.0,408000000.0,475000000.0,1737000000.0,1918000000.0,3655000000.0,0.0,652000000.0,1100000000.0,1503000000.0,2155000000.0,1500000000.0,34000000.0,117000000.0,-28000000.0,-38000000.0,0.0,-41000000.0,26.08
2016-07-31,715000000.0,309000000.0,406000000.0,200000000.0,106000000.0,91000000.0,0.54,140000000.0,106000000.0,170000000.0,664000000.0,415000000.0,479000000.0,1711000000.0,1964000000.0,3675000000.0,0.0,601000000.0,1100000000.0,1477000000.0,2078000000.0,1597000000.0,34000000.0,68000000.0,-14000000.0,-14000000.0,0.0,-9000000.0,29.24
2016-10-31,751000000.0,331000000.0,420000000.0,211000000.0,107000000.0,92000000.0,0.54,140000000.0,107000000.0,170000000.0,783000000.0,437000000.0,474000000.0,1854000000.0,1942000000.0,3796000000.0,0.0,644000000.0,1093000000.0,1639000000.0,2283000000.0,1513000000.0,33000000.0,143000000.0,-25000000.0,-14000000.0,0.0,-4000000.0,32.8
2017-01-31,726000000.0,322000000.0,404000000.0,213000000.0,162000000.0,109000000.0,0.64,194000000.0,162000000.0,171000000.0,896000000.0,395000000.0,479000000.0,1932000000.0,1937000000.0,3869000000.0,0.0,596000000.0,1093000000.0,1625000000.0,2221000000.0,1648000000.0,32000000.0,115000000.0,-8000000.0,-8000000.0,0.0,8000000.0,37.07
2017-04-30,753000000.0,340000000.0,413000000.0,256000000.0,42000000.0,49000000.0,0.28,83000000.0,42000000.0,177000000.0,1023000000.0,518000000.0,585000000.0,2314000000.0,3700000000.0,6014000000.0,170000000.0,876000000.0,2156000000.0,2966000000.0,3842000000.0,2172000000.0,41000000.0,49000000.0,-17000000.0,-1634000000.0,0.0,1669000000.0,37.43
2017-07-31,832000000.0,421000000.0,411000000.0,286000000.0,-4000000.0,-18000000.0,-0.1,76000000.0,-4000000.0,186000000.0,876000000.0,521000000.0,561000000.0,2158000000.0,3682000000.0,5840000000.0,40000000.0,784000000.0,2047000000.0,2837000000.0,3621000000.0,2219000000.0,80000000.0,101000000.0,-21000000.0,-4000000.0,0.0,-211000000.0,41.59
2017-10-31,878000000.0,409000000.0,469000000.0,303000000.0,-52000000.0,-38000000.0,-0.2,20000000.0,-52000000.0,180000000.0,818000000.0,547000000.0,588000000.0,2177000000.0,3756000000.0,5933000000.0,10000000.0,819000000.0,2038000000.0,2804000000.0,3623000000.0,2310000000.0,72000000.0,63000000.0,-26000000.0,-76000000.0,0.0,-41000000.0,44.67
