,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3060000000.0,970000000.0,2090000000.0,657000000.0,1017000000.0,292000000.0,0.28,1441000000.0,1017000000.0,1036000000.0,1106000000.0,1290000000.0,389000000.0,3686000000.0,64622000000.0,68308000000.0,2876000000.0,5582000000.0,31514000000.0,38418000000.0,44000000000.0,24308000000.0,424000000.0,767000000.0,-605000000.0,-116000000.0,-759000000.0,-253000000.0,38.68
2013-06-30,3382000000.0,1254000000.0,2128000000.0,928000000.0,772000000.0,277000000.0,0.27,1226000000.0,772000000.0,1036000000.0,1017000000.0,1488000000.0,428000000.0,3772000000.0,70348000000.0,74120000000.0,3964000000.0,7333000000.0,31582000000.0,38248000000.0,45581000000.0,28539000000.0,454000000.0,967000000.0,-1003000000.0,-1001000000.0,-781000000.0,-41000000.0,38.15
2013-09-30,3756000000.0,1543000000.0,2213000000.0,770000000.0,1041000000.0,286000000.0,0.27,1519000000.0,1041000000.0,1036000000.0,816000000.0,1420000000.0,435000000.0,3591000000.0,70984000000.0,74575000000.0,2973000000.0,6415000000.0,33038000000.0,39858000000.0,46273000000.0,28302000000.0,478000000.0,1058000000.0,-880000000.0,-936000000.0,-876000000.0,-331000000.0,35.57
2013-12-31,3872000000.0,1486000000.0,2386000000.0,765000000.0,1160000000.0,338000000.0,0.33,1649000000.0,1160000000.0,1036000000.0,598000000.0,1721000000.0,430000000.0,3868000000.0,71317000000.0,75185000000.0,2306000000.0,6075000000.0,33887000000.0,40825000000.0,46900000000.0,28285000000.0,489000000.0,1330000000.0,-683000000.0,-1069000000.0,-898000000.0,-470000000.0,36.0
2014-03-31,4047000000.0,1643000000.0,2404000000.0,765000000.0,1147000000.0,287000000.0,0.28,1653000000.0,1147000000.0,1029000000.0,513000000.0,1838000000.0,417000000.0,3662000000.0,72392000000.0,76054000000.0,2412000000.0,6068000000.0,34799000000.0,41552000000.0,47620000000.0,28434000000.0,506000000.0,1118000000.0,-875000000.0,-1819000000.0,-904000000.0,626000000.0,32.49
2014-06-30,3937000000.0,1610000000.0,2327000000.0,805000000.0,1013000000.0,284000000.0,0.27,1526000000.0,1013000000.0,1028000000.0,363000000.0,1633000000.0,460000000.0,3367000000.0,72997000000.0,76364000000.0,2623000000.0,6487000000.0,34521000000.0,41222000000.0,47709000000.0,28655000000.0,513000000.0,1085000000.0,-874000000.0,-888000000.0,-932000000.0,-353000000.0,36.26
2014-09-30,4291000000.0,1642000000.0,2649000000.0,797000000.0,1332000000.0,329000000.0,0.32,1864000000.0,1332000000.0,1028000000.0,472000000.0,1696000000.0,461000000.0,3486000000.0,73632000000.0,77118000000.0,2307000000.0,6085000000.0,35636000000.0,42264000000.0,48349000000.0,28769000000.0,532000000.0,1289000000.0,-1068000000.0,-1313000000.0,-959000000.0,138000000.0,38.34
2014-12-31,3951000000.0,1383000000.0,2568000000.0,818000000.0,956000000.0,126000000.0,0.08,1490000000.0,956000000.0,1137000000.0,315000000.0,1641000000.0,459000000.0,3752000000.0,79297000000.0,83049000000.0,2717000000.0,6362000000.0,40097000000.0,42261000000.0,48623000000.0,34426000000.0,534000000.0,975000000.0,-2183000000.0,-1190000000.0,-978000000.0,60000000.0,42.31
2015-03-31,3597000000.0,1090000000.0,2507000000.0,836000000.0,1078000000.0,429000000.0,0.22,1628000000.0,1078000000.0,2141000000.0,259000000.0,1420000000.0,453000000.0,3289000000.0,82875000000.0,86164000000.0,3435000000.0,6784000000.0,41824000000.0,44021000000.0,50805000000.0,35359000000.0,550000000.0,1256000000.0,-2761000000.0,-2775000000.0,-972000000.0,1468000000.0,42.06
2015-06-30,3463000000.0,1085000000.0,2378000000.0,870000000.0,892000000.0,333000000.0,0.15,1476000000.0,892000000.0,2175000000.0,163000000.0,1349000000.0,474000000.0,2936000000.0,82674000000.0,85610000000.0,3154000000.0,6499000000.0,41399000000.0,43606000000.0,50105000000.0,35505000000.0,584000000.0,1282000000.0,-1063000000.0,-969000000.0,-1050000000.0,-410000000.0,38.39
2015-09-30,3707000000.0,1106000000.0,2601000000.0,880000000.0,721000000.0,186000000.0,0.08,1351000000.0,721000000.0,2203000000.0,179000000.0,1404000000.0,445000000.0,3067000000.0,82610000000.0,85677000000.0,3003000000.0,6191000000.0,41630000000.0,43644000000.0,49835000000.0,35842000000.0,630000000.0,969000000.0,-1049000000.0,-978000000.0,-1087000000.0,28000000.0,27.68
2015-12-31,3636000000.0,778000000.0,2858000000.0,936000000.0,-244000000.0,-721000000.0,-0.29,1502000000.0,-244000000.0,2187000000.0,289000000.0,1355000000.0,407000000.0,2824000000.0,81280000000.0,84104000000.0,821000000.0,4065000000.0,42406000000.0,44636000000.0,48701000000.0,35403000000.0,1746000000.0,1806000000.0,-1063000000.0,-984000000.0,-1149000000.0,-769000000.0,14.92
2016-03-31,3195000000.0,731000000.0,2464000000.0,863000000.0,816000000.0,276000000.0,0.12,1381000000.0,816000000.0,2229000000.0,175000000.0,1203000000.0,364000000.0,2481000000.0,81748000000.0,84229000000.0,1702000000.0,4396000000.0,42105000000.0,44287000000.0,48683000000.0,35546000000.0,565000000.0,1050000000.0,-1147000000.0,-1144000000.0,-283000000.0,35000000.0,17.86
2016-06-30,3144000000.0,752000000.0,2392000000.0,902000000.0,940000000.0,333000000.0,0.15,1508000000.0,940000000.0,2229000000.0,180000000.0,1278000000.0,361000000.0,2470000000.0,81847000000.0,84317000000.0,3419000000.0,6566000000.0,40201000000.0,42278000000.0,48844000000.0,35473000000.0,568000000.0,1295000000.0,-436000000.0,-736000000.0,-287000000.0,-554000000.0,18.72
2016-09-30,3330000000.0,971000000.0,2359000000.0,853000000.0,882000000.0,-227000000.0,-0.1,1446000000.0,882000000.0,2230000000.0,1245000000.0,1282000000.0,325000000.0,3363000000.0,78241000000.0,81604000000.0,2944000000.0,6044000000.0,38518000000.0,40592000000.0,46636000000.0,34968000000.0,564000000.0,1158000000.0,-609000000.0,833000000.0,-286000000.0,-1813000000.0,23.13
2016-12-31,3389000000.0,975000000.0,2414000000.0,878000000.0,900000000.0,170000000.0,0.08,1471000000.0,900000000.0,2230000000.0,787000000.0,1550000000.0,357000000.0,3229000000.0,77076000000.0,80305000000.0,2696000000.0,5924000000.0,37354000000.0,39579000000.0,45503000000.0,34802000000.0,571000000.0,1255000000.0,-693000000.0,-578000000.0,-286000000.0,-305000000.0,20.71
2017-03-31,3424000000.0,1061000000.0,2363000000.0,821000000.0,977000000.0,401000000.0,0.18,1550000000.0,977000000.0,2230000000.0,486000000.0,1440000000.0,380000000.0,2675000000.0,77118000000.0,79793000000.0,3928000000.0,6689000000.0,35464000000.0,38099000000.0,44788000000.0,35005000000.0,573000000.0,886000000.0,-597000000.0,-650000000.0,-289000000.0,-538000000.0,21.74
2017-06-30,3368000000.0,1070000000.0,2298000000.0,804000000.0,918000000.0,337000000.0,0.15,1510000000.0,918000000.0,2230000000.0,518000000.0,1353000000.0,438000000.0,2726000000.0,77477000000.0,80203000000.0,3224000000.0,6363000000.0,35100000000.0,37626000000.0,43989000000.0,36214000000.0,592000000.0,1280000000.0,-672000000.0,-960000000.0,-286000000.0,-297000000.0,19.16
2017-09-30,3281000000.0,1007000000.0,2274000000.0,879000000.0,826000000.0,334000000.0,0.15,1403000000.0,826000000.0,2231000000.0,620000000.0,1214000000.0,428000000.0,2613000000.0,77738000000.0,80351000000.0,3156000000.0,6174000000.0,35116000000.0,37653000000.0,43827000000.0,36524000000.0,577000000.0,1141000000.0,-848000000.0,-898000000.0,-291000000.0,-159000000.0,19.18
2017-12-31,3632000000.0,1207000000.0,2425000000.0,1054000000.0,808000000.0,-1045000000.0,-0.47000000000000003,1388000000.0,808000000.0,2230000000.0,326000000.0,1613000000.0,424000000.0,2715000000.0,76340000000.0,79055000000.0,2828000000.0,6181000000.0,35015000000.0,37750000000.0,43931000000.0,35124000000.0,580000000.0,1294000000.0,-957000000.0,-895000000.0,-296000000.0,-687000000.0,18.07
2018-03-31,3418000000.0,1019000000.0,2399000000.0,880000000.0,949000000.0,485000000.0,0.22,1551000000.0,949000000.0,2207000000.0,363000000.0,1512000000.0,442000000.0,2628000000.0,76383000000.0,79011000000.0,2494000000.0,5429000000.0,35543000000.0,38447000000.0,43876000000.0,35135000000.0,602000000.0,974000000.0,-726000000.0,-725000000.0,-294000000.0,-209000000.0,15.06
2018-06-30,3428000000.0,1068000000.0,2360000000.0,866000000.0,272000000.0,-180000000.0,-0.08,867000000.0,272000000.0,2204000000.0,347000000.0,1520000000.0,420000000.0,2634000000.0,75681000000.0,78315000000.0,2132000000.0,5379000000.0,35366000000.0,38442000000.0,43821000000.0,34494000000.0,595000000.0,1494000000.0,-728000000.0,-707000000.0,-460000000.0,-801000000.0,17.67
2018-09-30,3517000000.0,1135000000.0,2382000000.0,886000000.0,1515000000.0,693000000.0,0.31,2105000000.0,1515000000.0,2205000000.0,3560000000.0,1545000000.0,383000000.0,5766000000.0,73297000000.0,79063000000.0,2337000000.0,5489000000.0,35268000000.0,38308000000.0,43797000000.0,35266000000.0,590000000.0,907000000.0,-772000000.0,2118000000.0,-467000000.0,157000000.0,17.73
2018-12-31,3781000000.0,1199000000.0,2582000000.0,836000000.0,1058000000.0,483000000.0,0.21,1663000000.0,1058000000.0,2216000000.0,3331000000.0,1498000000.0,385000000.0,5722000000.0,73144000000.0,78866000000.0,3388000000.0,7557000000.0,33936000000.0,36778000000.0,44335000000.0,34531000000.0,605000000.0,1668000000.0,-613000000.0,-754000000.0,-475000000.0,-971000000.0,15.38
2019-03-31,3429000000.0,948000000.0,2481000000.0,870000000.0,1018000000.0,553000000.0,0.24,1632000000.0,1018000000.0,2262000000.0,270000000.0,1310000000.0,429000000.0,2262000000.0,74030000000.0,76292000000.0,2502000000.0,5009000000.0,33328000000.0,36827000000.0,41836000000.0,34456000000.0,614000000.0,635000000.0,-570000000.0,-814000000.0,-469000000.0,-2908000000.0,20.01
2019-06-30,3214000000.0,777000000.0,2437000000.0,897000000.0,973000000.0,515000000.0,0.23,1571000000.0,973000000.0,2262000000.0,249000000.0,1227000000.0,450000000.0,2300000000.0,74395000000.0,76695000000.0,3054000000.0,5659000000.0,33005000000.0,36552000000.0,42211000000.0,34484000000.0,598000000.0,1463000000.0,-528000000.0,-981000000.0,-583000000.0,-505000000.0,20.88
2019-09-30,3214000000.0,762000000.0,2452000000.0,925000000.0,951000000.0,506000000.0,0.22,1550000000.0,951000000.0,2264000000.0,268000000.0,1273000000.0,405000000.0,2365000000.0,74566000000.0,76931000000.0,4406000000.0,6826000000.0,32111000000.0,35631000000.0,42457000000.0,34474000000.0,599000000.0,1023000000.0,-541000000.0,-815000000.0,-583000000.0,-187000000.0,20.61
2019-12-31,3352000000.0,776000000.0,2576000000.0,915000000.0,1931000000.0,616000000.0,0.27,2614000000.0,1931000000.0,2264000000.0,1134000000.0,1379000000.0,371000000.0,3238000000.0,70919000000.0,74157000000.0,2477000000.0,5100000000.0,31915000000.0,34971000000.0,40071000000.0,34086000000.0,683000000.0,1627000000.0,-628000000.0,896000000.0,-528000000.0,-2585000000.0,21.17
2020-03-31,3106000000.0,663000000.0,2443000000.0,865000000.0,43000000.0,-309000000.0,-0.14,640000000.0,43000000.0,2264000000.0,942000000.0,1186000000.0,307000000.0,3096000000.0,70434000000.0,73530000000.0,3540000000.0,5608000000.0,31405000000.0,34458000000.0,40066000000.0,33464000000.0,597000000.0,893000000.0,-440000000.0,335000000.0,-572000000.0,-487000000.0,13.92
2020-06-30,2560000000.0,441000000.0,2119000000.0,864000000.0,-282000000.0,-640000000.0,-0.28,285000000.0,-282000000.0,2261000000.0,546000000.0,1073000000.0,336000000.0,2490000000.0,69294000000.0,71784000000.0,3006000000.0,5202000000.0,31441000000.0,34458000000.0,39660000000.0,32124000000.0,567000000.0,1339000000.0,-523000000.0,-576000000.0,-601000000.0,-1162000000.0,15.17
2020-09-30,2919000000.0,655000000.0,2264000000.0,896000000.0,819000000.0,452000000.0,0.2,1390000000.0,819000000.0,2263000000.0,699000000.0,1142000000.0,317000000.0,2672000000.0,69149000000.0,71821000000.0,2057000000.0,4376000000.0,32660000000.0,35500000000.0,39876000000.0,31945000000.0,571000000.0,1050000000.0,-404000000.0,-535000000.0,-591000000.0,-364000000.0,12.33
2020-12-31,3115000000.0,786000000.0,2329000000.0,876000000.0,980000000.0,616000000.0,0.27,1549000000.0,980000000.0,2263000000.0,1209000000.0,1293000000.0,348000000.0,3203000000.0,68770000000.0,71973000000.0,2558000000.0,5074000000.0,32131000000.0,35061000000.0,40135000000.0,31838000000.0,569000000.0,1268000000.0,713000000.0,-135000000.0,-598000000.0,-625000000.0,13.67
2021-03-31,5211000000.0,2009000000.0,3202000000.0,780000000.0,1886000000.0,1409000000.0,0.62,2449000000.0,1886000000.0,2264000000.0,1423000000.0,1425000000.0,389000000.0,3734000000.0,67474000000.0,71208000000.0,2173000000.0,4618000000.0,31061000000.0,33987000000.0,38605000000.0,32603000000.0,563000000.0,1873000000.0,-267000000.0,130000000.0,-599000000.0,-1789000000.0,16.65
2021-06-30,3150000000.0,936000000.0,2214000000.0,850000000.0,-764000000.0,-757000000.0,-0.34,-223000000.0,-764000000.0,2265000000.0,1969000000.0,1416000000.0,396000000.0,4283000000.0,65892000000.0,70175000000.0,2183000000.0,5059000000.0,31077000000.0,33976000000.0,39035000000.0,31140000000.0,541000000.0,1438000000.0,-278000000.0,-241000000.0,-613000000.0,-651000000.0,18.23
2021-09-30,3824000000.0,1559000000.0,2265000000.0,894000000.0,844000000.0,495000000.0,0.22,1391000000.0,844000000.0,2267000000.0,279000000.0,1433000000.0,457000000.0,2686000000.0,66954000000.0,69640000000.0,2822000000.0,5825000000.0,30002000000.0,32823000000.0,38648000000.0,30992000000.0,547000000.0,1129000000.0,-1867000000.0,-1800000000.0,-616000000.0,-1019000000.0,16.73
2021-12-31,4425000000.0,1989000000.0,2436000000.0,925000000.0,950000000.0,637000000.0,0.28,1512000000.0,950000000.0,2266000000.0,1147000000.0,1611000000.0,562000000.0,3829000000.0,66587000000.0,70416000000.0,2646000000.0,5821000000.0,30674000000.0,32674000000.0,38495000000.0,31921000000.0,562000000.0,1268000000.0,-10000000.0,-394000000.0,-615000000.0,-6000000.0,15.86
2022-03-31,4293000000.0,1894000000.0,2399000000.0,852000000.0,1024000000.0,667000000.0,0.29,1581000000.0,1024000000.0,2267000000.0,348000000.0,1661000000.0,591000000.0,3033000000.0,66102000000.0,69135000000.0,3324000000.0,6450000000.0,28759000000.0,30978000000.0,37428000000.0,31707000000.0,557000000.0,1084000000.0,-407000000.0,-371000000.0,-642000000.0,-1512000000.0,18.91
2022-06-30,5151000000.0,2683000000.0,2468000000.0,931000000.0,1006000000.0,635000000.0,0.28,1568000000.0,1006000000.0,2265000000.0,417000000.0,2063000000.0,690000000.0,3608000000.0,65782000000.0,69390000000.0,2970000000.0,6892000000.0,28552000000.0,30873000000.0,37765000000.0,31625000000.0,562000000.0,1564000000.0,-372000000.0,-301000000.0,-605000000.0,-1194000000.0,16.76
