,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,24021000000.0,18970000000.0,5051000000.0,3689000000.0,819000000.0,462000000.0,0.445,1206000000.0,819000000.0,1066000000.0,1193000000.0,1051000000.0,5146000000.0,7959000000.0,16675000000.0,24634000000.0,2734000000.0,11061000000.0,6145000000.0,9359000000.0,20420000000.0,4214000000.0,387000000.0,686000000.0,-565000000.0,-695000000.0,-78000000.0,-188000000.0,13.85
2013-04-30,29997000000.0,23817000000.0,6180000000.0,4593000000.0,879000000.0,481000000.0,0.465,1398000000.0,879000000.0,1028000000.0,1098000000.0,961000000.0,5076000000.0,7434000000.0,16793000000.0,24227000000.0,1784000000.0,10367000000.0,6162000000.0,9264000000.0,19631000000.0,4596000000.0,519000000.0,1617000000.0,-612000000.0,-626000000.0,-78000000.0,-982000000.0,17.19
2013-07-31,22686000000.0,18059000000.0,4627000000.0,3506000000.0,595000000.0,317000000.0,0.305,982000000.0,595000000.0,1030000000.0,1290000000.0,942000000.0,4954000000.0,7518000000.0,16954000000.0,24472000000.0,734000000.0,9354000000.0,7158000000.0,10270000000.0,19624000000.0,4848000000.0,387000000.0,996000000.0,-491000000.0,-511000000.0,-77000000.0,-292000000.0,19.64
2013-10-31,22470000000.0,17866000000.0,4604000000.0,3537000000.0,534000000.0,299000000.0,0.29,929000000.0,534000000.0,1030000000.0,1225000000.0,1044000000.0,5628000000.0,8212000000.0,17268000000.0,25480000000.0,1122000000.0,10193000000.0,7148000000.0,10297000000.0,20490000000.0,4990000000.0,395000000.0,304000000.0,-668000000.0,-681000000.0,-78000000.0,281000000.0,21.42
2014-01-31,23222000000.0,18396000000.0,4826000000.0,3560000000.0,717000000.0,422000000.0,0.41000000000000003,1119000000.0,717000000.0,1028000000.0,1359000000.0,1116000000.0,5651000000.0,8830000000.0,20451000000.0,29281000000.0,1657000000.0,10705000000.0,9653000000.0,13181000000.0,23886000000.0,5395000000.0,402000000.0,656000000.0,-535000000.0,-2953000000.0,-86000000.0,2354000000.0,18.05
2014-04-30,32961000000.0,26065000000.0,6896000000.0,5168000000.0,930000000.0,501000000.0,0.495,1511000000.0,930000000.0,1002000000.0,1202000000.0,1108000000.0,5648000000.0,8368000000.0,20545000000.0,28913000000.0,1652000000.0,10924000000.0,9664000000.0,13219000000.0,24143000000.0,4770000000.0,581000000.0,1751000000.0,-721000000.0,-703000000.0,-84000000.0,-1184000000.0,23.02
2014-07-31,25310000000.0,20136000000.0,5174000000.0,3920000000.0,644000000.0,347000000.0,0.355,1088000000.0,644000000.0,970000000.0,1204000000.0,1174000000.0,5495000000.0,8295000000.0,20784000000.0,29079000000.0,1494000000.0,10840000000.0,9706000000.0,13217000000.0,24057000000.0,5022000000.0,444000000.0,841000000.0,-608000000.0,-610000000.0,-82000000.0,-248000000.0,24.49
2014-10-31,24987000000.0,19764000000.0,5223000000.0,3954000000.0,651000000.0,362000000.0,0.37,1107000000.0,651000000.0,972000000.0,1206000000.0,1154000000.0,6130000000.0,8886000000.0,21336000000.0,30222000000.0,1801000000.0,11680000000.0,9735000000.0,13198000000.0,24878000000.0,5344000000.0,456000000.0,792000000.0,-717000000.0,-985000000.0,-81000000.0,209000000.0,27.85
2015-01-31,25207000000.0,19547000000.0,5660000000.0,4119000000.0,912000000.0,518000000.0,0.53,1379000000.0,912000000.0,981000000.0,1256000000.0,1266000000.0,5688000000.0,8911000000.0,21586000000.0,30497000000.0,1874000000.0,11392000000.0,9723000000.0,13663000000.0,25055000000.0,5442000000.0,467000000.0,831000000.0,-748000000.0,-762000000.0,-91000000.0,-65000000.0,34.53
2015-04-30,33051000000.0,25760000000.0,7291000000.0,5354000000.0,1102000000.0,619000000.0,0.635,1722000000.0,1102000000.0,969000000.0,1214000000.0,1218000000.0,5722000000.0,8583000000.0,21885000000.0,30468000000.0,1591000000.0,11318000000.0,9716000000.0,13614000000.0,24932000000.0,5536000000.0,620000000.0,1755000000.0,-875000000.0,-858000000.0,-91000000.0,-913000000.0,34.46
2015-07-31,25539000000.0,20065000000.0,5474000000.0,4068000000.0,774000000.0,433000000.0,0.44,1251000000.0,774000000.0,963000000.0,1202000000.0,1319000000.0,5548000000.0,8526000000.0,22255000000.0,30781000000.0,1527000000.0,11363000000.0,9743000000.0,13536000000.0,24899000000.0,5882000000.0,477000000.0,1077000000.0,-797000000.0,-852000000.0,-90000000.0,-209000000.0,39.24
2015-10-31,25075000000.0,19478000000.0,5597000000.0,4169000000.0,772000000.0,428000000.0,0.44,1256000000.0,772000000.0,965000000.0,1236000000.0,1253000000.0,6324000000.0,9277000000.0,22630000000.0,31907000000.0,2295000000.0,12952000000.0,8964000000.0,12710000000.0,25662000000.0,6245000000.0,484000000.0,1013000000.0,-826000000.0,-870000000.0,-102000000.0,-137000000.0,37.8
2016-01-31,26165000000.0,20193000000.0,5972000000.0,4355000000.0,928000000.0,559000000.0,0.5700000000000001,1436000000.0,928000000.0,966000000.0,1200000000.0,1734000000.0,6168000000.0,9892000000.0,24005000000.0,33897000000.0,2370000000.0,12971000000.0,9709000000.0,14128000000.0,27099000000.0,6798000000.0,508000000.0,1072000000.0,-806000000.0,-990000000.0,-102000000.0,-79000000.0,38.81
2016-04-30,34604000000.0,26669000000.0,7935000000.0,5779000000.0,1200000000.0,696000000.0,0.71,1894000000.0,1200000000.0,954000000.0,1283000000.0,1314000000.0,6066000000.0,9216000000.0,24585000000.0,33801000000.0,2676000000.0,13145000000.0,9710000000.0,14208000000.0,27353000000.0,6448000000.0,694000000.0,2079000000.0,-1019000000.0,-1051000000.0,-102000000.0,-914000000.0,35.39
2016-07-31,26565000000.0,20697000000.0,5868000000.0,4473000000.0,665000000.0,383000000.0,0.4,1190000000.0,665000000.0,943000000.0,1278000000.0,1316000000.0,6120000000.0,9244000000.0,25418000000.0,34662000000.0,2779000000.0,13521000000.0,9641000000.0,14540000000.0,28061000000.0,6601000000.0,525000000.0,953000000.0,-928000000.0,-889000000.0,-100000000.0,-136000000.0,34.19
2016-10-31,26557000000.0,20653000000.0,5904000000.0,4443000000.0,713000000.0,391000000.0,0.41000000000000003,1262000000.0,713000000.0,940000000.0,1417000000.0,1488000000.0,6976000000.0,10403000000.0,26104000000.0,36507000000.0,3019000000.0,14124000000.0,10817000000.0,15753000000.0,29877000000.0,6630000000.0,549000000.0,424000000.0,-964000000.0,-1333000000.0,-114000000.0,964000000.0,30.98
2017-01-31,27611000000.0,21483000000.0,6128000000.0,4467000000.0,874000000.0,505000000.0,0.54,1446000000.0,874000000.0,942000000.0,1232000000.0,1649000000.0,6561000000.0,10340000000.0,26165000000.0,36505000000.0,2252000000.0,12860000000.0,11825000000.0,16935000000.0,29795000000.0,6710000000.0,572000000.0,816000000.0,-656000000.0,-602000000.0,-113000000.0,-266000000.0,33.96
2017-04-30,36285000000.0,28281000000.0,8004000000.0,6367000000.0,631000000.0,303000000.0,0.33,1367000000.0,631000000.0,914000000.0,1308000000.0,1394000000.0,6359000000.0,9538000000.0,26261000000.0,35799000000.0,1854000000.0,12515000000.0,11590000000.0,17149000000.0,29664000000.0,6135000000.0,736000000.0,2309000000.0,-734000000.0,-744000000.0,-111000000.0,-1531000000.0,29.65
2017-07-31,27597000000.0,21609000000.0,5988000000.0,4517000000.0,684000000.0,353000000.0,0.39,1247000000.0,684000000.0,897000000.0,1796000000.0,1536000000.0,6363000000.0,10147000000.0,26453000000.0,36600000000.0,948000000.0,11618000000.0,13100000000.0,18838000000.0,30456000000.0,6144000000.0,563000000.0,1016000000.0,-694000000.0,-706000000.0,-110000000.0,153000000.0,24.52
2017-10-31,27749000000.0,21532000000.0,6217000000.0,4701000000.0,747000000.0,397000000.0,0.44,1319000000.0,747000000.0,887000000.0,1515000000.0,1452000000.0,6917000000.0,10925000000.0,26103000000.0,37028000000.0,1729000000.0,12890000000.0,13118000000.0,17927000000.0,30817000000.0,6211000000.0,572000000.0,-271000000.0,-589000000.0,-585000000.0,-112000000.0,389000000.0,20.7
2018-01-31,31649000000.0,24389000000.0,7260000000.0,5925000000.0,550000000.0,854000000.0,0.97,1225000000.0,550000000.0,895000000.0,1508000000.0,1637000000.0,6533000000.0,11117000000.0,26080000000.0,37197000000.0,3560000000.0,14197000000.0,12029000000.0,16095000000.0,30292000000.0,6905000000.0,675000000.0,359000000.0,-654000000.0,-672000000.0,-110000000.0,308000000.0,30.36
2018-04-30,37722000000.0,29419000000.0,8303000000.0,6257000000.0,1029000000.0,2026000000.0,2.39,1770000000.0,1029000000.0,839000000.0,1744000000.0,1583000000.0,6387000000.0,10286000000.0,26275000000.0,36561000000.0,2242000000.0,13476000000.0,12059000000.0,16144000000.0,29620000000.0,6941000000.0,741000000.0,2368000000.0,-711000000.0,1349000000.0,-110000000.0,-3373000000.0,25.19
2018-07-31,28014000000.0,21976000000.0,6038000000.0,4711000000.0,549000000.0,508000000.0,0.63,1123000000.0,549000000.0,797000000.0,1378000000.0,1488000000.0,6241000000.0,9746000000.0,27211000000.0,36957000000.0,2411000000.0,13349000000.0,12121000000.0,16270000000.0,29619000000.0,7338000000.0,574000000.0,892000000.0,-709000000.0,-1221000000.0,-101000000.0,-1000000.0,29.0
2018-10-31,27831000000.0,21753000000.0,6078000000.0,4661000000.0,647000000.0,317000000.0,0.39,1216000000.0,647000000.0,797000000.0,1527000000.0,1510000000.0,7083000000.0,10753000000.0,27388000000.0,38141000000.0,3371000000.0,14796000000.0,11647000000.0,15735000000.0,30531000000.0,7610000000.0,569000000.0,473000000.0,-761000000.0,-758000000.0,-113000000.0,353000000.0,29.76
2019-01-31,28285000000.0,21955000000.0,6330000000.0,5157000000.0,389000000.0,259000000.0,0.32,970000000.0,389000000.0,810000000.0,1610000000.0,1589000000.0,6846000000.0,10803000000.0,27315000000.0,38118000000.0,3157000000.0,14274000000.0,12072000000.0,16009000000.0,30283000000.0,7835000000.0,581000000.0,431000000.0,-701000000.0,-556000000.0,-113000000.0,125000000.0,28.33
2019-04-30,37251000000.0,28983000000.0,8268000000.0,6314000000.0,901000000.0,772000000.0,0.96,1877000000.0,901000000.0,798000000.0,1475000000.0,1560000000.0,6707000000.0,10162000000.0,34157000000.0,44319000000.0,1453000000.0,13575000000.0,12016000000.0,22212000000.0,35787000000.0,8532000000.0,976000000.0,2268000000.0,-784000000.0,-464000000.0,-113000000.0,-1824000000.0,25.78
2019-07-31,28168000000.0,22007000000.0,6161000000.0,4811000000.0,559000000.0,297000000.0,0.37,1299000000.0,559000000.0,800000000.0,1612000000.0,1567000000.0,6526000000.0,10140000000.0,34322000000.0,44462000000.0,1353000000.0,13350000000.0,12130000000.0,22459000000.0,35809000000.0,8653000000.0,740000000.0,1009000000.0,-550000000.0,-575000000.0,-113000000.0,-214000000.0,21.16
2019-10-31,27974000000.0,21798000000.0,6176000000.0,5097000000.0,254000000.0,263000000.0,0.32,1026000000.0,254000000.0,802000000.0,1579000000.0,1600000000.0,7412000000.0,11025000000.0,34368000000.0,45393000000.0,1417000000.0,14118000000.0,12227000000.0,22547000000.0,36665000000.0,8728000000.0,772000000.0,771000000.0,-772000000.0,-785000000.0,-130000000.0,-70000000.0,24.64
2020-01-31,28893000000.0,22506000000.0,6387000000.0,4986000000.0,537000000.0,327000000.0,0.4,1338000000.0,537000000.0,799000000.0,1578000000.0,1706000000.0,7084000000.0,10890000000.0,34366000000.0,45256000000.0,1965000000.0,14243000000.0,12111000000.0,22440000000.0,36683000000.0,8573000000.0,801000000.0,616000000.0,-749000000.0,-787000000.0,-130000000.0,25000000.0,26.86
2020-04-30,41549000000.0,31454000000.0,10095000000.0,7671000000.0,1326000000.0,1212000000.0,1.53,2344000000.0,1326000000.0,780000000.0,3868000000.0,1552000000.0,6297000000.0,12175000000.0,34767000000.0,46942000000.0,1095000000.0,14671000000.0,12376000000.0,22943000000.0,37614000000.0,9328000000.0,1018000000.0,4245000000.0,-663000000.0,-689000000.0,-128000000.0,-1229000000.0,31.61
2020-05-31,41549000000.0,32279000000.0,9270000000.0,7944000000.0,0.0,1212000000.0,1.54,2344000000.0,0.0,787012987.012987,3868000000.0,1552000000.0,6297000000.0,12175000000.0,0.0,46942000000.0,1764000000.0,14671000000.0,18879000000.0,0.0,37614000000.0,9356000000.0,1018000000.0,4349000000.0,0.0,-689000000.0,0.0,-1370000000.0,32.62
2020-07-31,30489000000.0,23551000000.0,6938000000.0,5297000000.0,820000000.0,819000000.0,1.04,1580000000.0,820000000.0,777000000.0,3878000000.0,1526000000.0,6344000000.0,12286000000.0,35257000000.0,47543000000.0,1096000000.0,14578000000.0,12386000000.0,23172000000.0,37750000000.0,9793000000.0,760000000.0,1160000000.0,-640000000.0,-659000000.0,-126000000.0,-407000000.0,34.79
2020-08-31,30489000000.0,24168000000.0,6321000000.0,5501000000.0,0.0,819000000.0,1.04,1580000000.0,0.0,777000000.0,3878000000.0,1526000000.0,6344000000.0,12286000000.0,0.0,47543000000.0,1762000000.0,14578000000.0,18864000000.0,0.0,37750000000.0,9820000000.0,760000000.0,1237000000.0,0.0,-659000000.0,0.0,-568000000.0,35.68
2020-10-31,29723000000.0,22901000000.0,6822000000.0,5194000000.0,792000000.0,631000000.0,0.81,1568000000.0,792000000.0,772000000.0,3282000000.0,1610000000.0,7478000000.0,12946000000.0,35519000000.0,48465000000.0,1595000000.0,15517000000.0,11925000000.0,22904000000.0,38421000000.0,10044000000.0,776000000.0,492000000.0,-660000000.0,-700000000.0,-141000000.0,-432000000.0,32.21
2021-01-31,30737000000.0,23691000000.0,7046000000.0,6338000000.0,-158000000.0,-77000000.0,-0.1,661000000.0,-158000000.0,773000000.0,2783000000.0,1781000000.0,7063000000.0,12503000000.0,36159000000.0,48662000000.0,911000000.0,15366000000.0,12502000000.0,23746000000.0,39112000000.0,9550000000.0,819000000.0,918000000.0,-737000000.0,-766000000.0,-139000000.0,-645000000.0,34.5
2021-04-30,41298000000.0,31947000000.0,9351000000.0,7424000000.0,805000000.0,140000000.0,0.18,1857000000.0,805000000.0,752000000.0,3320000000.0,1936000000.0,6767000000.0,12545000000.0,36266000000.0,48811000000.0,1150000000.0,15210000000.0,12974000000.0,24372000000.0,39582000000.0,9229000000.0,1052000000.0,2256000000.0,-813000000.0,-853000000.0,-138000000.0,-781000000.0,36.54
2021-05-31,41298000000.0,32808000000.0,8490000000.0,7598000000.0,0.0,139000000.0,0.18,1944000000.0,0.0,752000000.0,3320000000.0,1936000000.0,6767000000.0,12545000000.0,0.0,48811000000.0,1794000000.0,15210000000.0,19359000000.0,0.0,39582000000.0,9249000000.0,1052000000.0,2386000000.0,0.0,-853000000.0,0.0,-995000000.0,36.98
