,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-02-28,990243000.0,894051000.0,96192000.0,31270000.0,64921900.0,56726000.0,0.30000000000000004,76794900.0,64921900.0,189548000.0,1189656000.0,58175000.0,5611976000.0,7266014000.0,3166255000.0,10432270000.0,0.0,781849000.0,4505662000.0,5580780000.0,6362629000.0,4069640000.0,11873000.0,-321492000.0,-1261000.0,260046000.0,-7693000.0,-7181000.0,37.94
2013-05-31,1426881000.0,1232317000.0,194563800.0,33853000.0,160710800.0,135587000.0,0.71,173844800.0,160710800.0,190010000.0,865641000.0,60178000.0,5830625000.0,7127138000.0,3367019000.0,10494160000.0,0.0,755821000.0,4538344000.0,5693497000.0,6449318000.0,4044839000.0,13134000.0,-288417000.0,-1718000.0,141966000.0,-7697000.0,-203988000.0,38.66
2013-08-31,1602767000.0,1375089000.0,227678000.0,37619000.0,190059000.0,118828000.0,0.63,204376000.0,190059000.0,190799000.0,601844000.0,58609000.0,6528931000.0,7518051000.0,3497542000.0,11015590000.0,0.0,1059549000.0,4624614000.0,5785358000.0,6844907000.0,4170686000.0,14317000.0,-407830000.0,-1952000.0,32032000.0,-7752000.0,55891000.0,31.28
2013-11-30,1915204000.0,1601742000.0,313462600.0,43318000.0,270144800.0,161719000.0,0.84,284666800.0,270144700.0,190473000.0,935663000.0,163768000.0,6601048000.0,7978871000.0,3294376000.0,11273250000.0,0.0,1153249000.0,4194432000.0,5492528000.0,6645777000.0,4627470000.0,14522000.0,210025000.0,376584000.0,255205000.0,-7770000.0,-66495000.0,35.16
2014-02-28,1363095000.0,1198345000.0,164749900.0,38112000.0,126637900.0,77177000.0,0.38,139782900.0,126637900.0,201955000.0,869113000.0,130402000.0,7147336000.0,8412270000.0,3114518000.0,11526790000.0,0.0,1093468000.0,4664715000.0,5732163000.0,6825631000.0,4701157000.0,13145000.0,-394607000.0,-3531000.0,75270000.0,-8169000.0,223130000.0,43.15
2014-05-31,1818745000.0,1590519000.0,228226100.0,38317000.0,189909100.0,136081000.0,0.67,203986100.0,189909100.0,202000000.0,946268000.0,208926000.0,7395113000.0,8753497000.0,3241129000.0,11994630000.0,0.0,1028056000.0,4683438000.0,6075263000.0,7103319000.0,4891307000.0,14077000.0,-327089000.0,-4681000.0,112636000.0,-8186000.0,300394000.0,40.22
2014-08-31,2014034000.0,1727680000.0,286354000.0,43072000.0,243282000.0,175524000.0,0.87,259361000.0,243282000.0,202354000.0,796676000.0,83420000.0,7724434000.0,8778816000.0,3511261000.0,12290080000.0,0.0,1056537000.0,4692880000.0,6195399000.0,7251936000.0,5038141000.0,16079000.0,-176805000.0,-4203000.0,54549000.0,-8210000.0,-4470000.0,38.53
2014-11-30,2583938000.0,2164068000.0,419869400.0,57660000.0,362208700.0,242341000.0,1.2,378836700.0,362209100.0,202209000.0,1246442000.0,247217000.0,7736600000.0,9367383000.0,3555768000.0,12923150000.0,0.0,1074663000.0,4661266000.0,6597186000.0,7671849000.0,5251302000.0,16628000.0,110013000.0,303451000.0,195904000.0,-8210000.0,142384000.0,46.45
2015-02-28,1644139000.0,1457217000.0,186922000.0,43654000.0,143267900.0,113688000.0,0.56,156990900.0,143267900.0,202930000.0,760981000.0,69541000.0,8406502000.0,9353749000.0,3766896000.0,13120640000.0,0.0,1077409000.0,5133118000.0,6734246000.0,7811655000.0,5308990000.0,13723000.0,-730264000.0,-891000.0,-67194000.0,-8208000.0,334074000.0,49.37
2015-05-31,2392604000.0,2071080000.0,321524200.0,50207000.0,271317100.0,181011000.0,0.89,286128100.0,271317100.0,202991000.0,848569000.0,70443000.0,8753776000.0,9773424000.0,4122036000.0,13895460000.0,0.0,1115590000.0,5291136000.0,7304150000.0,8419740000.0,5475719000.0,14811000.0,-264269000.0,23894000.0,59858000.0,-8210000.0,306138000.0,45.85
