,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1203700000.0,803500000.0,400200000.0,202500000.0,197700000.0,94800000.0,0.86,361999900.0,197700000.0,110600000.0,459000000.0,740600000.0,646300000.0,2125300000.0,2951000000.0,5076300000.0,315100000.0,1441600000.0,1576100000.0,1958500000.0,3400100000.0,1676200000.0,164300000.0,513200000.0,-131500000.0,27000000.0,-124600000.0,-438300000.0,46.34
2013-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321000000.0,733000000.0,668700000.0,1948100000.0,2910300000.0,4858400000.0,13400000.0,1297400000.0,1577100000.0,1999800000.0,3297200000.0,1561200000.0,0.0,0.0,0.0,0.0,124600000.0,0.0,49.25
2013-09-30,1191900000.0,774500000.0,417400000.0,207800000.0,209600000.0,125800000.0,1.17,209600000.0,209600000.0,106400000.0,337200000.0,702000000.0,656300000.0,1889500000.0,2891200000.0,4780700000.0,4900000.0,1136500000.0,1577100000.0,2014100000.0,3150600000.0,1630100000.0,50000000.0,172600000.0,-33400000.0,-6400000.0,-45300000.0,-153900000.0,59.3
2013-12-31,1223200000.0,795400000.0,427799900.0,0.0,1223200000.0,136200000.0,1.27,1273600000.0,0.0,106300000.0,334400000.0,737900000.0,688800000.0,1972400000.0,2911700000.0,4884100000.0,4700000.0,1150800000.0,1577100000.0,2020100000.0,3170900000.0,1713200000.0,50400000.0,106900000.0,-51600000.0,-51600000.0,-45100000.0,-53000000.0,69.81
2014-03-31,1267500000.0,841000000.0,426500000.0,203200000.0,223300000.0,141400000.0,1.32,371900100.0,223300000.0,106200000.0,349600000.0,826500000.0,674000000.0,2053300000.0,2905300000.0,4958600000.0,1400000.0,1175900000.0,1575800000.0,1987700000.0,3163600000.0,1795000000.0,148600000.0,454000000.0,-139700000.0,-116000000.0,-135500000.0,-300500000.0,73.16
2014-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561000000.0,594200000.0,618700000.0,1991300000.0,2939900000.0,4931200000.0,1400000.0,1114600000.0,1575800000.0,1991200000.0,3105800000.0,1825400000.0,0.0,0.0,0.0,0.0,135500000.0,0.0,75.75
2014-09-30,1155000000.0,762000000.0,393000000.0,195000000.0,198000000.0,125000000.0,1.19,198000000.0,198000000.0,104600000.0,449100000.0,617700000.0,648300000.0,1924600000.0,2912000000.0,4836600000.0,1400000.0,1082200000.0,1575800000.0,1958400000.0,3040600000.0,1796000000.0,51000000.0,80000000.0,-41000000.0,-34000000.0,-50000000.0,-150000000.0,66.4
2014-12-31,1206000000.0,808000000.0,398000000.0,0.0,1206000000.0,139000000.0,1.34,1259000000.0,0.0,103900000.0,469500000.0,603600000.0,649600000.0,1946000000.0,2852200000.0,4798200000.0,1400000.0,1027900000.0,1575800000.0,1958900000.0,2986800000.0,1811400000.0,53000000.0,142000000.0,-38000000.0,-38000000.0,-49000000.0,-69000000.0,71.82
2015-03-31,1187000000.0,754000000.0,433000000.0,220000000.0,213000000.0,126000000.0,1.21,377000000.0,213000000.0,103700000.0,487700000.0,668100000.0,635700000.0,2022100000.0,2812400000.0,4834500000.0,0.0,1047600000.0,1575800000.0,1946500000.0,2994100000.0,1840400000.0,164000000.0,395000000.0,-102000000.0,-95000000.0,-149000000.0,-336000000.0,78.76
2015-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481000000.0,1255000000.0,1015000000.0,3183000000.0,9944000000.0,13127000000.0,130000000.0,2274000000.0,5053000000.0,7451000000.0,9725000000.0,3402000000.0,0.0,0.0,0.0,0.0,149000000.0,0.0,76.91
2015-09-30,1811000000.0,1220000000.0,591000000.0,329000000.0,262000000.0,148000000.0,1.2,262000000.0,262000000.0,123500000.0,320000000.0,1108000000.0,1107000000.0,3053000000.0,9511000000.0,12564000000.0,130000000.0,1871000000.0,4901000000.0,7230000000.0,9101000000.0,3463000000.0,94000000.0,64000000.0,-24000000.0,-24000000.0,-64000000.0,-192000000.0,73.15
2015-12-31,1748000000.0,1203000000.0,545000000.0,0.0,1748000000.0,-152000000.0,-1.23,1834000000.0,0.0,123800000.0,511000000.0,1091000000.0,1070000000.0,2835000000.0,9262000000.0,12097000000.0,385000000.0,2139000000.0,4443000000.0,6706000000.0,8845000000.0,3252000000.0,86000000.0,323000000.0,-25000000.0,-25000000.0,-63000000.0,-103000000.0,86.9
2016-03-31,1550000000.0,1009000000.0,541000000.0,273000000.0,268000000.0,168000000.0,1.35,530000000.0,268000000.0,124000000.0,302000000.0,1198000000.0,992000000.0,2866000000.0,9034000000.0,11900000000.0,383000000.0,2012000000.0,4319000000.0,6521000000.0,8533000000.0,3367000000.0,262000000.0,507000000.0,-82000000.0,-112000000.0,-189000000.0,-560000000.0,77.86
2016-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487000000.0,749000000.0,867000000.0,2624000000.0,9385000000.0,12009000000.0,382000000.0,1981000000.0,4120000000.0,6971000000.0,8952000000.0,3057000000.0,0.0,0.0,0.0,0.0,189000000.0,0.0,83.44
2016-09-30,1420000000.0,897000000.0,523000000.0,277000000.0,246000000.0,160000000.0,1.29,246000000.0,246000000.0,123900000.0,284000000.0,997000000.0,962000000.0,2425000000.0,9353000000.0,11778000000.0,380000000.0,1856000000.0,4087000000.0,6868000000.0,8724000000.0,3054000000.0,86000000.0,43000000.0,-21000000.0,-46000000.0,-68000000.0,-201000000.0,91.61
2016-12-31,1449000000.0,920000000.0,529000000.0,0.0,1449000000.0,177000000.0,1.42,1530000000.0,0.0,123700000.0,361000000.0,773000000.0,1001000000.0,2612000000.0,9006000000.0,11618000000.0,130000000.0,1665000000.0,4087000000.0,6795000000.0,8460000000.0,3158000000.0,81000000.0,252000000.0,-28000000.0,-28000000.0,-66000000.0,-140000000.0,102.47
2017-03-31,1489000000.0,958000000.0,531000000.0,256000000.0,275000000.0,85000000.0,0.7000000000000001,514000000.0,275000000.0,122600000.0,302000000.0,782000000.0,894000000.0,2876000000.0,8231000000.0,11107000000.0,121000000.0,1732000000.0,3859000000.0,6461000000.0,8193000000.0,2914000000.0,239000000.0,489000000.0,296000000.0,271000000.0,-199000000.0,-942000000.0,111.27
2017-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484000000.0,647000000.0,841000000.0,2073000000.0,8017000000.0,10090000000.0,554000000.0,1926000000.0,3396000000.0,5236000000.0,7162000000.0,2928000000.0,0.0,0.0,0.0,0.0,199000000.0,0.0,109.08
2017-09-30,1410000000.0,919000000.0,491000000.0,268000000.0,223000000.0,159000000.0,1.35,223000000.0,223000000.0,119100000.0,388000000.0,730000000.0,896000000.0,2127000000.0,7972000000.0,10099000000.0,522000000.0,1918000000.0,3395000000.0,5194000000.0,7112000000.0,2987000000.0,65000000.0,95000000.0,-23000000.0,-23000000.0,-69000000.0,-174000000.0,131.68
2017-12-31,1535000000.0,1022000000.0,513000000.0,0.0,1535000000.0,131000000.0,1.17,1600000000.0,0.0,118500000.0,422000000.0,666000000.0,942000000.0,2132000000.0,7724000000.0,9856000000.0,523000000.0,1741000000.0,3391000000.0,5121000000.0,6862000000.0,2994000000.0,65000000.0,278000000.0,-20000000.0,-22000000.0,-68000000.0,-220000000.0,141.65
2018-03-31,1562000000.0,1028000000.0,534000000.0,331000000.0,203000000.0,196000000.0,1.7000000000000002,395000000.0,203000000.0,118400000.0,443000000.0,892000000.0,963000000.0,2414000000.0,7656000000.0,10070000000.0,823000000.0,2146000000.0,3391000000.0,4787000000.0,6933000000.0,3137000000.0,192000000.0,230000000.0,-79000000.0,-81000000.0,-205000000.0,-196000000.0,161.28
2018-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288000000.0,640000000.0,411000000.0,2224000000.0,7627000000.0,9851000000.0,304000000.0,1850000000.0,3408000000.0,4723000000.0,6573000000.0,3278000000.0,0.0,0.0,0.0,0.0,205000000.0,0.0,144.54
2018-09-30,1542000000.0,1010000000.0,532000000.0,279000000.0,253000000.0,213000000.0,1.81,253000000.0,253000000.0,117900000.0,305000000.0,583000000.0,413000000.0,2288000000.0,7601000000.0,9889000000.0,305000000.0,1956000000.0,3410000000.0,4689000000.0,6645000000.0,3244000000.0,65000000.0,117000000.0,-31000000.0,-31000000.0,-82000000.0,-69000000.0,169.21
2018-12-31,1666000000.0,1095000000.0,571000000.0,0.0,1666000000.0,225000000.0,1.9100000000000001,1730000000.0,0.0,117700000.0,343000000.0,596000000.0,425000000.0,2311000000.0,7541000000.0,9852000000.0,305000000.0,1822000000.0,3411000000.0,4618000000.0,6440000000.0,3412000000.0,64000000.0,352000000.0,-36000000.0,-36000000.0,-81000000.0,-273000000.0,134.65
2019-03-31,1728000000.0,1139000000.0,589000000.0,310000000.0,279000000.0,243000000.0,2.02,343000000.0,279000000.0,117900000.0,334000000.0,530000000.0,433000000.0,2285000000.0,7507000000.0,9792000000.0,6000000.0,1606000000.0,3412000000.0,4579000000.0,6185000000.0,3607000000.0,64000000.0,405000000.0,-37000000.0,-37000000.0,-81000000.0,-380000000.0,159.71
2019-06-30,1865000000.0,1223000000.0,642000000.0,349000000.0,293000000.0,268000000.0,2.26,221000000.0,293000000.0,118300000.0,530000000.0,648000000.0,360000000.0,2578000000.0,7539000000.0,10117000000.0,656000000.0,2268000000.0,2763000000.0,4486000000.0,6754000000.0,3363000000.0,65000000.0,311000000.0,-57000000.0,-55000000.0,-81000000.0,-59000000.0,189.13
2019-09-30,4431000000.0,3242000000.0,1189000000.0,999000000.0,419000000.0,429000000.0,1.9300000000000002,620000000.0,419000000.0,222600000.0,1001000000.0,1566000000.0,1339000000.0,7027000000.0,31920000000.0,38947000000.0,656000000.0,4718000000.0,6307000000.0,11304000000.0,16022000000.0,22925000000.0,201000000.0,81000000.0,-64000000.0,1414000000.0,-172000000.0,-1014000000.0,208.64
2019-12-31,4832000000.0,3484000000.0,1348000000.0,497000000.0,420000000.0,393000000.0,1.8,914000000.0,420000000.0,218333333.3333333,824000000.0,1418000000.0,1219000000.0,6312000000.0,32024000000.0,38336000000.0,257000000.0,4009000000.0,6694000000.0,11583000000.0,15592000000.0,22744000000.0,241000000.0,858000000.0,254000000.0,-94000000.0,334000000.0,-957000000.0,197.87
2020-03-31,4626000000.0,3298000000.0,1328000000.0,812000000.0,516000000.0,217000000.0,1.0,746000000.0,516000000.0,217300000.0,663000000.0,1483000000.0,990000000.0,7211000000.0,30894000000.0,38105000000.0,896000000.0,5123000000.0,6294000000.0,10955000000.0,16078000000.0,22027000000.0,230000000.0,533000000.0,-48000000.0,-58000000.0,-183000000.0,-612000000.0,180.12
2020-06-30,4445000000.0,3175000000.0,1270000000.0,855000000.0,415000000.0,283000000.0,1.31,700000000.0,415000000.0,215900000.0,1947000000.0,1351000000.0,859000000.0,6926000000.0,30926000000.0,37852000000.0,666000000.0,4587000000.0,6273000000.0,11039000000.0,15626000000.0,22226000000.0,285000000.0,802000000.0,-60000000.0,903000000.0,-184000000.0,-430000000.0,169.67
2020-09-30,4463000000.0,3152000000.0,1311000000.0,817000000.0,494000000.0,426000000.0,2.0,747000000.0,494000000.0,213400000.0,1341000000.0,1325000000.0,894000000.0,6393000000.0,30752000000.0,37145000000.0,666000000.0,4666000000.0,6261000000.0,11040000000.0,15706000000.0,21439000000.0,253000000.0,757000000.0,-86000000.0,-47000000.0,-179000000.0,-1331000000.0,169.84
2020-12-31,4660000000.0,3261000000.0,1399000000.0,831000000.0,568000000.0,193000000.0,0.92,832000000.0,568000000.0,214000000.0,1276000000.0,1639000000.0,973000000.0,6667000000.0,30293000000.0,36960000000.0,8000000.0,4240000000.0,6943000000.0,11879000000.0,16119000000.0,20841000000.0,264000000.0,698000000.0,-83000000.0,-47000000.0,-179000000.0,-739000000.0,189.02
2021-03-31,4567000000.0,3213000000.0,1354000000.0,801000000.0,553000000.0,468000000.0,2.26,804000000.0,553000000.0,206700000.0,976000000.0,1295000000.0,904000000.0,7538000000.0,29052000000.0,36590000000.0,12000000.0,4231000000.0,7066000000.0,11877000000.0,16108000000.0,20482000000.0,251000000.0,661000000.0,-64000000.0,-61000000.0,-209000000.0,-900000000.0,202.68
2021-06-30,4668000000.0,3251000000.0,1417000000.0,891000000.0,526000000.0,413000000.0,2.03,759000000.0,526000000.0,203600000.0,2029000000.0,1246000000.0,872000000.0,7589000000.0,28475000000.0,36064000000.0,11000000.0,4464000000.0,7061000000.0,11624000000.0,16088000000.0,19976000000.0,233000000.0,720000000.0,-60000000.0,1368000000.0,-207000000.0,-1037000000.0,216.15
2021-09-30,4229000000.0,2921000000.0,1308000000.0,759000000.0,515000000.0,481000000.0,2.39,790000000.0,515000000.0,200000000.0,1126000000.0,1178000000.0,1024000000.0,6626000000.0,28392000000.0,35018000000.0,11000000.0,4313000000.0,7053000000.0,11111000000.0,15424000000.0,19594000000.0,239000000.0,484000000.0,-76000000.0,93000000.0,-202000000.0,-1476000000.0,220.24
