,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1195997000.0,694048000.0,501949000.0,341159000.0,141587900.0,84592000.0,0.28,160627900.0,141587900.0,298226000.0,62997000.0,357580000.0,883443000.0,1399562000.0,2323137000.0,3722699000.0,79531000.0,504739000.0,987979000.0,1176731000.0,1681470000.0,2041229000.0,19040000.0,106433000.0,-21029000.0,-34293000.0,0.0,-67913000.0,21.76
2013-06-30,1251748000.0,741875000.0,509873000.0,355480000.0,131378100.0,75722000.0,0.25,152049000.0,131378100.0,299159000.0,161590000.0,413215000.0,972926000.0,1658490000.0,2559825000.0,4218315000.0,64962000.0,559110000.0,1311519000.0,1521552000.0,2080662000.0,2137653000.0,20671000.0,103057000.0,-17871000.0,-313186000.0,0.0,309065000.0,25.75
2013-09-30,1298094000.0,780187000.0,517907000.0,371488000.0,123394900.0,73445000.0,0.24,145551900.0,123394900.0,300223000.0,107337000.0,438800000.0,1018169000.0,1675651000.0,2685408000.0,4361059000.0,61123000.0,642513000.0,1250932000.0,1464440000.0,2106953000.0,2254106000.0,22157000.0,131439000.0,-20767000.0,-117298000.0,0.0,-71833000.0,31.87
2013-12-31,1316689000.0,771016000.0,545672900.0,385953100.0,133819600.0,77864000.0,0.26,158414600.0,133819300.0,299574000.0,150488000.0,458094000.0,1076952000.0,1799817000.0,2718957000.0,4518774000.0,41535000.0,677953000.0,1264246000.0,1490076000.0,2168029000.0,2350745000.0,24595000.0,87127000.0,-30519000.0,-40829000.0,0.0,-3378000.0,32.9
2014-03-31,1625777000.0,973893000.0,651884000.0,448018000.0,173833900.0,104653000.0,0.35000000000000003,201679900.0,173833900.0,301406000.0,113246000.0,577212000.0,1255804000.0,2093481000.0,3116347000.0,5209828000.0,35106000.0,775915000.0,1695627000.0,1962886000.0,2738801000.0,2471027000.0,27846000.0,97009000.0,-33716000.0,-521287000.0,0.0,386213000.0,26.35
2014-06-30,1709132000.0,1038073000.0,671059000.0,461635000.0,173595900.0,104882000.0,0.35000000000000003,204642900.0,173595900.0,302030000.0,109564000.0,624300000.0,1346723000.0,2240726000.0,3258119000.0,5498845000.0,71487000.0,750208000.0,1879837000.0,2146121000.0,2896329000.0,2602516000.0,31047000.0,55195000.0,-33615000.0,-181035000.0,0.0,120258000.0,26.69
2014-09-30,1721024000.0,1056613000.0,664411000.0,474131000.0,156188000.0,91515000.0,0.30000000000000004,187942000.0,156188000.0,302724000.0,244646000.0,609434000.0,1341325000.0,2345538000.0,3189040000.0,5534578000.0,72908000.0,771388000.0,1825133000.0,2095496000.0,2866884000.0,2667694000.0,31754000.0,170438000.0,-32860000.0,-47549000.0,0.0,16939000.0,26.59
2014-12-31,1684131000.0,1019572000.0,664559400.0,482736000.0,146250100.0,80469000.0,0.27,181040100.0,146249900.0,302343000.0,114605000.0,601422000.0,1433847000.0,2235673000.0,3240066000.0,5475739000.0,61938000.0,744504000.0,1784210000.0,2010578000.0,2755082000.0,2720657000.0,34790000.0,66069000.0,-40759000.0,-171123000.0,0.0,-22221000.0,28.12
2015-03-31,1773912000.0,1074433000.0,699479000.0,477612000.0,185925900.0,107095000.0,0.35000000000000003,216594900.0,185925900.0,304003000.0,175492000.0,645037000.0,1358056000.0,2337179000.0,3185287000.0,5522466000.0,62303000.0,772314000.0,1672332000.0,1970245000.0,2742559000.0,2779907000.0,30669000.0,180145000.0,-26096000.0,-34276000.0,0.0,-80412000.0,25.56
2015-06-30,1838070000.0,1114126000.0,723944000.0,492214000.0,200285000.0,119722000.0,0.39,231330000.0,200285000.0,304286000.0,143423000.0,651271000.0,1402399000.0,2372621000.0,3261921000.0,5634542000.0,39378000.0,726365000.0,1652064000.0,1954084000.0,2680449000.0,2954093000.0,31045000.0,102554000.0,-40667000.0,-74904000.0,0.0,-64509000.0,30.25
2015-09-30,1831732000.0,1118953000.0,712779100.0,510573000.0,166745000.0,101346000.0,0.33,199719000.0,166745000.0,305059000.0,137086000.0,626780000.0,1464627000.0,2387143000.0,3316889000.0,5704032000.0,37174000.0,797698000.0,1570056000.0,1869621000.0,2667319000.0,3036713000.0,32974000.0,222296000.0,-32810000.0,-144576000.0,0.0,-81696000.0,28.36
2015-12-31,1748919000.0,1051592000.0,697327100.0,506872000.0,151670500.0,95060000.0,0.31,185174500.0,151670500.0,304722000.0,87397000.0,590160000.0,1556552000.0,2340712000.0,3307125000.0,5647837000.0,56034000.0,751970000.0,1528668000.0,1781185000.0,2533155000.0,3114682000.0,33504000.0,39287000.0,-70917000.0,-76237000.0,0.0,-11920000.0,29.63
