,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,11046000000.0,7260000000.0,3786000000.0,2808000000.0,455000000.0,286000000.0,0.26,1003000000.0,565000000.0,1150000000.0,666000000.0,8600000000.0,9784000000.0,22882000000.0,32666000000.0,47000000.0,7708000000.0,9030000000.0,11101000000.0,18809000000.0,13857000000.0,438000000.0,254000000.0,-239000000.0,-120000000.0,-180000000.0,-683000000.0,38.19
2013-04-30,13088000000.0,8533000000.0,4555000000.0,3222000000.0,868000000.0,537000000.0,0.49,1357000000.0,981000000.0,1088000000.0,1199000000.0,10274000000.0,12014000000.0,22717000000.0,34731000000.0,47000000.0,10439000000.0,9026000000.0,11040000000.0,21479000000.0,13252000000.0,376000000.0,1992000000.0,-190000000.0,-263000000.0,-178000000.0,-1190000000.0,38.42
2013-07-31,15711000000.0,10314000000.0,5397000000.0,3414000000.0,1506000000.0,935000000.0,0.88,2007000000.0,1616000000.0,1067000000.0,1274000000.0,9106000000.0,10913000000.0,22495000000.0,33408000000.0,47000000.0,9340000000.0,9015000000.0,11006000000.0,20346000000.0,13062000000.0,391000000.0,1364000000.0,-139000000.0,-255000000.0,-174000000.0,-1103000000.0,44.58
2013-10-31,12957000000.0,8476000000.0,4481000000.0,3184000000.0,799000000.0,495000000.0,0.47000000000000003,1324000000.0,924000000.0,1047000000.0,1216000000.0,9593000000.0,11365000000.0,22712000000.0,34077000000.0,51000000.0,9403000000.0,10090000000.0,12023000000.0,21426000000.0,12651000000.0,400000000.0,503000000.0,-219000000.0,-505000000.0,-191000000.0,20000000.0,49.78
2014-01-31,11661000000.0,7618000000.0,4043000000.0,3045000000.0,500000000.0,303000000.0,0.29,1023000000.0,628000000.0,1059000000.0,576000000.0,9127000000.0,10296000000.0,22436000000.0,32732000000.0,435000000.0,8876000000.0,10086000000.0,12003000000.0,20879000000.0,11853000000.0,395000000.0,252000000.0,-317000000.0,-263000000.0,-190000000.0,-696000000.0,46.29
2014-04-30,13403000000.0,8645000000.0,4758000000.0,3319000000.0,942000000.0,620000000.0,0.61,1464000000.0,1066000000.0,1015000000.0,768000000.0,10515000000.0,11952000000.0,22277000000.0,34229000000.0,47000000.0,10814000000.0,10080000000.0,11933000000.0,22747000000.0,11482000000.0,398000000.0,1994000000.0,-178000000.0,-280000000.0,-186000000.0,-1447000000.0,45.91
2014-07-31,16599000000.0,10864000000.0,5735000000.0,3541000000.0,1693000000.0,1033000000.0,1.04,2219000000.0,1819000000.0,995000000.0,1129000000.0,9315000000.0,11075000000.0,22062000000.0,33137000000.0,54000000.0,10013000000.0,10063000000.0,11884000000.0,21897000000.0,11240000000.0,400000000.0,1929000000.0,-182000000.0,-245000000.0,-183000000.0,-1304000000.0,47.85
2014-10-31,13681000000.0,8963000000.0,4718000000.0,3255000000.0,954000000.0,582000000.0,0.59,1489000000.0,1088000000.0,978000000.0,1773000000.0,9762000000.0,12130000000.0,21902000000.0,34032000000.0,551000000.0,10804000000.0,10806000000.0,12498000000.0,23302000000.0,10730000000.0,401000000.0,761000000.0,-183000000.0,-362000000.0,-228000000.0,127000000.0,57.2
2015-01-31,12540000000.0,8193000000.0,4347000000.0,3157000000.0,1203000000.0,447000000.0,0.46,1590000000.0,819000000.0,988000000.0,591000000.0,8911000000.0,9851000000.0,21870000000.0,31721000000.0,552000000.0,9348000000.0,10806000000.0,12405000000.0,21753000000.0,9968000000.0,387000000.0,245000000.0,-285000000.0,-201000000.0,-225000000.0,-1137000000.0,67.76
2015-04-30,14129000000.0,9117000000.0,5012000000.0,3415000000.0,1098000000.0,670000000.0,0.7000000000000001,1623000000.0,1232000000.0,950000000.0,1529000000.0,10614000000.0,12536000000.0,21779000000.0,34315000000.0,1026000000.0,12970000000.0,10324000000.0,11868000000.0,24838000000.0,9477000000.0,391000000.0,2478000000.0,-229000000.0,-241000000.0,-222000000.0,-1270000000.0,68.86
