,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,844928000.0,505096000.0,339832000.0,154807000.0,10819000.0,18996000.0,0.12,93615000.0,10819000.0,163034000.0,2356928000.0,544070000.0,545036000.0,3669919000.0,3476383000.0,7146302000.0,1555000.0,801013000.0,1294599000.0,1803089000.0,2604102000.0,4542200000.0,82796000.0,102457000.0,-34766000.0,-47273000.0,0.0,-221330000.0,41.46
2013-06-30,986214100.0,572287000.0,413927000.0,147209000.0,86498200.0,85707000.0,0.53,172939200.0,86498100.0,168932000.0,2497218000.0,602624000.0,559317000.0,3793829000.0,3456486000.0,7250315000.0,514655000.0,1404475000.0,976176000.0,1356968000.0,2761443000.0,4488872000.0,86441000.0,174988000.0,-43140000.0,-60710000.0,0.0,26950000.0,44.34
2013-09-30,1015059000.0,583201000.0,431858000.0,155883000.0,105408000.0,85506000.0,0.52,187861000.0,105408000.0,162896000.0,2456215000.0,713524000.0,614790000.0,3924252000.0,3366093000.0,7290345000.0,515538000.0,1402890000.0,982415000.0,1360183000.0,2763073000.0,4527272000.0,82453000.0,51925000.0,-23778000.0,18939000.0,0.0,-76645000.0,51.2
2013-12-31,1116061000.0,628272000.0,487789100.0,148838000.0,164474100.0,148992000.0,0.92,246243100.0,164474100.0,162305000.0,2522290000.0,909720000.0,661572000.0,4249036000.0,3306762000.0,7555798000.0,516481000.0,1522572000.0,988430000.0,1367136000.0,2889708000.0,4666090000.0,81769000.0,129023000.0,-16688000.0,-113830000.0,0.0,-40215000.0,54.45
2014-03-31,1227392000.0,696594000.0,530798000.0,152883000.0,191936900.0,164396000.0,1.01,273505900.0,191936900.0,162238000.0,2754472000.0,818390000.0,717356000.0,4447349000.0,3260018000.0,7707367000.0,517401000.0,1542705000.0,994944000.0,1357370000.0,2900075000.0,4807292000.0,81569000.0,290210000.0,-41638000.0,-95810000.0,0.0,-34502000.0,55.0
2014-06-30,1248797000.0,691760900.0,557035900.0,155737000.0,215850000.0,233395000.0,1.44,297795000.0,215850200.0,164741000.0,3065644000.0,800616000.0,740503000.0,4783662000.0,3209644000.0,7993306000.0,518267000.0,1582001000.0,1000551000.0,1381570000.0,2963571000.0,5029735000.0,81945000.0,245891000.0,92998000.0,-74513000.0,0.0,-11373000.0,67.58
2014-09-30,1152368000.0,646829000.0,505539100.0,148307000.0,168298000.0,141081000.0,0.87,244044000.0,168298000.0,161685000.0,2887346000.0,864403000.0,815612000.0,4690976000.0,3202852000.0,7893828000.0,519099000.0,1599625000.0,1006701000.0,1403530000.0,3003155000.0,4890673000.0,75746000.0,141161000.0,-41871000.0,7871000.0,-29240000.0,-305837000.0,74.7
2014-12-31,1232241000.0,695584000.0,536657000.0,151148000.0,188741000.0,176940000.0,1.11,268715000.0,188741000.0,159248000.0,2883677000.0,944014000.0,913390000.0,4914812000.0,3195877000.0,8110689000.0,519963000.0,1708656000.0,1012385000.0,1401598000.0,3110254000.0,5000435000.0,79974000.0,161239000.0,-61363000.0,-378875000.0,-29381000.0,-90769000.0,79.34
2015-03-31,1393333000.0,792731000.0,600602000.0,142772000.0,239965000.0,206285000.0,1.3,319639000.0,239965000.0,158992000.0,3949131000.0,1046800000.0,919679000.0,6060967000.0,3177574000.0,9238541000.0,520686000.0,1734996000.0,2011663000.0,2406490000.0,4141486000.0,5097055000.0,79674000.0,191037000.0,-31898000.0,-394636000.0,-28724000.0,862635000.0,70.24
2015-06-30,1481370000.0,839832200.0,641537800.0,149384000.0,191035300.0,131271000.0,0.8300000000000001,350555300.0,191035100.0,159629000.0,4076486000.0,1093582000.0,943346000.0,6270849000.0,3093799000.0,9364648000.0,1359650000.0,2631361000.0,1001382000.0,1388335000.0,4019696000.0,5344952000.0,159520000.0,292066000.0,-63133000.0,-340456000.0,-28714000.0,-87557000.0,81.35
2015-09-30,1600043000.0,877680000.0,722363000.0,152726000.0,335428000.0,288679000.0,1.82,415849000.0,335428000.0,158352000.0,4331799000.0,1088942000.0,916683000.0,6515981000.0,3078450000.0,9594431000.0,969392000.0,2281941000.0,1400615000.0,1775670000.0,4057611000.0,5536820000.0,80421000.0,448997000.0,-49454000.0,-79157000.0,-47659000.0,-123246000.0,65.33
2015-12-31,1425534000.0,799024000.0,626510100.0,166922000.0,238834100.0,222980000.0,1.4100000000000001,334281100.0,238834100.0,158424000.0,4475480000.0,1089850000.0,879821000.0,6670197000.0,3080224000.0,9750421000.0,973697000.0,2222980000.0,1404683000.0,1797488000.0,4020468000.0,5729953000.0,95447000.0,294545000.0,-28143000.0,14395000.0,-47896000.0,-85736000.0,79.42
2016-03-31,1314055000.0,742790000.0,571265100.0,159018000.0,190753100.0,143451000.0,0.9,286875100.0,190753100.0,159039000.0,4538739000.0,1236617000.0,934932000.0,6941565000.0,3082697000.0,10024260000.0,978982000.0,2342186000.0,1407250000.0,1810948000.0,4153134000.0,5871128000.0,96122000.0,182911000.0,-46007000.0,135731000.0,-47539000.0,-57160000.0,82.6
2016-06-30,1546261000.0,847477000.0,698783800.0,152288000.0,309240500.0,258939100.0,1.62,398800500.0,309240700.0,158919000.0,6827934000.0,1262145000.0,971911000.0,9213150000.0,3051165000.0,12264320000.0,947733000.0,2418041000.0,3378129000.0,3744205000.0,6162246000.0,6102069000.0,89560000.0,423824000.0,28004000.0,521514000.0,-47308000.0,1861887000.0,84.06
2016-09-30,1632419000.0,916222000.0,716197000.0,165010000.0,315946900.0,263835000.0,1.6400000000000001,397338900.0,315946900.0,160607000.0,7214476000.0,1290317000.0,931581000.0,9599002000.0,3037360000.0,12636360000.0,952999000.0,2486252000.0,3378179000.0,3762760000.0,6249012000.0,6387350000.0,81392000.0,473224000.0,-41979000.0,376752000.0,-48052000.0,-29508000.0,94.71
2016-12-31,1882299000.0,1035502000.0,846797000.0,160165000.0,439828000.0,332791000.0,2.05,523095000.0,439828000.0,162659000.0,5833385000.0,1426307000.0,1018891000.0,8503874000.0,3017185000.0,11521060000.0,957895000.0,2658018000.0,1768713000.0,2270032000.0,4928050000.0,6593009000.0,83267000.0,404098000.0,-36513000.0,-2027217000.0,-48397000.0,-1729258000.0,105.73
2017-03-31,2153995000.0,1182591000.0,971404200.0,167000000.0,538418200.0,574713000.0,3.52,620796200.0,538418200.0,163408000.0,5883606000.0,1636090000.0,1133196000.0,8875948000.0,2999238000.0,11875190000.0,905288000.0,2756739000.0,1777297000.0,2197085000.0,4953824000.0,6921362000.0,82378000.0,422688000.0,-44116000.0,-467250000.0,-73337000.0,-333819000.0,128.36
2017-06-30,2344907000.0,1275947000.0,1068961000.0,175310000.0,607939100.0,526424000.0,3.25,693089100.0,607939200.0,162222000.0,6041162000.0,1673398000.0,1232916000.0,9142498000.0,2980267000.0,12122760000.0,908439000.0,2950115000.0,1784974000.0,2185338000.0,5135453000.0,6987312000.0,85150000.0,729272000.0,-33520000.0,64886000.0,-73709000.0,-539809000.0,141.43
2017-09-30,2478140000.0,1328797000.0,1149343000.0,181043000.0,693221900.0,590690000.0,3.64,776951900.0,693221900.0,162141000.0,6182387000.0,1530762000.0,1328297000.0,9228780000.0,3169846000.0,12398630000.0,639907000.0,2788631000.0,1793477000.0,2201821000.0,4990452000.0,7408174000.0,83730000.0,858306000.0,-60064000.0,-304051000.0,-72738000.0,-528804000.0,185.04
2017-12-31,2580815000.0,1375248000.0,1205567000.0,186885000.0,737370800.0,-9955000.0,-0.06,821807900.0,737370800.0,161135000.0,5699699000.0,2279044000.0,1507435000.0,9666122000.0,3246143000.0,12912260000.0,1401660000.0,3911695000.0,1789958000.0,2727015000.0,6638710000.0,6273555000.0,84437000.0,28704000.0,-84693000.0,-294874000.0,-73127000.0,-396022000.0,184.07
2018-03-31,2892115000.0,1561401000.0,1330714000.0,197791000.0,827511000.0,778800000.0,4.8,914089000.0,827511000.0,162378000.0,6484971000.0,2082632000.0,1693128000.0,10425800000.0,3237702000.0,13663500000.0,1423265000.0,3948420000.0,1781731000.0,2831051000.0,6779471000.0,6884028000.0,86578000.0,1050379000.0,-49057000.0,2086467000.0,-79739000.0,-186462000.0,203.16
2018-06-30,3125928000.0,1646520000.0,1479408000.0,196500000.0,955194800.0,1021146000.0,6.35,1041273000.0,955195100.0,161643000.0,4949595000.0,2176936000.0,1876162000.0,9149911000.0,3329567000.0,12479480000.0,610030000.0,3150308000.0,1806562000.0,2749127000.0,5899435000.0,6580043000.0,86078000.0,718358000.0,-79655000.0,1260994000.0,-82005000.0,-2160769000.0,172.85
2018-09-30,2330691000.0,1272493000.0,1058198000.0,174775000.0,591750900.0,533360000.0,3.43,672800800.0,591750900.0,155658000.0,3618948000.0,1846845000.0,1874194000.0,7515873000.0,3441704000.0,10957580000.0,550369000.0,2824965000.0,1805091000.0,2750975000.0,5575940000.0,5381637000.0,81050000.0,720286000.0,-56098000.0,-672331000.0,-174372000.0,-1990193000.0,151.7
2018-12-31,2522673000.0,1377640000.0,1145033000.0,169098000.0,690379000.0,568855000.0,3.67,773204000.0,690379000.0,155022000.0,3635463000.0,1868842000.0,1703307000.0,7355845000.0,3412613000.0,10768460000.0,187102000.0,2166837000.0,1813190000.0,2760249000.0,4927086000.0,5841372000.0,82825000.0,642419000.0,-105923000.0,666931000.0,-167907000.0,-515553000.0,136.17
2019-03-31,2439048000.0,1364711000.0,1074337000.0,190306000.0,565517000.0,547390000.0,3.62,650652000.0,565517000.0,151201000.0,6140926000.0,1522273000.0,1622242000.0,9442241000.0,3453021000.0,12895260000.0,964107000.0,2805628000.0,3801514000.0,4748655000.0,7554283000.0,5340977000.0,85135000.0,932821000.0,-75522000.0,-1008171000.0,-171196000.0,1643522000.0,179.01
2019-06-30,2361147000.0,1280256000.0,1080891000.0,168227900.0,617085100.0,541825000.0,3.66,677356100.0,617084600.0,152478000.0,5431203000.0,1455522000.0,1540140000.0,8560409000.0,3440924000.0,12001330000.0,667131000.0,2371650000.0,3822768000.0,4906379000.0,7278029000.0,4723304000.0,60271000.0,880487000.0,-65948000.0,-623483000.0,-164873000.0,-1527856000.0,187.84
2019-09-30,2165746000.0,1184036000.0,981710100.0,157428000.0,537455100.0,465789000.0,3.22,603794100.0,537455100.0,144673000.0,5590832000.0,1635643000.0,1483385000.0,8834615000.0,3508887000.0,12343500000.0,645158000.0,2457682000.0,3788089000.0,4906874000.0,7364556000.0,4978946000.0,66339000.0,464047000.0,-39256000.0,750682000.0,-158868000.0,-262096000.0,231.11
2019-12-31,2583501000.0,1403857000.0,1179644000.0,174272000.0,686511000.0,514510000.0,3.5700000000000003,753616000.0,686511000.0,143987000.0,4683754000.0,2030490000.0,1528620000.0,8454965000.0,3459157000.0,11914120000.0,632292000.0,2565501000.0,3786067000.0,4930888000.0,7496389000.0,4417733000.0,67105000.0,307928000.0,-62054000.0,-734329000.0,-166721000.0,-1150696000.0,292.4
2020-03-31,2503625000.0,1336618000.0,1167007000.0,164979000.0,694114000.0,574781000.0,3.96,762723000.0,694114000.0,145301000.0,5393136000.0,2191070000.0,1674740000.0,9408785000.0,3529850000.0,12938630000.0,42407000.0,2105661000.0,5043931000.0,6283821000.0,8389482000.0,4549153000.0,68609000.0,541428000.0,-51375000.0,169772000.0,-163510000.0,225462000.0,240.0
2020-06-30,2791864000.0,1511532000.0,1280332000.0,185800000.0,755722400.0,696672900.0,4.79,822194400.0,755722200.0,144814000.0,6710252000.0,2097099000.0,1900024000.0,10853540000.0,3705512000.0,14559050000.0,839877000.0,3162442000.0,4970848000.0,6213116000.0,9375558000.0,5183489000.0,66472000.0,813048000.0,-50554000.0,-430209000.0,-167739000.0,563400000.0,323.46
2020-09-30,3177080000.0,1670901000.0,1506179000.0,189748000.0,961064000.0,823451000.0,5.67,1033976000.0,961064000.0,145267000.0,6657908000.0,2317922000.0,2138050000.0,11274880000.0,3782125000.0,15057010000.0,834138000.0,3406868000.0,4993495000.0,6224648000.0,9631516000.0,5425492000.0,72912000.0,642511000.0,-62806000.0,-801666000.0,-167129000.0,-631485000.0,331.75
2020-12-31,3456237000.0,1852442000.0,1603795000.0,218899000.0,1009724000.0,869229000.0,6.04,1086113000.0,1009724000.0,143830000.0,6042232000.0,2900362000.0,2348955000.0,11467950000.0,3902422000.0,15370370000.0,832847000.0,3591053000.0,4992496000.0,6270773000.0,9861826000.0,5508548000.0,76389000.0,344637000.0,-92072000.0,69940000.0,-187927000.0,-865317000.0,472.27
2021-03-31,3847654000.0,2067523000.0,1780131000.0,203703000.0,1195308000.0,1071121000.0,7.51,1274761000.0,1195308000.0,142676000.0,5789467000.0,2809068000.0,2552032000.0,11322270000.0,3962643000.0,15284910000.0,825434000.0,3612333000.0,4991613000.0,6297747000.0,9910080000.0,5374833000.0,79453000.0,1165080000.0,-89596000.0,115936000.0,-186551000.0,-1288406000.0,595.24
2021-06-30,4145179000.0,2229979000.0,1915200000.0,217525000.0,1315927000.0,1144657000.0,8.02,1394324000.0,1315927000.0,143609000.0,5729135000.0,3026430000.0,2689294000.0,11652390000.0,4239765000.0,15892150000.0,11349000.0,3527867000.0,4990333000.0,6337097000.0,9864964000.0,6027188000.0,78397000.0,1435935000.0,-104622000.0,689061000.0,-185385000.0,-1381774000.0,650.7
2021-09-30,4304465000.0,2327711000.0,1976754000.0,222194000.0,1372233000.0,1179744000.0,8.32,1452107000.0,1372233000.0,141743000.0,4611623000.0,3397180000.0,2872141000.0,11144680000.0,4420870000.0,15565550000.0,6368000.0,3409220000.0,4988964000.0,6336289000.0,9745509000.0,5820043000.0,79874000.0,457524000.0,-136427000.0,596693000.0,-185431000.0,-1427592000.0,569.15
