,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3302719000.0,1787807000.0,1514912000.0,346686000.0,826702900.0,571961000.0,0.6900000000000001,1102376000.0,826702900.0,823367000.0,2385420000.0,1973984000.0,42381000.0,4501701000.0,17509250000.0,22010950000.0,97347000.0,2689026000.0,9731002000.0,10477800000.0,13166830000.0,8844125000.0,275673000.0,885518000.0,-196765000.0,-197059000.0,-497994000.0,-819092000.0,56.35
2013-06-30,3242941000.0,1772941000.0,1470000000.0,354350000.0,780641100.0,529753000.0,0.64,1054617000.0,780641100.0,823974000.0,2519923000.0,1803357000.0,41229000.0,4465359000.0,17318460000.0,21783820000.0,980168000.0,3575427000.0,8511231000.0,9251351000.0,12826780000.0,8957047000.0,273976000.0,1138689000.0,-195534000.0,-241629000.0,-495617000.0,-756512000.0,52.93
2013-09-30,3568540000.0,1912059000.0,1656481000.0,419333000.0,914825900.0,626744000.0,0.76,1186913000.0,914825900.0,823200500.0,3214870000.0,1848522000.0,41683000.0,5207268000.0,17277830000.0,22485100000.0,1301624000.0,4045118000.0,8461992000.0,9208981000.0,13254100000.0,9230996000.0,272087000.0,1136576000.0,-206470000.0,-206815000.0,-291557000.0,-237798000.0,66.42
2013-12-31,3655685000.0,2043650000.0,1612035000.0,398906000.0,886073000.0,577539000.0,0.71,1164005000.0,886073200.0,822283000.0,3607253000.0,1762110000.0,41946000.0,5515539000.0,17208720000.0,22724260000.0,377507000.0,3129665000.0,9382752000.0,10094070000.0,13223740000.0,9500529000.0,277932000.0,1278629000.0,-267187100.0,-266706000.0,-290739000.0,-619048000.0,78.87
2014-03-31,4010384000.0,2139875000.0,1870509000.0,387176000.0,1143825000.0,776185000.0,0.9500000000000001,1428224000.0,1143825000.0,814766700.0,3309290000.0,1781090000.0,41385000.0,5242112000.0,17232490000.0,22474600000.0,304947000.0,2959255000.0,9968879000.0,10682330000.0,13641590000.0,8833013000.0,284399000.0,1132627000.0,-251186000.0,-250238000.0,-917651000.0,-1181380000.0,80.78
2014-06-30,3624350000.0,1942556000.0,1681794000.0,372655000.0,961460000.0,671434000.0,0.8300000000000001,1247425000.0,961460000.0,807038100.0,3299009000.0,1531555000.0,43083000.0,4978117000.0,17271010000.0,22249120000.0,435794000.0,2858200000.0,9943170000.0,10652360000.0,13510570000.0,8738558000.0,285965000.0,1258217000.0,-274546000.0,-274935000.0,-672735000.0,-996125000.0,76.22
2014-09-30,3533122000.0,1883875000.0,1649247000.0,384205000.0,971421100.0,671705000.0,0.84,1244493000.0,971421100.0,803064800.0,3153627000.0,1496987000.0,43090000.0,4817337000.0,17210440000.0,22027780000.0,102602000.0,2619417000.0,9836015000.0,10552770000.0,13172180000.0,8855598000.0,273072000.0,1226652000.0,-265802000.0,-266048000.0,-403157000.0,-1099146000.0,62.21
2014-12-31,3416144000.0,1779694000.0,1636450000.0,288963900.0,1022294000.0,721675800.0,0.9,1297858000.0,1022294000.0,806000000.0,3512885000.0,1510772000.0,41674000.0,5190499000.0,17163550000.0,22354050000.0,99734000.0,2699972000.0,9892913000.0,10633490000.0,13333460000.0,9020582000.0,275564000.0,1215504000.0,-385466000.0,-385779000.0,-403457000.0,-444349000.0,58.16
2015-03-31,3011622000.0,1583261000.0,1428361000.0,369701000.0,711115200.0,511923000.0,0.64,984534200.0,711115200.0,797935000.0,2413366000.0,1408381000.0,42088000.0,3986784000.0,17059300000.0,21046080000.0,97165000.0,2435907000.0,9143833000.0,9869292000.0,12305200000.0,8740883000.0,273419000.0,734295000.0,-366919000.0,-367251000.0,-830612000.0,-1445089000.0,55.04
2015-06-30,2921421000.0,1562251000.0,1359170000.0,360167000.0,689310100.0,469173000.0,0.59,957499100.0,689310100.0,797716000.0,2825800000.0,1342146000.0,39820000.0,4318610000.0,17289600000.0,21608210000.0,98227000.0,2691334000.0,9720134000.0,10448120000.0,13139450000.0,8468759000.0,268189000.0,847238000.0,-351681000.0,-351898000.0,-522063000.0,-84337000.0,52.57
2015-09-30,2893683000.0,1499334000.0,1394349000.0,351605000.0,739069100.0,519358000.0,0.65,1006629000.0,739069100.0,796559800.0,1862980000.0,1315191000.0,39755000.0,3329223000.0,17173670000.0,20502890000.0,94672000.0,2364640000.0,9034271000.0,9751899000.0,12116540000.0,8386351000.0,267560000.0,858953000.0,-393544000.0,-393936000.0,-831696000.0,-1403880000.0,37.97
2015-12-31,2861273000.0,1472154000.0,1389119000.0,361527000.0,701505400.0,465546100.0,0.59,970337400.0,701505600.0,797000000.0,2187000000.0,1268000000.0,43000000.0,3609000000.0,17254000000.0,20863000000.0,95000000.0,2464000000.0,9249000000.0,9981000000.0,12445000000.0,8418000000.0,268832000.0,1018514000.0,-414856000.0,-414915000.0,-522629000.0,-282694000.0,43.84
2016-03-31,2717000000.0,1460000000.0,1257000000.0,346000000.0,586000000.0,320000000.0,0.4,866000000.0,586000000.0,794000000.0,1712897000.0,1081544000.0,43174000.0,2951894000.0,17433020000.0,20384910000.0,152020000.0,2395700000.0,9235223000.0,9975231000.0,12370930000.0,8013977000.0,280000000.0,799000000.0,-341000000.0,-350000000.0,-883000000.0,-951000000.0,51.68
2016-06-30,2649000000.0,1354000000.0,1295000000.0,424000000.0,518000000.0,328000000.0,0.41000000000000003,792000000.0,518000000.0,795000000.0,2233946000.0,925971000.0,42358000.0,3309270000.0,17671260000.0,20980530000.0,211751000.0,2619773000.0,10061880000.0,10800960000.0,13420730000.0,7559800000.0,274000000.0,988000000.0,-361000000.0,-400000000.0,-889000000.0,-55000000.0,43.49
