,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3686000000.0,1396000000.0,2290000000.0,328000000.0,606000000.0,242000000.0,0.62,606000000.0,606000000.0,391390000.0,179000000.0,9605000000.0,9784000000.0,70830000000.0,80614000000.0,19000000.0,40650000000.0,9418000000.0,15246000000.0,55896000000.0,24718000000.0,0.0,608000000.0,-597000000.0,-633000000.0,-146000000.0,-17000000.0,44.07
2013-06-30,3616000000.0,1485000000.0,2131000000.0,335000000.0,674000000.0,269000000.0,0.6900000000000001,674000000.0,674000000.0,388790000.0,166000000.0,9519000000.0,9685000000.0,70361000000.0,80046000000.0,33000000.0,39681000000.0,10039000000.0,15723000000.0,55404000000.0,24642000000.0,0.0,-105000000.0,-529000000.0,-660000000.0,-146000000.0,751000000.0,44.4
2013-09-30,3597000000.0,1378000000.0,2219000000.0,341000000.0,681000000.0,282000000.0,0.73,681000000.0,681000000.0,387260000.0,257000000.0,9023000000.0,9280000000.0,70230000000.0,79510000000.0,270000000.0,39186000000.0,9705000000.0,15503000000.0,54689000000.0,24821000000.0,0.0,826000000.0,-46000000.0,-572000000.0,-152000000.0,-166000000.0,46.74
2013-12-31,3714000000.0,1547000000.0,2167000000.0,358000000.0,741000000.0,-198000000.0,-0.51,741000000.0,741000000.0,388640000.0,294000000.0,9338000000.0,9632000000.0,70307000000.0,79939000000.0,819000000.0,39347000000.0,9525000000.0,15686000000.0,55033000000.0,24906000000.0,1483000000.0,767000000.0,-565000000.0,-1433000000.0,-153000000.0,703000000.0,48.24
2014-03-31,3688000000.0,1446000000.0,2242000000.0,329000000.0,636000000.0,59000000.0,0.15,636000000.0,636000000.0,387340000.0,301000000.0,8355000000.0,8656000000.0,73147000000.0,81803000000.0,854000000.0,37787000000.0,10456000000.0,18899000000.0,56686000000.0,25117000000.0,0.0,423000000.0,-747000000.0,-637000000.0,-130000000.0,233000000.0,44.05
2014-06-30,3593000000.0,1441000000.0,2152000000.0,335000000.0,672000000.0,116000000.0,0.30000000000000004,672000000.0,672000000.0,385720000.0,277000000.0,8441000000.0,8718000000.0,74176000000.0,82894000000.0,974000000.0,38359000000.0,9828000000.0,19180000000.0,57539000000.0,25355000000.0,0.0,769000000.0,-375000000.0,-522000000.0,-102000000.0,-274000000.0,44.01
2014-09-30,3523000000.0,1354000000.0,2169000000.0,332000000.0,460000000.0,208000000.0,0.55,460000000.0,460000000.0,380590000.0,637000000.0,8185000000.0,8822000000.0,69707000000.0,78529000000.0,850000000.0,37608000000.0,10051000000.0,15805000000.0,53413000000.0,25116000000.0,0.0,904000000.0,377000000.0,194000000.0,-101000000.0,-744000000.0,41.66
2014-12-31,3521000000.0,1350000000.0,2171000000.0,321000000.0,540000000.0,208000000.0,0.55,540000000.0,540000000.0,381920000.0,364000000.0,7770000000.0,8134000000.0,70233000000.0,78367000000.0,335000000.0,37388000000.0,10333000000.0,16329000000.0,53717000000.0,24650000000.0,902000000.0,894000000.0,-977000000.0,-505000000.0,-100000000.0,-657000000.0,42.02
2015-03-31,3478000000.0,1339000000.0,2139000000.0,303000000.0,236000000.0,109000000.0,0.29,236000000.0,236000000.0,372830000.0,271000000.0,8157000000.0,8428000000.0,70195000000.0,78623000000.0,687000000.0,38318000000.0,9863000000.0,15675000000.0,53993000000.0,24630000000.0,0.0,42000000.0,-448000000.0,94000000.0,-105000000.0,-223000000.0,40.83
2015-06-30,3435000000.0,1469000000.0,1966000000.0,314000000.0,429000000.0,170000000.0,0.46,429000000.0,429000000.0,369610000.0,249000000.0,8097000000.0,8346000000.0,69669000000.0,78015000000.0,1061000000.0,38170000000.0,9791000000.0,15513000000.0,53683000000.0,24332000000.0,0.0,1045000000.0,-759000000.0,-1128000000.0,-51000000.0,57000000.0,38.51
2015-09-30,3169000000.0,1200000000.0,1969000000.0,319000000.0,476000000.0,182000000.0,0.5,476000000.0,476000000.0,360910000.0,328000000.0,8079000000.0,8407000000.0,69125000000.0,77532000000.0,1278000000.0,38104000000.0,9492000000.0,15275000000.0,53379000000.0,24153000000.0,0.0,1108000000.0,-212000000.0,-553000000.0,-51000000.0,-472000000.0,36.14
2015-12-31,3333000000.0,1376000000.0,1957000000.0,604000000.0,-377000000.0,-201000000.0,-0.58,-377000000.0,-377000000.0,362430000.0,440000000.0,8041000000.0,8481000000.0,67525000000.0,76006000000.0,1040000000.0,38093000000.0,9520000000.0,15103000000.0,53196000000.0,22810000000.0,992000000.0,1352000000.0,-103000000.0,-348000000.0,-48000000.0,-887000000.0,38.4
2016-03-31,3173000000.0,1408000000.0,1765000000.0,307000000.0,338000000.0,102000000.0,0.30000000000000004,338000000.0,338000000.0,339100000.0,308000000.0,8227000000.0,8535000000.0,68689000000.0,77224000000.0,3000000.0,37958000000.0,10584000000.0,16141000000.0,54099000000.0,23125000000.0,0.0,149000000.0,-72000000.0,-157000000.0,-96000000.0,-123000000.0,38.26
2016-06-30,3307000000.0,1339000000.0,1968000000.0,305000000.0,-146000000.0,-65000000.0,-0.19,-146000000.0,-146000000.0,338720000.0,348000000.0,8616000000.0,8964000000.0,70219000000.0,79183000000.0,330000000.0,39620000000.0,10735000000.0,16532000000.0,56152000000.0,23031000000.0,0.0,622000000.0,-549000000.0,-960000000.0,-40000000.0,383000000.0,41.09
