,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3142000000.0,2727000000.0,415000000.0,164000000.0,226000000.0,136000000.0,0.44,251000000.0,226000000.0,311800000.0,221000000.0,1080000000.0,11000000.0,1626000000.0,4897000000.0,6523000000.0,49000000.0,2358000000.0,3206000000.0,5542000000.0,7900000000.0,-1377000000.0,25000000.0,118000000.0,-70000000.0,-88000000.0,-41000000.0,103000000.0,42.23
2013-06-30,3263000000.0,2791000000.0,472000000.0,160000000.0,279000000.0,179000000.0,0.58,312000000.0,279000000.0,306700000.0,108000000.0,1006000000.0,0.0,1404000000.0,4973000000.0,6377000000.0,50000000.0,2467000000.0,3037000000.0,5403000000.0,7870000000.0,-1493000000.0,33000000.0,492000000.0,-78000000.0,-131000000.0,-52000000.0,-474000000.0,40.37
2013-09-30,3160000000.0,2734000000.0,426000000.0,147000000.0,245000000.0,160000000.0,0.53,279000000.0,245000000.0,301900000.0,144000000.0,972000000.0,0.0,1646000000.0,4834000000.0,6480000000.0,52000000.0,2422000000.0,3104000000.0,5467000000.0,7889000000.0,-1409000000.0,34000000.0,195000000.0,-78000000.0,-90000000.0,-51000000.0,-69000000.0,42.06
2013-12-31,3219000000.0,2768000000.0,451000000.0,178000000.0,238000000.0,151000000.0,0.5,273000000.0,238000000.0,305000000.0,126000000.0,1081000000.0,0.0,1903000000.0,4891000000.0,6794000000.0,6000000.0,2675000000.0,3147000000.0,5534000000.0,8209000000.0,-1415000000.0,35000000.0,335000000.0,-70000000.0,-210000000.0,-52000000.0,-143000000.0,49.35
2014-03-31,3293000000.0,2855000000.0,438000000.0,148000000.0,254000000.0,172000000.0,0.58,290000000.0,254000000.0,296100000.0,184000000.0,1035000000.0,0.0,1565000000.0,5100000000.0,6665000000.0,7000000.0,2596000000.0,3295000000.0,5694000000.0,8290000000.0,-1625000000.0,36000000.0,182000000.0,231000000.0,42000000.0,-50000000.0,-166000000.0,56.02
2014-06-30,3484000000.0,2962000000.0,522000000.0,159000000.0,316000000.0,192000000.0,0.66,363000000.0,316000000.0,292500000.0,192000000.0,1057000000.0,0.0,1537000000.0,5293000000.0,6830000000.0,7000000.0,2690000000.0,3397000000.0,5860000000.0,8550000000.0,-1720000000.0,47000000.0,487000000.0,-95000000.0,-225000000.0,-59000000.0,-254000000.0,64.1
2014-09-30,3460000000.0,2957000000.0,503000000.0,172000000.0,298000000.0,192000000.0,0.66,331000000.0,298000000.0,288900000.0,150000000.0,1030000000.0,0.0,1552000000.0,5295000000.0,6847000000.0,7000000.0,2738000000.0,3521000000.0,5951000000.0,8689000000.0,-1842000000.0,33000000.0,281000000.0,-111000000.0,-121000000.0,-58000000.0,-202000000.0,69.9
2014-12-31,3559000000.0,3056000000.0,503000000.0,180000000.0,291000000.0,197000000.0,0.7000000000000001,323000000.0,291000000.0,289900000.0,104000000.0,1100000000.0,0.0,1610000000.0,5223000000.0,6833000000.0,324000000.0,3038000000.0,3447000000.0,5995000000.0,9033000000.0,-2200000000.0,32000000.0,274000000.0,-1000000.0,-9000000.0,-56000000.0,-311000000.0,78.03
2015-03-31,3513000000.0,2992000000.0,521000000.0,145000000.0,332000000.0,207000000.0,0.75,376000000.0,332000000.0,277700000.0,120000000.0,1172000000.0,0.0,1828000000.0,4975000000.0,6803000000.0,325000000.0,3030000000.0,3703000000.0,6310000000.0,9340000000.0,-2537000000.0,44000000.0,262000000.0,172000000.0,-22000000.0,-56000000.0,-224000000.0,80.32
2015-06-30,3689000000.0,3136000000.0,553000000.0,152000000.0,369000000.0,240000000.0,0.88,401000000.0,369000000.0,272400000.0,140000000.0,1188000000.0,0.0,1906000000.0,4415000000.0,6321000000.0,614000000.0,3517000000.0,3303000000.0,5837000000.0,9354000000.0,-3033000000.0,32000000.0,490000000.0,250000000.0,374000000.0,-68000000.0,-844000000.0,74.39
2015-09-30,3578000000.0,3059000000.0,519000000.0,149000000.0,339000000.0,210000000.0,0.8,370000000.0,339000000.0,262200000.0,95000000.0,1144000000.0,0.0,1723000000.0,4430000000.0,6153000000.0,615000000.0,3509000000.0,3689000000.0,6233000000.0,9742000000.0,-3589000000.0,31000000.0,328000000.0,-28000000.0,21000000.0,-65000000.0,-394000000.0,68.2
2015-12-31,3706000000.0,3176000000.0,530000000.0,188000000.0,310000000.0,202000000.0,0.79,342000000.0,310000000.0,267300000.0,96000000.0,1103000000.0,0.0,1384000000.0,4698000000.0,6082000000.0,300000000.0,3233000000.0,3807000000.0,6439000000.0,9672000000.0,-3590000000.0,32000000.0,435000000.0,-26000000.0,-6000000.0,-64000000.0,-428000000.0,67.04
2016-03-31,3772000000.0,3211000000.0,561000000.0,155000000.0,367000000.0,219000000.0,0.86,398000000.0,367000000.0,254400000.0,99000000.0,1143000000.0,0.0,1424000000.0,4697000000.0,6121000000.0,300000000.0,3247000000.0,3859000000.0,6541000000.0,9788000000.0,-3667000000.0,31000000.0,394000000.0,-38000000.0,-64000000.0,-64000000.0,-327000000.0,71.18
2016-06-30,3902000000.0,3315000000.0,587000000.0,154000000.0,389000000.0,247000000.0,0.97,419000000.0,389000000.0,254300000.0,679000000.0,1152000000.0,0.0,1959000000.0,4691000000.0,6650000000.0,303000000.0,3244000000.0,4057000000.0,6868000000.0,10112000000.0,-3462000000.0,30000000.0,468000000.0,13000000.0,-8000000.0,-76000000.0,120000000.0,66.46
2016-09-30,3942000000.0,3346000000.0,596000000.0,161000000.0,171000000.0,70000000.0,0.26,207000000.0,171000000.0,266200000.0,1078000000.0,1705000000.0,0.0,3787000000.0,21215000000.0,25002000000.0,316000000.0,5229000000.0,8506000000.0,13932000000.0,19161000000.0,5841000000.0,36000000.0,344000000.0,-54000000.0,-2415000000.0,-117000000.0,2470000000.0,67.33
2016-12-31,3791000000.0,2863000000.0,928000000.0,273000000.0,497000000.0,272000000.0,0.63,559000000.0,497000000.0,290900000.0,858000000.0,1695000000.0,0.0,3371000000.0,20769000000.0,24140000000.0,309000000.0,5147000000.0,8197000000.0,13636000000.0,18783000000.0,5357000000.0,62000000.0,413000000.0,91000000.0,141000000.0,-117000000.0,-766000000.0,82.68
2017-03-31,4912000000.0,4052000000.0,860000000.0,212000000.0,546000000.0,371000000.0,0.9500000000000001,608000000.0,546000000.0,384900000.0,738000000.0,1752000000.0,0.0,3121000000.0,20804000000.0,23925000000.0,309000000.0,5223000000.0,8161000000.0,13534000000.0,18757000000.0,5168000000.0,62000000.0,462000000.0,263000000.0,243000000.0,-115000000.0,-823000000.0,94.18
2017-06-30,5211000000.0,4141000000.0,1070000000.0,234000000.0,744000000.0,489000000.0,1.09,827000000.0,744000000.0,378500000.0,498000000.0,1804000000.0,0.0,2830000000.0,21051000000.0,23881000000.0,402000000.0,5363000000.0,7911000000.0,13617000000.0,18980000000.0,4901000000.0,83000000.0,724000000.0,115000000.0,80000000.0,-125000000.0,-1058000000.0,100.31
