,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1876000000.0,1368000000.0,508000000.0,376000000.0,132000000.0,52000000.0,0.13,132000000.0,132000000.0,350000000.0,1032000000.0,1174000000.0,763000000.0,3174000000.0,3605000000.0,6779000000.0,0.0,1826000000.0,3421000000.0,4458000000.0,6284000000.0,495000000.0,0.0,-210000000.0,-26000000.0,70000000.0,-26000000.0,-65000000.0,17.79
2013-06-30,2149000000.0,1540000000.0,609000000.0,421000000.0,188000000.0,76000000.0,0.21,188000000.0,188000000.0,349000000.0,1223000000.0,1255000000.0,791000000.0,3479000000.0,3583000000.0,7062000000.0,0.0,2042000000.0,3421000000.0,4471000000.0,6513000000.0,549000000.0,0.0,269000000.0,-26000000.0,-8000000.0,-62000000.0,-62000000.0,17.13
2013-09-30,2150000000.0,1543000000.0,607000000.0,395000000.0,212000000.0,109000000.0,0.29,212000000.0,212000000.0,349000000.0,1288000000.0,1211000000.0,777000000.0,3493000000.0,3566000000.0,7059000000.0,0.0,1887000000.0,3421000000.0,4486000000.0,6373000000.0,686000000.0,0.0,291000000.0,-12000000.0,-83000000.0,-27000000.0,-229000000.0,18.7
2013-12-31,1998000000.0,1467000000.0,531000000.0,390000000.0,141000000.0,48000000.0,0.12,141000000.0,141000000.0,350000000.0,1544000000.0,1004000000.0,765000000.0,3468000000.0,3489000000.0,6957000000.0,0.0,1686000000.0,3421000000.0,4484000000.0,6170000000.0,787000000.0,205000000.0,295000000.0,-35000000.0,-56000000.0,-26000000.0,-26000000.0,20.01
2014-03-31,1965000000.0,1418000000.0,547000000.0,395000000.0,152000000.0,74000000.0,0.21,152000000.0,152000000.0,351000000.0,1211000000.0,1215000000.0,838000000.0,3418000000.0,3462000000.0,6880000000.0,0.0,1720000000.0,3421000000.0,4359000000.0,6079000000.0,801000000.0,0.0,-244000000.0,-21000000.0,-6000000.0,-27000000.0,-66000000.0,19.52
2014-06-30,1876000000.0,1301000000.0,575000000.0,354000000.0,221000000.0,139000000.0,0.39,221000000.0,221000000.0,349000000.0,1423000000.0,1306000000.0,894000000.0,3783000000.0,3444000000.0,7227000000.0,0.0,2462000000.0,2921000000.0,3863000000.0,6325000000.0,902000000.0,0.0,305000000.0,-25000000.0,46000000.0,-61000000.0,-59000000.0,19.51
2014-09-30,1834000000.0,1312000000.0,522000000.0,341000000.0,181000000.0,543000000.0,1.51,181000000.0,181000000.0,350000000.0,1557000000.0,1229000000.0,862000000.0,4001000000.0,3372000000.0,7373000000.0,0.0,2415000000.0,2919000000.0,3600000000.0,6015000000.0,1358000000.0,0.0,245000000.0,-24000000.0,-100000000.0,-32000000.0,-35000000.0,21.02
2014-12-31,2064000000.0,1496000000.0,568000000.0,382000000.0,194000000.0,100000000.0,0.28,194000000.0,194000000.0,349000000.0,1685000000.0,820000000.0,712000000.0,3620000000.0,3588000000.0,7208000000.0,0.0,2211000000.0,2919000000.0,3869000000.0,6080000000.0,1128000000.0,182000000.0,296000000.0,-42000000.0,-40000000.0,-31000000.0,-137000000.0,22.14
2015-03-31,1659000000.0,1164000000.0,495000000.0,330000000.0,165000000.0,64000000.0,0.18,165000000.0,165000000.0,344000000.0,1775000000.0,1248000000.0,863000000.0,4179000000.0,3289000000.0,7468000000.0,0.0,2207000000.0,3418000000.0,4302000000.0,6509000000.0,959000000.0,0.0,-152000000.0,-29000000.0,11000000.0,-32000000.0,362000000.0,23.46
2015-06-30,1929000000.0,1292000000.0,637000000.0,358000000.0,279000000.0,105000000.0,0.31,279000000.0,279000000.0,340000000.0,1507000000.0,1105000000.0,779000000.0,3590000000.0,2279000000.0,5869000000.0,0.0,1590000000.0,3419000000.0,4148000000.0,5738000000.0,131000000.0,0.0,291000000.0,-37000000.0,-71000000.0,-66000000.0,-521000000.0,23.44
