,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,430144100.0,191105000.0,239039100.0,64744000.0,56713000.0,59690000.0,0.15,125368000.0,56713000.0,389190000.0,1578597000.0,229955000.0,242334000.0,2236370000.0,1615035000.0,3851405000.0,0.0,341611000.0,983385000.0,1576324000.0,1917935000.0,1933470000.0,68655000.0,127883000.0,-14436000.0,-18831000.0,-69230000.0,-46011000.0,18.39
2013-06-30,462792000.0,196218000.0,266574000.0,65710000.0,98401000.0,78579000.0,0.2,154256000.0,98401000.0,393900000.0,961875000.0,232262000.0,256136000.0,1615697000.0,2267878000.0,3883575000.0,0.0,351664000.0,974250000.0,1577651000.0,1929315000.0,1954260000.0,55855000.0,167372000.0,-11557000.0,-212134000.0,-69682000.0,-80341000.0,18.62
2013-09-30,492669000.0,203806000.0,288863000.0,69368000.0,117508000.0,99806000.0,0.25,170703000.0,117508000.0,395650000.0,1151911000.0,230493000.0,275124000.0,1820906000.0,2144245000.0,3965151000.0,8375000.0,338893000.0,997912000.0,1607719000.0,1946612000.0,2018539000.0,53195000.0,157551000.0,-27449000.0,-176956000.0,-70086000.0,-39624000.0,20.15
2013-12-31,482372000.0,199652000.0,282720000.0,66856000.0,116918000.0,105401000.0,0.265,167288000.0,116918000.0,397518000.0,1307402000.0,224273000.0,274629000.0,1969028000.0,2034080000.0,4003108000.0,14159000.0,316400000.0,1005312000.0,1611600000.0,1928000000.0,2075108000.0,50370000.0,148300000.0,-24330000.0,-59269000.0,-70554000.0,-58133000.0,22.38
2014-03-31,493384000.0,202798000.0,290585900.0,65344000.0,126036800.0,111495000.0,0.28,177438800.0,126036900.0,396582000.0,1344785000.0,242405000.0,262725000.0,1969399000.0,2098231000.0,4067630000.0,17500000.0,336079000.0,1003258000.0,1596090000.0,1932169000.0,2135461000.0,51402000.0,203341000.0,-33501000.0,-54920000.0,-70882000.0,-56918000.0,23.88
2014-06-30,528876000.0,222357000.0,306519000.0,69255000.0,115946000.0,89909000.0,0.225,182432000.0,115946000.0,400374000.0,1759861000.0,286699000.0,264505000.0,2450351000.0,2051392000.0,4501743000.0,17500000.0,359690000.0,1335678000.0,1972408000.0,2332098000.0,2169645000.0,66486000.0,165788000.0,-44637000.0,-272428000.0,-71202000.0,257807000.0,24.41
2014-09-30,546243000.0,238789000.0,307454000.0,71114000.0,101318000.0,93641000.0,0.23500000000000001,177605000.0,101318000.0,401258000.0,1283109000.0,287473000.0,275746000.0,1978965000.0,2631662000.0,4610627000.0,17500000.0,385484000.0,1323871000.0,1972935000.0,2358419000.0,2252208000.0,76287000.0,192046000.0,-38735000.0,-247763000.0,-71442000.0,-80413000.0,23.61
2014-12-31,528710000.0,226751000.0,301959000.0,66668000.0,98009000.0,86057000.0,0.215,176852000.0,98009000.0,402406000.0,1122458000.0,242595000.0,276143000.0,1783479000.0,2845438000.0,4628917000.0,17500000.0,353086000.0,1342095000.0,1993553000.0,2346639000.0,2282278000.0,78843000.0,184838000.0,-36642000.0,-156566000.0,-71787000.0,-53372000.0,22.56
2015-03-31,543207000.0,229575000.0,313632100.0,67778000.0,110347100.0,99402000.0,0.245,194232100.0,110347000.0,401874000.0,1958869000.0,273937000.0,279456000.0,2664617000.0,2116096000.0,4780713000.0,0.0,353972000.0,1826858000.0,2365715000.0,2719687000.0,2061026000.0,83885000.0,178510000.0,-29458000.0,-1560000.0,-72047000.0,-25474000.0,24.45
2015-06-30,533952000.0,224935000.0,309017000.0,66849000.0,121319000.0,130667000.0,0.325,196820000.0,121319000.0,404464000.0,1532550000.0,277033000.0,303690000.0,2255614000.0,2601371000.0,4856985000.0,0.0,372308000.0,1858697000.0,2385795000.0,2758103000.0,2098882000.0,75501000.0,181528000.0,-33611000.0,-187189000.0,-72331000.0,-38607000.0,23.72
