,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,4027000000.0,999000000.0,3028000000.0,1401000000.0,1218000000.0,988000000.0,0.98,1455000000.0,1218000000.0,1012500000.0,2464000000.0,3532000000.0,1889000000.0,9161000000.0,25788000000.0,34949000000.0,4104000000.0,6958000000.0,7314000000.0,10155000000.0,17113000000.0,17836000000.0,237000000.0,1446000000.0,-125000000.0,-1587000000.0,-264000000.0,-387000000.0,46.6
2013-04-30,4460000000.0,1134000000.0,3326000000.0,1475000000.0,1191000000.0,969000000.0,0.96,1435000000.0,1191000000.0,1019300000.0,11130000000.0,4266000000.0,1712000000.0,17852000000.0,17048000000.0,34900000000.0,910000000.0,3950000000.0,9741000000.0,12279000000.0,16229000000.0,18671000000.0,244000000.0,1270000000.0,-121000000.0,-587000000.0,-258000000.0,-952000000.0,46.68
2013-07-31,4083000000.0,1022000000.0,3061000000.0,1416000000.0,1277000000.0,953000000.0,0.9400000000000001,1487000000.0,1277000000.0,1009700000.0,11404000000.0,4203000000.0,1778000000.0,18090000000.0,16882000000.0,34972000000.0,1543000000.0,4285000000.0,9637000000.0,12168000000.0,16453000000.0,18519000000.0,210000000.0,983000000.0,-78000000.0,-666000000.0,-281000000.0,-422000000.0,55.24
2013-10-31,4194000000.0,1090000000.0,3104000000.0,1438000000.0,1206000000.0,902000000.0,0.9,1421000000.0,1206000000.0,998900000.0,12584000000.0,4394000000.0,1825000000.0,19483000000.0,16985000000.0,36468000000.0,2647000000.0,5496000000.0,9637000000.0,12228000000.0,17724000000.0,18744000000.0,215000000.0,1036000000.0,-118000000.0,-1186000000.0,-279000000.0,363000000.0,57.4
2014-01-31,4163000000.0,1050000000.0,3113000000.0,1454000000.0,1025000000.0,762000000.0,0.76,1241000000.0,1025000000.0,998300000.0,13667000000.0,4237000000.0,1782000000.0,20386000000.0,16845000000.0,37231000000.0,2618000000.0,5632000000.0,9601000000.0,12245000000.0,17877000000.0,19354000000.0,216000000.0,1612000000.0,-95000000.0,-1217000000.0,-279000000.0,-142000000.0,56.56
2014-04-30,4565000000.0,1171000000.0,3394000000.0,1539000000.0,305000000.0,448000000.0,0.45,522000000.0,305000000.0,1002100000.0,14241000000.0,4547000000.0,1725000000.0,21210000000.0,16733000000.0,37943000000.0,1613000000.0,5559000000.0,10315000000.0,12941000000.0,18500000000.0,19443000000.0,217000000.0,1328000000.0,-105000000.0,-525000000.0,-277000000.0,-717000000.0,58.82
2014-07-31,4273000000.0,1105000000.0,3168000000.0,1506000000.0,1139000000.0,871000000.0,0.88,1354000000.0,1139000000.0,992600000.0,13962000000.0,4289000000.0,1836000000.0,20770000000.0,16784000000.0,37554000000.0,2477000000.0,5433000000.0,10323000000.0,12873000000.0,18306000000.0,19248000000.0,215000000.0,310000000.0,-109000000.0,-6000000.0,-304000000.0,-355000000.0,61.74
2014-10-31,4366000000.0,1142000000.0,3224000000.0,1507000000.0,1193000000.0,828000000.0,0.84,1401000000.0,1193000000.0,981900000.0,14464000000.0,4446000000.0,1873000000.0,21597000000.0,17183000000.0,38780000000.0,3970000000.0,6952000000.0,9708000000.0,12390000000.0,19342000000.0,19438000000.0,208000000.0,913000000.0,-101000000.0,-1147000000.0,-298000000.0,228000000.0,68.16
2015-01-31,4318000000.0,1128000000.0,3190000000.0,1487000000.0,1275000000.0,977000000.0,0.99,1550000000.0,1275000000.0,983800000.0,31148000000.0,4186000000.0,1875000000.0,38161000000.0,17072000000.0,55233000000.0,2185000000.0,5613000000.0,26641000000.0,29447000000.0,35060000000.0,20173000000.0,275000000.0,1767000000.0,-106000000.0,-690000000.0,-300000000.0,14925000000.0,71.4
2015-04-30,7304000000.0,2934000000.0,4370000000.0,2404000000.0,159000000.0,-1000000.0,0.0,843000000.0,159000000.0,1095500000.0,19480000000.0,6447000000.0,3463000000.0,30844000000.0,75841000000.0,106685000000.0,2434000000.0,9173000000.0,33752000000.0,44282000000.0,53455000000.0,53230000000.0,684000000.0,1912000000.0,-255000000.0,-15215000000.0,-435000000.0,1151000000.0,74.45
2015-07-31,7274000000.0,2456000000.0,4818000000.0,2449000000.0,1131000000.0,820000000.0,0.58,1839000000.0,1131000000.0,1418100000.0,17982000000.0,6301000000.0,3404000000.0,29147000000.0,75479000000.0,104626000000.0,1850000000.0,7660000000.0,33709000000.0,44157000000.0,51817000000.0,52809000000.0,708000000.0,816000000.0,-224000000.0,-986000000.0,-538000000.0,-1744000000.0,78.39
2015-10-31,7058000000.0,2182000000.0,4876000000.0,2343000000.0,1300000000.0,520000000.0,0.37,2004000000.0,1300000000.0,1412900000.0,17229000000.0,6663000000.0,3516000000.0,28723000000.0,76222000000.0,104945000000.0,2158000000.0,8126000000.0,33690000000.0,44550000000.0,52676000000.0,52269000000.0,704000000.0,1279000000.0,-222000000.0,-1088000000.0,-537000000.0,-781000000.0,73.92
2016-01-31,6934000000.0,2141000000.0,4793000000.0,2317000000.0,1355000000.0,1095000000.0,0.78,2077000000.0,1355000000.0,1406600000.0,17286000000.0,4863000000.0,3536000000.0,27569000000.0,75137000000.0,102706000000.0,2153000000.0,8141000000.0,33681000000.0,43749000000.0,51890000000.0,50816000000.0,722000000.0,1797000000.0,-247000000.0,-254000000.0,-533000000.0,-1152000000.0,75.92
2016-04-30,7567000000.0,2363000000.0,5204000000.0,2360000000.0,1575000000.0,1103000000.0,0.79,2290000000.0,1575000000.0,1409600000.0,12634000000.0,5562000000.0,3473000000.0,23600000000.0,76044000000.0,99644000000.0,993000000.0,7165000000.0,30109000000.0,40416000000.0,47581000000.0,52063000000.0,715000000.0,1326000000.0,-353000000.0,4573000000.0,-531000000.0,-5866000000.0,79.15
2016-07-31,7166000000.0,2261000000.0,4905000000.0,2428000000.0,1167000000.0,929000000.0,0.67,1911000000.0,1167000000.0,1392200000.0,12810000000.0,5357000000.0,3580000000.0,23498000000.0,75103000000.0,98601000000.0,1947000000.0,7896000000.0,30124000000.0,39813000000.0,47709000000.0,50892000000.0,744000000.0,1550000000.0,-330000000.0,-284000000.0,-599000000.0,-1160000000.0,87.63
2016-10-31,7345000000.0,2326000000.0,5019000000.0,2416000000.0,1385000000.0,1115000000.0,0.81,2124000000.0,1385000000.0,1380000000.0,11257000000.0,5661000000.0,3717000000.0,22526000000.0,75880000000.0,98406000000.0,3367000000.0,9601000000.0,29010000000.0,38512000000.0,48113000000.0,50293000000.0,739000000.0,1472000000.0,-268000000.0,-73000000.0,-593000000.0,-1491000000.0,82.02
2017-01-31,7283000000.0,2268000000.0,5015000000.0,2388000000.0,1147000000.0,821000000.0,0.6000000000000001,1884000000.0,1147000000.0,1372200000.0,11458000000.0,5453000000.0,3720000000.0,22423000000.0,75155000000.0,97578000000.0,6226000000.0,12672000000.0,25923000000.0,35413000000.0,48085000000.0,49493000000.0,737000000.0,2085000000.0,-326000000.0,-942000000.0,-590000000.0,-1319000000.0,76.02
2017-04-30,7916000000.0,2439000000.0,5477000000.0,2786000000.0,1684000000.0,1163000000.0,0.85,2381000000.0,1684000000.0,1378900000.0,13708000000.0,5591000000.0,3338000000.0,24873000000.0,74984000000.0,99857000000.0,7520000000.0,14264000000.0,25921000000.0,35263000000.0,49527000000.0,50330000000.0,697000000.0,1773000000.0,-330000000.0,-272000000.0,-594000000.0,687000000.0,83.09
2017-07-31,7390000000.0,2352000000.0,5038000000.0,2580000000.0,1382000000.0,1016000000.0,0.75,2018000000.0,1382000000.0,1361900000.0,13088000000.0,5784000000.0,3538000000.0,24779000000.0,75471000000.0,100250000000.0,8058000000.0,15148000000.0,25953000000.0,34315000000.0,49463000000.0,50787000000.0,636000000.0,737000000.0,-278000000.0,83000000.0,-625000000.0,-1141000000.0,83.97
2017-10-31,7050000000.0,2123000000.0,4927000000.0,2539000000.0,1894000000.0,2017000000.0,1.49,2572000000.0,1894000000.0,1355100000.0,13526000000.0,5752000000.0,3638000000.0,25162000000.0,69296000000.0,94458000000.0,3131000000.0,10496000000.0,25941000000.0,32384000000.0,42880000000.0,51578000000.0,678000000.0,907000000.0,-246000000.0,6042000000.0,-622000000.0,-6136000000.0,80.52
