,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2352148000.0,1493595000.0,858553100.0,350525000.0,301817100.0,6546000.0,0.01,522101100.0,301817100.0,489291000.0,1480637000.0,475581000.0,105047000.0,2439245000.0,23618630000.0,26057870000.0,0.0,1870988000.0,13690700000.0,16307830000.0,18178820000.0,7879053000.0,220284000.0,194656000.0,-97180000.0,-103616000.0,0.0,-152522000.0,13.15
2013-06-30,2481265000.0,1579869000.0,901396000.0,366688000.0,231601800.0,-92958000.0,-0.19,458262800.0,231601800.0,489484000.0,1278673000.0,440326000.0,101110000.0,2210240000.0,23511900000.0,25722140000.0,0.0,2098146000.0,13111960000.0,15766830000.0,17864970000.0,7857166000.0,226661000.0,535406000.0,-145375000.0,-136597000.0,0.0,-601476000.0,14.78
2013-09-30,2463037000.0,1580077000.0,882960200.0,397037000.0,262797100.0,-22313000.0,-0.07,483630100.0,262797100.0,489672000.0,1375403000.0,411077000.0,98330000.0,2284015000.0,23374820000.0,25658840000.0,0.0,2161470000.0,13034520000.0,15670190000.0,17831670000.0,7827171000.0,220833000.0,365695000.0,-136472000.0,-131139000.0,0.0,-137884000.0,20.44
2013-12-31,2513213000.0,1605176000.0,908037500.0,380945000.0,341064700.0,-63009000.0,-0.08,557792700.0,341064200.0,489661000.0,1803669000.0,488217000.0,107907000.0,2719439000.0,23365170000.0,26084610000.0,0.0,2215328000.0,13447230000.0,16008790000.0,18224120000.0,7860495000.0,216728000.0,214691000.0,-165067000.0,-188785000.0,0.0,402174000.0,23.52
2014-03-31,2630398000.0,1650095000.0,980303000.0,372597000.0,416471900.0,102652000.0,0.22,633528900.0,416471900.0,490542000.0,1114736000.0,492535000.0,101553000.0,1970630000.0,23380080000.0,25350710000.0,0.0,2159564000.0,12930730000.0,15368300000.0,17527860000.0,7822846000.0,217057000.0,290795000.0,-192616000.0,-214069000.0,0.0,-764688000.0,25.86
2014-06-30,2581033000.0,1618992000.0,962040900.0,381923000.0,354463900.0,110008000.0,0.22,566859900.0,354463900.0,490786000.0,1365137000.0,473922000.0,102524000.0,2166315000.0,23405990000.0,25572300000.0,317194000.0,2560316000.0,12606520000.0,15070460000.0,17630780000.0,7941528000.0,212396000.0,512829000.0,-177220000.0,-188091000.0,0.0,-74832000.0,26.4
2014-09-30,2485007000.0,1593058000.0,891949100.0,409050000.0,286489300.0,-20270000.0,-0.04,498254300.0,286489300.0,490914000.0,1313427000.0,433853000.0,99274000.0,1991057000.0,23457430000.0,25448490000.0,1191542000.0,3369314000.0,11723660000.0,14180540000.0,17549850000.0,7898636000.0,211765000.0,219190000.0,-247086000.0,-188893000.0,0.0,-79559000.0,22.78
2014-12-31,2385546000.0,1506553000.0,878993400.0,393990000.0,266113000.0,-342263000.0,-0.7000000000000001,478310100.0,266113000.0,490875000.0,2283715000.0,488020000.0,104011000.0,3027160000.0,23566760000.0,26593910000.0,1245320000.0,3407925000.0,12805290000.0,15557720000.0,18965640000.0,7628274000.0,212197000.0,107856000.0,-247468000.0,-933097000.0,0.0,1227156000.0,21.38
2015-03-31,2332244000.0,1452120000.0,880123900.0,378529000.0,395103900.0,169850000.0,0.35000000000000003,611297900.0,395103900.0,491422000.0,2195535000.0,469476000.0,103286000.0,2956607000.0,23841840000.0,26798450000.0,0.0,1895761000.0,14551810000.0,17249650000.0,19145410000.0,7653035000.0,216194000.0,175648000.0,-292165000.0,116797000.0,0.0,189223000.0,21.03
2015-06-30,2385135000.0,1455797000.0,929338100.0,393310000.0,348521100.0,97459000.0,0.18,566818100.0,348521100.0,551358000.0,2542545000.0,480907000.0,106914000.0,3267022000.0,23882560000.0,27149590000.0,875029000.0,2790795000.0,12495210000.0,15181960000.0,17972760000.0,9176830000.0,218297000.0,271621000.0,-281820000.0,-293676000.0,0.0,164636000.0,18.25
2015-09-30,2280816000.0,1397900000.0,882916000.0,414514000.0,297377100.0,66425000.0,0.12,517434100.0,297377100.0,563287000.0,1807795000.0,486896000.0,100533000.0,2582274000.0,24097990000.0,26680270000.0,0.0,1952855000.0,12821040000.0,15487690000.0,17440540000.0,9239722000.0,220057000.0,290511000.0,-406453000.0,-225174000.0,0.0,-591870000.0,18.45
2015-12-31,2191873000.0,1319559000.0,872314100.0,397302000.0,-1197234000.0,-781454000.0,-1.38,482372400.0,-1197234000.0,542873000.0,1670312000.0,496552000.0,104200000.0,2408749000.0,22806430000.0,25215180000.0,328442000.0,2237951000.0,12368310000.0,15212800000.0,17450750000.0,7764427000.0,1679606000.0,267299000.0,-478349000.0,-393005000.0,0.0,-19868000.0,22.72
2016-03-31,2209686000.0,1301713000.0,907973100.0,379791000.0,315954100.0,66799000.0,0.12,528238100.0,315954100.0,565056000.0,1664905000.0,461899000.0,97584000.0,2401644000.0,23095650000.0,25497290000.0,242900000.0,2088311000.0,12686380000.0,15543970000.0,17632280000.0,7865010000.0,212284000.0,224596000.0,-427272000.0,-430024000.0,0.0,200962000.0,21.44
2016-06-30,2269502000.0,1312969000.0,956532800.0,403210000.0,769054800.0,474353000.0,0.84,985894800.0,769054800.0,565459000.0,2503255000.0,455097000.0,97800000.0,3193787000.0,23355270000.0,26549050000.0,0.0,1917779000.0,12364920000.0,15104390000.0,17022170000.0,9526883000.0,216840000.0,389050000.0,-541640000.0,-2202000.0,0.0,451682000.0,22.63
2016-09-30,2515115000.0,1425519000.0,1089596000.0,459732000.0,712755100.0,535619000.0,0.9400000000000001,931767100.0,712755100.0,568125000.0,1446158000.0,492904000.0,97400000.0,2214348000.0,25490940000.0,27705290000.0,0.0,2130635000.0,12786420000.0,15657190000.0,17787830000.0,9917459000.0,219012000.0,435359000.0,-618106000.0,-1157543000.0,0.0,-334932000.0,26.03
2016-12-31,2483965000.0,1481020000.0,1002945000.0,448506000.0,280434100.0,23609000.0,0.04,522318100.0,280434200.0,568134000.0,1446581000.0,542924000.0,97733000.0,2229587000.0,25943720000.0,28173300000.0,8375000.0,2293421000.0,12979220000.0,15910570000.0,18203990000.0,9969312000.0,241884000.0,484967000.0,-671511000.0,-686435000.0,0.0,201710000.0,28.83
2017-03-31,2717566000.0,1532370000.0,1185196000.0,461920000.0,496510700.0,206412000.0,0.36,755123800.0,496510700.0,574403000.0,1395444000.0,493765000.0,100502000.0,2172718000.0,26130380000.0,28303090000.0,0.0,2124764000.0,13099190000.0,16037610000.0,18162370000.0,10140720000.0,258613000.0,405435000.0,-455895000.0,-465949000.0,-63182000.0,10466000.0,27.4
2017-06-30,2652133000.0,1520616000.0,1131517000.0,433797000.0,499897900.0,209864000.0,0.37,753524900.0,499897900.0,574931000.0,1757062000.0,476488000.0,103119000.0,2485131000.0,26057800000.0,28542930000.0,472590000.0,2679568000.0,12725270000.0,15632370000.0,18311930000.0,10231000000.0,253627000.0,533691000.0,-416422000.0,-126829000.0,-63247000.0,-43411000.0,31.29
2017-09-30,2830175000.0,1598072000.0,1232103000.0,490529000.0,492704100.0,148363000.0,0.26,750518100.0,492704100.0,573527000.0,1986688000.0,515423000.0,101242000.0,2794536000.0,26307350000.0,29101890000.0,466375000.0,2735760000.0,13026930000.0,16041390000.0,18777150000.0,10324740000.0,257814000.0,572783000.0,-526590000.0,-533836000.0,-63297000.0,190965000.0,32.59
2017-12-31,2597605000.0,1542064000.0,1055541000.0,530200900.0,223414100.0,1369050000.0,2.45,479836100.0,223413600.0,572253000.0,1499995000.0,584824000.0,102292000.0,2376355000.0,26783690000.0,29160040000.0,158042000.0,3138297000.0,12751050000.0,14410620000.0,17548920000.0,11611120000.0,256422000.0,694502000.0,-464457000.0,-453978000.0,-62288000.0,-726798000.0,33.39
