,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-02-28,934400000.0,572700000.0,361700000.0,249700000.0,112000000.0,76000000.0,0.28500000000000003,138200000.0,112000000.0,265000000.0,68600000.0,403900000.0,606500000.0,1211500000.0,2874600000.0,4086100000.0,252700000.0,1115500000.0,776000000.0,1245800000.0,2361300000.0,1724800000.0,26200000.0,31600000.0,-10500000.0,-11300000.0,-45100000.0,-34400000.0,33.63
2013-05-31,1002600000.0,608200000.0,394400000.0,278400000.0,116000000.0,78600000.0,0.30000000000000004,141500000.0,116000000.0,264200000.0,72100000.0,399900000.0,611400000.0,1217500000.0,2991300000.0,4208800000.0,252800000.0,1226200000.0,774400000.0,1248900000.0,2475100000.0,1733700000.0,25500000.0,101100000.0,-22200000.0,-138100000.0,-45000000.0,40000000.0,34.54
2013-08-31,1016400000.0,608800000.0,407600000.0,259200000.0,148400000.0,104400000.0,0.395,173600000.0,148400000.0,264200000.0,146800000.0,462400000.0,640800000.0,1370900000.0,2982100000.0,4353000000.0,252100000.0,1054300000.0,1018600000.0,1501200000.0,2555500000.0,1797500000.0,25200000.0,94700000.0,-19300000.0,-32600000.0,-44900000.0,13300000.0,33.83
2013-11-30,1170000000.0,667900100.0,502099800.0,287700000.0,174099700.0,130000000.0,0.495,203199700.0,174099700.0,264200000.0,63000000.0,495500000.0,676900000.0,1370200000.0,3079500000.0,4449700000.0,2500000.0,1063100000.0,1019000000.0,1438900000.0,2502000000.0,1947700000.0,29100000.0,237800000.0,-45400000.0,-57700000.0,-44900000.0,-264800000.0,34.5
2014-02-28,993400000.0,601900000.0,391500000.0,266900000.0,124600000.0,82500000.0,0.315,151400000.0,124600000.0,262200000.0,89400000.0,428000000.0,682900000.0,1340100000.0,3089600000.0,4429700000.0,1800000.0,1012100000.0,1016600000.0,1430200000.0,2442300000.0,1987400000.0,26800000.0,76700000.0,-18000000.0,-18000000.0,-48600000.0,-28600000.0,33.2
2014-05-31,1033400000.0,620900000.0,412500000.0,290800000.0,121700000.0,84500000.0,0.325,148400000.0,121700000.0,260400000.0,81400000.0,417100000.0,687300000.0,1324700000.0,3084600000.0,4409300000.0,1300000.0,1002800000.0,1016800000.0,1426600000.0,2429400000.0,1979900000.0,26700000.0,105400000.0,-28700000.0,-28700000.0,-48100000.0,-85200000.0,36.15
2014-08-31,1042800000.0,622700000.0,420100000.0,260500000.0,157300000.0,122900000.0,0.47500000000000003,181900100.0,157300000.0,259200000.0,93800000.0,476800000.0,705600000.0,1408800000.0,3063300000.0,4472100000.0,1200000.0,1077600000.0,1014300000.0,1424500000.0,2502100000.0,1970000000.0,24600000.0,93700000.0,-30500000.0,-30500000.0,-48000000.0,-51800000.0,34.85
2014-11-30,1173600000.0,667500000.0,506100000.0,303800000.0,199400000.0,148000000.0,0.5750000000000001,224000000.0,199400200.0,259800000.0,77300000.0,493600000.0,713800000.0,1416200000.0,2998100000.0,4414300000.0,1200000.0,1122000000.0,1014100000.0,1482900000.0,2604900000.0,1809400000.0,24600000.0,227800000.0,-54400000.0,-54400000.0,-47700000.0,-183300000.0,37.17
2015-02-28,1010400000.0,620700000.0,389700000.0,267600000.0,93700000.0,70500000.0,0.275,118600000.0,93700000.0,256400000.0,81800000.0,384100000.0,708400000.0,1304700000.0,2892800000.0,4197500000.0,205700000.0,1221000000.0,806800000.0,1272600000.0,2493600000.0,1703900000.0,24900000.0,95900000.0,-15500000.0,-15500000.0,-51300000.0,-64200000.0,37.69
2015-05-31,1024100000.0,620100000.0,404000000.0,281200000.0,103800000.0,84300000.0,0.33,131400000.0,103800000.0,255800000.0,89500000.0,390600000.0,738500000.0,1358900000.0,3019500000.0,4378400000.0,205900000.0,1338800000.0,807900000.0,1304300000.0,2643100000.0,1735300000.0,27600000.0,90000000.0,-27100000.0,-138600000.0,-51200000.0,53900000.0,39.25
2015-08-31,1059900000.0,638000000.0,421900000.0,271500000.0,138700000.0,97600000.0,0.38,164900000.0,138700000.0,256000000.0,108400000.0,422900000.0,727200000.0,1374500000.0,3116200000.0,4490700000.0,203600000.0,1404600000.0,807200000.0,1323900000.0,2728500000.0,1762200000.0,26200000.0,130700000.0,-27100000.0,-126500000.0,-51200000.0,23600000.0,39.64
2015-11-30,1201900000.0,680200000.0,521699800.0,307100000.0,212200000.0,149200000.0,0.585,239400000.0,212200000.0,256000000.0,112600000.0,455200000.0,710800000.0,1357400000.0,3115200000.0,4472600000.0,203500000.0,1238600000.0,1051400000.0,1547100000.0,2785700000.0,1686900000.0,27200000.0,273400000.0,-58300000.0,-58300000.0,-51200000.0,-212900000.0,42.96
