,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,383909000.0,371088000.0,12821000.0,37648000.0,-23320000.0,-27839000.0,-0.61,19723000.0,-23320000.0,46028000.0,37260000.0,202150000.0,347641000.0,715733000.0,2439042000.0,3154775000.0,5677000.0,168690000.0,1072850000.0,1576028000.0,1744718000.0,1410057000.0,43043000.0,18575000.0,-21880000.0,-22929000.0,-18503000.0,16220000.0,102.02
2013-06-30,561326000.0,454330000.0,106996000.0,37843000.0,69635000.0,41308000.0,0.9,112584000.0,69635000.0,46129000.0,43712000.0,287521000.0,348873000.0,806485000.0,2424634000.0,3231119000.0,6169000.0,192533000.0,1087150000.0,1597919000.0,1790452000.0,1440667000.0,42949000.0,29897000.0,-28122000.0,-28445000.0,-18565000.0,5000000.0,98.42
2013-09-30,665320000.0,522212000.0,143108000.0,37140000.0,108843000.0,71836000.0,1.55,152948000.0,108843000.0,46244000.0,57241000.0,331030000.0,350438000.0,845669000.0,2491436000.0,3337105000.0,6169000.0,226432000.0,1107192000.0,1611790000.0,1838222000.0,1498883000.0,44105000.0,117173000.0,-52340000.0,-115594000.0,-18558000.0,11950000.0,98.17
2013-12-31,544996000.0,443964100.0,101031900.0,37460000.0,62829800.0,36032000.0,0.78,106493800.0,62829900.0,46164000.0,42437000.0,245421000.0,347307000.0,755366000.0,2504460000.0,3259826000.0,12403000.0,210549000.0,1018518000.0,1474358000.0,1684907000.0,1574919000.0,43664000.0,143306000.0,-52891000.0,-47581000.0,-18571000.0,-110529000.0,99.94
2014-03-31,428629000.0,402794000.0,25835000.0,34247000.0,-15898000.0,-21618000.0,-0.47000000000000003,26568000.0,-15898000.0,46315000.0,35801000.0,242587000.0,354718000.0,758214000.0,2497043000.0,3255257000.0,12403000.0,193758000.0,1055541000.0,1517206000.0,1710964000.0,1544293000.0,42466000.0,6612000.0,-36913000.0,-35562000.0,-18604000.0,22314000.0,128.35
2014-06-30,669225000.0,533623000.0,135602000.0,36566000.0,96241000.0,59521000.0,1.28,139922000.0,96241000.0,46395000.0,34329000.0,343784000.0,348168000.0,876701000.0,2479342000.0,3356043000.0,12404000.0,244725000.0,1072397000.0,1544319000.0,1789044000.0,1566999000.0,43681000.0,63751000.0,-47824000.0,-46609000.0,-18650000.0,-18614000.0,132.05
2014-09-30,1003723000.0,808130000.0,195593000.0,48427000.0,115956100.0,53743000.0,0.8,183888000.0,115956100.0,67086000.0,73597000.0,523928000.0,475293000.0,1212798000.0,6126060000.0,7338858000.0,14331000.0,436998000.0,1603944000.0,2526247000.0,2963245000.0,4375613000.0,67932000.0,131265000.0,-53833000.0,117322000.0,-27009000.0,-209319000.0,128.94
2014-12-31,856373900.0,691044200.0,165329700.0,50005000.0,118573700.0,63955000.0,0.9500000000000001,187240700.0,118573800.0,56854000.0,108651000.0,421001000.0,484919000.0,1044178000.0,6175576000.0,7219754000.0,14336000.0,396648000.0,1571059000.0,2470358000.0,2867006000.0,4352748000.0,68667000.0,180030000.0,-93613000.0,-84476000.0,-27041000.0,-60500000.0,110.32
2015-03-31,691347000.0,617086000.0,74261000.0,49450000.0,25571000.0,6126000.0,0.07,92839000.0,25571000.0,67411000.0,56366000.0,381389000.0,505047000.0,1045829000.0,6131490000.0,7177319000.0,13873000.0,343022000.0,1562190000.0,2492114000.0,2835136000.0,4342183000.0,67268000.0,35125000.0,-56085000.0,-63391000.0,-28354000.0,-24019000.0,139.8
2015-06-30,921419000.0,721266000.0,200153000.0,56783000.0,136984000.0,81938000.0,1.23,204674000.0,136984000.0,67373000.0,44169000.0,497468000.0,479856000.0,1530122000.0,5730275000.0,7260397000.0,15433000.0,363301000.0,1637905000.0,2586663000.0,2949964000.0,4310433000.0,67690000.0,91944000.0,-71905000.0,-71532000.0,-25931000.0,-32609000.0,141.51
