,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3126000000.0,3126000000.0,1803000000.0,607000000.0,413000000.0,0.75,694000000.0,607000000.0,548000000.0,1263000000.0,3176000000.0,5097000000.0,10440000000.0,15537000000.0,0.0,2840000000.0,2705000000.0,5984000000.0,8824000000.0,6713000000.0,87000000.0,-593000000.0,-87000000.0,8000000.0,-129000000.0,-364000000.0,37.97
2013-06-30,3088000000.0,3088000000.0,1766000000.0,577000000.0,388000000.0,0.71,667000000.0,577000000.0,551000000.0,1230000000.0,3345000000.0,5214000000.0,10624000000.0,15838000000.0,0.0,2964000000.0,2703000000.0,6028000000.0,8992000000.0,6846000000.0,90000000.0,430000000.0,-103000000.0,-202000000.0,-141000000.0,-228000000.0,39.92
2013-09-30,2932000000.0,2932000000.0,1824000000.0,404000000.0,253000000.0,0.46,493000000.0,404000000.0,549000000.0,2174000000.0,3294000000.0,6161000000.0,10815000000.0,16976000000.0,0.0,3893000000.0,2623000000.0,5963000000.0,9856000000.0,7120000000.0,89000000.0,738000000.0,-96000000.0,-105000000.0,-141000000.0,242000000.0,43.55
2013-12-31,3115000000.0,3115000000.0,1833000000.0,489000000.0,303000000.0,0.55,581000000.0,489000000.0,549000000.0,2303000000.0,3310000000.0,6300000000.0,10680000000.0,16980000000.0,0.0,3809000000.0,2621000000.0,5196000000.0,9005000000.0,7975000000.0,92000000.0,766000000.0,-110000000.0,-147000000.0,-150000000.0,-484000000.0,48.36
2014-03-31,3264000000.0,3264000000.0,1839000000.0,673000000.0,443000000.0,0.81,770000000.0,673000000.0,548000000.0,1380000000.0,3462000000.0,5563000000.0,11014000000.0,16577000000.0,0.0,3343000000.0,2619000000.0,5191000000.0,8534000000.0,8043000000.0,97000000.0,-380000000.0,-98000000.0,-416000000.0,-138000000.0,-118000000.0,49.3
2014-06-30,3300000000.0,3300000000.0,1876000000.0,647000000.0,431000000.0,0.78,741000000.0,647000000.0,549000000.0,2005000000.0,3706000000.0,6414000000.0,11174000000.0,17588000000.0,0.0,3530000000.0,3212000000.0,5830000000.0,9360000000.0,8228000000.0,94000000.0,638000000.0,-103000000.0,-165000000.0,-150000000.0,127000000.0,51.82
2014-09-30,3141000000.0,3141000000.0,1904000000.0,445000000.0,297000000.0,0.55,543000000.0,445000000.0,544000000.0,2649000000.0,3496000000.0,6852000000.0,11135000000.0,17987000000.0,0.0,4130000000.0,3379000000.0,5942000000.0,10072000000.0,7915000000.0,98000000.0,883000000.0,-82000000.0,-235000000.0,-154000000.0,121000000.0,52.34
2014-12-31,3246000000.0,3246000000.0,1896000000.0,536000000.0,294000000.0,0.54,635000000.0,536000000.0,545000000.0,1958000000.0,3377000000.0,5533000000.0,12260000000.0,17793000000.0,0.0,3677000000.0,3368000000.0,6983000000.0,10660000000.0,7133000000.0,99000000.0,978000000.0,-82000000.0,-406000000.0,-160000000.0,-1098000000.0,57.24
2015-03-31,3215000000.0,3215000000.0,1730000000.0,735000000.0,482000000.0,0.89,836000000.0,735000000.0,539000000.0,1104000000.0,3380000000.0,5177000000.0,11657000000.0,16834000000.0,0.0,2753000000.0,3828000000.0,7218000000.0,9971000000.0,6863000000.0,101000000.0,-523000000.0,-90000000.0,-194000000.0,-152000000.0,64000000.0,56.09
2015-06-30,3225000000.0,3225000000.0,1826000000.0,629000000.0,419000000.0,0.78,732000000.0,629000000.0,535000000.0,930000000.0,3659000000.0,5299000000.0,12114000000.0,17413000000.0,0.0,3208000000.0,3825000000.0,7333000000.0,10541000000.0,6872000000.0,103000000.0,635000000.0,-85000000.0,-334000000.0,-165000000.0,-558000000.0,56.7
