,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,7634000000.0,3969000000.0,3665000000.0,1589000000.0,1646000000.0,1129000000.0,1.63,1982000000.0,1646000000.0,691100000.0,4376000000.0,4418000000.0,3819000000.0,13855000000.0,20174000000.0,34029000000.0,1072000000.0,5937000000.0,4864000000.0,9564000000.0,15501000000.0,18528000000.0,336000000.0,994000000.0,-314000000.0,-405000000.0,-440000000.0,-486000000.0,106.31
2013-06-30,7752000000.0,4013000000.0,3739000000.0,1610000000.0,1702000000.0,1197000000.0,1.74,2037000000.0,1702000000.0,688200000.0,4252000000.0,4542000000.0,3919000000.0,13983000000.0,20147000000.0,34130000000.0,1062000000.0,6335000000.0,4884000000.0,9476000000.0,15811000000.0,18319000000.0,335000000.0,1679000000.0,-386000000.0,-335000000.0,-436000000.0,-1241000000.0,109.35
2013-09-30,7916000000.0,4148000000.0,3768000000.0,1609000000.0,1739000000.0,1230000000.0,1.81,2082000000.0,1739000000.0,679800000.0,3311000000.0,4594000000.0,3948000000.0,13282000000.0,20322000000.0,33604000000.0,2244000000.0,7439000000.0,3533000000.0,7913000000.0,15352000000.0,18252000000.0,343000000.0,1151000000.0,-336000000.0,38000000.0,-431000000.0,-1916000000.0,119.41
2013-12-31,7569000000.0,3976000000.0,3593000000.0,1576000000.0,1579000000.0,1103000000.0,1.65,1936000000.0,1579000000.0,681900000.0,3337000000.0,4253000000.0,3864000000.0,12733000000.0,20817000000.0,33550000000.0,1683000000.0,7498000000.0,4326000000.0,8104000000.0,15602000000.0,17948000000.0,357000000.0,1993000000.0,-501000000.0,-154000000.0,-423000000.0,-1603000000.0,140.25
2014-03-31,7831000000.0,4031000000.0,3800000000.0,1632000000.0,1716000000.0,1207000000.0,1.83,2066000000.0,1716000000.0,661500000.0,2814000000.0,4598000000.0,3972000000.0,12762000000.0,20785000000.0,33547000000.0,2176000000.0,7450000000.0,4401000000.0,8173000000.0,15623000000.0,17924000000.0,350000000.0,1092000000.0,-290000000.0,-287000000.0,-566000000.0,-1399000000.0,135.66
2014-06-30,8134000000.0,4184000000.0,3950000000.0,1646000000.0,1856000000.0,1267000000.0,1.94,2214000000.0,1856000000.0,652000000.0,3009000000.0,4759000000.0,4093000000.0,13193000000.0,20777000000.0,33970000000.0,1650000000.0,7040000000.0,5323000000.0,9084000000.0,16124000000.0,17846000000.0,358000000.0,1640000000.0,-306000000.0,-292000000.0,-556000000.0,-1185000000.0,143.24
2014-09-30,8137000000.0,4205000000.0,3932000000.0,1597000000.0,1901000000.0,1303000000.0,2.02,2251000000.0,1901000000.0,645300000.0,2696000000.0,4711000000.0,3945000000.0,12681000000.0,20095000000.0,32776000000.0,2119000000.0,7705000000.0,5225000000.0,8865000000.0,16570000000.0,16206000000.0,350000000.0,1711000000.0,-291000000.0,1000000.0,-550000000.0,-1889000000.0,141.68
2014-12-31,7719000000.0,4027000000.0,3692000000.0,1594000000.0,1662000000.0,1179000000.0,1.85,2012000000.0,1662000000.0,649200000.0,3336000000.0,4238000000.0,3706000000.0,12303000000.0,18906000000.0,31209000000.0,106000000.0,5964000000.0,6705000000.0,12103000000.0,18067000000.0,13142000000.0,350000000.0,2183000000.0,-471000000.0,-18000000.0,-544000000.0,-2130000000.0,164.32
2015-03-31,7578000000.0,3821000000.0,3757000000.0,1564000000.0,1730000000.0,1199000000.0,1.88,2069000000.0,1730000000.0,636200000.0,2809000000.0,4408000000.0,3704000000.0,12518000000.0,18125000000.0,30643000000.0,132000000.0,5082000000.0,6459000000.0,11609000000.0,16691000000.0,13952000000.0,339000000.0,1080000000.0,-287000000.0,0.0,-652000000.0,-1154000000.0,164.95
2015-06-30,7686000000.0,3858000000.0,3828000000.0,1550000000.0,1840000000.0,1300000000.0,2.06,2184000000.0,1840000000.0,631300000.0,3485000000.0,4578000000.0,3847000000.0,13431000000.0,17957000000.0,31388000000.0,86000000.0,5095000000.0,8431000000.0,13163000000.0,18258000000.0,13130000000.0,344000000.0,1338000000.0,-360000000.0,166000000.0,-646000000.0,-320000000.0,154.3
